Incidence, US by County, All Races, All Cancer Sites (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Union, Florida","1143.5","1072.7","1218.0","1065"
"Logan, Nebraska","739.4","500.0","1056.3","35"
"Greer, Oklahoma","710.4","624.4","805.3","259"
"Powell, Kentucky","648.2","588.6","712.4","464"
"Sherman, Nebraska","629.5","517.1","760.8","142"
"Palo Alto, Iowa","627.2","562.2","698.0","392"
"Kingsbury, South Dakota","621.5","538.6","714.8","235"
"Yukon-Koyukuk, Alaska","612.8","522.5","714.4","183"
"Estill, Kentucky","610.1","559.1","664.8","566"
"Floyd, Kentucky","609.8","577.5","643.4","1440"
"Taylor, Kentucky","608.8","569.6","650.0","963"
"Prairie, Montana","606.6","445.5","817.1","61"
"Woodruff, Arkansas","603.9","532.4","683.2","294"
"Golden Valley, Montana","603.3","412.1","865.3","40"
"Lee, Kentucky","603.2","531.5","682.6","277"
"Perry, Kentucky","603.1","565.4","642.7","1020"
"Breathitt, Kentucky","595.6","542.6","652.6","499"
"Lawrence, Kentucky","594.6","546.0","646.6","593"
"Pickens, Georgia","584.3","551.0","619.3","1294"
"Carter, Kentucky","583.4","546.8","621.9","1009"
"Towns, Georgia","582.8","528.4","642.1","613"
"Monroe, Kentucky","581.1","524.5","642.6","415"
"Polk, Texas","580.0","552.7","608.5","1882"
"Owsley, Kentucky","579.8","494.3","677.0","177"
"Carroll, Kentucky","576.0","516.5","640.7","361"
"Nicholas, Kentucky","575.5","505.8","652.7","259"
"Mingo, West Virginia","575.4","537.3","615.7","922"
"Knox, Kentucky","574.5","540.5","610.3","1114"
"Bath, Kentucky","569.8","516.1","627.9","434"
"Miner, South Dakota","565.3","447.8","707.1","95"
"McLean, Kentucky","564.8","506.0","629.1","356"
"Russell, Kentucky","564.8","521.5","611.0","679"
"Cape May, New Jersey","564.6","546.7","583.1","4406"
"Bracken, Kentucky","564.5","500.7","634.6","299"
