Incidence, US by County, All Races, Lung & Bronchus (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Union, Florida","196.3","168.2","228.1","191"
"Owsley, Kentucky","164.7","122.8","218.2","54"
"Breathitt, Kentucky","149.1","123.9","178.3","131"
"Hardin, Illinois","133.6","96.4","183.8","46"
"Knox, Kentucky","133.3","117.6","150.6","270"
"Powell, Kentucky","132.5","107.4","162.0","102"
"Carroll, Kentucky","131.7","105.1","163.3","88"
"Perry, Kentucky","130.5","113.8","149.2","231"
"Floyd, Kentucky","130.3","116.2","145.7","331"
"McCreary, Kentucky","129.8","108.8","153.9","142"
"North Slope, Alaska","126.2","80.7","185.0","32"
"Clay, Kentucky","125.7","106.3","147.8","156"
"Whitley, Kentucky","123.8","109.3","139.7","275"
"Harlan, Kentucky","123.6","107.9","141.1","235"
"Galax, Virginia","122.3","91.6","160.9","57"
"Lake, Tennessee","121.4","91.3","159.1","56"
"Mingo, West Virginia","120.6","103.9","139.4","201"
"Leslie, Kentucky","120.5","96.1","149.9","87"
"Mercer, Missouri","120.1","80.0","175.3","31"
"Bath, Kentucky","119.7","96.7","146.9","97"
"Martin, Kentucky","119.6","95.3","148.5","88"
"Poinsett, Arkansas","118.2","101.9","136.6","194"
"Lewis, Kentucky","116.5","95.4","141.3","111"
"Lawrence, Arkansas","116.4","97.4","138.5","139"
"Mississippi, Missouri","116.2","94.8","141.5","104"
"St. Francois, Missouri","116.1","105.8","127.2","474"
"Bracken, Kentucky","116.0","89.1","149.2","65"
"Pike, Kentucky","115.6","105.2","127.0","473"
"Estill, Kentucky","115.4","94.7","139.8","114"
"Monroe, Kentucky","115.4","92.0","143.6","87"
"Madison, Missouri","115.2","93.4","141.1","100"
"Claiborne, Tennessee","115.1","101.3","130.4","263"
"Trousdale, Tennessee","114.4","86.5","148.9","59"
"Hart, Kentucky","114.3","95.8","135.5","140"
"Clinton, Kentucky","114.0","90.7","142.2","85"
"Edmonson, Kentucky","113.3","91.6","139.3","98"
"Wolfe, Kentucky","113.3","86.1","147.6","60"
"Pulaski, Illinois","112.1","83.2","149.7","51"
"Boone, West Virginia","111.8","95.8","130.1","184"
"Calhoun, Arkansas","111.8","81.0","152.7","45"
"Barren, Kentucky","111.7","99.7","124.8","322"
"Rockcastle, Kentucky","111.3","92.4","133.4","126"
"Montgomery, Kentucky","111.2","95.5","128.8","187"
"Campbell, Tennessee","110.5","98.8","123.4","334"
"Polk, Tennessee","110.1","91.9","131.3","136"
"Nicholas, Kentucky","109.9","81.5","145.8","52"
"Lincoln, Kentucky","109.7","94.2","127.2","184"
"Wirt, West Virginia","109.3","80.2","147.4","49"
"McLean, Kentucky","109.2","85.1","138.8","72"
"Cleveland, Arkansas","109.0","84.0","140.0","67"
"Carroll, Tennessee","109.0","94.7","125.1","219"
"Brown, Illinois","108.9","77.3","149.8","39"
"Johnson, Kentucky","108.8","92.7","127.2","170"
"Harrison, Kentucky","108.6","90.7","129.4","134"
"Letcher, Kentucky","108.4","92.4","126.7","172"
"Franklin, Illinois","108.3","96.3","121.5","310"
"Randolph, Arkansas","108.1","90.0","129.1","134"
"Jackson, Arkansas","108.0","89.7","129.1","128"
"Union, Tennessee","107.9","90.0","128.6","136"
"Clay, West Virginia","107.8","83.1","138.3","69"
"Gallatin, Kentucky","107.7","79.6","142.9","54"
"Lawrence, Kentucky","107.5","88.3","130.0","115"
"Logan, West Virginia","107.3","94.5","121.6","272"
"Pendleton, Kentucky","107.2","86.1","132.3","94"
"Metcalfe, Kentucky","107.1","83.9","135.5","74"
"Clay, Arkansas","107.1","89.2","128.1","129"
"Logan, Illinois","106.7","92.5","122.7","208"
"Dunklin, Missouri","106.4","92.7","121.8","222"
"Knott, Kentucky","106.3","87.2","128.7","114"
"Vinton, Ohio","106.1","84.9","131.4","90"
"Lincoln, West Virginia","106.1","89.9","124.7","159"
"Arenac, Michigan","106.1","88.7","126.8","140"
"Perry, Tennessee","106.0","81.4","136.7","65"
"Overton, Tennessee","105.9","90.7","123.2","179"
"Rolette, North Dakota","105.7","81.7","134.3","70"
"Bourbon, Kentucky","105.5","88.7","124.9","143"
"Butler, Kentucky","105.3","84.3","130.2","91"
"Decatur, Tennessee","104.9","84.3","129.8","97"
"Schoolcraft, Michigan","104.6","81.0","134.6","76"
"Lee, Kentucky","104.5","76.4","140.7","48"
"Benton, Tennessee","104.5","87.7","124.2","143"
"Cumberland, Kentucky","104.4","78.8","137.3","57"
"Caldwell, Louisiana","104.3","80.6","133.2","68"
"Crawford, Georgia","104.0","82.9","129.4","90"
"Starke, Indiana","104.0","88.5","121.7","166"
"Fentress, Tennessee","104.0","87.2","123.6","144"
"Jackson, Kentucky","104.0","83.4","128.6","93"
"Breckinridge, Kentucky","103.8","87.1","123.0","145"
"Ohio, Kentucky","103.4","88.1","120.8","167"
"New Madrid, Missouri","103.3","85.8","123.5","128"
"Grand Isle, Vermont","103.2","73.0","142.3","45"
"Hawkins, Tennessee","103.2","93.5","113.7","433"
"Laurel, Kentucky","102.6","92.5","113.7","390"
"Woodruff, Arkansas","102.2","75.2","137.0","52"
"Polk, Georgia","102.1","89.8","115.6","259"
"Butler, Missouri","101.7","90.5","114.1","306"
"Perry, Arkansas","101.7","80.1","128.2","78"
"Yalobusha, Mississippi","101.6","81.8","125.3","95"
"Carlisle, Kentucky","101.6","72.1","141.2","39"
"Crawford, Missouri","101.5","86.8","118.4","174"
"Greenup, Kentucky","101.1","89.2","114.3","269"
"Rhea, Tennessee","100.8","87.9","115.3","227"
"Monroe, Tennessee","100.8","90.2","112.5","346"
"Fleming, Kentucky","100.8","81.4","123.9","97"
"Todd, Kentucky","100.5","78.7","126.8","74"
"Casey, Kentucky","100.4","82.3","121.7","112"
"Grayson, Kentucky","100.3","85.8","116.7","179"
"Pleasants, West Virginia","100.3","74.5","133.2","52"
"Fayette, West Virginia","100.3","89.5","112.2","329"
"Nowata, Oklahoma","100.3","79.2","126.1","78"
"Russell, Kentucky","100.2","83.3","119.8","129"
"Carter, Missouri","100.1","72.1","136.5","45"
"Hickman, Tennessee","100.1","85.1","117.3","163"
"Wyoming, West Virginia","99.8","84.1","118.0","155"
"Jefferson, Indiana","99.8","86.4","114.8","209"
"Menifee, Kentucky","99.5","73.3","133.8","49"
"Christian, Illinois","99.4","87.0","113.2","241"
"Benton, Missouri","99.3","85.5","115.6","201"
"Mississippi, Arkansas","99.2","86.9","112.8","244"
"Brown, Ohio","99.1","88.0","111.4","296"
"Polk, Texas","99.1","88.2","111.1","326"
