,county,"2,3,7,8-TCDD (dioxin)"
0,"-, Arizona",0.0
1,"Ada, Idaho",0.0
2,"Adams, Pennsylvania",0.0
3,"Alachua, Florida",0.0
4,"Alameda, California",0.0
5,"Allegany, New York",0.0
6,"Allegheny county, Pennsylvania",0.0
7,"Allegheny, Pennsylvania",0.0
8,"Allen, Indiana",0.0
9,"Allen, Louisiana",0.0
10,"American samoa, American Samoa",0.0
11,"Anne arundel, Maryland",0.00106
12,"Apache, Arizona",0.0
13,"Armstrong county, Pennsylvania",0.0
14,"Armstrong, Pennsylvania",0.0
15,"Ashland, Wisconsin",0.0
16,"Baraga, Michigan",0.0
17,"Barren, Kentucky",0.0
18,"Bay, Florida",0.0
19,"Beaver county, Pennsylvania",0.0
20,"Beaver, Pennsylvania",0.0
21,"Bedford, Pennsylvania",0.0
22,"Bell, Kentucky",0.0
23,"Belmont, Ohio",0.0
24,"Beltrami county, Minnesota",0.0
25,"Benton, Oregon",0.0
26,"Berks county, Pennsylvania",0.0
27,"Berks, Pennsylvania",0.0
28,"Bernalillo, New Mexico",0.0
29,"Blair, Pennsylvania",0.0
30,"Boone, Kentucky",0.0
31,"Boyd, Kentucky",0.0
32,"Boyle, Kentucky",6.956521739130435e-08
33,"Bradford, Pennsylvania",0.0
34,"Brevard, Florida",0.0
35,"Broward, Florida",0.0
36,"Brown, Indiana",0.0
37,"Brown, Wisconsin",0.0
38,"Bucks county, Pennsylvania",0.0
39,"Bucks, Pennsylvania",0.0
40,"Burnett, Wisconsin",0.0
41,"Butler, Pennsylvania",0.0
42,"Butte, California",0.0
43,"Caldwell, Kentucky",0.0
44,"Calloway, Kentucky",0.0
45,"Cambria county, Pennsylvania",0.0
46,"Cambria, Pennsylvania",0.0
47,"Cameron, Pennsylvania",0.0
48,"Carbon, Pennsylvania",0.0
49,"Carson city, Nevada",0.0
50,"Cass, Minnesota",0.0
51,"Centre county, Pennsylvania",0.0
52,"Centre, Pennsylvania",0.0
53,"Charlotte, Florida",0.0
54,"Chester county, Pennsylvania",0.0
55,"Chester, Pennsylvania",0.0
56,"Chippewa, Michigan",0.0
57,"Christian, Kentucky",0.0
58,"Churchill, Nevada",0.0
59,"Citrus, Florida",0.0
60,"Clackamas, Oregon",0.0
61,"Clarion, Pennsylvania",0.0
62,"Clark county, Nevada",0.0
63,"Clark, Indiana",0.0
64,"Clark, Nevada",0.0
65,"Clark, Wisconsin",0.0
66,"Clearfield, Pennsylvania",0.0
67,"Clinton, Pennsylvania",0.0
68,"Cochise, Arizona",0.0
69,"Coconino, Arizona",0.0
70,"Collier, Florida",0.0
71,"Columbia, Florida",0.0
72,"Columbia, Pennsylvania",0.0
73,"Columbiana, Ohio",0.0
74,"Colusa, California",0.0
75,"Contra costa, California",0.0
76,"Cook, Minnesota",0.0
77,"Coshocton, Ohio",0.0
78,"Crawford county, Pennsylvania",0.0
79,"Crawford, Pennsylvania",0.0
80,"Crawford, Wisconsin",0.0
81,"Cumberland county, Pennsylvania",0.0
82,"Cumberland, Pennsylvania",0.0
83,"Curry, New Mexico",0.0
84,"Dade, Florida",0.0
85,"Dane, Wisconsin",0.0
86,"Dauphin county, Pennsylvania",0.0
87,"Dauphin, Pennsylvania",0.0
88,"Daviess, Kentucky",0.0
89,"De soto, Florida",0.0
90,"Decatur, Indiana",0.0
91,"Dekalb, Indiana",0.0
92,"Delaware, Indiana",0.0
93,"Delaware, Pennsylvania",0.0
94,"Desoto, Florida",0.0
95,"District of columbia, District of Columbia",0.0
96,"Douglas, Nevada",0.0
97,"Douglas, Wisconsin",0.0
98,"Dubois, Indiana",0.0
99,"Dunn, Wisconsin",0.0
100,"Duval, Florida",0.0
101,"Edmonson, Kentucky",0.0
102,"El dorado, California",0.0
103,"Elk, Pennsylvania",0.0
104,"Elkhart, Indiana",0.0
105,"Elko, Nevada",0.0
106,"Erie county, Pennsylvania",0.0
107,"Erie, New York",0.0
108,"Erie, Pennsylvania",0.0
109,"Escambia, Alabama",0.0
110,"Escambia, Florida",0.0
111,"Eureka, Nevada",0.0
112,"Fairbanks north star, Alaska",0.0
113,"Fayette, Kentucky",0.0
114,"Fayette, Pennsylvania",0.0
115,"Fleming, Kentucky",0.0
116,"Floyd, Indiana",0.0
117,"Floyd, Kentucky",0.0
118,"Forest, Pennsylvania",0.0
119,"Forest, Wisconsin",0.0
120,"Franklin county, Pennsylvania",0.0
121,"Franklin, Kentucky",0.0
122,"Franklin, Pennsylvania",0.0
123,"Fresno, California",0.0
124,"Fulton, Pennsylvania",0.0
125,"Gadsden, Florida",0.0
126,"Gaston, North Carolina",0.0
127,"Genesee, New York",0.0
128,"Gibson, Indiana",0.0
129,"Gila, Arizona",0.0
130,"Gogebic, Michigan",0.0
131,"Goodhue, Minnesota",0.0
132,"Graham county, Arizona",0.0
133,"Graham, Arizona",0.0
134,"Grant, Wisconsin",0.0
135,"Greene, Pennsylvania",0.0
136,"Greenlee, Arizona",0.0
137,"Gulf, Florida",0.0
138,"Hamilton, Indiana",0.0
139,"Hamilton, Ohio",0.0
140,"Hancock, Kentucky",0.0
141,"Hanover, Virginia",0.0
142,"Hardee, Florida",0.0
143,"Hardin, Kentucky",0.0
144,"Hawaii, Hawaii",0.0
145,"Hawkins, Tennessee",0.0
146,"Henderson, Kentucky",0.0
147,"Hendry, Florida",0.0
148,"Henry, Kentucky",0.0
149,"Henry, Ohio",0.0
150,"Hills, Florida",0.0
151,"Hillsborough county, Florida",0.0
152,"Hillsborough, Florida",0.0
153,"Honolulu, Hawaii",0.0
154,"Humboldt, Nevada",0.0
155,"Huntingdon, Pennsylvania",0.0
156,"Huntington, Indiana",0.0
157,"Imperial, California",0.0
158,"Indian river, Florida",0.0
159,"Indiana, Pennsylvania",0.0
160,"Inyo, California",0.0
161,"Iowa, Wisconsin",0.0
162,"Isabella, Michigan",0.0
163,"Jackson, Oregon",0.0
164,"Jackson, Wisconsin",0.0
165,"Jefferson county, Pennsylvania",0.0
166,"Jefferson, Florida",0.0
167,"Jefferson, Kentucky",0.0
168,"Jefferson, New York",0.0
169,"Jefferson, Ohio",0.0
170,"Jefferson, Pennsylvania",0.0
171,"Jefferson, West Virginia",0.0
172,"Jennings, Indiana",0.0
173,"Jessamine, Kentucky",0.0
174,"Johnson, Kansas",0.0
175,"Johnson, Kentucky",0.0
176,"Juniata, Pennsylvania",0.0
177,"Kauai, Hawaii",0.0
178,"Kenosha, Wisconsin",0.0
179,"Kenton, Kentucky",0.0
180,"Kern, California",0.0
181,"Ketchikan gateway, Alaska",0.0
182,"Kewaunee, Wisconsin",0.0
183,"Kings, California",0.0
184,"Knox, Kentucky",0.0
185,"Knox, Ohio",0.0
186,"Knox, Tennessee",0.0
187,"Koochiching county, Minnesota",0.0
188,"Kosciusko, Indiana",0.0
189,"La crosse, Wisconsin",0.0
190,"La paz, Arizona",0.0
191,"Lackawanna, Pennsylvania",2.3214285714285714e-07
192,"Lake, California",0.0
193,"Lake, Florida",0.0
194,"Lake, Indiana",0.0
