,county,PCB
0,"-, Arizona",0.0
1,"Acadia, Louisiana",0.0
2,"Accomack, Virginia",0.0
3,"Ada, Idaho",0.0
4,"Adair, Kentucky",0.0
5,"Adams, Idaho",0.0
6,"Adams, Illinois",0.0
7,"Adams, Ohio",0.0
8,"Adams, Pennsylvania",0.0
9,"Adams, Washington",0.0
10,"Adams, Wisconsin",0.0
11,"Addison, Vermont",0.0
12,"Alachua, Florida",0.0
13,"Alamance, North Carolina",0.0
14,"Alameda, California",0.0
15,"Albany, New York",0.0
16,"Albany, Wyoming",0.0
17,"Albemarle, Virginia",0.0
18,"Alexander, Illinois",0.0
19,"Alexander, North Carolina",0.0
20,"Allegany, Maryland",0.0
21,"Allegany, New York",0.0
22,"Alleghany, North Carolina",0.0
23,"Alleghany, Virginia",0.0
24,"Allegheny county, Pennsylvania",0.0
25,"Allegheny, Pennsylvania",0.0
26,"Allen, Indiana",0.0
27,"Allen, Kentucky",0.0
28,"Allen, Louisiana",0.0
29,"Alpine, California",0.0
30,"American samoa, American Samoa",0.0
31,"Amherst, Virginia",0.0
32,"Anderson, Kentucky",0.0
33,"Androscoggin, Maine",0.0
34,"Anne arundel, Maryland",0.0
35,"Anson, North Carolina",0.0
36,"Apache, Arizona",0.0
37,"Arkansas, Arkansas",0.0
38,"Armstrong county, Pennsylvania",0.0
39,"Armstrong, Pennsylvania",0.0
40,"Aroostook, Maine",0.0
41,"Ascension, Louisiana",0.0
42,"Ashe, North Carolina",0.0
43,"Ashland, Wisconsin",0.0
44,"Ashley, Arkansas",0.0
45,"Asotin, Washington",0.0
46,"Assumption, Louisiana",0.0
47,"Augusta, Virginia",0.0
48,"Aurora, South Dakota",0.0
49,"Autauga, Alabama",0.0
50,"Avery, North Carolina",0.0
51,"Avoyelles, Louisiana",0.0
52,"Baker county, Florida",0.0
53,"Baker, Florida",0.0
54,"Baker, Oregon",0.0
55,"Baldwin, Alabama",0.0
56,"Ballard, Kentucky",0.0
57,"Baltimore city, Maryland",0.0
58,"Baltimore, Maryland",0.0
59,"Bannock, Idaho",0.0
60,"Baraga, Michigan",0.0
61,"Barbour, Alabama",0.0
62,"Barbour, West Virginia",0.0
63,"Barnstable, Massachusetts",0.0
64,"Barren, Kentucky",0.0
65,"Barron, Wisconsin",0.0
66,"Bartholomew, Indiana",0.0
67,"Bath, Virginia",0.0
68,"Baxter, Arkansas",0.0
69,"Bay, Florida",0.0
70,"Bayfield, Wisconsin",0.0
71,"Beadle, South Dakota",0.0
72,"Bear lake, Idaho",0.0
73,"Beaufort, North Carolina",0.0
74,"Beauregard, Louisiana",0.0
75,"Beaver county, Pennsylvania",0.0
76,"Beaver, Pennsylvania",0.0
77,"Beaver, Utah",0.0
78,"Beaverhead, Montana",0.0
79,"Bedford, Pennsylvania",0.0
80,"Bedford, Virginia",0.0
81,"Bell, Kentucky",0.0
82,"Belmont, Ohio",0.0
83,"Beltrami county, Minnesota",0.0
84,"Benewah, Idaho",0.0
85,"Bennett, South Dakota",0.0
86,"Bennington, Vermont",0.0
87,"Benton county, Arkansas",0.0
88,"Benton, Arkansas",0.0
89,"Benton, Indiana",0.0
90,"Benton, Oregon",0.0
91,"Benton, Washington",0.0
92,"Berkeley, West Virginia",0.0003
93,"Berks county, Pennsylvania",0.0
94,"Berks, Pennsylvania",0.0
95,"Bernalillo, New Mexico",0.0
96,"Bertie, North Carolina",0.0
97,"Bethel, Alaska",0.0
98,"Bibb, Alabama",0.0
99,"Bienville, Louisiana",0.0
100,"Big horn, Montana",0.0
101,"Big horn, Wyoming",0.0
102,"Bingham, Idaho",0.0
103,"Bladen, North Carolina",0.0
104,"Blaine, Idaho",0.0
105,"Blaine, Montana",0.0
106,"Blair, Pennsylvania",0.0
107,"Bland, Virginia",0.0
108,"Blount, Alabama",0.0
109,"Boise, Idaho",0.0
110,"Bon homme, South Dakota",0.0
111,"Bond, Illinois",0.0
112,"Bonner, Idaho",0.0
113,"Bonneville, Idaho",0.0
114,"Boone, Arkansas",0.0
115,"Boone, Illinois",0.0
116,"Boone, Indiana",0.0
117,"Boone, Kentucky",0.0
118,"Boone, West Virginia",0.0
119,"Bossier, Louisiana",0.0
120,"Botetourt, Virginia",0.0
121,"Boundary, Idaho",0.0
122,"Bourbon, Kentucky",0.04666666666666667
123,"Box elder, Utah",0.0
124,"Boyd, Kentucky",0.0
125,"Boyle, Kentucky",0.0
126,"Bracken, Kentucky",0.0
127,"Bradford, Florida",0.0
128,"Bradford, Pennsylvania",0.0
129,"Bradley, Arkansas",0.0
130,"Braxton, West Virginia",0.0
