,county,beta_particles
0,"Acadia, Louisiana",0.24848484848484848
1,"Accomack, Virginia",8.055555555555557
2,"Ada, Idaho",0.99
3,"Adair, Oklahoma",3.990096774193549
4,"Adams, Ohio",0.0
5,"Adams, Pennsylvania",16.00857142857143
6,"Adams, Washington",8.7
7,"Adams, Wisconsin",0.0
8,"Alamance, North Carolina",2.0833333333333335
9,"Alameda, California",0.46644642857142865
10,"Albemarle, Virginia",4.334
11,"Aleutians east, Alaska",1.0714285714285714
12,"Aleutians west census area, Alaska",0.0
13,"Aleutians west, Alaska",2.4
14,"Alexander, Illinois",1.7
15,"Alfalfa, Oklahoma",1.8086666666666664
16,"Allegany, Maryland",0.25
17,"Allegany, New York",1.7000000000000002
18,"Alleghany, North Carolina",2.1776315789473677
19,"Alleghany, Virginia",0.39999999999999997
20,"Allegheny, Pennsylvania",0.22608695652173913
21,"Allen, Indiana",4.1
22,"Allen, Louisiana",0.7222222222222222
23,"Amador, California",4.03
24,"Amelia, Virginia",3.2699999999999996
25,"American samoa, American Samoa",5.56619718309859
26,"Amherst, Virginia",4.025
27,"Anchorage, Alaska",1.068965517241379
28,"Anderson, Texas",0.839622641509434
29,"Andrews, Texas",7.866666666666667
30,"Angelina, Texas",0.6717948717948717
31,"Anne arundel, Maryland",3.1550000000000002
32,"Apache, Arizona",4.624
33,"Appomattox, Virginia",3.7357142857142853
34,"Aransas, Texas",9.100000000000001
35,"Archer, Texas",7.175000000000001
36,"Arkansas, Arkansas",5.1656249999999995
37,"Armstrong, Texas",10.9
38,"Ascension, Louisiana",0.30434782608695654
39,"Ashe, North Carolina",0.4307692307692308
40,"Ashley, Arkansas",0.5125
41,"Ashtabula, Ohio",0.0
42,"Assumption, Louisiana",1.5166666666666666
43,"Atascosa, Texas",10.375675675675675
44,"Atoka, Oklahoma",3.201111111111111
45,"Augusta, Virginia",2.658823529411765
46,"Austin, Texas",4.5476190476190474
47,"Autauga, Alabama",3.452727272727272
48,"Avery, North Carolina",0.906
49,"Avoyelles, Louisiana",0.14084507042253522
50,"B, Oklahoma",2.3562499999999997
51,"Bailey, Texas",8.100000000000001
52,"Baldwin, Alabama",2.6535
53,"Baltimore city, Maryland",0.0
54,"Baltimore, Maryland",5.677777777777778
55,"Bandera, Texas",13.067272727272728
56,"Bannock, Idaho",6.7542857142857144
57,"Barbour, Alabama",1.0883461538461536
58,"Barron, Wisconsin",0.24416666666666664
59,"Bastrop, Texas",1.75
60,"Bath, Virginia",0.9454545454545454
61,"Baxter, Arkansas",3.427777777777777
