,county,combinded_radium
0,"Abbeville, South Carolina",6.021052631578947
1,"Ada, Idaho",0.7914285714285717
2,"Adair, Iowa",1.7505
3,"Adair, Oklahoma",2.852999999999999
4,"Adams, Idaho",0.495
5,"Adams, Illinois",0.9434545454545454
6,"Adams, Nebraska",0.8181818181818182
7,"Adams, Washington",0.4985714285714285
8,"Adams, Wisconsin",0.8505555555555555
9,"Addison, Vermont",3.8211000000000004
10,"Aiken, South Carolina",2.1501366906474813
11,"Alamance, North Carolina",0.19463087248322147
12,"Albany, New York",0.43785714285714294
13,"Albany, Wyoming",1.0
14,"Albemarle, Virginia",0.9295238095238096
15,"Aleutians east borough, Alaska",0.75
16,"Aleutians west census area, Alaska",1.1
17,"Aleutians west, Alaska",1.2
18,"Alexander, Illinois",0.792
19,"Alexander, North Carolina",0.4
20,"Alfalfa, Oklahoma",0.48270833333333335
21,"Allamakee county, Iowa",4.16
22,"Allamakee, Iowa",4.838461538461539
23,"Allegany, Maryland",0.03076923076923077
24,"Allegany, New York",0.42454545454545445
25,"Alleghany, North Carolina",0.5283018867924527
26,"Allen, Kansas",0.6333333333333333
27,"Allen, Kentucky",0.5824999999999999
28,"Allen, Louisiana",0.205
29,"Allendale, South Carolina",0.1
30,"Amador, California",10.96
31,"Amherst, Virginia",1.7
32,"Anchorage, Alaska",0.1513725490196078
33,"Anderson, Kansas",0.0
34,"Anderson, Kentucky",0.7
35,"Anderson, South Carolina",0.1625
36,"Anderson, Texas",0.6
37,"Andrew, Missouri",0.0
38,"Andrews, Texas",0.0
39,"Androscoggin, Maine",1.1114615384615385
40,"Angelina, Texas",0.8333333333333334
41,"Anne arundel, Maryland",2.1070512820512826
42,"Anson, North Carolina",0.0
43,"Antelope, Nebraska",0.35
44,"Apache, Arizona",1.3515515463917525
45,"Appanoose, Iowa",0.0
46,"Appomattox, Virginia",1.475
47,"Aransas, Texas",0.43333333333333335
48,"Armstrong, Texas",0.39
49,"Ashe, North Carolina",0.5324324324324325
50,"Ashland, Wisconsin",0.9072857142857144
51,"Atascosa, Texas",3.4448275862068964
52,"Atchison, Kansas",0.4666666666666666
53,"Atchison, Missouri",0.0
54,"Atlantic, New Jersey",2.3194707520891376
55,"Atoka, Oklahoma",0.6164878048780488
56,"Audrain, Missouri",1.6636363636363638
57,"Audubon, Iowa",1.02
58,"Augusta, Virginia",0.4923076923076922
59,"Austin, Texas",2.573913043478261
60,"Autauga, Alabama",0.3486666666666667
61,"Avery, North Carolina",1.1986956521739132
62,"B, Oklahoma",0.6226842105263157
63,"Bailey, Texas",1.37
64,"Baker, Oregon",0.3085714285714286
65,"Baldwin, Alabama",1.609365853658537
66,"Ballard, Kentucky",0.2
67,"Baltimore city, Maryland",0.0
68,"Baltimore, Maryland",1.275
69,"Bamberg, South Carolina",0.184375
70,"Bandera, Texas",3.174210526315789
71,"Bannock, Idaho",0.818
72,"Barber, Kansas",0.44
73,"Barbour, Alabama",0.5408260869565218
74,"Barbour, West Virginia",0.582
75,"Barnes, North Dakota",0.35666666666666663
76,"Barnwell, South Carolina",0.9359999999999999
77,"Barron, Wisconsin",1.1257333333333335
78,"Barry, Missouri",0.9689999999999999
79,"Barton, Kansas",0.8541666666666669
80,"Barton, Missouri",3.566666666666667
81,"Bastrop, Texas",1.15
82,"Bates, Missouri",0.2
83,"Bayfield, Wisconsin",1.2377500000000001
84,"Baylor, Texas",0.0
85,"Beadle, South Dakota",0.0
86,"Bear lake, Idaho",0.9553846153846154
87,"Beaufort, North Carolina",0.0
88,"Beaufort, South Carolina",0.1877358490566038
89,"Beaver, Oklahoma",0.9268947368421053
90,"Beaver, Utah",0.4018181818181819
91,"Beaverhead, Montana",2.4957142857142856
92,"Beckham, Oklahoma",0.5980705882352941
93,"Bee, Texas",0.9366666666666666
94,"Belknap, New Hampshire",0.3119889502762431
95,"Bell, Kentucky",0.5
96,"Bell, Texas",1.064
97,"Belmont, Ohio",1.1
98,"Beltrami county, Minnesota",0.7075
99,"Benewah, Idaho",0.6359999999999999
100,"Bennett, South Dakota",0.4
101,"Bennington, Vermont",0.38999999999999996
102,"Benson, North Dakota",0.5826666666666667
103,"Benton, Iowa",3.264545454545454
104,"Benton, Missouri",0.4312500000000001
105,"Benton, Oregon",0.33444444444444443
106,"Benton, Washington",0.6845454545454546
107,"Bergen, New Jersey",1.6026666666666662
108,"Berkeley, South Carolina",0.11470588235294119
109,"Berkeley, West Virginia",1.0767222222222221
110,"Bernalillo, New Mexico",0.6326635514018693
111,"Bertie, North Carolina",0.0
112,"Bethel census area, Alaska",0.0
