,county,dibromoacetic_acid
0,"Abbeville, South Carolina",0.09471698113207547
1,"Acadia, Louisiana",3.286666666666667
2,"Accomack, Virginia",3.1496124031007753
3,"Adair, Iowa",0.2457
4,"Adair, Missouri",0.052912621359223304
5,"Adair, Oklahoma",0.2748529411764706
6,"Adams, Illinois",0.8070175438596491
7,"Adams, Iowa",1.4340287769784172
8,"Adams, Nebraska",0.915
9,"Adams, North Dakota",0.0
10,"Adams, Ohio",2.6426250000000002
11,"Addison, Vermont",0.047244094488188976
12,"Aiken, South Carolina",0.16245856353591157
13,"Alamance, North Carolina",0.24444444444444444
14,"Alameda, California",0.26
15,"Albany, New York",0.319512195121951
16,"Albemarle, Virginia",0.0761904761904762
17,"Aleutians east borough, Alaska",0.3225
18,"Aleutians east, Alaska",1.1046511627906974
19,"Aleutians west census area, Alaska",1.064230769230769
20,"Aleutians west, Alaska",2.6085999999999996
21,"Alexander, Illinois",0.4495934959349593
22,"Alexander, North Carolina",1.2777777777777777
23,"Alfalfa, Oklahoma",0.6839999999999999
24,"Allamakee county, Iowa",0.0
25,"Allamakee, Iowa",0.14454545454545456
26,"Allegan, Michigan",0.9230769230769231
27,"Allegany, New York",2.1082949308755765
28,"Alleghany, North Carolina",0.0
29,"Alleghany, Virginia",0.0
30,"Allegheny, Pennsylvania",2.2
31,"Allen, Kansas",1.84841059602649
32,"Allen, Louisiana",0.258125
33,"Allen, Ohio",0.8171264367816092
34,"Allendale, South Carolina",0.0
35,"Amador, California",0.0
36,"Amelia, Virginia",0.0
37,"Amherst, Virginia",0.05901639344262295
38,"Anchorage, Alaska",0.028645833333333332
39,"Anderson, Kansas",1.7245454545454544
40,"Anderson, South Carolina",0.2791324200913242
41,"Anderson, Texas",1.5264705882352945
42,"Andrew, Missouri",1.374464285714286
43,"Andrews, Texas",0.775
44,"Androscoggin, Maine",0.0
45,"Angelina, Texas",4.812299465240644
46,"Anoka, Minnesota",0.04057971014492754
47,"Anson, North Carolina",0.5928571428571429
48,"Antelope, Nebraska",0.0
49,"Antrim, Michigan",0.0
50,"Apache, Arizona",5.075806451612903
51,"Appanoose, Iowa",0.030979020979020982
52,"Appomattox, Virginia",0.0
53,"Aransas, Texas",10.922222222222226
54,"Archer, Texas",6.905681818181816
55,"Arenac, Michigan",0.30158730158730157
56,"Arkansas, Arkansas",1.2869565217391303
57,"Armstrong, Texas",0.0
58,"Aroostook, Maine",0.0
59,"Ascension, Louisiana",0.48197368421052633
60,"Ashe, North Carolina",0.025
61,"Ashland, Ohio",1.6000090090090087
62,"Ashley, Arkansas",3.5925373134328367
63,"Ashtabula, Ohio",0.18475875486381324
64,"Assumption, Louisiana",0.3916901408450704
65,"Atascosa county, Texas",0.0
66,"Atascosa, Texas",1.6959459459459458
67,"Atchison, Kansas",0.9551456310679611
68,"Atchison, Missouri",3.719230769230769
69,"Athens, Ohio",1.483046153846153
70,"Atlantic, New Jersey",0.19385796545105569
71,"Atoka, Oklahoma",0.2707894736842105
72,"Audrain, Missouri",0.46904347826086956
73,"Audubon, Iowa",0.968
74,"Auglaize, Ohio",1.3451090909090906
75,"Augusta, Virginia",0.0
76,"Austin, Texas",0.2870967741935484
77,"Avery, North Carolina",0.0660377358490566
78,"Avoyelles, Louisiana",2.8853169230769233
79,"B, Oklahoma",4.964025974025974
80,"Bailey, Texas",1.6875
81,"Bamberg, South Carolina",0.5772727272727273
82,"Bandera, Texas",2.181318681318681
83,"Barber, Kansas",2.1155
84,"Barbour, West Virginia",0.1827956989247312
85,"Barnes, North Dakota",2.8373529411764706
86,"Barnwell, South Carolina",0.0
87,"Barry, Michigan",0.0
88,"Barry, Missouri",0.02979591836734694
89,"Barton, Kansas",2.418709677419355
90,"Barton, Missouri",0.17306122448979588
91,"Bastrop, Texas",3.9235602094240813
92,"Bates, Missouri",0.9342227979274617
93,"Bath, Virginia",0.0
94,"Baxter, Arkansas",0.10774193548387097
95,"Bay, Michigan",1.8470588235294119
96,"Baylor, Texas",1.8799999999999997
97,"Beaufort, North Carolina",3.6436619718309866
98,"Beaufort, South Carolina",0.4539761646803899
99,"Beauregard, Louisiana",0.023859649122807018
100,"Beaver, Oklahoma",0.41428571428571426
101,"Beaver, Utah",0.9666666666666667
102,"Beaverhead, Montana",2.3666666666666667
103,"Becker, Minnesota",0.0
104,"Beckham, Oklahoma",0.75
105,"Bedford, Virginia",0.12034632034632035
106,"Bee, Texas",16.511173184357535
107,"Bell, Texas",5.180841121495323
108,"Belmont, Ohio",2.8478636363636367
109,"Bennington, Vermont",0.12717842323651452
110,"Benson, North Dakota",1.0629411764705883
111,"Benton county, Arkansas",0.107
112,"Benton, Arkansas",0.2252927400468384
113,"Benton, Iowa",0.33199999999999996
114,"Benton, Missouri",0.0
115,"Benzie, Michigan",1.0
116,"Bergen, New Jersey",0.5155270863836021
117,"Berkeley, South Carolina",2.9382608695652155
118,"Berkeley, West Virginia",0.5563320463320465
119,"Bernalillo, New Mexico",1.0340624999999999
120,"Berrien, Michigan",1.0416666666666667
121,"Bertie, North Carolina",2.625
122,"Bethel census area, Alaska",0.0
123,"Bethel, Alaska",0.8857352941176471
124,"Bexar, Texas",1.884274640088592
125,"Bienville, Louisiana",0.25548387096774194
126,"Big horn, Montana",0.24133333333333334
