,county,dichloroacetic_acid
0,"Abbeville, South Carolina",14.277999999999999
1,"Acadia, Louisiana",4.226041666666668
2,"Accomack, Virginia",5.993023255813954
3,"Adair, Iowa",16.34
4,"Adair, Missouri",18.336893203883495
5,"Adair, Oklahoma",12.31664705882353
6,"Adams, Illinois",7.2140350877192985
7,"Adams, Iowa",16.68892086330935
8,"Adams, Nebraska",0.0
9,"Adams, North Dakota",7.078333333333333
10,"Adams, Ohio",2.34675
11,"Addison, Vermont",16.271653543307085
12,"Aiken, South Carolina",11.045965909090913
13,"Alamance, North Carolina",13.43101851851852
14,"Alameda, California",14.48
15,"Albany, New York",15.406689944134092
16,"Albemarle, Virginia",2.095238095238096
17,"Aleutians east borough, Alaska",0.0
18,"Aleutians east, Alaska",4.492325581395349
19,"Aleutians west census area, Alaska",5.60397435897436
20,"Aleutians west, Alaska",1.4374
21,"Alexander, Illinois",14.712195121951215
22,"Alexander, North Carolina",15.387777777777778
23,"Alfalfa, Oklahoma",0.3594
24,"Allamakee county, Iowa",0.0
25,"Allamakee, Iowa",0.7272727272727273
26,"Allegan, Michigan",1.4615384615384615
27,"Allegany, New York",4.443847465437788
28,"Alleghany, North Carolina",0.0
29,"Alleghany, Virginia",9.466141732283461
30,"Allegheny, Pennsylvania",6.8
31,"Allen, Kansas",22.471523178807953
32,"Allen, Louisiana",6.436249999999999
33,"Allen, Ohio",12.96057471264368
34,"Allendale, South Carolina",0.991111111111111
35,"Amador, California",9.83529411764706
36,"Amelia, Virginia",0.2
37,"Amherst, Virginia",18.788524590163934
38,"Anchorage, Alaska",1.9709375000000007
39,"Anderson, Kansas",37.06363636363636
40,"Anderson, South Carolina",15.237635467980292
41,"Anderson, Texas",4.817156862745097
42,"Andrew, Missouri",16.735892857142854
43,"Andrews, Texas",0.2375
44,"Androscoggin, Maine",17.8
45,"Angelina, Texas",9.300530973451334
46,"Anoka, Minnesota",7.978260869565218
47,"Anson, North Carolina",28.100884955752207
48,"Antelope, Nebraska",0.0
49,"Antrim, Michigan",0.5
50,"Apache, Arizona",1.6126213592233012
51,"Appanoose, Iowa",14.505174825174826
52,"Appomattox, Virginia",0.0
53,"Aransas, Texas",4.35138888888889
54,"Archer, Texas",15.457954545454538
55,"Arenac, Michigan",13.984126984126984
56,"Arkansas, Arkansas",1.3130434782608698
57,"Arlington, Virginia",15.8
58,"Armstrong, Texas",0.0
59,"Aroostook, Maine",8.715384615384618
60,"Ascension, Louisiana",5.180175438596492
61,"Ashe, North Carolina",0.7375
62,"Ashland, Ohio",7.513630630630631
63,"Ashley, Arkansas",5.579104477611941
64,"Ashtabula, Ohio",11.943038910505841
65,"Assumption, Louisiana",14.15352112676056
66,"Atascosa county, Texas",0.0
67,"Atascosa, Texas",0.3756756756756756
68,"Atchison, Kansas",18.259223300970874
69,"Atchison, Missouri",7.791538461538462
70,"Athens, Ohio",10.51070256410257
71,"Atlantic, New Jersey",1.3988234165067195
72,"Atoka, Oklahoma",34.925131578947365
73,"Audrain, Missouri",18.272608695652178
74,"Audubon, Iowa",1.573
75,"Auglaize, Ohio",3.7587999999999995
76,"Augusta, Virginia",0.4533333333333333
77,"Austin, Texas",0.1532258064516129
78,"Avery, North Carolina",0.2509433962264151
79,"Avoyelles, Louisiana",5.1409930769230785
80,"B, Oklahoma",14.857922077922078
81,"Bailey, Texas",0.0
82,"Bamberg, South Carolina",1.3881818181818182
83,"Bandera, Texas",0.9802197802197801
84,"Barber, Kansas",1.5554999999999997
85,"Barbour, West Virginia",16.811827956989244
86,"Barnes, North Dakota",3.2558823529411764
87,"Barnwell, South Carolina",0.6722222222222223
88,"Barry, Michigan",2.0
89,"Barry, Missouri",0.15857142857142856
90,"Barton, Kansas",0.5516129032258064
91,"Barton, Missouri",20.531326530612247
92,"Bastrop, Texas",2.0272251308900526
93,"Bates, Missouri",22.909818652849744
94,"Bath, Virginia",0.42083333333333334
95,"Baxter, Arkansas",17.919354838709676
96,"Bay, Michigan",14.0
97,"Baylor, Texas",0.0
98,"Beaufort, North Carolina",6.399999999999999
99,"Beaufort, South Carolina",8.408439560439563
100,"Beauregard, Louisiana",0.25842105263157894
101,"Beaver, Oklahoma",0.35714285714285715
102,"Beaver, Utah",1.1666666666666667
103,"Beaverhead, Montana",0.0
104,"Becker, Minnesota",2.15
105,"Beckham, Oklahoma",0.45
106,"Bedford, Virginia",16.918181818181825
107,"Bee, Texas",14.129050279329606
108,"Bell, Texas",11.76604361370716
109,"Belmont, Ohio",7.718670454545455
110,"Bennington, Vermont",15.006923076923073
111,"Benson, North Dakota",6.665294117647059
112,"Benton county, Arkansas",21.218000000000004
113,"Benton, Arkansas",16.562529274004692
114,"Benton, Iowa",3.6941818181818182
115,"Benton, Missouri",0.0
116,"Benzie, Michigan",1.1666666666666667
117,"Bergen, New Jersey",5.963660322108343
118,"Berkeley, South Carolina",8.889215686274506
119,"Berkeley, West Virginia",8.473667953667954
120,"Bernalillo, New Mexico",0.7088854166666668
121,"Berrien, Michigan",5.958333333333333
122,"Bertie, North Carolina",0.13437500000000002
123,"Bethel census area, Alaska",21.740000000000002
124,"Bethel, Alaska",7.86205882352941
125,"Bexar, Texas",5.285935769656699
126,"Bienville, Louisiana",11.079032258064515
127,"Big horn, Montana",4.242666666666666
128,"Billings, North Dakota",8.238000000000001
129,"Black hawk, Iowa",1.2148780487804878
130,"Bladen, North Carolina",3.3508771929824563
131,"Blaine, Montana",21.184615384615384
132,"Blaine, Oklahoma",1.0385714285714287
133,"Blanco, Texas",11.470833333333331
134,"Bland, Virginia",13.041379310344826
135,"Bollinger, Missouri",0.3775
136,"Bond, Illinois",15.141283643892345
137,"Bonneville, Idaho",0.0
138,"Boone, Arkansas",1.5166666666666666
139,"Boone, Illinois",0.7818181818181817
140,"Boone, Iowa",9.234181034482756
141,"Boone, Missouri",2.8082352941176474
142,"Boone, West Virginia",8.896962025316457
143,"Bosque, Texas",6.569387755102039
144,"Bossier, Louisiana",4.095443037974683
145,"Botetourt, Virginia",0.45774647887323944
146,"Bottineau, North Dakota",6.42872340425532
147,"Boundary, Idaho",0.945
148,"Bourbon, Kansas",9.604915254237287
149,"Bowie, Texas",21.39494382022471
150,"Bowman, North Dakota",5.234687500000001
151,"Box butte, Nebraska",0.2125
152,"Box elder, Utah",0.1744186046511628
153,"Boyd, Nebraska",1.1733333333333333
154,"Bradley, Arkansas",3.0333333333333337
155,"Branch, Michigan",1.1428571428571428
156,"Braxton, West Virginia",16.305813953488364
157,"Brazoria, Texas",3.407918781725888
158,"Brazos, Texas",1.2182795698924733
159,"Bremer, Iowa",3.911333333333333
160,"Brewster, Texas",0.09285714285714286
161,"Briscoe, Texas",12.469767441860466
162,"Bristol bay, Alaska",0.0
163,"Bristol, Virginia",10.433333333333334
164,"Brooke, West Virginia",12.452941176470592
165,"Brooks, Texas",0.0
166,"Broome, New York",3.4333513513513516
167,"Brown, Illinois",0.8285714285714284
168,"Brown, Kansas",9.645490196078429
169,"Brown, Minnesota",1.4500000000000002
170,"Brown, Ohio",11.291839080459772
171,"Brown, Texas",11.895871559633022
172,"Brunswick, North Carolina",10.378321678321676
173,"Brunswick, Virginia",14.452631578947372
174,"Bryan, Oklahoma",17.1346339869281
175,"Buchanan, Iowa",1.1379166666666667
176,"Buchanan, Virginia",15.966981132075476
177,"Buckingham, Virginia",6.974074074074075
178,"Buena vista, Iowa",6.1683168316831685
179,"Buena vista, Virginia",0.95
180,"Buffalo, Nebraska",2.6973076923076937
181,"Buncombe, North Carolina",10.716494845360824
182,"Bureau, Illinois",10.004838709677419
183,"Burke, North Carolina",13.591333333333333
184,"Burke, North Dakota",1.4782352941176473
185,"Burleigh, North Dakota",9.973560209424083
186,"Burleson, Texas",3.6770186335403743
187,"Burlington, New Jersey",3.715274496177898
188,"Burnet, Texas",14.098445595854924
189,"Burt, Nebraska",0.309
190,"Butler, Iowa",1.3655
191,"Butler, Kansas",14.446785714285717
192,"Butler, Missouri",17.6864705882353
193,"Butler, Nebraska",1.1400000000000001
194,"Butler, Ohio",1.060057692307692
195,"Butte, California",11.636363636363637
196,"Cabarrus, North Carolina",12.122299465240632
197,"Cabell, West Virginia",11.218253968253968
198,"Cache, Utah",0.6709677419354838
199,"Caddo parish, Louisiana",0.0
200,"Caddo, Louisiana",8.21898773006135
201,"Caddo, Oklahoma",7.2
202,"Calaveras, California",30.0
203,"Calcasieu, Louisiana",1.5428679245283017
204,"Caldwell, Louisiana",3.822105263157895
205,"Caldwell, Missouri",22.959248826291077
206,"Caldwell, North Carolina",12.89507042253521
207,"Caldwell, Texas",7.6558441558441555
208,"Caledonia, Vermont",10.258409090909094
209,"Calhoun, Arkansas",4.828571428571428
210,"Calhoun, Illinois",9.090625
211,"Calhoun, Iowa",3.871794871794872
212,"Calhoun, Michigan",1.4545454545454546
213,"Calhoun, South Carolina",0.23166666666666666
214,"Calhoun, Texas",6.678160919540232
215,"Calhoun, West Virginia",11.593406593406597
216,"Callahan, Texas",5.550000000000002
217,"Callaway, Missouri",0.41892857142857143
218,"Camden, Missouri",1.6964102564102563
219,"Camden, New Jersey",0.8052250453720518
220,"Camden, North Carolina",3.8499999999999996
221,"Cameron, Louisiana",4.0345
222,"Cameron, Texas",6.225469168900804
223,"Camp, Texas",3.2404255319148945
224,"Campbell, Virginia",11.129565217391304
225,"Canadian, Oklahoma",4.590852760736196
226,"Canyon, Idaho",0.0
227,"Cape girardeau, Missouri",16.764905660377355
228,"Cape may, New Jersey",1.388285953177258
229,"Carbon, Montana",4.050588235294118
230,"Carbon, Pennsylvania",1.9500000000000002
231,"Carbon, Utah",13.20625
232,"Carlton, Minnesota",3.6666666666666665
233,"Caroline, Virginia",17.659605263157896
234,"Carroll, Arkansas",14.239130434782611
235,"Carroll, Illinois",0.4405882352941176
236,"Carroll, Iowa",3.482549019607843
237,"Carroll, Missouri",3.441111111111111
238,"Carroll, Ohio",13.485384615384614
239,"Carroll, Virginia",4.9186046511627906
240,"Carson city, Nevada",7.557889273356398
241,"Carson, Texas",0.5833333333333334
242,"Carter, Missouri",0.0
243,"Carter, Oklahoma",7.9875449101796425
244,"Carteret, North Carolina",11.689473684210526
245,"Carver, Minnesota",0.0
246,"Cascade, Montana",12.16440414507772
247,"Cass, Illinois",13.612499999999999
248,"Cass, Iowa",0.9504347826086956
249,"Cass, Michigan",0.4
250,"Cass, Missouri",21.268965517241366
251,"Cass, Nebraska",3.8466666666666662
252,"Cass, North Dakota",2.2832608695652175
253,"Cass, Texas",9.606666666666667
254,"Castro, Texas",0.0
255,"Caswell, North Carolina",16.95957446808511
256,"Catahoula, Louisiana",3.5666666666666664
257,"Catawba, North Carolina",12.097805642633228
258,"Catron, New Mexico",0.055799999999999995
259,"Cattaraugus, New York",3.534337748344373
260,"Cavalier, North Dakota",17.64090909090909
261,"Cayuga county, New York",26.843478260869563
262,"Cayuga, New York",8.632846715328467
263,"Cedar, Iowa",1.987727272727273
264,"Cedar, Missouri",3.8154545454545454
265,"Cedar, Nebraska",18.227083333333333
266,"Cerro gordo, Iowa",1.063076923076923
267,"Chambers, Texas",7.385759493670878
268,"Champaign, Illinois",9.699418604651159
269,"Champaign, Ohio",1.3834722222222218
270,"Chariton, Missouri",6.912954545454545
271,"Charles city, Virginia",0.5571428571428572
272,"Charleston county, South Carolina",9.7232
273,"Charleston, South Carolina",5.16
274,"Charlevoix, Michigan",1.0909090909090908
275,"Charlotte, Virginia",16.7775
276,"Chase, Kansas",1.9405555555555556
277,"Chatham, North Carolina",23.29150943396225
278,"Chautauqua, Kansas",28.496818181818185
279,"Chautauqua, New York",10.574035398230091
280,"Chaves, New Mexico",0.0
281,"Cheboygan, Michigan",0.0
282,"Chemung, New York",5.508050847457632
283,"Chenango, New York",5.416216216216216
284,"Cherokee, Iowa",1.8792307692307693
285,"Cherokee, Kansas",9.48125
286,"Cherokee, North Carolina",4.690476190476191
287,"Cherokee, Oklahoma",14.16510393258428
288,"Cherokee, South Carolina",17.63488095238095
289,"Cherokee, Texas",10.383960720130926
290,"Cherry, Nebraska",1.4
291,"Chesapeake, Virginia",1.5
292,"Chester, South Carolina",10.660582524271842
293,"Chesterfield, South Carolina",10.505862068965516
294,"Chesterfield, Virginia",10.802631578947368
295,"Cheyenne, Kansas",0.0
296,"Cheyenne, Nebraska",0.0
297,"Chickasaw, Iowa",1.182
298,"Chicot, Arkansas",2.254166666666667
299,"Childress, Texas",10.7175
300,"Chippewa, Michigan",9.0
301,"Chittenden, Vermont",14.563502109704642
302,"Choctaw, Oklahoma",6.819672131147541
303,"Chouteau, Montana",4.042
304,"Chowan, North Carolina",4.27166666666667
305,"Christian, Illinois",12.558216138328527
306,"Christian, Missouri",0.3319444444444445
307,"Churchill, Nevada",1.325
308,"Cibola, New Mexico",0.021304347826086957
309,"Cimarron, Oklahoma",0.25
310,"Claiborne, Louisiana",2.766764705882353
311,"Clare, Michigan",0.5
312,"Clarendon, South Carolina",0.31565217391304345
313,"Clark, Arkansas",15.46946107784431
314,"Clark, Illinois",1.9416666666666664
315,"Clark, Kansas",0.08833333333333333
316,"Clark, Missouri",24.413392857142856
317,"Clark, Nevada",9.78764705882353
318,"Clark, Ohio",1.5680470588235296
319,"Clarke, Iowa",22.86111111111111
320,"Clarke, Virginia",15.224892703862661
321,"Clay, Arkansas",1.3176470588235296
322,"Clay, Illinois",18.057894736842105
323,"Clay, Iowa",1.4583333333333333
324,"Clay, Kansas",0.7716666666666667
325,"Clay, Missouri",15.601194029850747
326,"Clay, North Carolina",3.6363636363636362
327,"Clay, Texas",10.924074074074074
328,"Clay, West Virginia",23.12048192771084
329,"Clayton, Iowa",0.8356818181818181
330,"Cleburne, Arkansas",19.935384615384613
331,"Clermont, Ohio",9.142493887530566
332,"Cleveland, Arkansas",0.9500000000000001
333,"Cleveland, North Carolina",15.446666666666667
334,"Cleveland, Oklahoma",7.009326923076922
335,"Clinton, Illinois",16.799404761904764
336,"Clinton, Iowa",0.34469879518072294
337,"Clinton, Michigan",1.5
338,"Clinton, Missouri",25.780423280423275
339,"Clinton, New York",13.550361445783134
340,"Clinton, Ohio",15.283202898550726
341,"Cloud, Kansas",2.699333333333333
342,"Coal, Oklahoma",16.01366666666667
343,"Cochise, Arizona",0.0
344,"Cochran, Texas",0.0
345,"Coconino, Arizona",4.857142857142857
