,county,diquat
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Oklahoma",0.0
7,"Adams, Idaho",0.0
8,"Adams, Illinois",0.0
9,"Adams, Indiana",0.0
10,"Adams, Nebraska",0.0
11,"Adams, Ohio",0.0
12,"Adams, Pennsylvania",0.0
13,"Adams, Wisconsin",0.0
14,"Aiken, South Carolina",0.0
15,"Alachua, Florida",0.0
16,"Alameda, California",0.0
17,"Alexander, Illinois",0.0
18,"Allegany, New York",0.0
19,"Alleghany, Virginia",0.0
20,"Allegheny county, Pennsylvania",0.0
21,"Allegheny, Pennsylvania",0.0
22,"Allen, Indiana",0.0
23,"Allen, Kentucky",0.0
24,"Allen, Louisiana",0.0
25,"Allendale, South Carolina",0.0
26,"Alpine, California",0.0
27,"American samoa, American Samoa",0.0
28,"Amherst, Virginia",0.0
29,"Anderson, Kentucky",0.0
30,"Anderson, South Carolina",0.0
31,"Anne arundel, Maryland",0.0
32,"Antelope, Nebraska",0.0
33,"Apache, Arizona",0.0
34,"Arkansas, Arkansas",0.0
35,"Armstrong county, Pennsylvania",0.0
36,"Armstrong, Pennsylvania",0.0
37,"Aroostook, Maine",0.0
38,"Arthur, Nebraska",0.0
39,"Ascension, Louisiana",0.0
40,"Ashland, Wisconsin",0.0
41,"Ashley, Arkansas",0.0
42,"Asotin, Washington",0.0
43,"Assumption, Louisiana",0.0
44,"Audrain, Missouri",0.0
45,"Aurora, South Dakota",0.0
46,"Autauga, Alabama",0.0
47,"Avoyelles, Louisiana",0.0
48,"Baker county, Florida",0.0
49,"Baker, Florida",0.0
50,"Baker, Oregon",0.0
51,"Baldwin, Alabama",0.07420948616600789
52,"Ballard, Kentucky",0.0
53,"Bamberg, South Carolina",0.0
54,"Banner, Nebraska",0.0
55,"Bannock, Idaho",0.0
56,"Baraga, Michigan",0.0
57,"Barbour, Alabama",0.13919753086419753
58,"Barnwell, South Carolina",0.0
59,"Barren, Kentucky",0.0
60,"Barron, Wisconsin",0.0
61,"Barry, Missouri",0.0
62,"Bartholomew, Indiana",0.0
63,"Baxter, Arkansas",0.0
64,"Bay, Florida",0.0
65,"Bayfield, Wisconsin",0.0
66,"Beadle, South Dakota",0.0
67,"Bear lake, Idaho",0.0
68,"Beaufort, South Carolina",0.0
69,"Beauregard, Louisiana",0.0
70,"Beaver county, Pennsylvania",0.0
71,"Beaver, Pennsylvania",0.0
72,"Bedford, Pennsylvania",0.0
73,"Bedford, Virginia",0.0
74,"Bell, Kentucky",0.0
75,"Belmont, Ohio",0.0
76,"Beltrami county, Minnesota",0.0
77,"Benewah, Idaho",0.0
78,"Bennett, South Dakota",0.0
79,"Benton county, Arkansas",0.0
80,"Benton, Arkansas",0.0
81,"Benton, Indiana",0.0
82,"Benton, Missouri",0.0
83,"Benton, Oregon",0.0
84,"Benton, Washington",0.0
85,"Berkeley, South Carolina",0.0
86,"Berkeley, West Virginia",0.0
87,"Berks county, Pennsylvania",0.0
88,"Berks, Pennsylvania",0.0
89,"Bernalillo, New Mexico",0.0
90,"Bibb, Alabama",0.0
91,"Bienville, Louisiana",0.0
92,"Bingham, Idaho",0.0
93,"Blackford, Indiana",0.0
94,"Blaine, Idaho",0.0
95,"Blaine, Montana",0.0
96,"Blaine, Nebraska",0.0
97,"Blair, Pennsylvania",0.0
98,"Blount, Alabama",0.0
99,"Boise, Idaho",0.0
100,"Bon homme, South Dakota",0.0
101,"Bond, Illinois",0.0
102,"Bonner, Idaho",0.0
103,"Bonneville, Idaho",0.0
104,"Boone, Arkansas",0.0
105,"Boone, Illinois",0.0
106,"Boone, Indiana",0.0
107,"Boone, Kentucky",0.02666666666666667
108,"Boone, Nebraska",0.0
109,"Bossier, Louisiana",0.0
110,"Botetourt, Virginia",0.0
111,"Boundary, Idaho",0.0
112,"Bourbon, Kentucky",0.0
113,"Box butte, Nebraska",0.0
114,"Boyd, Kentucky",0.0
115,"Boyd, Nebraska",0.0
116,"Boyle, Kentucky",0.0
117,"Bracken, Kentucky",0.0
118,"Bradford, Florida",0.0
119,"Bradford, Pennsylvania",0.0
120,"Bradley, Arkansas",0.0
121,"Braxton, West Virginia",0.0
122,"Breathitt, Kentucky",0.0
123,"Breckinridge, Kentucky",0.0
124,"Brevard, Florida",0.0
125,"Brookings, South Dakota",0.0
126,"Broward county, Florida",0.0
127,"Broward, Florida",0.002490706319702602
128,"Brown, Illinois",0.0
129,"Brown, Indiana",0.0
130,"Brown, Nebraska",0.0
131,"Brown, Ohio",0.0
132,"Brown, South Dakota",0.0
133,"Brown, Wisconsin",0.0
134,"Brule, South Dakota",0.0
135,"Buchanan, Virginia",0.0
136,"Bucks county, Pennsylvania",0.0
137,"Bucks, Pennsylvania",0.0
138,"Buffalo, Nebraska",0.0
139,"Buffalo, Wisconsin",0.0
140,"Bullock, Alabama",0.0
141,"Bureau, Illinois",0.0
142,"Burnett, Wisconsin",0.0
143,"Burt, Nebraska",0.0
144,"Butler, Alabama",0.0
145,"Butler, Kentucky",0.0
146,"Butler, Nebraska",0.0
147,"Butler, Ohio",0.0
148,"Butler, Pennsylvania",0.265625
149,"Butte, California",0.0
150,"Butte, Idaho",0.0
151,"Butte, South Dakota",0.0
152,"Caddo parish, Louisiana",0.0
153,"Caddo, Louisiana",0.0
154,"Caddo, Oklahoma",0.0
155,"Calaveras, California",0.0
156,"Calcasieu, Louisiana",0.0
157,"Caldwell, Kentucky",0.0
158,"Caldwell, Louisiana",0.0
159,"Calhoun, Alabama",0.0
160,"Calhoun, Arkansas",0.0
161,"Calhoun, Florida",0.0
162,"Calhoun, Illinois",0.0
163,"Calhoun, South Carolina",0.0
164,"Calloway, Kentucky",0.0
165,"Calumet, Wisconsin",0.0
166,"Cambria county, Pennsylvania",0.0
167,"Cambria, Pennsylvania",0.0
168,"Cameron, Louisiana",0.0
169,"Cameron, Pennsylvania",0.0
170,"Campbell, Kentucky",0.0
171,"Canyon, Idaho",0.0
172,"Carbon, Pennsylvania",0.0
173,"Caribou, Idaho",0.0
174,"Carlisle, Kentucky",0.0
175,"Carroll, Arkansas",0.0
176,"Carroll, Illinois",0.0
177,"Carroll, Indiana",0.0
178,"Carroll, Kentucky",0.0
179,"Carroll, Maryland",0.0
180,"Carson city, Nevada",0.0
181,"Carter, Kentucky",0.0
182,"Casey, Kentucky",0.0
183,"Cass, Illinois",0.0
184,"Cass, Indiana",0.0
185,"Cass, Minnesota",0.0
186,"Cass, Nebraska",0.0
187,"Cass, North Dakota",0.0
188,"Cassia, Idaho",0.1142857142857143
189,"Catahoula, Louisiana",0.0
190,"Catron, New Mexico",0.0
191,"Cecil, Maryland",0.0
192,"Cedar, Nebraska",0.0
193,"Centre county, Pennsylvania",0.0
194,"Centre, Pennsylvania",0.0
195,"Chambers, Alabama",0.0
196,"Champaign, Illinois",0.0
197,"Champaign, Ohio",0.0
198,"Chariton, Missouri",0.0
199,"Charles mix, South Dakota",0.0
200,"Charleston county, South Carolina",0.0
201,"Charleston, South Carolina",0.0
202,"Charlotte, Florida",0.0010857142857142858
203,"Chase, Nebraska",0.0
204,"Chaves, New Mexico",0.0
205,"Chemung, New York",0.0
206,"Cherokee, Alabama",0.51034375
207,"Cherokee, South Carolina",0.0
208,"Cherry, Nebraska",0.0
209,"Chesapeake city, Virginia",0.0
210,"Cheshire, New Hampshire",0.0
211,"Chester county, Pennsylvania",0.0
212,"Chester, Pennsylvania",0.0
213,"Chester, South Carolina",0.0
214,"Chesterfield, South Carolina",0.0
215,"Cheyenne, Nebraska",0.0
216,"Chicot, Arkansas",0.0
217,"Chilton, Alabama",0.0
218,"Chippewa, Michigan",0.0
219,"Chippewa, Wisconsin",0.0
220,"Choctaw, Alabama",0.0
221,"Christian, Illinois",0.0
222,"Christian, Kentucky",0.0
223,"Churchill, Nevada",0.0
224,"Cibola, New Mexico",0.0
225,"Cimarron, Oklahoma",0.0
226,"Citrus county, Florida",0.0
227,"Citrus, Florida",0.0
228,"Clackamas, Oregon",0.011461038961038962
229,"Claiborne, Louisiana",0.0
230,"Clarendon, South Carolina",0.0
231,"Clarion, Pennsylvania",0.0
232,"Clark county, Nevada",0.0
233,"Clark, Arkansas",0.0
234,"Clark, Illinois",0.0
235,"Clark, Indiana",0.0
236,"Clark, Kentucky",0.0
237,"Clark, Nevada",0.0006525285481239804
238,"Clark, Ohio",0.04680851063829788
239,"Clark, South Dakota",0.0
240,"Clark, Washington",0.0
241,"Clark, Wisconsin",0.0
242,"Clarke, Alabama",0.0
243,"Clarke, Virginia",0.0
244,"Clatsop, Oregon",0.0
245,"Clay, Alabama",0.0
246,"Clay, Arkansas",0.0
247,"Clay, Florida",0.0
248,"Clay, Illinois",0.0
249,"Clay, Indiana",0.0
250,"Clay, Kentucky",0.0
251,"Clay, Nebraska",0.0
252,"Clay, South Dakota",0.0
253,"Clearfield county, Pennsylvania",0.0
254,"Clearfield, Pennsylvania",0.0
255,"Clearwater, Idaho",0.0
256,"Cleburne, Alabama",0.0
257,"Cleburne, Arkansas",0.0
258,"Clermont, Ohio",0.0
259,"Cleveland, Arkansas",0.0
260,"Clinton, Illinois",0.0
261,"Clinton, Indiana",0.0
262,"Clinton, Iowa",0.0
263,"Clinton, Kentucky",0.0
264,"Clinton, Ohio",0.0
265,"Clinton, Pennsylvania",0.0
266,"Cochise, Arizona",0.0
267,"Coconino, Arizona",0.0
268,"Codington, South Dakota",0.0
269,"Coffee, Alabama",0.003149606299212599
270,"Colbert, Alabama",0.0
271,"Cole, Missouri",0.0
272,"Coles, Illinois",0.0
273,"Colfax, Nebraska",0.0
274,"Colfax, New Mexico",0.0
275,"Colleton, South Carolina",0.0
276,"Collier, Florida",0.0
277,"Columbia, Arkansas",0.0
278,"Columbia, Florida",0.0
279,"Columbia, Oregon",0.0038834951456310682
280,"Columbia, Pennsylvania",0.0
281,"Columbia, Wisconsin",0.0
282,"Columbiana, Ohio",0.0
283,"Comanche, Oklahoma",0.0
284,"Concordia, Louisiana",0.0
285,"Conecuh, Alabama",0.014866666666666667
286,"Contra costa, California",0.0
287,"Conway, Arkansas",0.0
288,"Cook, Illinois",0.0
289,"Cook, Minnesota",0.0
290,"Coos, Oregon",0.0
291,"Coosa, Alabama",0.0
292,"Coshocton, Ohio",0.0
293,"Covington, Alabama",0.0
294,"Covington, Virginia",0.0
295,"Cowlitz, Washington",0.0
296,"Craighead, Arkansas",0.0
297,"Crawford county, Pennsylvania",0.0
298,"Crawford, Arkansas",0.0
299,"Crawford, Illinois",0.0
300,"Crawford, Indiana",0.0
301,"Crawford, Pennsylvania",0.0
302,"Crawford, Wisconsin",0.0
303,"Crenshaw, Alabama",0.029054794520547947
304,"Crittenden, Arkansas",0.0
305,"Crittenden, Kentucky",0.0
306,"Crook, Oregon",0.0
307,"Crook, Wyoming",1.0
308,"Cross, Arkansas",0.0
309,"Cullman, Alabama",0.0
310,"Culpeper, Virginia",0.0
311,"Cumberland county, Pennsylvania",0.0
312,"Cumberland, Illinois",0.0
313,"Cumberland, Kentucky",0.0
314,"Cumberland, Pennsylvania",0.0
315,"Cumberland, Virginia",0.0
316,"Cuming, Nebraska",0.0
317,"Curry, New Mexico",0.0
318,"Curry, Oregon",0.0
319,"Custer, Idaho",0.0
320,"Custer, Nebraska",0.0
321,"Custer, Oklahoma",0.0
322,"Custer, South Dakota",0.0
323,"Cuyahoga, Ohio",0.0
324,"Dade, Florida",0.0
325,"Dakota, Nebraska",0.0
326,"Dale, Alabama",0.05083458646616541
327,"Dallas, Alabama",0.0
328,"Dallas, Arkansas",0.0
329,"Dane, Wisconsin",0.0
330,"Darlington, South Carolina",0.0
331,"Dauphin county, Pennsylvania",0.0
332,"Dauphin, Pennsylvania",0.0
333,"Daviess, Indiana",0.0
334,"Daviess, Kentucky",0.0
335,"Dawes, Nebraska",0.0
336,"Dawson, Nebraska",0.0
337,"Day, South Dakota",0.0
338,"De baca, New Mexico",0.0
339,"De kalb, Indiana",0.0
340,"De soto, Florida",0.0
341,"De soto, Louisiana",0.0
342,"De witt, Illinois",0.0
343,"Dearborn, Indiana",0.0
344,"Decatur, Indiana",0.0
345,"Defiance, Ohio",0.0
346,"Dekalb, Alabama",0.0
347,"Dekalb, Illinois",0.0
348,"Dekalb, Indiana",0.0
349,"Delaware, Indiana",0.0
350,"Delaware, Ohio",0.0
351,"Delaware, Pennsylvania",0.0
352,"Deschutes, Oregon",0.0
353,"Desha, Arkansas",0.0
354,"Desoto, Florida",0.0
355,"Deuel, Nebraska",0.0
356,"Dewey, South Dakota",0.0
357,"Dickey, North Dakota",0.0
358,"Dillon, South Carolina",0.0
359,"Dinwiddie, Virginia",0.0
360,"District of columbia, District of Columbia",0.0
361,"Dixie, Florida",0.0
362,"Dixon, Nebraska",0.0
363,"Dodge, Nebraska",0.0
364,"Dodge, Wisconsin",0.0
365,"Dona ana, New Mexico",0.05034324942791762
366,"Door, Wisconsin",0.0
367,"Dorchester, South Carolina",0.0
368,"Douglas, Illinois",0.0
369,"Douglas, Nebraska",0.0
370,"Douglas, Nevada",0.0
371,"Douglas, Oregon",0.028723404255319152
372,"Douglas, Wisconsin",0.0
373,"Drew, Arkansas",0.0
374,"Du page, Illinois",0.0
375,"Dubois, Indiana",0.0
376,"Dundy, Nebraska",0.0
377,"Dunn, Wisconsin",0.0
378,"Dupage, Illinois",0.0
379,"Duval county, Florida",0.0
380,"Duval, Florida",0.0
381,"East baton rouge parish, Louisiana",0.0
382,"East baton rouge, Louisiana",0.0
383,"East carroll, Louisiana",0.0
384,"East feliciana, Louisiana",0.0
385,"Eau claire, Wisconsin",0.0
386,"Eddy, New Mexico",0.0
387,"Edgar, Illinois",0.0
388,"Edmonson, Kentucky",0.0
389,"Edwards, Illinois",0.0
390,"Effingham, Illinois",0.0
391,"El dorado, California",0.0
392,"Elk, Pennsylvania",0.0
393,"Elkhart, Indiana",0.0
394,"Elko, Nevada",0.0
395,"Elliott, Kentucky",0.0
396,"Elmore, Alabama",0.0447875
397,"Elmore, Idaho",0.0
398,"Erie county, Pennsylvania",0.0
399,"Erie, New York",0.0
400,"Erie, Ohio",0.0
401,"Erie, Pennsylvania",0.0
402,"Escambia, Alabama",0.2751188118811881
403,"Escambia, Florida",0.0009929078014184398
404,"Esmeralda, Nevada",0.0
405,"Essex, Massachusetts",0.0
406,"Estill, Kentucky",0.0
407,"Etowah, Alabama",0.0
408,"Eureka county, Nevada",0.0
409,"Eureka, Nevada",0.0
410,"Evangeline parish, Louisiana",0.0
411,"Evangeline, Louisiana",0.0
412,"Fairbanks north star, Alaska",0.0
413,"Fairfax, Virginia",0.0
414,"Fairfield, Connecticut",0.0
415,"Fairfield, Ohio",0.0
416,"Fairfield, South Carolina",0.0
417,"Fall river, South Dakota",0.0
418,"Faulk, South Dakota",0.0
419,"Fauquier, Virginia",0.0
420,"Fayette, Alabama",0.0
421,"Fayette, Illinois",0.0
422,"Fayette, Indiana",0.0
423,"Fayette, Kentucky",0.03307692307692307
424,"Fayette, Ohio",0.0
425,"Fayette, Pennsylvania",0.0
426,"Fayette, West Virginia",0.0
427,"Fillmore, Nebraska",0.0
428,"Flagler, Florida",0.0
429,"Fleming, Kentucky",0.0
430,"Florence, South Carolina",0.0
431,"Florence, Wisconsin",0.0
432,"Floyd, Indiana",0.0
433,"Floyd, Kentucky",0.0
434,"Fond du lac, Wisconsin",0.0
435,"Ford, Illinois",0.0
436,"Forest, Pennsylvania",0.0
437,"Forest, Wisconsin",0.0
438,"Fountain, Indiana",0.0
439,"Franklin county, Pennsylvania",0.0
440,"Franklin, Alabama",0.0
441,"Franklin, Arkansas",0.0
442,"Franklin, Florida",0.0
443,"Franklin, Idaho",0.0
444,"Franklin, Illinois",0.0
445,"Franklin, Indiana",0.0
446,"Franklin, Kentucky",0.0
447,"Franklin, Louisiana",0.0
448,"Franklin, Nebraska",0.0
449,"Franklin, Ohio",0.0
450,"Franklin, Pennsylvania",0.0
451,"Franklin, Virginia",0.0
452,"Frederick, Maryland",0.0
453,"Frederick, Virginia",0.0
454,"Fremont, Idaho",0.0
455,"Fremont, Wyoming",0.0
456,"Fresno, California",0.0
457,"Frontier, Nebraska",0.0
458,"Fulton, Arkansas",0.0
459,"Fulton, Illinois",0.0
460,"Fulton, Indiana",0.0
461,"Fulton, Kentucky",0.0
462,"Fulton, Ohio",0.0
