,county,endothall
0,"-, Arizona",0.0
1,"Acadia, Louisiana",0.0
2,"Ada, Idaho",0.0
3,"Adair, Kentucky",0.0
4,"Adams, Idaho",0.0
5,"Adams, Illinois",0.0
6,"Adams, Indiana",0.0
7,"Adams, Ohio",0.0
8,"Adams, Pennsylvania",0.0
9,"Adams, Wisconsin",0.0
10,"Alachua, Florida",0.0
11,"Alameda, California",0.0
12,"Alexander, Illinois",0.0
13,"Allegany, New York",0.0
14,"Allegheny county, Pennsylvania",0.0
15,"Allegheny, Pennsylvania",0.0
16,"Allen, Indiana",0.0
17,"Allen, Kentucky",0.0
18,"Allen, Louisiana",0.0
19,"Alpena, Michigan",0.0
20,"Alpine, California",0.0
21,"American samoa, American Samoa",0.0
22,"Amherst, Virginia",0.0
23,"Anderson, Kentucky",0.0
24,"Anne arundel, Maryland",0.0
25,"Apache, Arizona",0.0
26,"Arkansas, Arkansas",0.0
27,"Armstrong county, Pennsylvania",0.0
28,"Armstrong, Pennsylvania",0.0
29,"Aroostook, Maine",0.0
30,"Ascension, Louisiana",0.0
31,"Ashland, Wisconsin",0.0
32,"Ashley, Arkansas",0.0
33,"Asotin, Washington",0.0
34,"Assumption, Louisiana",0.0
35,"Audrain, Missouri",0.0
36,"Aurora, South Dakota",0.0
37,"Autauga, Alabama",0.0
38,"Avoyelles, Louisiana",0.0
39,"Baker county, Florida",0.0
40,"Baker, Florida",0.0
41,"Baker, Oregon",0.0
42,"Baldwin, Alabama",0.025733333333333334
43,"Ballard, Kentucky",0.0
44,"Bannock, Idaho",0.0
45,"Baraga, Michigan",0.0
46,"Barbour, Alabama",0.0
47,"Barren, Kentucky",0.0
48,"Barron, Wisconsin",0.0
49,"Barry, Missouri",0.0
50,"Bartholomew, Indiana",0.0
51,"Baxter, Arkansas",0.0
52,"Bay, Florida",0.0
53,"Bay, Michigan",0.0
54,"Bayfield, Wisconsin",0.0
55,"Beadle, South Dakota",0.0
56,"Bear lake, Idaho",0.0
57,"Beauregard, Louisiana",0.0
58,"Beaver county, Pennsylvania",0.0
59,"Beaver, Pennsylvania",0.0
60,"Bedford, Pennsylvania",0.0
61,"Bedford, Virginia",0.0
62,"Bell, Kentucky",0.0
63,"Belmont, Ohio",0.0
64,"Beltrami county, Minnesota",0.0
65,"Benewah, Idaho",0.0
66,"Bennett, South Dakota",0.0
67,"Benton county, Arkansas",0.0
68,"Benton, Arkansas",0.0
69,"Benton, Indiana",0.0
70,"Benton, Missouri",0.0
71,"Benton, Oregon",0.0
72,"Benton, Washington",0.0
73,"Berkeley, West Virginia",0.0
74,"Berks county, Pennsylvania",0.0
75,"Berks, Pennsylvania",0.0
76,"Bernalillo, New Mexico",0.0
77,"Bibb, Alabama",0.0
78,"Bienville, Louisiana",0.0
79,"Bingham, Idaho",0.9
80,"Blackford, Indiana",0.0
81,"Blaine, Idaho",0.0
82,"Blaine, Montana",0.0
83,"Blair, Pennsylvania",0.0
84,"Blount, Alabama",0.0
85,"Boise, Idaho",0.0
86,"Bon homme, South Dakota",0.0
87,"Bond, Illinois",0.0
88,"Bonner, Idaho",0.0
89,"Bonneville, Idaho",0.0
90,"Boone, Arkansas",0.0
91,"Boone, Illinois",0.0
92,"Boone, Indiana",0.0
93,"Boone, Kentucky",0.6
94,"Bossier, Louisiana",0.0
95,"Boundary, Idaho",0.0
96,"Bourbon, Kentucky",0.0
97,"Boyd, Kentucky",0.0
98,"Boyle, Kentucky",0.0
99,"Bracken, Kentucky",0.0
100,"Bradford, Florida",0.0
101,"Bradford, Pennsylvania",0.0
102,"Bradley, Arkansas",0.0
103,"Braxton, West Virginia",0.0
104,"Breathitt, Kentucky",0.0
105,"Breckinridge, Kentucky",0.0
106,"Brevard, Florida",0.0
107,"Brookings, South Dakota",0.0
108,"Broward county, Florida",0.0
109,"Broward, Florida",0.0
110,"Brown, Illinois",0.0
111,"Brown, Indiana",0.0
112,"Brown, Ohio",0.0
113,"Brown, South Dakota",0.0
114,"Brown, Wisconsin",0.0
115,"Brule, South Dakota",0.0
116,"Bucks county, Pennsylvania",0.0
117,"Bucks, Pennsylvania",0.0
118,"Buffalo, Nebraska",0.0
119,"Buffalo, Wisconsin",0.0
120,"Bullock, Alabama",0.0
121,"Bureau, Illinois",0.0
122,"Burnett, Wisconsin",0.0
123,"Butler, Alabama",0.0
124,"Butler, Kentucky",0.0
125,"Butler, Ohio",0.0
126,"Butler, Pennsylvania",0.0
127,"Butte, California",0.0
128,"Butte, Idaho",0.0
129,"Butte, South Dakota",0.0
130,"Caddo parish, Louisiana",0.0
