,county,ethylene_dibromide
0,"-, Arizona",0.018
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.0
10,"Adams, Indiana",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Pennsylvania",0.0
13,"Adams, Washington",0.0
14,"Adams, Wisconsin",0.0
15,"Addison, Vermont",0.0
16,"Aiken, South Carolina",0.0
17,"Aitkin, Minnesota",0.0
18,"Alachua, Florida",0.0
19,"Alamance, North Carolina",0.0
20,"Alameda, California",0.0
21,"Albany, New York",0.0
22,"Albany, Wyoming",0.0
23,"Albemarle, Virginia",0.0
24,"Aleutians east, Alaska",0.0
25,"Aleutians west census area, Alaska",0.0
26,"Aleutians west, Alaska",0.0
27,"Alexander, Illinois",0.0
28,"Alexander, North Carolina",0.0
29,"Alfalfa, Oklahoma",0.0
30,"Allegany, New York",0.0
31,"Alleghany, North Carolina",0.0
32,"Alleghany, Virginia",0.0
33,"Allegheny county, Pennsylvania",0.0
34,"Allegheny, Pennsylvania",0.0
35,"Allen, Indiana",0.0
36,"Allen, Kansas",0.0
37,"Allen, Kentucky",0.0
38,"Allen, Louisiana",0.0
39,"Allen, Ohio",0.0
40,"Allendale, South Carolina",0.0
41,"Alpena, Michigan",0.0
42,"Alpine, California",0.0
43,"Amador, California",0.0
44,"Amelia, Virginia",0.0
45,"American samoa, American Samoa",0.0
46,"Amherst, Virginia",0.0
47,"Anchorage, Alaska",0.0
48,"Anderson, Kansas",0.0
49,"Anderson, Kentucky",0.0
50,"Anderson, South Carolina",0.0
51,"Anderson, Texas",0.0
52,"Andrew, Missouri",0.0
53,"Andrews, Texas",0.0
54,"Angelina, Texas",0.0
55,"Anoka, Minnesota",0.0
56,"Anson, North Carolina",0.0017142857142857144
57,"Antelope, Nebraska",0.0
58,"Apache, Arizona",0.0
59,"Appomattox, Virginia",0.0
60,"Aransas, Texas",0.0
61,"Archer, Texas",0.0
62,"Arkansas, Arkansas",0.0
63,"Armstrong county, Pennsylvania",0.0
64,"Armstrong, Pennsylvania",0.0
65,"Armstrong, Texas",0.0
66,"Arthur, Nebraska",0.0
67,"Ascension, Louisiana",0.0
68,"Ashe, North Carolina",0.00016506024096385542
69,"Ashland, Wisconsin",0.0
70,"Ashley, Arkansas",0.0
71,"Ashtabula, Ohio",0.0
72,"Asotin, Washington",0.0
73,"Assumption, Louisiana",0.0
74,"Atascosa county, Texas",0.0
75,"Atascosa, Texas",0.0
76,"Atchison, Kansas",0.0
77,"Atchison, Missouri",0.0
78,"Atlantic, New Jersey",0.0
79,"Atoka, Oklahoma",0.0
80,"Audrain, Missouri",0.0
81,"Augusta, Virginia",0.0
82,"Aurora, South Dakota",0.0
83,"Austin, Texas",0.0
84,"Autauga, Alabama",0.0
85,"Avery, North Carolina",0.0
86,"Avoyelles, Louisiana",0.0
87,"B, Oklahoma",0.0
88,"Bailey, Texas",0.0
89,"Baker county, Florida",0.0
90,"Baker, Florida",0.0
91,"Baker, Oregon",0.0
92,"Baldwin, Alabama",0.001917391304347826
93,"Ballard, Kentucky",0.0
94,"Bamberg, South Carolina",0.0
95,"Bandera, Texas",0.0
96,"Banner, Nebraska",0.0
97,"Bannock, Idaho",0.00878125
98,"Baraga, Michigan",0.0
99,"Barber, Kansas",0.0
100,"Barbour, Alabama",0.0
101,"Barbour, West Virginia",0.0
102,"Barnstable, Massachusetts",0.0
103,"Barnwell, South Carolina",0.0
104,"Barren, Kentucky",0.0
105,"Barron, Wisconsin",0.0
106,"Barry, Missouri",0.0
107,"Bartholomew, Indiana",0.0
108,"Barton, Kansas",0.0
109,"Barton, Missouri",0.0
110,"Bastrop, Texas",0.0
111,"Bates, Missouri",0.0
112,"Bath, Virginia",0.0
113,"Baxter, Arkansas",0.0
114,"Bay, Florida",0.0
115,"Bay, Michigan",0.0
116,"Bayfield, Wisconsin",0.0
117,"Baylor, Texas",0.0
118,"Beadle, South Dakota",0.0
119,"Bear lake, Idaho",0.0
120,"Beaufort, North Carolina",0.0
121,"Beaufort, South Carolina",0.0
122,"Beauregard, Louisiana",0.0
123,"Beaver county, Pennsylvania",0.0
124,"Beaver, Oklahoma",0.0
125,"Beaver, Pennsylvania",0.0
126,"Beaverhead, Montana",0.0
127,"Becker, Minnesota",0.0
128,"Beckham, Oklahoma",0.0
