,county,heptachlor_epoxide
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adams, Idaho",0.0
8,"Adams, Illinois",0.0012045454545454545
9,"Adams, Indiana",0.0
10,"Adams, Nebraska",0.0
11,"Adams, Pennsylvania",0.0
12,"Adams, Washington",0.0
13,"Adams, Wisconsin",0.0
14,"Addison, Vermont",0.0
15,"Aiken, South Carolina",0.0
16,"Aitkin, Minnesota",0.0
17,"Alachua, Florida",0.0
18,"Alamance, North Carolina",0.0
19,"Alameda, California",0.0
20,"Albany, New York",0.0
21,"Albany, Wyoming",0.0
22,"Albemarle, Virginia",0.0
23,"Alcona, Michigan",0.0
24,"Alexander, Illinois",0.0
25,"Alexander, North Carolina",0.0
26,"Alger, Michigan",0.0
27,"Allegan, Michigan",0.0
28,"Allegany, Maryland",0.0
29,"Allegany, New York",0.0
30,"Alleghany, North Carolina",0.0
31,"Alleghany, Virginia",0.0
32,"Allegheny county, Pennsylvania",0.0
33,"Allegheny, Pennsylvania",0.0
34,"Allen, Indiana",0.0
35,"Allen, Kansas",0.0
36,"Allen, Kentucky",0.0
37,"Allen, Louisiana",0.0
38,"Allendale, South Carolina",0.0
39,"Alpena, Michigan",0.0
40,"Alpine, California",0.0
41,"American samoa, American Samoa",0.0
42,"Amherst, Virginia",0.0
43,"Anderson, Kansas",0.0
44,"Anderson, Kentucky",0.0
45,"Anderson, South Carolina",0.0
46,"Anderson, Texas",0.0
47,"Andrew, Missouri",0.0
48,"Andrews, Texas",0.0
49,"Androscoggin, Maine",0.0
50,"Angelina, Texas",0.0
51,"Anne arundel, Maryland",0.0
52,"Anoka, Minnesota",0.0
53,"Anson, North Carolina",0.0
54,"Antelope, Nebraska",0.0
55,"Antrim, Michigan",0.0
56,"Apache, Arizona",0.0
57,"Aransas, Texas",0.0
58,"Archer, Texas",0.0
59,"Arenac, Michigan",0.0
60,"Arkansas, Arkansas",0.0
61,"Armstrong county, Pennsylvania",0.0
62,"Armstrong, Pennsylvania",0.0
63,"Armstrong, Texas",0.0
64,"Aroostook, Maine",0.0
65,"Arthur, Nebraska",0.0
66,"Ascension, Louisiana",0.0
67,"Ashe, North Carolina",0.0
68,"Ashland, Wisconsin",0.0
69,"Ashley, Arkansas",0.0
70,"Ashtabula, Ohio",0.0
71,"Asotin, Washington",0.0
72,"Assumption, Louisiana",0.0
73,"Atascosa county, Texas",0.0
74,"Atascosa, Texas",0.0
75,"Atchison, Kansas",0.0
76,"Atchison, Missouri",0.0
77,"Atlantic, New Jersey",0.0
78,"Audrain, Missouri",0.0
79,"Augusta, Virginia",0.0
80,"Aurora, South Dakota",0.0
81,"Austin, Texas",0.0
82,"Autauga, Alabama",0.0
83,"Avery, North Carolina",0.0
84,"Avoyelles, Louisiana",0.0
85,"Bailey, Texas",0.0
86,"Baker county, Florida",0.0
87,"Baker, Florida",0.0
88,"Baker, Oregon",0.0
89,"Baldwin, Alabama",0.0
90,"Ballard, Kentucky",0.0
91,"Baltimore city, Maryland",0.0
92,"Baltimore, Maryland",0.0
93,"Bamberg, South Carolina",0.0
94,"Bandera, Texas",0.0
95,"Banner, Nebraska",0.0
96,"Bannock, Idaho",0.0
97,"Baraga, Michigan",0.0
98,"Barbour, Alabama",0.0
99,"Barbour, West Virginia",0.0
100,"Barnes, North Dakota",0.0
101,"Barnstable, Massachusetts",0.0
102,"Barnwell, South Carolina",0.0
103,"Barren, Kentucky",0.0
104,"Barron, Wisconsin",0.0
105,"Barry, Michigan",0.0
106,"Barry, Missouri",0.0
107,"Bartholomew, Indiana",0.0
108,"Barton, Missouri",0.0
109,"Bastrop, Texas",0.0
110,"Bates, Missouri",0.0
111,"Bath, Virginia",0.0
112,"Baxter, Arkansas",0.0
113,"Bay, Florida",0.0
114,"Bay, Michigan",0.0
115,"Bayfield, Wisconsin",0.0
116,"Baylor, Texas",0.0
117,"Beadle, South Dakota",0.0
118,"Bear lake, Idaho",0.0
119,"Beaufort, North Carolina",0.0
120,"Beaufort, South Carolina",0.0
121,"Beauregard, Louisiana",0.0
122,"Beaver county, Pennsylvania",0.0
123,"Beaver, Pennsylvania",0.0
124,"Beaver, Utah",0.0
125,"Beaverhead, Montana",0.0
126,"Becker, Minnesota",0.0
127,"Bedford, Pennsylvania",0.0
128,"Bedford, Virginia",0.0
129,"Bee, Texas",0.0
130,"Belknap, New Hampshire",0.0
131,"Bell, Kentucky",0.0
132,"Bell, Texas",0.0
133,"Beltrami county, Minnesota",0.0
134,"Beltrami, Minnesota",0.0
135,"Benewah, Idaho",0.0
136,"Bennett, South Dakota",0.0
137,"Bennington, Vermont",0.0
138,"Benson, North Dakota",0.0
139,"Benton county, Arkansas",0.0
140,"Benton, Arkansas",0.0
141,"Benton, Indiana",0.0
142,"Benton, Minnesota",0.0
143,"Benton, Missouri",0.0
144,"Benton, Oregon",0.0
145,"Benton, Washington",0.0
146,"Benzie, Michigan",0.0
147,"Bergen, New Jersey",0.0
148,"Berkeley, South Carolina",0.0
149,"Berkeley, West Virginia",0.0
150,"Berks county, Pennsylvania",0.0
151,"Berks, Pennsylvania",0.0
152,"Berkshire, Massachusetts",0.0
153,"Bernalillo, New Mexico",0.0
154,"Berrien, Michigan",0.0
155,"Bertie, North Carolina",0.0
156,"Bethel, Alaska",0.0
157,"Bexar, Texas",0.0
158,"Bibb, Alabama",0.0
159,"Bienville, Louisiana",0.0
160,"Big horn, Montana",0.0
161,"Big horn, Wyoming",0.0
162,"Big stone, Minnesota",0.0
163,"Bingham, Idaho",0.0
164,"Blackford, Indiana",0.0
165,"Bladen, North Carolina",0.0
166,"Blaine, Idaho",0.0
167,"Blaine, Montana",0.0
168,"Blaine, Nebraska",0.0
169,"Blair, Pennsylvania",0.0
170,"Blanco, Texas",0.0
171,"Bland, Virginia",0.0
172,"Blount, Alabama",0.0
173,"Blue earth, Minnesota",0.0
174,"Boise, Idaho",0.0
175,"Bollinger, Missouri",0.0
176,"Bon homme, South Dakota",0.0
177,"Bond, Illinois",0.004523809523809524
178,"Bonner, Idaho",0.0
179,"Bonneville, Idaho",0.0
180,"Boone, Arkansas",0.0
181,"Boone, Illinois",0.0
182,"Boone, Indiana",0.0
183,"Boone, Kentucky",0.0
184,"Boone, Missouri",0.0
185,"Boone, Nebraska",0.0
186,"Boone, West Virginia",0.0
187,"Bosque, Texas",0.0
188,"Bossier, Louisiana",0.0
189,"Botetourt, Virginia",0.0
190,"Bottineau, North Dakota",0.0
191,"Boundary, Idaho",0.0
192,"Bourbon, Kansas",0.0
193,"Bourbon, Kentucky",0.0
194,"Bowie, Texas",0.0
195,"Bowman, North Dakota",0.0
196,"Box butte, Nebraska",0.0
197,"Box elder, Utah",0.0
198,"Boyd, Kentucky",0.0
199,"Boyd, Nebraska",0.003357142857142857
200,"Boyle, Kentucky",0.0
201,"Bracken, Kentucky",0.0
202,"Bradford, Florida",0.0
203,"Bradford, Pennsylvania",0.0
204,"Bradley, Arkansas",0.0
205,"Branch, Michigan",0.0
206,"Braxton, West Virginia",0.0
207,"Brazoria, Texas",0.0
208,"Brazos, Texas",0.0
209,"Breathitt, Kentucky",0.0
210,"Breckinridge, Kentucky",0.0
211,"Brevard, Florida",0.0
212,"Brewster, Texas",0.0
213,"Briscoe, Texas",0.0
214,"Bristol, Massachusetts",0.0
215,"Bristol, Rhode Island",0.0
216,"Bristol, Virginia",0.0
217,"Broadwater, Montana",0.0
218,"Brooke, West Virginia",0.0
219,"Brookings, South Dakota",0.0
220,"Brooks, Texas",0.0
221,"Broome, New York",0.0
222,"Broward county, Florida",0.0
223,"Broward, Florida",0.0
224,"Brown, Illinois",0.0
225,"Brown, Indiana",0.0
226,"Brown, Kansas",0.0
227,"Brown, Minnesota",0.0
228,"Brown, Nebraska",0.0
229,"Brown, South Dakota",0.0
230,"Brown, Texas",0.0
231,"Brown, Wisconsin",0.0
232,"Brule, South Dakota",0.0
233,"Brunswick, North Carolina",0.0
234,"Brunswick, Virginia",0.0
235,"Buchanan, Virginia",0.0
236,"Buckingham, Virginia",0.0
237,"Bucks county, Pennsylvania",0.0
238,"Bucks, Pennsylvania",0.0
239,"Buena vista, Virginia",0.0
240,"Buffalo, Nebraska",0.0
241,"Buffalo, Wisconsin",0.0
242,"Bullock, Alabama",0.0
243,"Buncombe, North Carolina",0.0
244,"Bureau, Illinois",0.0
245,"Burke, North Carolina",0.0
246,"Burke, North Dakota",0.0
247,"Burleigh, North Dakota",0.0
248,"Burleson, Texas",0.0
249,"Burlington, New Jersey",0.0
250,"Burnet, Texas",0.0
251,"Burnett, Wisconsin",0.0
252,"Burt, Nebraska",0.0
253,"Butler, Alabama",0.0
254,"Butler, Kansas",0.0
255,"Butler, Kentucky",0.0
256,"Butler, Missouri",0.0
257,"Butler, Nebraska",0.0
258,"Butler, Ohio",0.0
259,"Butler, Pennsylvania",0.0
260,"Butte, California",0.0
261,"Butte, Idaho",0.0
262,"Butte, South Dakota",0.0
263,"Cabarrus, North Carolina",0.0
264,"Cabell, West Virginia",0.0
265,"Cache, Utah",0.0
266,"Caddo parish, Louisiana",0.0
267,"Caddo, Louisiana",0.0
268,"Calaveras, California",0.0
269,"Calcasieu, Louisiana",0.0
270,"Caldwell, Kentucky",0.0
271,"Caldwell, Louisiana",0.0
272,"Caldwell, Missouri",0.0
273,"Caldwell, North Carolina",0.0
274,"Caldwell, Texas",0.0
275,"Caledonia, Vermont",0.0
276,"Calhoun, Alabama",0.0
277,"Calhoun, Arkansas",0.0
278,"Calhoun, Florida",0.0
279,"Calhoun, Illinois",0.0
280,"Calhoun, Michigan",0.0
281,"Calhoun, South Carolina",0.0
282,"Calhoun, Texas",0.0
283,"Calhoun, West Virginia",0.0
284,"Callahan, Texas",0.0
285,"Callaway, Missouri",0.0
286,"Calloway, Kentucky",0.0
287,"Calumet, Wisconsin",0.0
288,"Calvert, Maryland",0.0
289,"Cambria county, Pennsylvania",0.0
290,"Cambria, Pennsylvania",0.0
291,"Camden, Missouri",0.0
292,"Camden, New Jersey",0.0
293,"Camden, North Carolina",0.0
294,"Cameron, Louisiana",0.0
295,"Cameron, Pennsylvania",0.0
296,"Cameron, Texas",0.0
297,"Camp, Texas",0.0
298,"Campbell, Kentucky",0.0
299,"Campbell, Virginia",0.0
300,"Campbell, Wyoming",0.0
301,"Canyon, Idaho",0.0
302,"Cape girardeau, Missouri",0.0
303,"Cape may, New Jersey",0.0
304,"Carbon, Montana",0.0
305,"Carbon, Pennsylvania",0.0
306,"Carbon, Utah",0.0
307,"Carbon, Wyoming",0.0
308,"Caribou, Idaho",0.0
309,"Carlisle, Kentucky",0.0
310,"Carlton, Minnesota",0.0
311,"Caroline, Maryland",0.0
312,"Caroline, Virginia",0.0
313,"Carroll, Arkansas",0.0
314,"Carroll, Illinois",0.0
315,"Carroll, Indiana",0.0
316,"Carroll, Kentucky",0.0
317,"Carroll, Maryland",0.0
318,"Carroll, Missouri",0.0
319,"Carroll, New Hampshire",0.0
320,"Carroll, Virginia",0.0
321,"Carson city, Nevada",6.024096385542169e-05
322,"Carson, Texas",0.0
323,"Carter, Kentucky",0.0
324,"Carter, Missouri",0.0
325,"Carter, Montana",0.0
326,"Carteret, North Carolina",0.0
327,"Carver, Minnesota",0.0
328,"Cascade, Montana",0.0
329,"Casey, Kentucky",0.0
330,"Cass, Illinois",0.0
331,"Cass, Indiana",0.0
332,"Cass, Michigan",0.0
333,"Cass, Minnesota",0.0
334,"Cass, Missouri",0.0
335,"Cass, Nebraska",0.006689189189189189
336,"Cass, North Dakota",0.0
337,"Cass, Texas",0.00411764705882353
338,"Cassia, Idaho",0.0
339,"Castro, Texas",0.0
340,"Caswell, North Carolina",0.0
341,"Catahoula, Louisiana",0.0
342,"Catawba, North Carolina",0.0017936908517350158
343,"Catron, New Mexico",0.0
344,"Cattaraugus, New York",0.0
345,"Cavalier, North Dakota",0.0
346,"Cayuga county, New York",0.0
347,"Cayuga, New York",0.0
348,"Cecil, Maryland",0.0
349,"Cedar, Missouri",0.0
350,"Cedar, Nebraska",0.0
351,"Centre county, Pennsylvania",0.0
352,"Centre, Pennsylvania",0.0025974025974025974
353,"Chambers, Alabama",0.0
354,"Chambers, Texas",0.0
355,"Champaign, Illinois",0.0
356,"Chariton, Missouri",0.0
357,"Charles mix, South Dakota",0.0
358,"Charles, Maryland",0.0
359,"Charleston county, South Carolina",0.0
360,"Charleston, South Carolina",0.0
361,"Charlevoix, Michigan",0.0
362,"Charlotte, Florida",0.0
363,"Charlotte, Virginia",0.0
364,"Chase, Nebraska",0.0029375
365,"Chatham, North Carolina",0.0020666666666666667
366,"Chautauqua, Kansas",0.0
367,"Chautauqua, New York",0.0
368,"Chaves, New Mexico",0.0
369,"Cheboygan, Michigan",0.0
370,"Chelan, Washington",0.0
371,"Chemung, New York",0.0
372,"Chenango, New York",0.0
373,"Cherokee, Alabama",0.0
374,"Cherokee, Kansas",0.0
375,"Cherokee, North Carolina",0.0
376,"Cherokee, South Carolina",0.0
377,"Cherokee, Texas",0.0
378,"Cherry, Nebraska",0.0
379,"Chesapeake city, Virginia",0.0
380,"Cheshire, New Hampshire",0.0
381,"Chester county, Pennsylvania",0.0
382,"Chester, Pennsylvania",0.0
383,"Chester, South Carolina",0.0
384,"Chesterfield, South Carolina",0.0
385,"Chesterfield, Virginia",0.0
386,"Cheyenne, Nebraska",0.0
387,"Chicot, Arkansas",0.0
388,"Chilton, Alabama",0.0
389,"Chippewa, Michigan",0.0
390,"Chippewa, Minnesota",0.0
391,"Chippewa, Wisconsin",0.0
392,"Chisago, Minnesota",0.0
393,"Chittenden, Vermont",0.0
394,"Choctaw, Alabama",0.0
395,"Chouteau, Montana",0.0
396,"Chowan, North Carolina",0.0
397,"Christian, Illinois",0.0
398,"Christian, Kentucky",0.0
399,"Christian, Missouri",0.0
400,"Churchill, Nevada",0.0
401,"Cibola, New Mexico",0.0
402,"Citrus county, Florida",0.0
403,"Citrus, Florida",0.0008148148148148148
404,"Clackamas, Oregon",0.0
405,"Claiborne, Louisiana",0.0
406,"Clallam, Washington",0.0
407,"Clare, Michigan",0.0
408,"Clarendon, South Carolina",0.0
409,"Clarion, Pennsylvania",0.0
410,"Clark county, Nevada",0.0
411,"Clark, Arkansas",0.0
412,"Clark, Illinois",0.00175
413,"Clark, Indiana",0.0
414,"Clark, Kentucky",0.0
415,"Clark, Missouri",0.0
416,"Clark, Nevada",0.0
417,"Clark, South Dakota",0.0
418,"Clark, Washington",0.0
419,"Clark, Wisconsin",0.0
420,"Clarke, Alabama",0.0
421,"Clarke, Virginia",0.0
422,"Clatsop, Oregon",0.0
423,"Clay, Alabama",0.0
424,"Clay, Arkansas",0.0
425,"Clay, Florida",0.0
426,"Clay, Illinois",0.0
427,"Clay, Indiana",0.0
428,"Clay, Kentucky",0.0
429,"Clay, Minnesota",0.0
430,"Clay, Missouri",0.0
431,"Clay, Nebraska",0.0
432,"Clay, North Carolina",0.0
433,"Clay, South Dakota",0.0
434,"Clay, Texas",0.0
435,"Clay, West Virginia",0.0
436,"Clearfield county, Pennsylvania",0.0
437,"Clearfield, Pennsylvania",0.0
438,"Clearwater, Idaho",0.0
439,"Clearwater, Minnesota",0.0
440,"Cleburne, Alabama",0.06666666666666667
441,"Cleburne, Arkansas",0.0
442,"Cleveland, Arkansas",0.0
443,"Cleveland, North Carolina",0.0
444,"Clinton, Illinois",0.0
445,"Clinton, Indiana",0.0
446,"Clinton, Iowa",0.0
447,"Clinton, Kentucky",0.0
448,"Clinton, Michigan",0.0
449,"Clinton, Missouri",0.0
450,"Clinton, New York",0.0
451,"Clinton, Pennsylvania",0.0
452,"Cochise, Arizona",0.0
453,"Cochran, Texas",0.0
454,"Coconino, Arizona",0.00016949152542372882
455,"Codington, South Dakota",0.0
456,"Coffee, Alabama",0.0
457,"Coffey, Kansas",0.0
458,"Coke, Texas",0.0
459,"Colbert, Alabama",0.0
460,"Cole, Missouri",0.0
461,"Coleman, Texas",0.0
462,"Coles, Illinois",0.0008787878787878789
463,"Colfax, Nebraska",0.0
464,"Colfax, New Mexico",0.0
465,"Colleton, South Carolina",0.0
466,"Collier, Florida",0.0
467,"Collin, Texas",0.001276595744680851
468,"Collingsworth, Texas",0.0
469,"Colorado, Texas",0.0
470,"Columbia, Arkansas",0.0
471,"Columbia, Florida",0.0
