,county,methoxychlor
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.0
10,"Adams, Indiana",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Ohio",0.0
13,"Adams, Pennsylvania",0.0
14,"Adams, Washington",0.0
15,"Adams, Wisconsin",0.0
16,"Addison, Vermont",0.0011111111111111111
17,"Aiken, South Carolina",0.0
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.0
20,"Alamance, North Carolina",0.0
21,"Alameda, California",0.0
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.0
24,"Albemarle, Virginia",0.0
25,"Alcona, Michigan",0.0
26,"Alexander, Illinois",0.0
27,"Alexander, North Carolina",0.0
28,"Alfalfa, Oklahoma",0.0
29,"Alger, Michigan",0.0
30,"Allegan, Michigan",0.0
31,"Allegany, Maryland",0.0
32,"Allegany, New York",0.0
33,"Alleghany, North Carolina",0.0
34,"Alleghany, Virginia",0.0
35,"Allegheny county, Pennsylvania",0.0
36,"Allegheny, Pennsylvania",0.0
37,"Allen, Indiana",0.0
38,"Allen, Kansas",0.0
39,"Allen, Kentucky",0.0
40,"Allen, Louisiana",0.0
41,"Allendale, South Carolina",0.0
42,"Alpena, Michigan",0.0
43,"Alpine, California",0.0
44,"American samoa, American Samoa",0.0
45,"Amherst, Virginia",0.0
46,"Anderson, Kansas",0.0
47,"Anderson, Kentucky",0.0
48,"Anderson, South Carolina",0.0
49,"Anderson, Texas",0.0
50,"Andrew, Missouri",0.0
51,"Andrews, Texas",0.0
52,"Androscoggin, Maine",0.0
53,"Angelina, Texas",0.0
54,"Anne arundel, Maryland",0.0
55,"Anoka, Minnesota",0.0
56,"Anson, North Carolina",0.0
57,"Antelope, Nebraska",0.0
58,"Antrim, Michigan",0.0
59,"Apache, Arizona",0.0
60,"Aransas, Texas",0.0
61,"Archer, Texas",0.0
62,"Arenac, Michigan",0.0
63,"Arkansas, Arkansas",0.0
64,"Armstrong county, Pennsylvania",0.0
65,"Armstrong, Pennsylvania",0.0
66,"Armstrong, Texas",0.0
67,"Aroostook, Maine",0.0
68,"Arthur, Nebraska",0.0
69,"Ascension, Louisiana",0.0
70,"Ashe, North Carolina",0.0
71,"Ashland, Wisconsin",0.0
72,"Ashley, Arkansas",0.0
73,"Ashtabula, Ohio",0.0
74,"Asotin, Washington",0.0
75,"Assumption, Louisiana",0.0
76,"Atascosa county, Texas",0.0
77,"Atascosa, Texas",0.0
78,"Atchison, Kansas",0.0
79,"Atchison, Missouri",0.0
80,"Atlantic, New Jersey",0.0
81,"Atoka, Oklahoma",0.0
82,"Audrain, Missouri",0.0
83,"Augusta, Virginia",0.0
84,"Aurora, South Dakota",0.0
85,"Austin, Texas",0.0
86,"Autauga, Alabama",0.0
87,"Avery, North Carolina",0.0
88,"Avoyelles, Louisiana",0.0
89,"Bailey, Texas",0.0
90,"Baker county, Florida",0.0
91,"Baker, Florida",0.0
92,"Baker, Oregon",0.0
93,"Baldwin, Alabama",0.0
94,"Ballard, Kentucky",0.0
95,"Baltimore city, Maryland",0.0
96,"Baltimore, Maryland",0.0
97,"Bamberg, South Carolina",0.0
98,"Bandera, Texas",0.0
99,"Banner, Nebraska",0.0
100,"Bannock, Idaho",0.0
101,"Baraga, Michigan",0.0
102,"Barbour, Alabama",0.0
103,"Barbour, West Virginia",0.0
104,"Barnes, North Dakota",0.0
105,"Barnstable, Massachusetts",0.0
106,"Barnwell, South Carolina",0.0
107,"Barren, Kentucky",0.0
108,"Barron, Wisconsin",0.0
109,"Barry, Michigan",0.0
110,"Barry, Missouri",0.0
111,"Bartholomew, Indiana",0.0
112,"Barton, Missouri",0.0
113,"Bastrop, Texas",0.0
114,"Bates, Missouri",0.0
115,"Bath, Virginia",0.0
116,"Baxter, Arkansas",0.0
117,"Bay, Florida",0.0
118,"Bay, Michigan",0.0
119,"Bayfield, Wisconsin",0.0
120,"Baylor, Texas",0.0
121,"Beadle, South Dakota",0.0
122,"Bear lake, Idaho",0.0
123,"Beaufort, North Carolina",0.0
124,"Beaufort, South Carolina",0.0
125,"Beauregard, Louisiana",0.0
126,"Beaver county, Pennsylvania",0.0
127,"Beaver, Pennsylvania",0.0
128,"Beaver, Utah",0.0
129,"Beaverhead, Montana",0.0
130,"Becker, Minnesota",0.0
131,"Bedford, Pennsylvania",0.0
132,"Bedford, Virginia",0.0
133,"Bee, Texas",0.0
134,"Belknap, New Hampshire",0.0
135,"Bell, Kentucky",0.0
136,"Bell, Texas",0.0
137,"Belmont, Ohio",0.0
138,"Beltrami county, Minnesota",0.0
139,"Beltrami, Minnesota",0.0
140,"Benewah, Idaho",0.0
141,"Bennett, South Dakota",0.0
142,"Bennington, Vermont",0.0
143,"Benson, North Dakota",0.0
144,"Benton county, Arkansas",0.0
145,"Benton, Arkansas",0.0
146,"Benton, Indiana",0.0
147,"Benton, Minnesota",0.0
148,"Benton, Missouri",0.0
149,"Benton, Oregon",0.0
150,"Benton, Washington",0.0
151,"Benzie, Michigan",0.0
152,"Bergen, New Jersey",0.0
153,"Berkeley, South Carolina",0.0
154,"Berkeley, West Virginia",0.0
155,"Berks county, Pennsylvania",0.0
156,"Berks, Pennsylvania",0.0
157,"Berkshire, Massachusetts",0.0
158,"Bernalillo, New Mexico",0.0
159,"Berrien, Michigan",0.0
160,"Bertie, North Carolina",0.0
161,"Bethel, Alaska",0.0
162,"Bexar, Texas",0.0
163,"Bibb, Alabama",0.0
164,"Bienville, Louisiana",0.0
165,"Big horn, Montana",0.0
166,"Big horn, Wyoming",0.0
167,"Big stone, Minnesota",0.0
168,"Bingham, Idaho",0.0
169,"Black hawk, Iowa",0.1
170,"Blackford, Indiana",0.0
171,"Bladen, North Carolina",0.0
172,"Blaine, Idaho",0.0
173,"Blaine, Montana",0.0
174,"Blaine, Nebraska",0.0
175,"Blair, Pennsylvania",0.0
176,"Blanco, Texas",0.0
177,"Bland, Virginia",0.0
178,"Blount, Alabama",0.0
179,"Blue earth, Minnesota",0.0
180,"Boise, Idaho",0.0
181,"Bollinger, Missouri",0.0
182,"Bon homme, South Dakota",0.0
183,"Bond, Illinois",0.005238095238095238
184,"Bonner, Idaho",0.0
185,"Bonneville, Idaho",0.0
186,"Boone, Arkansas",0.0
187,"Boone, Illinois",0.0
188,"Boone, Indiana",0.0
189,"Boone, Kentucky",0.0
190,"Boone, Missouri",0.0
191,"Boone, Nebraska",0.0
192,"Boone, West Virginia",0.0
193,"Bosque, Texas",0.0
194,"Bossier, Louisiana",0.0
195,"Botetourt, Virginia",0.0
196,"Bottineau, North Dakota",0.0
197,"Boundary, Idaho",0.0
198,"Bourbon, Kansas",0.0
199,"Bourbon, Kentucky",0.0
200,"Bowie, Texas",0.0
201,"Bowman, North Dakota",0.0
202,"Box butte, Nebraska",0.0
203,"Box elder, Utah",0.0
204,"Boyd, Kentucky",0.0
205,"Boyd, Nebraska",0.0
206,"Boyle, Kentucky",0.0
207,"Bracken, Kentucky",0.0
208,"Bradford, Florida",0.0
209,"Bradford, Pennsylvania",0.0
210,"Bradley, Arkansas",0.0
211,"Branch, Michigan",0.0
212,"Braxton, West Virginia",0.0
213,"Brazoria, Texas",0.0
214,"Brazos, Texas",0.0
215,"Breathitt, Kentucky",0.0
216,"Breckinridge, Kentucky",0.0
217,"Brevard, Florida",0.0
218,"Brewster, Texas",0.0
219,"Briscoe, Texas",0.0
220,"Bristol, Massachusetts",0.0
221,"Bristol, Rhode Island",0.0
222,"Bristol, Virginia",0.0
223,"Broadwater, Montana",0.0
224,"Brooke, West Virginia",0.0
225,"Brookings, South Dakota",0.0
226,"Brooks, Texas",0.0
227,"Broome, New York",0.0
228,"Broward county, Florida",0.0
229,"Broward, Florida",0.0
230,"Brown, Illinois",0.0
231,"Brown, Indiana",0.0
232,"Brown, Kansas",0.0
233,"Brown, Minnesota",0.0
234,"Brown, Nebraska",0.0
235,"Brown, Ohio",0.0
236,"Brown, South Dakota",0.0
237,"Brown, Texas",0.0
238,"Brown, Wisconsin",0.0
239,"Brule, South Dakota",0.0
240,"Brunswick, North Carolina",0.0
241,"Brunswick, Virginia",0.0
242,"Buchanan, Virginia",0.0
243,"Buckingham, Virginia",0.0
244,"Bucks county, Pennsylvania",0.0
245,"Bucks, Pennsylvania",0.0
246,"Buena vista, Virginia",0.0
247,"Buffalo, Nebraska",0.0
248,"Buffalo, Wisconsin",0.0
249,"Bullock, Alabama",0.0
250,"Buncombe, North Carolina",0.0
251,"Bureau, Illinois",0.0022222222222222222
252,"Burke, North Carolina",0.0
253,"Burke, North Dakota",0.0
254,"Burleigh, North Dakota",0.0
255,"Burleson, Texas",0.0
256,"Burlington, New Jersey",0.0
257,"Burnet, Texas",0.0
258,"Burnett, Wisconsin",0.0
259,"Burt, Nebraska",0.0
260,"Butler, Alabama",0.0
261,"Butler, Kansas",0.0
262,"Butler, Kentucky",0.0
263,"Butler, Missouri",0.0
264,"Butler, Nebraska",0.0
265,"Butler, Ohio",0.0
266,"Butler, Pennsylvania",0.0
267,"Butte, California",0.0
268,"Butte, Idaho",0.0
269,"Butte, South Dakota",0.0
270,"Cabarrus, North Carolina",0.0
271,"Cabell, West Virginia",0.0
272,"Cache, Utah",0.0
273,"Caddo parish, Louisiana",0.0
274,"Caddo, Louisiana",0.0
275,"Caddo, Oklahoma",0.0
276,"Calaveras, California",0.0
277,"Calcasieu, Louisiana",0.0
278,"Caldwell, Kentucky",0.0
279,"Caldwell, Louisiana",0.0
280,"Caldwell, Missouri",0.017692307692307695
281,"Caldwell, North Carolina",0.0
282,"Caldwell, Texas",0.0
283,"Caledonia, Vermont",0.0
284,"Calhoun, Alabama",0.0
285,"Calhoun, Arkansas",0.0
286,"Calhoun, Florida",0.0
287,"Calhoun, Illinois",0.0
288,"Calhoun, Michigan",0.0
289,"Calhoun, South Carolina",0.0
290,"Calhoun, Texas",0.0
291,"Calhoun, West Virginia",0.0
292,"Callahan, Texas",0.0
293,"Callaway, Missouri",0.0
294,"Calloway, Kentucky",0.0
295,"Calumet, Wisconsin",0.0
296,"Calvert, Maryland",0.0
297,"Cambria county, Pennsylvania",0.0
298,"Cambria, Pennsylvania",0.0
299,"Camden, Missouri",0.0
300,"Camden, New Jersey",0.0
301,"Camden, North Carolina",0.0
302,"Cameron, Louisiana",0.0
303,"Cameron, Pennsylvania",0.0
304,"Cameron, Texas",0.0
305,"Camp, Texas",0.0
306,"Campbell, Kentucky",0.0
307,"Campbell, Virginia",0.0
308,"Campbell, Wyoming",0.0
309,"Canyon, Idaho",0.0
310,"Cape girardeau, Missouri",0.0
311,"Cape may, New Jersey",0.0
312,"Carbon, Montana",0.0
313,"Carbon, Pennsylvania",0.0
314,"Carbon, Utah",0.0
315,"Carbon, Wyoming",0.0
316,"Caribou, Idaho",0.0
317,"Carlisle, Kentucky",0.0
318,"Carlton, Minnesota",0.0
319,"Caroline, Maryland",0.0
320,"Caroline, Virginia",0.0
321,"Carroll, Arkansas",0.0
322,"Carroll, Illinois",0.0
323,"Carroll, Indiana",0.0
324,"Carroll, Kentucky",0.0
325,"Carroll, Maryland",0.0
326,"Carroll, Missouri",0.0
327,"Carroll, New Hampshire",0.0
328,"Carroll, Virginia",0.0
329,"Carson city, Nevada",0.0
330,"Carson, Texas",0.0
331,"Carter, Kentucky",0.0
332,"Carter, Missouri",0.0
333,"Carter, Montana",0.0
334,"Carteret, North Carolina",0.0
335,"Carver, Minnesota",0.0
336,"Cascade, Montana",0.0
337,"Casey, Kentucky",0.0
338,"Cass, Illinois",0.0
339,"Cass, Indiana",0.0
340,"Cass, Michigan",0.0
341,"Cass, Minnesota",0.0
342,"Cass, Missouri",0.0
343,"Cass, Nebraska",0.0
344,"Cass, North Dakota",0.0
345,"Cass, Texas",0.0
346,"Cassia, Idaho",0.0
347,"Castro, Texas",0.0
348,"Caswell, North Carolina",0.0
349,"Catahoula, Louisiana",0.0
350,"Catawba, North Carolina",0.0
351,"Catron, New Mexico",0.0
352,"Cattaraugus, New York",0.0
353,"Cavalier, North Dakota",0.0
354,"Cayuga county, New York",0.0
355,"Cayuga, New York",0.0
356,"Cecil, Maryland",0.005238095238095238
357,"Cedar, Missouri",0.0
358,"Cedar, Nebraska",0.0
359,"Centre county, Pennsylvania",0.0
360,"Centre, Pennsylvania",0.0
361,"Chambers, Alabama",0.0
362,"Chambers, Texas",0.0
363,"Champaign, Illinois",0.0
364,"Champaign, Ohio",0.0
365,"Chariton, Missouri",0.0
366,"Charles mix, South Dakota",0.0
367,"Charles, Maryland",0.0
368,"Charleston county, South Carolina",0.0
369,"Charleston, South Carolina",0.0
370,"Charlevoix, Michigan",0.0
371,"Charlotte, Florida",0.0
372,"Charlotte, Virginia",0.0
373,"Chase, Nebraska",0.0
374,"Chatham, North Carolina",0.0
375,"Chautauqua, Kansas",0.0
376,"Chautauqua, New York",0.0
377,"Chaves, New Mexico",0.0
378,"Cheboygan, Michigan",0.0
379,"Chelan, Washington",0.0
380,"Chemung, New York",0.0
381,"Chenango, New York",0.0
382,"Cherokee, Alabama",0.0
383,"Cherokee, Kansas",0.0
384,"Cherokee, North Carolina",0.0
385,"Cherokee, South Carolina",0.0
386,"Cherokee, Texas",0.0
387,"Cherry, Nebraska",0.0
388,"Chesapeake city, Virginia",0.0
389,"Cheshire, New Hampshire",0.0
390,"Chester county, Pennsylvania",0.0
391,"Chester, Pennsylvania",0.0
392,"Chester, South Carolina",0.0
393,"Chesterfield, South Carolina",0.0
394,"Chesterfield, Virginia",0.0
395,"Cheyenne, Nebraska",0.0
396,"Chicot, Arkansas",0.0
397,"Chilton, Alabama",0.0
398,"Chippewa, Michigan",0.0
399,"Chippewa, Minnesota",0.0
400,"Chippewa, Wisconsin",0.0
401,"Chisago, Minnesota",0.0
402,"Chittenden, Vermont",0.0
403,"Choctaw, Alabama",0.0
404,"Chouteau, Montana",0.0
405,"Chowan, North Carolina",0.0
406,"Christian, Illinois",0.0
407,"Christian, Kentucky",0.0
408,"Christian, Missouri",0.0
409,"Churchill, Nevada",0.0
410,"Cibola, New Mexico",0.0
411,"Citrus county, Florida",0.0
412,"Citrus, Florida",0.0
413,"Clackamas, Oregon",0.0
414,"Claiborne, Louisiana",0.0
415,"Clallam, Washington",0.0
416,"Clare, Michigan",0.0
417,"Clarendon, South Carolina",0.0
418,"Clarion, Pennsylvania",0.0
419,"Clark county, Nevada",0.0
420,"Clark, Arkansas",0.0
421,"Clark, Illinois",0.0
422,"Clark, Indiana",0.0
423,"Clark, Kentucky",0.0
424,"Clark, Missouri",0.0
425,"Clark, Nevada",0.0
426,"Clark, Ohio",0.0
427,"Clark, South Dakota",0.0
428,"Clark, Washington",0.0
429,"Clark, Wisconsin",0.0
430,"Clarke, Alabama",0.0
431,"Clarke, Virginia",0.0
432,"Clatsop, Oregon",0.0
433,"Clay, Alabama",0.0
434,"Clay, Arkansas",0.0
435,"Clay, Florida",0.0
436,"Clay, Illinois",0.0
437,"Clay, Indiana",0.0
438,"Clay, Kentucky",0.0
439,"Clay, Minnesota",0.0
440,"Clay, Missouri",0.0
441,"Clay, Nebraska",0.0
442,"Clay, North Carolina",0.0
443,"Clay, South Dakota",0.0
444,"Clay, Texas",0.0
445,"Clay, West Virginia",0.0
446,"Clearfield county, Pennsylvania",0.0
447,"Clearfield, Pennsylvania",0.0
448,"Clearwater, Idaho",0.0
449,"Clearwater, Minnesota",0.0
450,"Cleburne, Alabama",0.0
451,"Cleburne, Arkansas",0.0
452,"Clermont, Ohio",0.0
453,"Cleveland, Arkansas",0.0
454,"Cleveland, North Carolina",0.0
455,"Cleveland, Oklahoma",0.0
456,"Clinton, Illinois",0.0
457,"Clinton, Indiana",0.0
458,"Clinton, Iowa",0.0
459,"Clinton, Kentucky",0.0
460,"Clinton, Michigan",0.0
461,"Clinton, Missouri",0.0
462,"Clinton, New York",0.0
463,"Clinton, Ohio",0.0
464,"Clinton, Pennsylvania",0.0
465,"Cochise, Arizona",0.0
466,"Cochran, Texas",0.0
467,"Coconino, Arizona",0.0008474576271186442
468,"Codington, South Dakota",0.0
469,"Coffee, Alabama",0.0
470,"Coffey, Kansas",0.0
471,"Coke, Texas",0.0
472,"Colbert, Alabama",0.0
473,"Cole, Missouri",0.0
