,county,monobromoacetic_acid
0,"Abbeville, South Carolina",1.7285999999999995
1,"Acadia, Louisiana",0.16333333333333333
2,"Accomack, Virginia",0.24341085271317828
3,"Adair, Iowa",0.0
4,"Adair, Missouri",0.9779611650485437
5,"Adair, Oklahoma",0.19117647058823528
6,"Adams, Illinois",0.0
7,"Adams, Iowa",0.10618705035971222
8,"Adams, Nebraska",0.0
9,"Adams, North Dakota",0.0
10,"Adams, Ohio",0.0
11,"Addison, Vermont",0.10866141732283466
12,"Aiken, South Carolina",0.5422708039492242
13,"Alamance, North Carolina",0.35185185185185186
14,"Alameda, California",0.0
15,"Albany, New York",0.06205164992826399
16,"Albemarle, Virginia",0.0
17,"Aleutians east borough, Alaska",0.0
18,"Aleutians east, Alaska",0.14534883720930233
19,"Aleutians west census area, Alaska",0.053974358974358976
20,"Aleutians west, Alaska",0.1092
21,"Alexander, Illinois",0.25934959349593495
22,"Alexander, North Carolina",0.1
23,"Alfalfa, Oklahoma",0.0
24,"Allamakee county, Iowa",0.0
25,"Allamakee, Iowa",0.0
26,"Allegan, Michigan",0.0
27,"Allegany, New York",0.21428571428571425
28,"Alleghany, North Carolina",0.1
29,"Alleghany, Virginia",0.0
30,"Allegheny, Pennsylvania",0.0
31,"Allen, Kansas",0.6119205298013246
32,"Allen, Louisiana",0.0
33,"Allen, Ohio",0.05
34,"Allendale, South Carolina",0.0
35,"Amador, California",0.0
36,"Amelia, Virginia",0.0
37,"Amherst, Virginia",0.0
38,"Anchorage, Alaska",0.0
39,"Anderson, Kansas",1.1981818181818185
40,"Anderson, South Carolina",2.037536945812807
41,"Anderson, Texas",0.35196078431372557
42,"Andrew, Missouri",1.6362499999999998
43,"Andrews, Texas",0.0
44,"Androscoggin, Maine",0.0
45,"Angelina, Texas",0.5532627865961198
46,"Anoka, Minnesota",0.0
47,"Anson, North Carolina",0.37168141592920356
48,"Antelope, Nebraska",0.0
49,"Antrim, Michigan",0.0
50,"Apache, Arizona",0.47755102040816333
51,"Appanoose, Iowa",0.0
52,"Appomattox, Virginia",0.0
53,"Aransas, Texas",0.7708333333333333
54,"Archer, Texas",1.0704545454545455
55,"Arenac, Michigan",0.0
56,"Arkansas, Arkansas",0.12608695652173912
57,"Armstrong, Texas",0.0
58,"Aroostook, Maine",0.0
59,"Ascension, Louisiana",0.5964912280701754
60,"Ashe, North Carolina",0.0875
61,"Ashland, Ohio",0.039999999999999994
62,"Ashley, Arkansas",1.5119402985074626
63,"Ashtabula, Ohio",0.2734396887159533
64,"Assumption, Louisiana",0.35352112676056335
65,"Atascosa county, Texas",0.0
