,county,nitrite
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Accomack, Virginia",0.0
3,"Ada, Idaho",1.702127659574468
4,"Adair, Kentucky",0.0
5,"Adair, Missouri",97.5
6,"Adair, Oklahoma",0.0
7,"Adams, Idaho",0.9523809523809523
8,"Adams, Illinois",1.9736842105263157
9,"Adams, Indiana",0.0
10,"Adams, Ohio",0.0032258064516129032
11,"Adams, Pennsylvania",11.986715867158672
12,"Adams, Washington",2.128205128205128
13,"Adams, Wisconsin",0.2638888888888889
14,"Addison, Vermont",0.0
15,"Aiken, South Carolina",1.96875
16,"Aitkin, Minnesota",0.0
17,"Alachua, Florida",7.501066098081023
18,"Alamance, North Carolina",5.895522388059701
19,"Alameda, California",0.8462757527733756
20,"Albany, New York",0.0
21,"Albany, Wyoming",2.0202020202020203
22,"Albemarle, Virginia",0.0
23,"Alcona, Michigan",0.0
24,"Aleutians east, Alaska",0.0
25,"Aleutians west census area, Alaska",0.0
26,"Aleutians west, Alaska",0.0
27,"Alexander, Illinois",0.0
28,"Alexander, North Carolina",0.0
29,"Alfalfa, Oklahoma",0.0
30,"Alger, Michigan",1.639344262295082
31,"Allamakee, Iowa",0.0
32,"Allegan, Michigan",6.511627906976744
33,"Allegany, Maryland",0.0
34,"Allegany, New York",144.375
35,"Alleghany, North Carolina",0.0
36,"Alleghany, Virginia",0.0
37,"Allegheny county, Pennsylvania",0.0
38,"Allegheny, Pennsylvania",2.263970588235294
39,"Allen, Indiana",2.913793103448276
40,"Allen, Kentucky",0.0
41,"Allen, Louisiana",0.0
42,"Allen, Ohio",2.2873900293255134
43,"Allendale, South Carolina",0.0
44,"Alpena, Michigan",0.0
45,"Alpine, California",0.16176470588235295
46,"Amador, California",1.1299435028248588
47,"Amherst, Virginia",0.0
48,"Anchorage municipality, Alaska",0.0
49,"Anchorage, Alaska",52.727034120734906
50,"Anderson, Kentucky",0.0
51,"Anderson, South Carolina",0.0
52,"Anderson, Texas",0.31746031746031744
53,"Andrew, Missouri",33.75
54,"Andrews, Texas",0.0
55,"Androscoggin, Maine",0.27463651050080773
56,"Angelina, Texas",2.142857142857143
57,"Anne arundel, Maryland",3.067510548523207
58,"Anoka, Minnesota",0.7692307692307693
59,"Antrim, Michigan",0.0
60,"Apache, Arizona",36.45907473309609
61,"Appanoose, Iowa",0.0
62,"Appomattox, Virginia",0.0
63,"Aransas, Texas",0.0
64,"Archuleta, Colorado",0.0
65,"Arenac, Michigan",15.588235294117647
66,"Arkansas, Arkansas",0.0
67,"Armstrong county, Pennsylvania",0.0
68,"Armstrong, Pennsylvania",19.441340782122904
69,"Armstrong, Texas",0.0
70,"Aroostook, Maine",0.5375096674400619
71,"Ascension, Louisiana",0.0
72,"Ashe, North Carolina",0.5405405405405406
73,"Ashland, Ohio",3.367609254498715
74,"Ashland, Wisconsin",8.30188679245283
75,"Ashley, Arkansas",0.0
76,"Ashtabula, Ohio",2.522077922077922
77,"Asotin, Washington",0.0
78,"Atascosa, Texas",0.0
79,"Atchison, Missouri",93.63636363636364
80,"Athens, Ohio",0.0
81,"Atlantic, New Jersey",0.13090909090909092
82,"Audrain, Missouri",74.07407407407408
83,"Auglaize, Ohio",0.0
84,"Aurora, South Dakota",0.0
85,"Austin, Texas",1.3114754098360655
86,"Autauga, Alabama",13.6
87,"Avery, North Carolina",0.0
88,"B, Oklahoma",0.0
89,"Bailey, Texas",0.0
90,"Baker county, Florida",0.0
91,"Baker, Florida",1.8391608391608392
92,"Baker, Oregon",0.0
93,"Baldwin, Alabama",0.12582781456953643
94,"Ballard, Kentucky",0.0
95,"Baltimore, Maryland",0.0
96,"Bamberg, South Carolina",0.0
97,"Bandera, Texas",4.1525423728813555
98,"Bannock, Idaho",15.833333333333334
99,"Baraga, Michigan",0.23809523809523808
100,"Barbour, Alabama",48.15625
101,"Barbour, West Virginia",0.0
102,"Barnstable, Massachusetts",0.6974025974025974
103,"Barnwell, South Carolina",0.0
104,"Barren, Kentucky",0.0
105,"Barron, Wisconsin",0.0
106,"Barry, Michigan",0.75
107,"Barry, Missouri",267.0967741935484
108,"Bartholomew, Indiana",0.0
109,"Barton, Missouri",13.75
110,"Bastrop, Texas",0.0
111,"Bates, Missouri",115.83333333333333
112,"Baxter, Arkansas",2.7450980392156863
113,"Bay county, Florida",0.0
114,"Bay, Florida",0.44300699300699303
115,"Bay, Michigan",0.0
116,"Bayfield, Wisconsin",0.0
117,"Baylor, Texas",0.0
118,"Beadle, South Dakota",27.5
119,"Bear lake, Idaho",0.0
120,"Beaufort, North Carolina",0.0
121,"Beaufort, South Carolina",0.0
122,"Beaver county, Pennsylvania",0.0
123,"Beaver, Oklahoma",0.0
124,"Beaver, Pennsylvania",8.717601547388782
125,"Beaver, Utah",85.08571428571429
126,"Beaverhead, Montana",0.0
127,"Becker, Minnesota",1.6129032258064515
128,"Beckham, Oklahoma",0.0
129,"Bedford county, Pennsylvania",0.0
130,"Bedford, Pennsylvania",3.5264
131,"Bedford, Virginia",0.0
132,"Bee, Texas",0.0
133,"Belknap, New Hampshire",0.7863894139886578
134,"Bell, Kentucky",0.0
135,"Bell, Texas",1.7857142857142858
136,"Belmont, Ohio",0.45112781954887216
137,"Beltrami county, Minnesota",0.0
138,"Beltrami, Minnesota",1.2396694214876034
139,"Benewah, Idaho",0.0
140,"Bennett, South Dakota",0.0
141,"Bennington, Vermont",0.05405405405405406
142,"Benton county, Arkansas",0.0
143,"Benton, Arkansas",0.0
144,"Benton, Indiana",20.0
145,"Benton, Iowa",78.55710659898477
146,"Benton, Minnesota",5.0
147,"Benton, Missouri",108.60349127182045
148,"Benton, Oregon",1.5833333333333333
149,"Benton, Tennessee",0.0
150,"Benton, Washington",2.632850241545894
151,"Benzie, Michigan",8.125
152,"Bergen, New Jersey",25.527932960893853
153,"Berkeley, South Carolina",0.0
154,"Berkeley, West Virginia",162.85714285714286
155,"Berks county, Pennsylvania",0.0
156,"Berks, Pennsylvania",3.243320610687023
157,"Berkshire, Massachusetts",0.7514450867052023
158,"Bernalillo, New Mexico",173.85263157894735
159,"Berrien, Michigan",1.6498316498316499
160,"Bertie, North Carolina",0.0
161,"Bethel, Alaska",1.2597402597402598
162,"Bexar, Texas",1.0924369747899159
163,"Bibb, Alabama",0.0
164,"Bienville, Louisiana",0.0
165,"Big horn, Montana",0.0
166,"Big horn, Wyoming",0.0
167,"Big stone, Minnesota",0.0
168,"Bingham, Idaho",0.0
169,"Black hawk, Iowa",7.5
170,"Bladen, North Carolina",0.48191489361702133
171,"Blaine, Idaho",5.365853658536586
172,"Blaine, Oklahoma",0.0
173,"Blair county, Pennsylvania",0.0
174,"Blair, Pennsylvania",0.6486486486486487
175,"Blanco, Texas",0.0
176,"Bland, Virginia",0.0
177,"Bledsoe, Tennessee",0.0
178,"Blount, Alabama",0.0
179,"Blount, Tennessee",0.0
180,"Blue earth, Minnesota",1.3333333333333333
181,"Boise, Idaho",1.0810810810810811
182,"Bollinger, Missouri",745.952380952381
183,"Bon homme, South Dakota",0.0
184,"Bond, Illinois",0.0
185,"Bonner, Idaho",3.6666666666666665
186,"Bonneville, Idaho",0.47619047619047616
187,"Boone, Arkansas",0.0
188,"Boone, Illinois",2.9702970297029703
189,"Boone, Indiana",0.0
190,"Boone, Kentucky",21.48139534883721
191,"Boone, Missouri",9.097222222222221
192,"Boone, West Virginia",0.0
193,"Bosque, Texas",43.333333333333336
194,"Botetourt, Virginia",0.0
195,"Boundary, Idaho",2.142857142857143
196,"Bourbon, Kentucky",0.0
197,"Bowie, Texas",0.625
198,"Box elder, Utah",0.0
199,"Boyd, Kentucky",0.0
200,"Boyle, Kentucky",0.0
201,"Bracken, Kentucky",0.0
202,"Bradford, Florida",6.976076555023924
203,"Bradford, Pennsylvania",4.649932157394844
204,"Bradley, Arkansas",0.0
205,"Branch, Michigan",0.8496732026143791
206,"Braxton, West Virginia",5.384615384615385
207,"Brazoria, Texas",8.539823008849558
208,"Brazos, Texas",15.833333333333334
209,"Breathitt, Kentucky",0.0
210,"Breckinridge, Kentucky",0.0
211,"Brevard, Florida",1.7472727272727273
212,"Brewster, Texas",0.0
213,"Briscoe, Texas",0.0
214,"Bristol bay borough, Alaska",0.0
215,"Bristol bay, Alaska",0.0
216,"Bristol, Massachusetts",1.796116504854369
217,"Bristol, Rhode Island",0.5050505050505051
218,"Broadwater, Montana",0.0
219,"Brooke, West Virginia",0.0
220,"Brookings, South Dakota",12.0
221,"Brooks, Texas",0.0
222,"Broome, New York",0.0
223,"Broward county, Florida",75.0
224,"Broward, Florida",49.28093525179855
225,"Brown, Illinois",0.0
226,"Brown, Minnesota",14.285714285714286
227,"Brown, Ohio",0.0
228,"Brown, South Dakota",5.714285714285714
229,"Brown, Texas",0.0
230,"Brown, Wisconsin",0.0
231,"Brule, South Dakota",0.0
232,"Brunswick, North Carolina",2.1586538461538463
233,"Brunswick, Virginia",0.0
234,"Buchanan, Iowa",0.0
235,"Bucks county, Pennsylvania",0.0
236,"Bucks, Pennsylvania",1.125775292323335
237,"Buena vista, Iowa",21.348314606741575
238,"Buffalo, South Dakota",0.0
239,"Buffalo, Wisconsin",0.0
240,"Bullock, Alabama",5.714285714285714
241,"Buncombe, North Carolina",0.0
242,"Bureau, Illinois",3.973684210526316
243,"Burke, North Carolina",0.0
244,"Burleson, Texas",89.55555555555556
245,"Burlington, New Jersey",0.9979076923076925
246,"Burnet, Texas",4.067796610169491
247,"Burnett, Wisconsin",0.4915254237288136
248,"Butler county, Pennsylvania",0.0
249,"Butler, Alabama",0.0
250,"Butler, Iowa",43.2
251,"Butler, Kentucky",0.0
252,"Butler, Missouri",190.13333333333333
253,"Butler, Ohio",0.0
254,"Butler, Pennsylvania",2.7650943396226415
255,"Butte, California",6.062580645161291
256,"Butte, Idaho",0.0
257,"Butte, South Dakota",5.555555555555555
258,"Cabarrus, North Carolina",0.0
259,"Cabell, West Virginia",0.0
260,"Cache, South Dakota",0.0
261,"Cache, Utah",72.31043478260868
262,"Caddo, Louisiana",0.0
263,"Caddo, Oklahoma",15.428571428571429
264,"Calaveras, California",0.0
265,"Caldwell, Kentucky",0.0
266,"Caldwell, Louisiana",0.0
267,"Caldwell, Missouri",41.76470588235294
268,"Caldwell, North Carolina",0.0
269,"Caldwell, Texas",0.0
270,"Caledonia, Vermont",0.0
271,"Calhoun, Alabama",0.0
272,"Calhoun, Florida",8.384615384615385
273,"Calhoun, Illinois",0.0
274,"Calhoun, Iowa",62.67123287671233
275,"Calhoun, Michigan",0.0
276,"Calhoun, Texas",0.0
277,"Calhoun, West Virginia",0.0
278,"Callahan, Texas",3.3333333333333335
279,"Callaway, Missouri",18.360655737704917
280,"Calloway, Kentucky",0.0
281,"Calumet, Wisconsin",0.0
282,"Calvert, Maryland",0.26666666666666666
283,"Camas, Idaho",0.0
284,"Cambria county, Pennsylvania",0.0
285,"Cambria, Pennsylvania",0.4037735849056604
286,"Camden, Missouri",502.04484304932737
287,"Camden, New Jersey",0.425531914893617
288,"Cameron, Pennsylvania",0.6097560975609756
289,"Cameron, Texas",0.0
290,"Camp, Texas",0.0
291,"Campbell, Kentucky",0.0
292,"Campbell, South Dakota",0.0
293,"Campbell, Tennessee",0.0
294,"Campbell, Virginia",35.714285714285715
295,"Campbell, Wyoming",0.0
296,"Canadian, Oklahoma",14.444444444444445
297,"Canyon county, Idaho",0.0
298,"Canyon, Idaho",0.9774436090225563
299,"Cape girardeau, Missouri",668.0120481927711
300,"Cape may, New Jersey",2.798882681564246
301,"Carbon county, Pennsylvania",0.5
302,"Carbon, Montana",6.166666666666667
303,"Carbon, Pennsylvania",0.4243027888446215
304,"Carbon, Utah",127.82608695652173
305,"Carbon, Wyoming",0.0
306,"Caribou, Idaho",0.0
307,"Carlisle, Kentucky",0.0
308,"Carlton, Minnesota",2.0833333333333335
309,"Caroline, Maryland",4.375
310,"Caroline, Virginia",0.8
311,"Carroll, Arkansas",0.0
312,"Carroll, Illinois",0.7874015748031497
313,"Carroll, Indiana",3.0
314,"Carroll, Iowa",0.0
315,"Carroll, Kentucky",0.0
316,"Carroll, Maryland",359.53846153846155
317,"Carroll, Missouri",2326.923076923077
318,"Carroll, New Hampshire",0.7212389380530974
319,"Carroll, Ohio",0.5804749340369393
320,"Carroll, Tennessee",0.0
321,"Carroll, Virginia",1.3333333333333333
322,"Carson city, Nevada",1.36
323,"Carson, Texas",0.0
324,"Carter, Kentucky",0.0
325,"Carter, Missouri",392.5
326,"Carter, Oklahoma",27.142857142857142
327,"Carter, Tennessee",0.0
328,"Carteret, North Carolina",1.0801801801801802
329,"Carver, Minnesota",2.272727272727273
330,"Cascade, Montana",0.0
331,"Casey, Kentucky",0.0
332,"Cass, Illinois",0.0
333,"Cass, Indiana",20.0
334,"Cass, Iowa",12.5
335,"Cass, Michigan",5.0
336,"Cass, Minnesota",4.120171673819742
337,"Cass, Missouri",301.875
338,"Cass, Texas",8.344827586206897
339,"Cassia, Idaho",0.0
340,"Castro, Texas",0.0
341,"Caswell, North Carolina",23.821782178217823
342,"Catawba, North Carolina",4.188888888888889
343,"Catron, New Mexico",0.0
344,"Cattaraugus, New York",0.0
345,"Cayuga, New York",733.3333333333334
346,"Cecil, Maryland",1.744186046511628
347,"Cedar, Iowa",0.0
348,"Cedar, Missouri",4.392523364485982
349,"Centre county, Pennsylvania",0.0
350,"Centre, Pennsylvania",4.567441860465117
351,"Cerro gordo, Iowa",0.0
352,"Chambers, Alabama",110.0
353,"Chambers, Texas",1.3235294117647058
354,"Champaign, Illinois",8.664536741214057
355,"Champaign, Ohio",10.824242424242424
356,"Chariton, Missouri",51.111111111111114
357,"Charles city, Virginia",24.444444444444443
358,"Charles mix, South Dakota",0.0
359,"Charles, Maryland",4.761904761904762
360,"Charleston county, South Carolina",0.0
361,"Charleston, South Carolina",0.0
362,"Charlevoix, Michigan",0.32894736842105265
363,"Charlotte, Florida",2.748876404494382
364,"Chatham, North Carolina",4.430379746835443
365,"Chautauqua, New York",180.2325581395349
366,"Chaves, New Mexico",0.0
367,"Cheboygan, Michigan",0.0
368,"Chelan, Washington",0.26717557251908397
369,"Chemung, New York",2.017857142857143
370,"Chenango, New York",14.205454545454545
371,"Cherokee, Alabama",0.0
372,"Cherokee, Iowa",0.0
373,"Cherokee, North Carolina",0.0
374,"Cherokee, Oklahoma",0.0
375,"Cherokee, South Carolina",0.0
376,"Cherokee, Texas",0.0
377,"Chesapeake city, Virginia",8.333333333333334
378,"Cheshire, New Hampshire",2.357627118644068
379,"Chester county, Pennsylvania",0.0
380,"Chester, Pennsylvania",2.149234693877551
381,"Chester, South Carolina",0.0
382,"Chesterfield, South Carolina",0.0
383,"Chesterfield, Virginia",0.0
384,"Chickasaw, Iowa",0.0
385,"Chilton, Alabama",0.0
386,"Chippewa, Michigan",2.234042553191489
387,"Chippewa, Minnesota",92.5
388,"Chippewa, Wisconsin",0.0
389,"Chisago, Minnesota",1.2121212121212122
390,"Chittenden, Vermont",0.0
391,"Choctaw, Alabama",0.0
392,"Choctaw, Oklahoma",0.0
393,"Chouteau, Montana",0.0
394,"Christian, Illinois",1.9662162162162162
395,"Christian, Kentucky",0.0
396,"Christian, Missouri",131.77884615384616
397,"Churchill, Nevada",0.2564102564102564
398,"Cimarron, Oklahoma",0.0
399,"Citrus county, Florida",0.0
400,"Citrus, Florida",6.878651685393258
401,"Clackamas, Oregon",1.5533980582524272
402,"Claiborne, Louisiana",0.0
403,"Claiborne, Tennessee",0.0
404,"Clallam, Washington",0.0
405,"Clare, Michigan",0.0
406,"Clarendon, South Carolina",0.0
407,"Clarion, Pennsylvania",0.7804878048780488
408,"Clark county, Nevada",0.0
409,"Clark, Idaho",6.8
410,"Clark, Illinois",25.871794871794872
411,"Clark, Indiana",2.5
412,"Clark, Kentucky",0.0
413,"Clark, Missouri",893.75
414,"Clark, Nevada",4.347486033519553
415,"Clark, Ohio",2.144767441860465
416,"Clark, South Dakota",15.0
417,"Clark, Washington",7.371601208459214
418,"Clark, Wisconsin",2.7160493827160495
419,"Clarke, Alabama",0.0
420,"Clatsop, Oregon",5.333333333333333
421,"Clay, Alabama",65.16666666666667
422,"Clay, Arkansas",0.0
423,"Clay, Florida",3.3404624277456647
424,"Clay, Illinois",0.0
425,"Clay, Iowa",0.0
426,"Clay, Kentucky",0.0
427,"Clay, Minnesota",0.0
428,"Clay, Missouri",64.16666666666667
429,"Clay, North Carolina",0.0
430,"Clay, South Dakota",0.0
