,county,pH
0,"Abbeville, South Carolina",6.393
1,"Acadia, Louisiana",7.625714285714287
2,"Accomack, Virginia",5.309078947368426
3,"Ada, Idaho",6.925
4,"Adair, Kentucky",7.081999999999999
5,"Adair, Missouri",7.5616666666666665
6,"Adair, Oklahoma",6.808333333333334
7,"Adams, Illinois",7.262051282051278
8,"Adams, Wisconsin",7.948
9,"Addison, Vermont",7.575999999999999
10,"Aiken, South Carolina",7.573841463414632
11,"Aitkin, Minnesota",7.5249999999999995
12,"Alachua, Florida",7.56529411764706
13,"Alamance, North Carolina",6.935172413793102
14,"Alameda, California",7.850684062059231
15,"Albemarle, Virginia",4.491004784688996
16,"Alexander, Illinois",7.3
17,"Alexander, North Carolina",7.781304347826089
18,"Alexandria, Virginia",7.45
19,"Allegany, New York",7.433333333333334
20,"Alleghany, North Carolina",6.2325714285714255
21,"Alleghany, Virginia",2.691862745098041
22,"Allegheny, Pennsylvania",7.828061299176552
23,"Allen, Indiana",7.715
24,"Allen, Kansas",7.505555555555556
25,"Allen, Kentucky",7.1816666666666675
26,"Allen, Louisiana",7.96529411764706
27,"Allen, Ohio",7.415
28,"Allendale, South Carolina",7.05
29,"Alpine, California",7.3292857142857155
30,"Amador, California",7.335443037974682
31,"Amelia, Virginia",3.6523333333333343
32,"Amherst, Virginia",2.9359302325581407
33,"Anchorage municipality, Alaska",7.975
34,"Anchorage, Alaska",7.655562130177533
35,"Anderson, Kansas",7.622222222222222
36,"Anderson, Kentucky",7.614999999999999
37,"Anderson, South Carolina",6.714444444444443
38,"Anderson, Tennessee",7.31
39,"Anderson, Texas",8.194615384615386
40,"Andrew, Missouri",7.723333333333334
41,"Andrews, Texas",7.16090909090909
42,"Androscoggin, Maine",7.671388888888893
43,"Angelina, Texas",8.003508771929823
44,"Anoka, Minnesota",7.212920227920225
45,"Anson, North Carolina",7.310555555555556
46,"Apache, Arizona",7.83611111111111
47,"Appomattox, Virginia",4.238775510204081
48,"Aransas, Texas",7.869285714285714
49,"Archer, Texas",7.900555555555554
50,"Arlington, Virginia",7.166666666666667
51,"Armstrong, Pennsylvania",8.594999999999999
52,"Armstrong, Texas",7.808333333333334
53,"Aroostook, Maine",7.451198044009782
54,"Ascension, Louisiana",7.694680851063829
55,"Ashe, North Carolina",6.825875000000002
56,"Ashland, Ohio",7.05
57,"Ashland, Wisconsin",7.922631578947368
58,"Assumption, Louisiana",7.2
59,"Atascosa county, Texas",8.516
60,"Atascosa, Texas",7.777222222222223
61,"Atchison, Kansas",7.622222222222224
62,"Atchison, Missouri",8.233333333333334
63,"Atlantic, New Jersey",6.787336244541481
64,"Audrain, Missouri",7.709090909090909
65,"Augusta, Virginia",4.67770491803279
66,"Austin, Texas",7.529508196721311
67,"Autauga, Alabama",4.1544
68,"Avery, North Carolina",6.639568627450984
69,"Avoyelles, Louisiana",8.018571428571427
70,"Bailey, Texas",7.42625
71,"Baker, Florida",7.64
72,"Baldwin, Alabama",6.9171428571428555
73,"Ballard, Kentucky",6.709411764705883
74,"Bandera, Texas",7.754423076923075
75,"Bannock, Idaho",7.0
76,"Barber, Kansas",7.542105263157896
77,"Barbour, Alabama",7.902068965517239
78,"Barnes, North Dakota",7.452258064516128
79,"Barren, Kentucky",7.509166666666666
80,"Barron, Wisconsin",7.20153846153846
81,"Barry, Missouri",7.631190476190476
82,"Bartholomew, Indiana",7.49
83,"Barton, Kansas",7.606944444444442
84,"Barton, Missouri",7.840000000000001
85,"Bastrop, Texas",7.614285714285714
86,"Bates, Missouri",7.399999999999999
87,"Bath, Virginia",4.205
88,"Bay, Florida",7.545833333333332
89,"Bayfield, Wisconsin",7.81
90,"Baylor, Texas",7.8075
91,"Beaufort, North Carolina",7.3211764705882345
92,"Beaufort, South Carolina",7.375
93,"Beauregard, Louisiana",7.492692307692308
94,"Beaver, Pennsylvania",6.830000000000001
95,"Beaver, Utah",7.966666666666666
96,"Becker, Minnesota",7.483857142857136
97,"Bedford, Pennsylvania",6.761111111111111
98,"Bedford, Tennessee",7.112666666666667
99,"Bedford, Virginia",4.234285714285713
100,"Bee, Texas",7.8219047619047615
101,"Bell, Kentucky",7.2172
102,"Bell, Texas",7.525194805194806
103,"Bennington, Vermont",7.311333333333335
104,"Benson, North Dakota",7.6659999999999995
105,"Benton, Iowa",8.200000000000001
106,"Benton, Minnesota",7.368421052631576
107,"Benton, Missouri",7.428131868131871
108,"Benton, Tennessee",7.076363636363635
109,"Benton, Washington",7.946222222222223
110,"Benzie, Michigan",7.574999999999999
111,"Bergen, New Jersey",7.530044483985743
112,"Berkeley, South Carolina",8.38845070422535
113,"Berks, Pennsylvania",7.446086956521738
114,"Bernalillo, New Mexico",8.017999999999999
115,"Berrien, Michigan",7.9
116,"Bertie, North Carolina",7.761489361702126
117,"Bethel, Alaska",7.424761904761906
118,"Bexar, Texas",7.63549857549857
119,"Bibb, Alabama",7.801666666666667
120,"Bienville, Louisiana",7.062045454545455
121,"Big horn, Montana",7.459200000000001
122,"Big stone, Minnesota",7.408955223880596
123,"Billings, North Dakota",9.09
124,"Black hawk, Iowa",7.8999999999999995
125,"Bladen, North Carolina",7.472459016393442
126,"Blaine, Idaho",8.01
127,"Blaine, Montana",7.7
128,"Blair, Pennsylvania",7.706310344827605
129,"Blanco, Texas",7.173333333333334
130,"Bland, Virginia",3.147761194029852
131,"Bledsoe, Tennessee",7.009166666666666
132,"Blount, Alabama",7.279642857142859
133,"Blount, Tennessee",6.764285714285714
134,"Blue earth, Minnesota",7.0740476190476205
135,"Boise, Idaho",6.57
136,"Bollinger, Missouri",7.592105263157895
137,"Bond, Illinois",7.245454545454544
138,"Bonner, Idaho",7.134444444444445
139,"Boone, Indiana",7.249999999999999
140,"Boone, Kentucky",7.350689655172412
141,"Boone, Missouri",7.489873417721518
142,"Bosque, Texas",8.127173913043476
143,"Bossier, Louisiana",7.78046875
144,"Botetourt, Virginia",4.479032258064514
145,"Bottineau, North Dakota",7.672727272727273
146,"Bourbon, Kansas",7.408333333333334
147,"Bourbon, Kentucky",7.243076923076923
148,"Bowie, Texas",7.900833333333332
149,"Bowman, North Dakota",8.84
150,"Box elder, Utah",7.210000000000001
151,"Boyd, Kentucky",7.911666666666668
152,"Boyle, Kentucky",7.685714285714285
153,"Bracken, Kentucky",7.1000000000000005
154,"Bradford, Florida",7.65
155,"Bradford, Pennsylvania",7.439999999999999
156,"Bradley, Tennessee",7.122727272727274
157,"Brazoria county, Texas",6.8
158,"Brazoria, Texas",7.601619433198376
159,"Brazos, Texas",7.985294117647059
160,"Breathitt, Kentucky",7.3358333333333325
161,"Breckinridge, Kentucky",7.618333333333333
162,"Bremer, Iowa",7.1
163,"Brevard, Florida",8.141
164,"Brewster, Texas",7.578787878787878
165,"Briscoe, Texas",7.863846153846153
166,"Bristol, Rhode Island",7.282500000000001
167,"Bristol, Virginia",1.917868852459016
168,"Brooke, West Virginia",7.566666666666666
169,"Brooks, Texas",7.606428571428572
170,"Broome, New York",7.123261802575111
171,"Broward county, Florida",8.21
172,"Broward, Florida",8.42063829787234
173,"Brown, Illinois",7.133333333333333
174,"Brown, Kansas",7.55
175,"Brown, Minnesota",7.441197604790413
176,"Brown, Texas",7.312
177,"Brown, Wisconsin",7.725062500000003
178,"Brunswick, North Carolina",7.2505000000000015
179,"Brunswick, Virginia",3.254578313253013
180,"Bryan, Oklahoma",7.036363636363635
181,"Buchanan, Virginia",2.1963551401869172
182,"Buckingham, Virginia",3.79867924528302
183,"Bucks, Pennsylvania",7.573875000000001
184,"Buena vista, Iowa",7.4
185,"Buena vista, Virginia",6.5325
186,"Buffalo, Wisconsin",7.335499999999999
187,"Bullock, Alabama",8.137619047619047
188,"Buncombe, North Carolina",7.4843663230240605
189,"Bureau, Illinois",7.827300000000005
190,"Burke, North Carolina",6.895185185185186
191,"Burke, North Dakota",7.575999999999999
192,"Burleigh, North Dakota",8.301666666666668
193,"Burleson, Texas",7.963461538461539
194,"Burlington, New Jersey",7.439445843828708
195,"Burnet, Texas",7.169444444444442
196,"Burnett, Wisconsin",7.9575000000000005
197,"Butler, Alabama",8.399677419354838
198,"Butler, Iowa",7.4750000000000005
199,"Butler, Kansas",7.449999999999999
200,"Butler, Kentucky",7.509166666666668
201,"Butler, Missouri",7.543611111111113
202,"Butte, California",7.533062248995979
203,"Cabarrus, North Carolina",7.006052631578947
204,"Cache, Utah",7.366666666666667
205,"Caddo parish, Louisiana",8.131666666666666
206,"Caddo, Louisiana",7.889425287356325
207,"Calaveras, California",7.301292134831459
208,"Calcasieu, Louisiana",7.68196078431373
209,"Caldwell, Kentucky",7.16
210,"Caldwell, Louisiana",7.4515
211,"Caldwell, Missouri",7.92315789473684
