,county,picloram
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Iowa",0.0
6,"Adair, Kentucky",0.0
7,"Adair, Missouri",0.0
8,"Adair, Oklahoma",0.0
9,"Adams, Idaho",0.0
10,"Adams, Illinois",0.0
11,"Adams, Indiana",0.0
12,"Adams, Iowa",0.0
13,"Adams, Nebraska",0.0
14,"Adams, Ohio",0.0
15,"Adams, Pennsylvania",0.0
16,"Adams, Washington",0.0
17,"Adams, Wisconsin",0.0
18,"Addison, Vermont",0.0
19,"Aiken, South Carolina",0.0
20,"Aitkin, Minnesota",0.0
21,"Alachua, Florida",0.0
22,"Alamance, North Carolina",0.0
23,"Alameda, California",0.0
24,"Albany, New York",0.0
25,"Albany, Wyoming",0.0
26,"Albemarle, Virginia",0.0
27,"Alcona, Michigan",0.0
28,"Alexander, Illinois",0.0
29,"Alexander, North Carolina",0.0
30,"Alfalfa, Oklahoma",0.0
31,"Alger, Michigan",0.0
32,"Allamakee county, Iowa",0.0
33,"Allamakee, Iowa",0.0
34,"Allegan, Michigan",0.024
35,"Allegany, Maryland",0.0
36,"Allegany, New York",0.0
37,"Alleghany, North Carolina",0.0
38,"Alleghany, Virginia",0.0
39,"Allegheny county, Pennsylvania",0.0
40,"Allegheny, Pennsylvania",0.0
41,"Allen, Indiana",0.0
42,"Allen, Kentucky",0.0
43,"Allen, Louisiana",0.0
44,"Allendale, South Carolina",0.0
45,"Alpena, Michigan",0.0
46,"Alpine, California",0.0
47,"American samoa, American Samoa",0.0
48,"Amherst, Virginia",0.0
49,"Anderson, Kentucky",0.0
50,"Anderson, South Carolina",0.0
51,"Anderson, Texas",0.0
52,"Andrew, Missouri",0.0
53,"Andrews, Texas",0.0
54,"Androscoggin, Maine",0.0
55,"Angelina, Texas",0.0
56,"Anne arundel, Maryland",0.006078431372549021
57,"Anoka, Minnesota",0.0
58,"Anson, North Carolina",0.0
59,"Antelope, Nebraska",0.0
60,"Antrim, Michigan",0.0
61,"Apache, Arizona",0.0
62,"Appanoose, Iowa",0.0
63,"Archer, Texas",0.0
64,"Arenac, Michigan",0.0
65,"Arkansas, Arkansas",0.0
66,"Armstrong county, Pennsylvania",0.0
67,"Armstrong, Pennsylvania",0.0
68,"Aroostook, Maine",0.0
69,"Arthur, Nebraska",0.0
70,"Ascension, Louisiana",0.0
71,"Ashe, North Carolina",0.0
72,"Ashland, Wisconsin",0.0
73,"Ashley, Arkansas",0.0
74,"Asotin, Washington",0.0
75,"Assumption, Louisiana",0.0
76,"Atascosa, Texas",0.0
77,"Atchison, Missouri",0.0
78,"Atlantic, New Jersey",0.0
79,"Atoka, Oklahoma",0.0
80,"Audrain, Missouri",0.0
81,"Audubon, Iowa",0.0
82,"Augusta, Virginia",0.0
83,"Aurora, South Dakota",0.0
84,"Austin, Texas",0.0
85,"Autauga, Alabama",0.0
86,"Avery, North Carolina",0.0
87,"Avoyelles, Louisiana",0.0
88,"B, Oklahoma",0.0
89,"Bailey, Texas",0.0
90,"Baker county, Florida",0.0
91,"Baker, Florida",0.0
92,"Baker, Oregon",0.0
93,"Baldwin, Alabama",0.0
94,"Ballard, Kentucky",0.0
95,"Baltimore city, Maryland",0.0
96,"Baltimore, Maryland",0.0
97,"Bamberg, South Carolina",0.0
98,"Bandera, Texas",0.0
99,"Banner, Nebraska",0.0
100,"Bannock, Idaho",0.0
101,"Baraga, Michigan",0.0
102,"Barbour, Alabama",0.0
103,"Barbour, West Virginia",0.0
104,"Barnes, North Dakota",0.0
105,"Barnstable, Massachusetts",0.0
106,"Barnwell, South Carolina",0.0
107,"Barren, Kentucky",0.0
108,"Barron, Wisconsin",0.0
109,"Barry, Michigan",0.0
110,"Barry, Missouri",0.0
111,"Bartholomew, Indiana",0.0
112,"Barton, Missouri",0.0
113,"Bastrop, Texas",0.0
114,"Bates, Missouri",0.0
115,"Bath, Virginia",0.0
116,"Baxter, Arkansas",0.0
117,"Bay, Florida",0.0
118,"Bay, Michigan",0.0
119,"Bayfield, Wisconsin",0.0
120,"Baylor, Texas",0.0
121,"Beadle, South Dakota",0.0
122,"Bear lake, Idaho",0.0
123,"Beaufort, North Carolina",0.0
124,"Beaufort, South Carolina",0.0
125,"Beauregard, Louisiana",0.0
126,"Beaver county, Pennsylvania",0.0
127,"Beaver, Oklahoma",0.0
128,"Beaver, Pennsylvania",0.0
129,"Beaver, Utah",0.0
130,"Beaverhead, Montana",0.0
131,"Becker, Minnesota",0.0
132,"Beckham, Oklahoma",0.0
133,"Bedford, Pennsylvania",0.0
134,"Bedford, Virginia",0.0
135,"Bee, Texas",0.0
136,"Belknap, New Hampshire",0.0
137,"Bell, Kentucky",0.0
138,"Bell, Texas",0.0
139,"Belmont, Ohio",0.0
140,"Beltrami county, Minnesota",0.0
141,"Beltrami, Minnesota",0.0
142,"Benewah, Idaho",0.0
143,"Bennett, South Dakota",0.0
144,"Bennington, Vermont",0.0
145,"Benson, North Dakota",0.0
146,"Benton county, Arkansas",0.0
147,"Benton, Arkansas",0.0
148,"Benton, Indiana",0.0
149,"Benton, Iowa",0.0
150,"Benton, Minnesota",0.0
151,"Benton, Missouri",0.0
152,"Benton, Oregon",0.0
153,"Benton, Washington",0.0
154,"Benzie, Michigan",0.0
155,"Bergen, New Jersey",0.0
156,"Berkeley, South Carolina",0.0
157,"Berkeley, West Virginia",0.0
158,"Berks county, Pennsylvania",0.0
159,"Berks, Pennsylvania",0.0
160,"Berkshire, Massachusetts",0.0
161,"Bernalillo, New Mexico",0.0
162,"Berrien, Michigan",0.0
163,"Bertie, North Carolina",0.0
164,"Bexar, Texas",0.0
165,"Bibb, Alabama",0.0
166,"Bienville, Louisiana",0.0
167,"Big horn, Montana",0.0
168,"Big horn, Wyoming",0.0
169,"Big stone, Minnesota",0.0
170,"Bingham, Idaho",0.0
171,"Black hawk, Iowa",0.0
172,"Blackford, Indiana",0.0
173,"Bladen, North Carolina",0.0
174,"Blaine, Idaho",0.0
175,"Blaine, Montana",0.0
176,"Blaine, Nebraska",0.0
177,"Blaine, Oklahoma",0.0
178,"Blair, Pennsylvania",0.0
179,"Blanco, Texas",0.0
180,"Bland, Virginia",0.0
181,"Blount, Alabama",0.024242424242424242
182,"Blue earth, Minnesota",0.0
183,"Boise, Idaho",0.0
184,"Bollinger, Missouri",0.0
185,"Bon homme, South Dakota",0.0
186,"Bond, Illinois",0.0
187,"Bonner, Idaho",0.0
188,"Bonneville, Idaho",0.0
189,"Boone, Arkansas",0.0
190,"Boone, Illinois",0.0
191,"Boone, Indiana",0.0
192,"Boone, Iowa",0.0
193,"Boone, Kentucky",0.006666666666666667
194,"Boone, Missouri",0.0
195,"Boone, Nebraska",0.0
196,"Boone, West Virginia",0.0
197,"Bosque, Texas",0.0
198,"Bossier, Louisiana",0.0
199,"Botetourt, Virginia",0.0
200,"Bottineau, North Dakota",0.030833333333333334
201,"Boundary, Idaho",0.0
202,"Bourbon, Kentucky",0.0
203,"Bowie, Texas",0.0
204,"Bowman, North Dakota",0.0
205,"Box butte, Nebraska",0.0
206,"Box elder, Utah",0.0
207,"Boyd, Kentucky",0.0
208,"Boyd, Nebraska",0.0
209,"Boyle, Kentucky",0.0
210,"Bracken, Kentucky",0.0
211,"Bradford, Florida",0.0
212,"Bradford, Pennsylvania",0.0
213,"Bradley, Arkansas",0.0
214,"Branch, Michigan",0.0
215,"Braxton, West Virginia",0.0
216,"Brazoria, Texas",0.0
217,"Brazos, Texas",0.0
218,"Breathitt, Kentucky",0.0
219,"Breckinridge, Kentucky",0.0
220,"Bremer, Iowa",0.0
221,"Brevard, Florida",0.0
222,"Brewster, Texas",0.0
223,"Briscoe, Texas",0.0
224,"Bristol, Massachusetts",0.0
225,"Bristol, Rhode Island",0.0
226,"Bristol, Virginia",0.0
227,"Broadwater, Montana",0.0
228,"Brooke, West Virginia",0.0
229,"Brookings, South Dakota",0.0
230,"Brooks, Texas",0.0
231,"Broome, New York",0.0
232,"Broward county, Florida",0.0
233,"Broward, Florida",0.0003686131386861314
234,"Brown, Illinois",0.0
235,"Brown, Indiana",0.0
236,"Brown, Minnesota",0.0
237,"Brown, Nebraska",0.0
238,"Brown, Ohio",0.0
239,"Brown, South Dakota",0.0
240,"Brown, Texas",0.0
241,"Brown, Wisconsin",0.0
242,"Brule, South Dakota",0.0
243,"Brunswick, North Carolina",0.0
244,"Brunswick, Virginia",0.0
245,"Bryan, Oklahoma",0.0
246,"Buchanan, Iowa",0.0
247,"Buchanan, Virginia",0.0
248,"Buckingham, Virginia",0.0
249,"Bucks county, Pennsylvania",0.0
250,"Bucks, Pennsylvania",0.0
251,"Buena vista, Iowa",0.0
252,"Buena vista, Virginia",0.0
253,"Buffalo, Nebraska",0.0
254,"Buffalo, Wisconsin",0.0
255,"Bullock, Alabama",0.0
256,"Buncombe, North Carolina",0.0
257,"Bureau, Illinois",0.0
258,"Burke, North Carolina",0.0
259,"Burke, North Dakota",0.0
260,"Burleigh, North Dakota",0.0
261,"Burleson, Texas",0.0
262,"Burlington, New Jersey",0.0
263,"Burnet, Texas",0.0
264,"Burnett, Wisconsin",0.0
265,"Burt, Nebraska",0.0
266,"Butler, Alabama",0.0
267,"Butler, Iowa",0.0
268,"Butler, Kentucky",0.0
269,"Butler, Missouri",0.0
270,"Butler, Nebraska",0.0
271,"Butler, Ohio",0.0075
272,"Butler, Pennsylvania",0.0
273,"Butte, California",0.0
274,"Butte, Idaho",0.0
275,"Butte, South Dakota",0.0
276,"Cabarrus, North Carolina",0.0
277,"Cabell, West Virginia",0.0
278,"Cache, Utah",0.0035971223021582736
279,"Caddo parish, Louisiana",0.0
280,"Caddo, Louisiana",0.0
281,"Caddo, Oklahoma",0.0
282,"Calaveras, California",0.0
283,"Calcasieu, Louisiana",0.0
284,"Caldwell, Kentucky",0.0
285,"Caldwell, Louisiana",0.0
286,"Caldwell, Missouri",0.0
287,"Caldwell, North Carolina",0.0
288,"Caldwell, Texas",0.0
289,"Caledonia, Vermont",0.0
290,"Calhoun, Alabama",0.0
291,"Calhoun, Arkansas",0.0
292,"Calhoun, Florida",0.0
293,"Calhoun, Illinois",0.0
294,"Calhoun, Iowa",0.0
295,"Calhoun, Michigan",0.0
296,"Calhoun, South Carolina",0.0
297,"Calhoun, Texas",0.0
298,"Calhoun, West Virginia",0.0
299,"Callahan, Texas",0.0
300,"Callaway, Missouri",0.0
301,"Calloway, Kentucky",0.0
302,"Calumet, Wisconsin",0.0
303,"Calvert, Maryland",0.0
304,"Cambria county, Pennsylvania",0.0
305,"Cambria, Pennsylvania",0.0
306,"Camden, Missouri",0.0
307,"Camden, New Jersey",0.0
308,"Camden, North Carolina",0.0
309,"Cameron, Louisiana",0.0
310,"Cameron, Pennsylvania",0.0
311,"Cameron, Texas",0.0
312,"Camp, Texas",0.0
313,"Campbell, Kentucky",0.0
314,"Campbell, Virginia",0.0
315,"Campbell, Wyoming",0.0
316,"Canadian, Oklahoma",0.0
317,"Canyon, Idaho",0.0
318,"Cape girardeau, Missouri",0.0
319,"Cape may, New Jersey",0.0
320,"Carbon, Montana",0.0015625
321,"Carbon, Pennsylvania",0.0
322,"Carbon, Utah",0.0
323,"Carbon, Wyoming",0.0
324,"Caribou, Idaho",0.0
325,"Carlisle, Kentucky",0.0
326,"Carlton, Minnesota",0.0
327,"Caroline, Maryland",0.0
328,"Carroll, Arkansas",0.0
329,"Carroll, Illinois",0.0
330,"Carroll, Indiana",0.0
331,"Carroll, Iowa",0.0
332,"Carroll, Kentucky",0.0
333,"Carroll, Maryland",0.001142857142857143
334,"Carroll, Missouri",0.0
335,"Carroll, New Hampshire",0.0
336,"Carroll, Virginia",0.0
337,"Carson city, Nevada",0.0
338,"Carson, Texas",0.0
339,"Carter, Kentucky",0.0
340,"Carter, Missouri",0.0
341,"Carter, Montana",0.0
342,"Carter, Oklahoma",0.0
343,"Carteret, North Carolina",0.0010212765957446808
344,"Carver, Minnesota",0.0
345,"Cascade, Montana",0.0
346,"Casey, Kentucky",0.0
347,"Cass, Illinois",0.0
348,"Cass, Indiana",0.0
349,"Cass, Iowa",0.0
350,"Cass, Michigan",0.0
351,"Cass, Minnesota",0.0
352,"Cass, Missouri",0.0
353,"Cass, Nebraska",0.0
354,"Cass, North Dakota",0.0
355,"Cass, Texas",0.0
356,"Cassia, Idaho",0.0
357,"Castro, Texas",0.0
358,"Caswell, North Carolina",0.0
359,"Catahoula, Louisiana",0.0
360,"Catawba, North Carolina",0.0
361,"Catron, New Mexico",0.0
362,"Cattaraugus, New York",0.0
363,"Cavalier, North Dakota",0.0
364,"Cayuga county, New York",0.0
365,"Cayuga, New York",0.0
366,"Cecil, Maryland",0.0018000000000000002
367,"Cedar, Iowa",0.0
368,"Cedar, Missouri",0.0
369,"Cedar, Nebraska",0.0
370,"Centre county, Pennsylvania",0.0
371,"Centre, Pennsylvania",0.0
372,"Cerro gordo, Iowa",0.0
373,"Chambers, Alabama",0.0
374,"Chambers, Texas",0.0
375,"Champaign, Illinois",0.0
376,"Champaign, Ohio",0.0
377,"Chariton, Missouri",0.0
378,"Charles mix, South Dakota",0.0
379,"Charles, Maryland",0.00961038961038961
380,"Charleston county, South Carolina",0.0
381,"Charleston, South Carolina",0.0
382,"Charlevoix, Michigan",0.0
383,"Charlotte, Florida",0.0
384,"Charlotte, Virginia",0.0
385,"Chase, Nebraska",0.0
386,"Chatham, North Carolina",0.0
387,"Chautauqua, New York",0.0
388,"Chaves, New Mexico",0.0
389,"Cheboygan, Michigan",0.0
390,"Chelan, Washington",0.0
391,"Chemung, New York",0.0
392,"Chenango, New York",0.0
393,"Cherokee, Alabama",0.0
394,"Cherokee, Iowa",0.0
395,"Cherokee, North Carolina",0.0
396,"Cherokee, South Carolina",0.0
397,"Cherokee, Texas",0.0
398,"Cherry, Nebraska",0.0
399,"Chesapeake city, Virginia",0.0
400,"Cheshire, New Hampshire",0.0
401,"Chester county, Pennsylvania",0.0
402,"Chester, Pennsylvania",0.0
403,"Chester, South Carolina",0.0
404,"Chesterfield, South Carolina",0.0
405,"Chesterfield, Virginia",0.0
406,"Cheyenne, Nebraska",0.0
407,"Chickasaw, Iowa",0.0
408,"Chicot, Arkansas",0.0
409,"Chilton, Alabama",0.0
410,"Chippewa, Michigan",0.0
411,"Chippewa, Minnesota",0.0
412,"Chippewa, Wisconsin",0.0
413,"Chisago, Minnesota",0.0
414,"Chittenden, Vermont",0.0
415,"Choctaw, Alabama",0.0
416,"Choctaw, Oklahoma",0.0
417,"Chouteau, Montana",0.0
418,"Chowan, North Carolina",0.0
419,"Christian, Illinois",0.0
420,"Christian, Kentucky",0.0
421,"Christian, Missouri",0.0
422,"Churchill, Nevada",0.0
423,"Cibola, New Mexico",0.0
424,"Cimarron, Oklahoma",0.0
425,"Citrus county, Florida",0.0
426,"Citrus, Florida",0.0
427,"Clackamas, Oregon",0.0
428,"Claiborne, Louisiana",0.0
429,"Clallam, Washington",0.0
430,"Clare, Michigan",0.0
431,"Clarendon, South Carolina",0.0
432,"Clarion, Pennsylvania",0.0
433,"Clark county, Nevada",0.0
434,"Clark, Arkansas",0.0
435,"Clark, Idaho",0.0
436,"Clark, Illinois",0.0
437,"Clark, Indiana",0.0
438,"Clark, Kentucky",0.0
439,"Clark, Missouri",0.0
440,"Clark, Nevada",0.0
441,"Clark, Ohio",0.0
442,"Clark, South Dakota",0.0
443,"Clark, Washington",0.0
444,"Clark, Wisconsin",0.0
445,"Clarke, Alabama",0.0
446,"Clarke, Iowa",0.0
447,"Clarke, Virginia",0.0
448,"Clatsop, Oregon",0.0
449,"Clay, Alabama",0.0
450,"Clay, Arkansas",0.0
451,"Clay, Florida",0.0
452,"Clay, Illinois",0.0
453,"Clay, Indiana",0.0
454,"Clay, Iowa",0.0
455,"Clay, Kentucky",0.0
456,"Clay, Minnesota",0.0
457,"Clay, Missouri",0.0
458,"Clay, Nebraska",0.0
459,"Clay, North Carolina",0.0
460,"Clay, South Dakota",0.0
461,"Clay, Texas",0.0
462,"Clay, West Virginia",0.0
463,"Clayton, Iowa",0.0
464,"Clearfield county, Pennsylvania",0.0
465,"Clearfield, Pennsylvania",0.0
466,"Clearwater, Idaho",0.0
467,"Clearwater, Minnesota",0.0
468,"Cleburne, Alabama",0.0
469,"Cleburne, Arkansas",0.0
470,"Clermont, Ohio",0.0
471,"Cleveland, Arkansas",0.0
