,county,uranium_combined
0,"Abbeville, South Carolina",2.1172000000000004
1,"Acadia, Louisiana",0.0
2,"Ada, Idaho",33.3067873015873
3,"Adair, Oklahoma",0.0
4,"Adams, Illinois",3.278
5,"Adams, Nebraska",10.235472222222214
6,"Adams, Pennsylvania",14.308618128654972
7,"Adams, Wisconsin",0.8074285714285715
8,"Addison, Vermont",2.71625
9,"Aiken, South Carolina",4.623100000000001
10,"Alachua, Florida",0.19157142857142856
11,"Alamance, North Carolina",0.2770242718446602
12,"Alameda, California",0.3923765438786566
13,"Albany, New York",0.04856296296296296
14,"Albany, Wyoming",0.0
15,"Albemarle, Virginia",0.036185714285714286
16,"Aleutians east borough, Alaska",0.0
17,"Aleutians west census area, Alaska",0.0
18,"Aleutians west, Alaska",0.0
19,"Alexander, North Carolina",0.0
20,"Alfalfa, Oklahoma",3.566666666666667
21,"Allegany, New York",0.40726666666666667
22,"Alleghany, North Carolina",0.0
23,"Allegheny, Pennsylvania",0.0
24,"Allen, Indiana",0.5
25,"Allen, Kansas",0.0
26,"Allen, Kentucky",0.0025
27,"Allen, Louisiana",0.1918952380952381
28,"Allendale, South Carolina",0.0
29,"Alpine, California",2.271008333333334
30,"Amador, California",7.868772777777776
31,"American samoa, American Samoa",2.4336666666666664
32,"Anchorage, Alaska",0.08888888888888886
33,"Anderson, Kentucky",0.33
34,"Anderson, South Carolina",0.0
35,"Androscoggin, Maine",43.0
36,"Anne arundel, Maryland",0.0
37,"Anoka, Minnesota",0.0
38,"Anson, North Carolina",0.0
39,"Apache, Arizona",7.705222950819672
40,"Armstrong, Pennsylvania",0.0
41,"Armstrong, Texas",10.0
42,"Ascension, Louisiana",0.11512820512820514
43,"Ashe, North Carolina",6.582015873015873
44,"Assumption, Louisiana",0.8725
45,"Atascosa, Texas",0.0
46,"Atlantic, New Jersey",2.8825222881666672
47,"Atoka, Oklahoma",0.0
48,"Augusta, Virginia",0.22349999999999998
49,"Austin, Texas",3.6999999999999997
50,"Avery, North Carolina",0.24833333333333332
51,"Avoyelles, Louisiana",0.0
52,"B, Oklahoma",13.350000000000003
53,"Baker, Oregon",0.0
54,"Baldwin, Alabama",0.447
55,"Ballard, Kentucky",0.2235
56,"Bamberg, South Carolina",1.5
57,"Bandera, Texas",0.0
58,"Bannock, Idaho",1.921314285714286
59,"Barber, Kansas",0.0
60,"Barbour, Alabama",0.55875
61,"Barnes, North Dakota",1.7736666666666665
62,"Barnstable, Massachusetts",0.0
63,"Barnwell, South Carolina",0.0
64,"Barron, Wisconsin",1.0703846153846153
65,"Barry, Missouri",3.288
66,"Barton, Kansas",15.2
67,"Bayfield, Wisconsin",1.3233333333333333
68,"Beadle, South Dakota",0.0
69,"Bear lake, Idaho",1.0681002099999999
70,"Beaufort, North Carolina",0.0
71,"Beaufort, South Carolina",0.13611111111111113
72,"Beauregard, Louisiana",0.0
73,"Beaver, Oklahoma",7.202
74,"Beaver, Pennsylvania",0.0
75,"Beaver, Utah",19.03333333333333
76,"Beaverhead, Montana",2.6666666666666665
