,county,chlorine
0,"Adams, Illinois",837.741935483871
1,"Adams, Pennsylvania",1322.4241869222872
2,"Adams, Wisconsin",2.688888888888889
3,"Alexander, Illinois",1083.157894736842
4,"Allegheny county, Pennsylvania",1111.807180314643
5,"Allegheny, Pennsylvania",834.6301027111265
6,"Armstrong, Pennsylvania",1260.7907242805597
7,"Ashland, Wisconsin",339.65055762081784
8,"Barron, Wisconsin",0.45226130653266333
9,"Bayfield, Wisconsin",301.93333333333334
10,"Beaver, Pennsylvania",1476.4329062180645
11,"Bedford, Pennsylvania",1002.3107455131155
12,"Berks county, Pennsylvania",606.1424973011875
13,"Berks, Pennsylvania",1200.0255590874688
14,"Blair county, Pennsylvania",750.0481500253421
15,"Blair, Pennsylvania",1008.1387609649123
16,"Boise, Idaho",0.0
17,"Bond, Illinois",866.25
18,"Boone, Illinois",922.5
19,"Bradford, Pennsylvania",1867.8317198177676
20,"Brooke, West Virginia",0.0
21,"Brown county, Wisconsin",0.0
22,"Brown, Illinois",900.0
23,"Brown, Wisconsin",239.95198011411784
24,"Bucks county, Pennsylvania",761.7971162914522
25,"Bucks, Pennsylvania",874.7026522513532
26,"Buffalo, Wisconsin",2.227979274611399
27,"Bureau, Illinois",1168.7254901960785
28,"Burnett, Wisconsin",6.205250596658711
29,"Butler, Pennsylvania",1785.2308133422537
30,"Calhoun, Illinois",1275.0
31,"Calumet, Wisconsin",0.6837265093962415
32,"Cambria county, Pennsylvania",449.63271744028845
33,"Cambria, Pennsylvania",1070.6895610146537
34,"Cameron, Pennsylvania",979.0568578553616
35,"Carbon, Pennsylvania",993.1062618595826
36,"Carroll, Illinois",729.0625
37,"Cass, Illinois",1192.857142857143
38,"Centre county, Pennsylvania",1060.4070512820513
39,"Centre, Pennsylvania",1224.5202096171577
40,"Champaign, Illinois",1138.6274509803923
41,"Chester county, Pennsylvania",1272.1686746987953
42,"Chester, Pennsylvania",1084.1783734617445
43,"Chippewa, Wisconsin",146.8780913587431
44,"Christian, Illinois",1157.3529411764705
45,"Clarion, Pennsylvania",1563.4056621819805
46,"Clark, Illinois",1053.75
47,"Clark, Nevada",910.6355932203389
48,"Clark, Wisconsin",6.351094196003806
