,county,"1,2-Dibromo-3-Chloropropane"
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.0
10,"Adams, Indiana",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Pennsylvania",0.0
13,"Adams, Washington",0.0
14,"Adams, Wisconsin",0.0
15,"Addison, Vermont",0.0
16,"Aiken, South Carolina",0.0
17,"Aitkin, Minnesota",0.0
18,"Alachua, Florida",0.0
19,"Alamance, North Carolina",0.0
20,"Alameda, California",0.0
21,"Albany, Wyoming",0.0
22,"Albemarle, Virginia",0.0
23,"Alexander, Illinois",0.0
24,"Alexander, North Carolina",0.0
25,"Alfalfa, Oklahoma",0.0
26,"Allegany, Maryland",0.0
27,"Alleghany, North Carolina",0.0
28,"Alleghany, Virginia",0.0
29,"Allegheny county, Pennsylvania",0.0
30,"Allegheny, Pennsylvania",0.0
31,"Allen, Indiana",0.0
32,"Allen, Kentucky",0.0
33,"Allen, Louisiana",0.0
34,"Allendale, South Carolina",0.0
35,"Alpena, Michigan",0.0
36,"Alpine, California",0.0
37,"Amador, California",0.0
38,"Amelia, Virginia",0.0
39,"American samoa, American Samoa",0.0
40,"Amherst, Virginia",0.0
41,"Anderson, Kansas",0.0
42,"Anderson, Kentucky",0.0
43,"Anderson, South Carolina",0.0
44,"Anderson, Texas",0.0
45,"Andrew, Missouri",0.0
46,"Andrews, Texas",0.0
47,"Androscoggin, Maine",0.0
48,"Angelina, Texas",0.0
49,"Anne arundel, Maryland",0.000505050505050505
50,"Anoka, Minnesota",0.0
51,"Anson, North Carolina",0.0
52,"Antelope, Nebraska",0.0
53,"Apache, Arizona",0.0
54,"Appomattox, Virginia",0.0
55,"Aransas, Texas",0.0
56,"Archer, Texas",0.0
57,"Arkansas, Arkansas",0.0
58,"Armstrong county, Pennsylvania",0.0
59,"Armstrong, Pennsylvania",0.0
60,"Armstrong, Texas",0.0
61,"Aroostook, Maine",0.0
62,"Arthur, Nebraska",0.0
63,"Ascension, Louisiana",0.0
64,"Ashe, North Carolina",0.0
65,"Ashland, Wisconsin",0.0
66,"Ashley, Arkansas",0.0
67,"Asotin, Washington",0.0
68,"Assumption, Louisiana",0.0
69,"Atascosa county, Texas",0.0
70,"Atascosa, Texas",0.0
71,"Atchison, Kansas",0.0
72,"Atchison, Missouri",0.0
73,"Atlantic, New Jersey",0.0
74,"Atoka, Oklahoma",0.0
75,"Audrain, Missouri",0.0
76,"Augusta, Virginia",0.0
77,"Aurora, South Dakota",0.0
78,"Austin, Texas",0.0
79,"Autauga, Alabama",0.0
80,"Avery, North Carolina",0.0
81,"Avoyelles, Louisiana",0.0
82,"B, Oklahoma",0.0
83,"Bailey, Texas",0.0
84,"Baker county, Florida",0.0
85,"Baker, Florida",0.0
86,"Baker, Oregon",0.0
87,"Baldwin, Alabama",0.0
88,"Ballard, Kentucky",0.0
89,"Baltimore city, Maryland",0.0
90,"Baltimore, Maryland",0.0
91,"Bamberg, South Carolina",0.0
92,"Bandera, Texas",0.0
93,"Banner, Nebraska",0.0
94,"Bannock, Idaho",0.0
95,"Baraga, Michigan",0.0
96,"Barber, Kansas",0.0
97,"Barbour, Alabama",0.0
98,"Barbour, West Virginia",0.0
99,"Barnstable, Massachusetts",0.0
100,"Barnwell, South Carolina",0.0
101,"Barren, Kentucky",0.0
102,"Barron, Wisconsin",0.0
103,"Barry, Missouri",0.0
104,"Bartholomew, Indiana",0.0
105,"Barton, Kansas",0.0
106,"Barton, Missouri",0.0
107,"Bastrop, Texas",0.0
108,"Bates, Missouri",0.0
109,"Bath, Virginia",0.0
110,"Baxter, Arkansas",0.0
111,"Bay, Florida",0.0
112,"Bay, Michigan",0.0
113,"Bayfield, Wisconsin",0.0
114,"Baylor, Texas",0.0
115,"Beadle, South Dakota",0.0
116,"Bear lake, Idaho",0.0
117,"Beaufort, North Carolina",0.0
118,"Beaufort, South Carolina",0.0
119,"Beauregard, Louisiana",0.0
120,"Beaver county, Pennsylvania",0.0
121,"Beaver, Oklahoma",0.0
122,"Beaver, Pennsylvania",0.0
123,"Beaverhead, Montana",0.0
124,"Becker, Minnesota",0.0
125,"Beckham, Oklahoma",0.0
126,"Bedford, Pennsylvania",0.0
127,"Bedford, Virginia",0.0
128,"Bee, Texas",0.0
129,"Belknap, New Hampshire",0.0
130,"Bell, Kentucky",0.0
131,"Bell, Texas",0.0
132,"Beltrami county, Minnesota",0.0
133,"Beltrami, Minnesota",0.0
134,"Benewah, Idaho",0.0
135,"Bennett, South Dakota",0.0
136,"Bennington, Vermont",0.0
137,"Benton county, Arkansas",0.0
138,"Benton, Arkansas",0.0
139,"Benton, Indiana",0.0
140,"Benton, Minnesota",0.0
141,"Benton, Missouri",0.0
142,"Benton, Oregon",0.0
143,"Benton, Washington",0.0033232628398791545
144,"Bergen, New Jersey",0.0
145,"Berkeley, South Carolina",0.0
146,"Berkeley, West Virginia",0.0
147,"Berks county, Pennsylvania",0.0
148,"Berks, Pennsylvania",0.0
149,"Berkshire, Massachusetts",0.0
150,"Bernalillo, New Mexico",0.0001497975708502024
151,"Berrien, Michigan",0.0
152,"Bertie, North Carolina",0.0
153,"Bexar, Texas",0.0
154,"Bibb, Alabama",0.0
155,"Bienville, Louisiana",0.0
156,"Big horn, Montana",0.0
157,"Big horn, Wyoming",0.0
158,"Big stone, Minnesota",0.0
159,"Bingham, Idaho",0.0
160,"Blackford, Indiana",0.0
161,"Bladen, North Carolina",0.0
162,"Blaine, Idaho",0.0
163,"Blaine, Montana",0.0
164,"Blaine, Nebraska",0.0
165,"Blaine, Oklahoma",0.0
166,"Blair, Pennsylvania",0.0
167,"Blanco, Texas",0.0
168,"Bland, Virginia",0.0
169,"Blount, Alabama",0.0
170,"Blue earth, Minnesota",0.0
171,"Boise, Idaho",0.0
172,"Bollinger, Missouri",0.0
173,"Bon homme, South Dakota",0.0
174,"Bond, Illinois",0.0
175,"Bonner, Idaho",0.0
176,"Bonneville, Idaho",0.0
177,"Boone, Arkansas",0.0
178,"Boone, Illinois",0.0
179,"Boone, Indiana",0.0
180,"Boone, Kentucky",0.0013333333333333333
181,"Boone, Missouri",0.0
182,"Boone, Nebraska",0.0
183,"Boone, West Virginia",0.0
184,"Bosque, Texas",0.0
185,"Bossier, Louisiana",0.0
186,"Botetourt, Virginia",0.0
187,"Boundary, Idaho",0.0
188,"Bourbon, Kentucky",0.0
189,"Bowie, Texas",0.0
190,"Box butte, Nebraska",0.0
191,"Boyd, Kentucky",0.0
192,"Boyd, Nebraska",0.0
193,"Boyle, Kentucky",0.0
194,"Bracken, Kentucky",0.0
195,"Bradford, Florida",0.0
196,"Bradford, Pennsylvania",0.0
197,"Bradley, Arkansas",0.0
198,"Braxton, West Virginia",0.0
199,"Brazoria, Texas",0.0
200,"Brazos, Texas",0.0
201,"Breathitt, Kentucky",0.0
202,"Breckinridge, Kentucky",0.0
203,"Brevard, Florida",0.0
204,"Brewster, Texas",0.0
205,"Briscoe, Texas",0.0
206,"Bristol, Massachusetts",0.0
207,"Bristol, Rhode Island",0.0
208,"Bristol, Virginia",0.0
209,"Broadwater, Montana",0.0
210,"Brooke, West Virginia",0.0
211,"Brookings, South Dakota",0.0
212,"Brooks, Texas",0.0
213,"Broward county, Florida",0.0
214,"Broward, Florida",3.531598513011152e-05
215,"Brown, Illinois",0.0
216,"Brown, Indiana",0.0
217,"Brown, Kansas",0.0
218,"Brown, Minnesota",0.0
219,"Brown, Nebraska",0.0
220,"Brown, South Dakota",0.0
221,"Brown, Texas",0.0
222,"Brown, Wisconsin",0.0
223,"Brule, South Dakota",0.0
224,"Brunswick, North Carolina",0.0
225,"Brunswick, Virginia",0.0
226,"Bryan, Oklahoma",0.0
227,"Buchanan, Virginia",0.0
228,"Buckingham, Virginia",0.0
229,"Bucks county, Pennsylvania",0.0
230,"Bucks, Pennsylvania",0.00020909943714821763
231,"Buena vista, Virginia",0.0
232,"Buffalo, Nebraska",0.0
233,"Buffalo, Wisconsin",0.0
234,"Bullock, Alabama",0.0
235,"Buncombe, North Carolina",0.0
236,"Bureau, Illinois",0.0
237,"Burke, North Carolina",0.0
238,"Burleson, Texas",0.0
239,"Burlington, New Jersey",0.0
240,"Burnet, Texas",0.0
241,"Burnett, Wisconsin",0.0
242,"Burt, Nebraska",0.0
243,"Butler, Alabama",0.0
244,"Butler, Kansas",0.0
245,"Butler, Kentucky",0.0
246,"Butler, Missouri",0.0
247,"Butler, Nebraska",0.0
248,"Butler, Ohio",0.0
249,"Butler, Pennsylvania",0.0
250,"Butte, California",0.0
251,"Butte, Idaho",0.0
252,"Butte, South Dakota",0.0
253,"Cabarrus, North Carolina",0.0
254,"Cabell, West Virginia",0.0
255,"Caddo parish, Louisiana",0.0
256,"Caddo, Louisiana",0.00028571428571428574
257,"Caddo, Oklahoma",0.0
258,"Calaveras, California",0.0
259,"Calcasieu, Louisiana",0.0
260,"Caldwell, Kentucky",0.0
261,"Caldwell, Louisiana",0.0
262,"Caldwell, Missouri",0.0
263,"Caldwell, North Carolina",0.0
264,"Caldwell, Texas",0.0
265,"Caledonia, Vermont",0.0
266,"Calhoun, Alabama",0.0
267,"Calhoun, Arkansas",0.0
268,"Calhoun, Florida",0.0
269,"Calhoun, Illinois",0.0
270,"Calhoun, Michigan",0.0
271,"Calhoun, South Carolina",0.0
272,"Calhoun, Texas",0.0
273,"Calhoun, West Virginia",0.0
274,"Callahan, Texas",0.0
275,"Callaway, Missouri",0.0
276,"Calloway, Kentucky",0.0
277,"Calumet, Wisconsin",0.0
278,"Calvert, Maryland",0.0
279,"Cambria county, Pennsylvania",0.0
280,"Cambria, Pennsylvania",0.0
281,"Camden, Missouri",0.0
282,"Camden, New Jersey",0.0
283,"Camden, North Carolina",0.0
284,"Cameron, Louisiana",0.0
285,"Cameron, Pennsylvania",0.0
286,"Cameron, Texas",0.0
287,"Camp, Texas",0.0
288,"Campbell, Kentucky",0.0
289,"Campbell, Virginia",0.0
290,"Campbell, Wyoming",0.0
291,"Canadian, Oklahoma",0.0
292,"Canyon, Idaho",0.0
293,"Cape girardeau, Missouri",0.0
294,"Cape may, New Jersey",0.0
295,"Carbon, Montana",0.0
296,"Carbon, Pennsylvania",0.0
297,"Carbon, Wyoming",0.0
298,"Caribou, Idaho",0.0
299,"Carlisle, Kentucky",0.0
300,"Carlton, Minnesota",0.0
301,"Caroline, Maryland",0.0
302,"Caroline, Virginia",0.0
303,"Carroll, Arkansas",0.0
304,"Carroll, Illinois",0.0
305,"Carroll, Indiana",0.0
306,"Carroll, Kentucky",0.0
307,"Carroll, Maryland",0.0
308,"Carroll, Missouri",0.0
309,"Carroll, New Hampshire",0.0
310,"Carroll, Virginia",0.0
311,"Carson city, Nevada",0.0
312,"Carson, Texas",0.0
313,"Carter, Kentucky",0.0
314,"Carter, Missouri",0.0
315,"Carter, Oklahoma",0.0
316,"Carteret, North Carolina",0.0
317,"Carver, Minnesota",0.0
318,"Cascade, Montana",0.0
319,"Casey, Kentucky",0.0
320,"Cass, Illinois",0.0
321,"Cass, Indiana",0.0
322,"Cass, Minnesota",0.0
323,"Cass, Missouri",0.0
324,"Cass, Nebraska",0.0
325,"Cass, North Dakota",0.0
326,"Cass, Texas",0.0
327,"Cassia, Idaho",0.0
328,"Castro, Texas",0.0
329,"Caswell, North Carolina",0.0
330,"Catahoula, Louisiana",0.0
331,"Catawba, North Carolina",0.0
332,"Catron, New Mexico",0.0
333,"Cattaraugus, New York",0.0
334,"Cecil, Maryland",0.0
335,"Cedar, Missouri",0.0
336,"Cedar, Nebraska",0.0
337,"Centre county, Pennsylvania",0.0
338,"Centre, Pennsylvania",0.0
339,"Chambers, Alabama",0.0
340,"Chambers, Texas",0.0
341,"Champaign, Illinois",0.0
342,"Chariton, Missouri",0.0
343,"Charles city, Virginia",0.0
344,"Charles mix, South Dakota",0.0
345,"Charles, Maryland",0.0
346,"Charleston county, South Carolina",0.0
347,"Charleston, South Carolina",0.0
348,"Charlotte, Florida",0.0
349,"Charlotte, Virginia",0.0
350,"Chase, Kansas",0.0
351,"Chase, Nebraska",0.0
352,"Chatham, North Carolina",0.0
353,"Chautauqua, Kansas",0.0
354,"Chaves, New Mexico",0.0
355,"Chelan, Washington",0.0
356,"Chemung, New York",0.0
357,"Cherokee, Alabama",0.0
358,"Cherokee, Kansas",0.0
359,"Cherokee, North Carolina",0.0
360,"Cherokee, Oklahoma",0.0
361,"Cherokee, South Carolina",0.0
362,"Cherokee, Texas",0.0
363,"Cherry, Nebraska",0.0
364,"Chesapeake, Virginia",0.0
365,"Cheshire, New Hampshire",0.0
366,"Chester county, Pennsylvania",0.0
367,"Chester, Pennsylvania",0.0
368,"Chester, South Carolina",0.0
369,"Chesterfield, South Carolina",0.02039759036144578
370,"Chesterfield, Virginia",0.0
371,"Cheyenne, Kansas",0.0
372,"Cheyenne, Nebraska",0.0
373,"Chicot, Arkansas",0.0
374,"Chilton, Alabama",0.0
375,"Chippewa, Michigan",0.0
376,"Chippewa, Minnesota",0.0
377,"Chippewa, Wisconsin",0.0
378,"Chisago, Minnesota",0.0
379,"Chittenden, Vermont",0.0
380,"Choctaw, Alabama",0.0
381,"Choctaw, Oklahoma",0.0
382,"Chouteau, Montana",0.0
383,"Chowan, North Carolina",0.0
384,"Christian, Illinois",0.0
385,"Christian, Kentucky",0.0
386,"Christian, Missouri",0.0
387,"Churchill, Nevada",0.0
388,"Cibola, New Mexico",0.0
389,"Cimarron, Oklahoma",0.0
390,"Citrus county, Florida",0.0
391,"Citrus, Florida",0.0
392,"Clackamas, Oregon",0.0
393,"Claiborne, Louisiana",0.0
394,"Clallam, Washington",0.0
395,"Clarendon, South Carolina",0.0
396,"Clarion, Pennsylvania",0.0
397,"Clark county, Nevada",0.0
398,"Clark, Arkansas",0.0
399,"Clark, Idaho",0.0
400,"Clark, Illinois",0.0
401,"Clark, Indiana",0.0
402,"Clark, Kentucky",0.0
403,"Clark, Missouri",0.0
404,"Clark, Nevada",0.0
405,"Clark, South Dakota",0.0
406,"Clark, Washington",0.0
407,"Clark, Wisconsin",0.0
408,"Clarke, Alabama",0.0
409,"Clarke, Virginia",0.0
410,"Clatsop, Oregon",0.0
411,"Clay, Alabama",0.0
412,"Clay, Arkansas",0.0
413,"Clay, Florida",0.0
414,"Clay, Illinois",0.0
415,"Clay, Indiana",0.0
416,"Clay, Kansas",0.0
417,"Clay, Kentucky",0.0
418,"Clay, Minnesota",0.0
419,"Clay, Missouri",0.0
420,"Clay, Nebraska",0.0
421,"Clay, North Carolina",0.0
422,"Clay, South Dakota",0.0
423,"Clay, Texas",0.0
424,"Clay, West Virginia",0.0
425,"Clearfield county, Pennsylvania",0.0
426,"Clearfield, Pennsylvania",0.0
427,"Clearwater, Idaho",0.0
428,"Clearwater, Minnesota",0.0
429,"Cleburne, Alabama",0.0
430,"Cleburne, Arkansas",0.0
431,"Cleveland, Arkansas",0.0
432,"Cleveland, North Carolina",0.0
433,"Cleveland, Oklahoma",0.0
434,"Clinton, Illinois",0.0
435,"Clinton, Indiana",0.0
436,"Clinton, Iowa",0.0
437,"Clinton, Kentucky",0.0025
438,"Clinton, Missouri",0.0
439,"Clinton, Pennsylvania",0.0
440,"Cloud, Kansas",0.0
441,"Coal, Oklahoma",0.0
442,"Cochise, Arizona",0.0003278688524590164
443,"Cochran, Texas",0.0
444,"Coconino, Arizona",0.0
445,"Codington, South Dakota",0.0
446,"Coffee, Alabama",0.0
447,"Coffey, Kansas",0.0
448,"Coke, Texas",0.0
449,"Colbert, Alabama",0.0
450,"Cole, Missouri",0.0
451,"Coleman, Texas",0.0
452,"Coles, Illinois",0.0
453,"Colfax, Nebraska",0.0
454,"Colfax, New Mexico",0.0
455,"Colleton, South Carolina",0.0
456,"Collier, Florida",0.0
457,"Collin, Texas",0.0
458,"Collingsworth, Texas",0.0
459,"Colorado, Texas",0.0
460,"Columbia, Arkansas",0.0
461,"Columbia, Florida",0.0
462,"Columbia, New York",0.0
463,"Columbia, Oregon",0.0
464,"Columbia, Pennsylvania",0.0
465,"Columbia, Washington",0.0
466,"Columbia, Wisconsin",0.0
467,"Columbus county, North Carolina",0.0
468,"Columbus, North Carolina",0.0
469,"Comal, Texas",0.0
