,county,E_coli
0,"Abbeville, South Carolina",0.0
1,"Acadia, Louisiana",0.0
2,"Accomack, Virginia",0.0
3,"Ada, Idaho",0.0
4,"Adair, Iowa",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.0
10,"Adams, Indiana",0.0
11,"Adams, Iowa",0.0
12,"Adams, Nebraska",0.0
13,"Adams, Ohio",0.0
14,"Adams, Pennsylvania",0.0
15,"Adams, Washington",0.0
16,"Addison, Vermont",0.0
17,"Aiken, South Carolina",0.0
18,"Alamance, North Carolina",0.0
19,"Albany, New York",0.0
20,"Albany, Wyoming",0.0
21,"Albemarle, Virginia",0.0
22,"Aleutians east borough, Alaska",0.0
23,"Aleutians east, Alaska",0.0
24,"Aleutians west census area, Alaska",0.0
25,"Aleutians west, Alaska",0.0
26,"Alexander, Illinois",0.0
27,"Alexander, North Carolina",0.0
28,"Alexandria, Virginia",0.0
29,"Alfalfa, Oklahoma",0.0
30,"Allamakee county, Iowa",0.0
31,"Allamakee, Iowa",0.0
32,"Allegany, New York",0.0
33,"Alleghany, North Carolina",0.0
34,"Alleghany, Virginia",0.0
35,"Allegheny county, Pennsylvania",0.0
36,"Allegheny, Pennsylvania",0.0
37,"Allen, Indiana",0.0
38,"Allen, Kansas",0.0
39,"Allen, Kentucky",0.0
40,"Allen, Louisiana",0.0
41,"Allen, Ohio",0.0
42,"Amelia, Virginia",0.0
43,"Amherst, Virginia",0.0
44,"Anchorage municipality, Alaska",0.0
45,"Anchorage, Alaska",0.0
46,"Anderson, Kansas",0.0
47,"Anderson, Kentucky",0.0
48,"Anderson, South Carolina",0.0
49,"Anderson, Texas",0.0
50,"Andrew, Missouri",0.0
51,"Andrews, Texas",0.0
52,"Androscoggin, Maine",0.0
53,"Angelina, Texas",0.0
54,"Anson, North Carolina",0.0
55,"Antelope, Nebraska",0.0
56,"Apache, Arizona",0.0
57,"Appanoose, Iowa",0.0
58,"Appomattox, Virginia",0.0
59,"Aransas, Texas",0.0
60,"Archuleta, Colorado",0.0
61,"Arkansas, Arkansas",0.0
62,"Arlington, Virginia",0.0
63,"Armstrong, Pennsylvania",0.0
64,"Armstrong, Texas",0.0
65,"Aroostook, Maine",0.0
66,"Arthur, Nebraska",0.0
67,"Ascension parish, Louisiana",0.0
