,county,TTHM
0,"-, Arizona",20.0
1,"Abbeville, South Carolina",45.5446
2,"Acadia, Louisiana",42.924
3,"Accomack, Virginia",40.899236641221385
4,"Ada, Idaho",10.291081001283688
5,"Adair, Iowa",47.49
6,"Adair, Kentucky",45.609375
7,"Adair, Missouri",35.24951456310679
8,"Adair, Oklahoma",36.933000000000014
9,"Adams, Idaho",0.0
10,"Adams, Illinois",13.787719298245616
11,"Adams, Indiana",13.893333333333333
12,"Adams, Iowa",49.038848920863295
13,"Adams, Nebraska",0.7266666666666666
14,"Adams, North Dakota",5.341666666666666
15,"Adams, Ohio",20.084117647058825
16,"Adams, Pennsylvania",17.46185567010309
17,"Adams, Washington",3.913255555555555
18,"Addison, Vermont",36.724404761904744
19,"Aiken, South Carolina",29.472584933530253
20,"Alachua, Florida",28.60086956521738
21,"Alamance, North Carolina",48.48518518518517
22,"Alameda, California",6.872891566265058
23,"Albany, New York",49.42119610570236
24,"Albany, Wyoming",20.81358620689656
25,"Albemarle, Virginia",38.183399999999985
26,"Aleutians east borough, Alaska",1.7966666666666666
27,"Aleutians east, Alaska",18.681111111111104
28,"Aleutians west census area, Alaska",13.941999999999998
29,"Aleutians west, Alaska",41.88245901639343
30,"Alexander, Illinois",50.37154471544716
31,"Alexander, North Carolina",39.98127490039841
32,"Alexandria, Virginia",23.83789473684211
33,"Alfalfa, Oklahoma",3.5558823529411763
34,"Allamakee county, Iowa",9.35
35,"Allamakee, Iowa",4.770434782608696
36,"Allegan, Michigan",6.173076923076923
37,"Allegany, New York",35.65139013452914
38,"Alleghany, North Carolina",0.8614754098360655
39,"Alleghany, Virginia",44.371875
40,"Allegheny county, Pennsylvania",47.304583333333326
41,"Allegheny, Pennsylvania",51.41960929169838
42,"Allen, Indiana",21.84090909090909
43,"Allen, Kansas",45.47434210526317
44,"Allen, Kentucky",57.1304347826087
45,"Allen, Louisiana",27.295
46,"Allen, Ohio",50.66297142857143
47,"Allendale, South Carolina",0.8555555555555555
48,"Alpena, Michigan",40.0
49,"Amador, California",46.02117647058824
50,"Amelia, Virginia",4.38
51,"American samoa, American Samoa",4.69453947368421
52,"Amherst, Virginia",52.35468750000002
53,"Anchorage, Alaska",3.2589285714285716
54,"Anderson, Kansas",55.889655172413796
55,"Anderson, Kentucky",45.794845360824745
56,"Anderson, South Carolina",54.14643564356436
57,"Anderson, Tennessee",42.658765432098775
58,"Anderson, Texas",37.05314009661835
59,"Andrew, Missouri",59.171929824561396
60,"Andrews, Texas",3.5
61,"Androscoggin, Maine",41.883667621776475
62,"Angelina, Texas",80.45342706502637
63,"Anson, North Carolina",62.70922619047619
64,"Antelope, Nebraska",0.0
65,"Antrim, Michigan",0.85
66,"Apache, Arizona",32.780663507109
67,"Appanoose, Iowa",43.062937062937074
68,"Appomattox, Virginia",2.522222222222222
69,"Aransas, Texas",53.286111111111126
70,"Archer, Texas",71.78181818181818
71,"Arenac, Michigan",39.582089552238806
72,"Arkansas, Arkansas",10.61304347826087
73,"Arlington, Virginia",39.835862068965525
74,"Armstrong, Pennsylvania",68.54230769230769
75,"Armstrong, Texas",1.4000000000000001
76,"Aroostook, Maine",46.70023923444978
77,"Ascension, Louisiana",25.506649122807023
78,"Ashe, North Carolina",2.8716216216216215
79,"Ashland, Ohio",39.69008771929825
80,"Ashland, Wisconsin",15.536842105263156
81,"Ashley, Arkansas",46.47538461538461
82,"Ashtabula, Ohio",51.71003521126763
83,"Asotin, Washington",2.41
84,"Assumption, Louisiana",68.7837894736842
85,"Atascosa county, Texas",4.0
86,"Atascosa, Texas",16.100000000000005
87,"Atchison, Kansas",68.22233009708738
88,"Atchison, Missouri",60.365384615384606
89,"Athens, Ohio",49.16611940298506
90,"Atlantic, New Jersey",10.554510184287093
91,"Atoka, Oklahoma",90.39102564102565
92,"Audrain, Missouri",58.62043103448274
93,"Audubon, Iowa",20.18
94,"Auglaize, Ohio",31.42811320754717
95,"Augusta, Virginia",17.67012209944751
96,"Aurora, South Dakota",59.29500000000001
97,"Austin, Texas",2.42741935483871
98,"Autauga, Alabama",12.099116279069772
99,"Avery, North Carolina",2.1333333333333333
100,"Avoyelles, Louisiana",39.50596491228069
101,"B, Oklahoma",80.04814814814813
102,"Bailey, Texas",11.1
103,"Baker county, Florida",20.313333333333336
104,"Baker, Florida",39.412978723404265
105,"Baker, Oregon",20.211162790697678
106,"Baldwin, Alabama",15.652954545454547
107,"Ballard, Kentucky",3.909090909090909
108,"Bamberg, South Carolina",6.256363636363636
109,"Bandera, Texas",20.844516129032254
110,"Bannock, Idaho",5.6448684210526325
111,"Baraga, Michigan",48.339130434782604
112,"Barber, Kansas",18.84
113,"Barbour, Alabama",6.507169811320757
114,"Barbour, West Virginia",37.52473118279569
115,"Barnes, North Dakota",37.83607843137255
116,"Barnwell, South Carolina",1.7283333333333333
117,"Barren, Kentucky",47.890052356020945
118,"Barry, Michigan",6.386363636363637
119,"Barry, Missouri",1.29
120,"Bartholomew, Indiana",11.662264150943395
121,"Barton, Kansas",11.716129032258065
122,"Barton, Missouri",63.53833333333332
123,"Bastrop, Texas",38.040526315789485
124,"Bates, Missouri",57.98376288659794
125,"Bath, Virginia",3.308333333333333
126,"Baxter, Arkansas",48.5469798657718
127,"Bay, Florida",45.23966054158609
128,"Bay, Michigan",43.17848101265824
129,"Bayfield, Wisconsin",0.46142857142857147
130,"Baylor, Texas",10.080000000000002
131,"Beadle, South Dakota",41.72444444444444
132,"Bear lake, Idaho",0.73
133,"Beaufort, North Carolina",34.83913043478261
134,"Beaufort, South Carolina",28.077197802197823
135,"Beauregard, Louisiana",9.050281690140844
136,"Beaver county, Pennsylvania",72.47916666666667
137,"Beaver, Oklahoma",7.714285714285714
138,"Beaver, Pennsylvania",66.32008368200833
139,"Beaver, Utah",7.277777777777778
140,"Beaverhead, Montana",3.076190476190476
141,"Becker, Minnesota",1.5881481481481483
142,"Beckham, Oklahoma",10.540909090909091
143,"Bedford, Pennsylvania",16.708000000000002
144,"Bedford, Tennessee",48.973397129186594
145,"Bedford, Virginia",43.54170040485828
146,"Bee, Texas",47.29832402234636
147,"Bell, Kentucky",27.905213270142188
148,"Bell, Texas",42.09363354037268
149,"Belmont, Ohio",48.15971590909091
150,"Benewah, Idaho",5.053921568627451
151,"Bennett, South Dakota",1.425
152,"Bennington, Vermont",46.84970873786407
153,"Benson, North Dakota",16.487647058823526
154,"Benton county, Arkansas",50.49791666666666
155,"Benton, Arkansas",58.64551886792454
156,"Benton, Indiana",8.069565217391302
157,"Benton, Iowa",3.9467272727272724
158,"Benton, Missouri",0.24772727272727274
159,"Benton, Oregon",31.050225563909777
160,"Benton, Tennessee",41.37393939393939
161,"Benton, Washington",34.74311452513968
162,"Benzie, Michigan",16.400000000000002
163,"Bergen, New Jersey",27.042551619234484
164,"Berkeley, South Carolina",29.94636815920397
165,"Berkeley, West Virginia",21.823259689922494
166,"Berks county, Pennsylvania",2.1
167,"Berks, Pennsylvania",26.10465686274511
168,"Bernalillo, New Mexico",8.959571428571422
169,"Berrien, Michigan",14.605154639175257
170,"Bertie, North Carolina",27.045454545454547
171,"Bethel census area, Alaska",27.85
172,"Bethel, Alaska",22.38403141361256
173,"Bexar, Texas",25.730968096809697
174,"Bibb, Alabama",2.4222857142857137
175,"Bienville, Louisiana",43.48125000000001
176,"Big horn, Montana",10.004177215189868
177,"Big horn, Wyoming",18.540833333333335
178,"Billings, North Dakota",5.898
179,"Bingham, Idaho",4.233333333333333
180,"Black hawk, Iowa",6.596097560975609
181,"Blackford, Indiana",15.214285714285714
182,"Bladen, North Carolina",27.807738095238093
183,"Blaine, Idaho",1.1690196078431376
184,"Blaine, Montana",42.25999999999999
185,"Blaine, Oklahoma",17.77
186,"Blair, Pennsylvania",14.353780487804876
187,"Blanco, Texas",58.36249999999999
188,"Bland, Virginia",40.186206896551724
189,"Bledsoe, Tennessee",44.682
190,"Blount, Alabama",29.23107778819118
191,"Blount, Tennessee",35.241604477611936
192,"Boise, Idaho",28.636690647482013
193,"Bollinger, Missouri",3.738666666666666
194,"Bon homme, South Dakota",48.374285714285726
195,"Bond, Illinois",56.79535185185188
196,"Bonner, Idaho",15.433946858407083
197,"Bonneville, Idaho",1.2443951546391752
198,"Boone, Arkansas",3.7166666666666663
199,"Boone, Illinois",6.194545454545454
200,"Boone, Indiana",25.801851851851854
201,"Boone, Iowa",45.10086206896552
202,"Boone, Kentucky",37.15645161290322
203,"Boone, Missouri",22.586567164179105
204,"Boone, Nebraska",0.0
205,"Boone, West Virginia",25.963291139240503
206,"Bosque, Texas",36.58027210884356
207,"Bossier, Louisiana",15.190003300330035
208,"Botetourt, Virginia",5.123404255319149
209,"Bottineau, North Dakota",46.872978723404266
210,"Boundary, Idaho",30.00370689655172
211,"Bourbon, Kansas",19.85932203389831
212,"Bourbon, Kentucky",57.580000000000005
213,"Bowie, Texas",63.35589887640452
214,"Bowman, North Dakota",34.57937499999999
215,"Box butte, Nebraska",10.091333333333333
216,"Box elder, Utah",3.975
217,"Boyd, Kentucky",60.98969072164948
218,"Boyd, Nebraska",8.33
219,"Boyle, Kentucky",41.91734693877551
220,"Bracken, Kentucky",41.58571428571429
221,"Bradford, Florida",17.029999999999998
222,"Bradford, Pennsylvania",8.700000000000001
223,"Bradley, Arkansas",29.83333333333334
224,"Bradley, Tennessee",37.01725581395349
225,"Branch, Michigan",10.866666666666667
226,"Braxton, West Virginia",42.80174418604649
227,"Brazoria, Texas",32.289478957915804
228,"Brazos, Texas",43.52473118279571
229,"Breathitt, Kentucky",45.14803921568626
230,"Breckinridge, Kentucky",22.05
231,"Bremer, Iowa",15.889999999999999
