,county,alkalinity
0,"Abbeville, South Carolina",17986.274509803923
1,"Acadia, Louisiana",292544.0
2,"Accomack, Virginia",160426.1403508772
3,"Ada, Idaho",99833.33333333333
4,"Adair, Iowa",162512.19512195123
5,"Adair, Kentucky",50600.0
6,"Adair, Missouri",90167.56756756757
7,"Adair, Oklahoma",84237.21973094171
8,"Adams, Illinois",195833.33333333334
9,"Adams, Pennsylvania",86543.75
10,"Addison, Vermont",119333.33333333333
11,"Aiken, South Carolina",13853.725490196079
12,"Alamance, North Carolina",34566.796875
13,"Albany, Wyoming",65574.25
14,"Albemarle, Virginia",31824.337606837606
15,"Alexander, Illinois",103500.0
16,"Alexander, North Carolina",70944.44444444444
17,"Alexandria, Virginia",59966.666666666664
18,"Alfalfa, Oklahoma",96850.0
19,"Allamakee, Iowa",245000.0
20,"Alleghany, Virginia",49121.4606741573
21,"Allegheny county, Pennsylvania",34916.666666666664
22,"Allegheny, Pennsylvania",49429.7672826831
23,"Allen, Indiana",214405.55555555556
24,"Allen, Kansas",159756.17021276595
25,"Allen, Kentucky",88136.98630136986
26,"Allen, Louisiana",162326.66666666666
27,"Allen, Ohio",348000.0
28,"Allendale, South Carolina",62350.0
29,"Amelia, Virginia",85472.72727272728
30,"Amherst, Virginia",30109.21212121212
31,"Anchorage municipality, Alaska",117500.0
32,"Anchorage, Alaska",84477.88461538461
33,"Anderson, Kansas",143620.98765432098
34,"Anderson, Kentucky",97150.68493150685
35,"Anderson, South Carolina",19365.625
36,"Anderson, Texas",261180.72289156626
37,"Andrew, Missouri",249600.0
38,"Andrews, Texas",148909.0909090909
39,"Androscoggin, Maine",73890.90909090909
40,"Angelina, Texas",379721.31147540984
41,"Anson, North Carolina",14171.535947712418
42,"Apache, Arizona",240500.0
43,"Appanoose, Iowa",89518.98734177215
44,"Appomattox, Virginia",66680.4
45,"Aransas, Texas",318875.0
46,"Archer, Texas",120888.88888888889
47,"Armstrong, Pennsylvania",46445.182186234815
48,"Armstrong, Texas",241666.66666666666
49,"Aroostook, Maine",118918.09290953545
50,"Ascension, Louisiana",153165.21739130435
51,"Ashe, North Carolina",22237.362637362636
52,"Ashland, Ohio",338520.0
53,"Assumption, Louisiana",113566.66666666667
54,"Atascosa county, Texas",258200.0
55,"Atascosa, Texas",227166.66666666666
56,"Atchison, Kansas",194280.24691358025
57,"Atlantic, New Jersey",35686.645768025075
58,"Atoka, Oklahoma",30862.475
59,"Audrain, Missouri",103931.50684931508
60,"Augusta, Virginia",97634.28571428571
61,"Austin, Texas",169573.77049180327
62,"Autauga, Alabama",37493.4
63,"Avery, North Carolina",34434.35582822086
64,"Avoyelles, Louisiana",274420.0
65,"B, Oklahoma",128760.86956521739
66,"Bailey, Texas",246625.0
67,"Baldwin, Alabama",28834.689523809524
68,"Ballard, Kentucky",72153.84615384616
69,"Bandera, Texas",284277.3109243697
70,"Barber, Kansas",222000.0
71,"Barbour, Alabama",140518.9655172414
72,"Barbour, West Virginia",25446.043165467625
73,"Barnes, North Dakota",329115.4639175258
74,"Barren, Kentucky",123130.13698630137
75,"Barry, Missouri",220620.75471698114
76,"Bartholomew, Indiana",225000.0
77,"Barton, Kansas",250180.55555555556
78,"Barton, Missouri",92064.93506493507
79,"Bastrop, Texas",257360.625
80,"Bates, Missouri",116335.69023569024
81,"Bath, Virginia",107781.48148148147
82,"Baylor, Texas",185250.0
83,"Beaufort, South Carolina",28232.894736842107
84,"Beauregard, Louisiana",114842.30769230769
85,"Beaver, Pennsylvania",53373.72549019608
86,"Beckham, Oklahoma",269000.0
87,"Bedford, Pennsylvania",50866.07142857143
88,"Bedford, Virginia",44758.36734693877
89,"Bee, Texas",256545.45454545456
90,"Bell, Kentucky",21294.392523364488
91,"Bell, Texas",198350.64935064936
92,"Bennington, Vermont",108972.22222222222
93,"Benson, North Dakota",243660.0
94,"Benton, Iowa",169333.33333333334
95,"Benton, Missouri",316708.82352941175
96,"Benton, Oregon",31643.661971830985
97,"Bergen, New Jersey",104168.84792626728
98,"Berkeley, South Carolina",34747.845303867405
99,"Berkeley, West Virginia",166669.37931034484
100,"Berks county, Pennsylvania",202480.45
101,"Berks, Pennsylvania",61099.6015936255
102,"Bernalillo, New Mexico",304818.1818181818
103,"Bethel census area, Alaska",88866.66666666667
104,"Bethel, Alaska",206802.5
105,"Bexar, Texas",225188.48167539266
106,"Bibb, Alabama",125288.88888888889
107,"Bienville, Louisiana",147585.7142857143
108,"Big horn, Montana",305517.2413793103
109,"Billings, North Dakota",68700.0
110,"Black hawk, Iowa",280000.0
111,"Blaine, Idaho",156666.66666666666
112,"Blaine, Montana",197178.57142857142
113,"Blair, Pennsylvania",15168.548387096775
114,"Blanco, Texas",251066.66666666666
115,"Bland, Virginia",145176.62337662338
116,"Blount, Alabama",106376.71232876713
117,"Boise, Idaho",31123.61111111111
118,"Bollinger, Missouri",281000.0
119,"Bond, Illinois",100511.62790697675
120,"Bonner, Idaho",26342.5
121,"Boone, Illinois",343750.0
122,"Boone, Indiana",328178.5714285714
123,"Boone, Kentucky",279200.0
124,"Boone, Missouri",324100.0
