,county,alpha_particles
0,"Abbeville, South Carolina",9.73
1,"Acadia, Louisiana",0.10344827586206896
2,"Ada, Idaho",15.292952380952375
3,"Adair, Iowa",9.33
4,"Adair, Kentucky",0.21428571428571427
5,"Adair, Oklahoma",8.147232558139528
6,"Adams, Illinois",4.4
7,"Adams, Nebraska",7.8999999999999995
8,"Adams, Wisconsin",1.9633333285714285
9,"Addison, Vermont",11.184137931034483
10,"Aiken, South Carolina",2.7761904761904765
11,"Aitkin, Minnesota",2.1999999999999997
12,"Alachua, Florida",2.03
13,"Alamance, North Carolina",0.45567010309278355
14,"Albany, New York",0.5660000000000001
15,"Albany, Wyoming",3.8
16,"Albemarle, Virginia",1.171875
17,"Alcona, Michigan",1.92
18,"Aleutians east borough, Alaska",2.2
19,"Aleutians west census area, Alaska",0.0
20,"Aleutians west, Alaska",0.0
21,"Alexander, North Carolina",0.0
22,"Alfalfa, Oklahoma",0.61835
23,"Alger, Michigan",7.099999999999999
24,"Allegan, Michigan",0.8560000000000004
25,"Allegany, Maryland",0.4090909090909091
26,"Allegany, New York",0.9866666666666667
27,"Alleghany, North Carolina",0.0
28,"Allen, Indiana",0.0
29,"Allen, Kansas",0.0
30,"Allen, Kentucky",0.86
31,"Allen, Louisiana",1.1968421052631577
32,"Allen, Ohio",0.0
33,"Allendale, South Carolina",0.0
34,"American samoa, American Samoa",0.6396551724137931
35,"Anchorage, Alaska",1.379883495145631
36,"Anderson, Kentucky",1.7
37,"Anderson, South Carolina",0.0
38,"Anderson, Tennessee",0.0
39,"Androscoggin, Maine",38.46509259259259
40,"Anne arundel, Maryland",2.0067113402061865
41,"Anoka, Minnesota",7.250793650793652
42,"Anson, North Carolina",0.0
43,"Antelope, Nebraska",6.4
44,"Antrim, Michigan",0.0
45,"Apache, Arizona",5.953916464705881
46,"Armstrong, Texas",10.0
47,"Aroostook, Maine",0.28068035714285716
48,"Ascension, Louisiana",0.05153846153846155
49,"Ashe, North Carolina",2.156578947368421
50,"Ashland, Wisconsin",0.3085714285714286
51,"Assumption, Louisiana",0.585
52,"Atascosa, Texas",34.1
53,"Atlantic, New Jersey",10.006382516339865
54,"Atoka, Oklahoma",0.985897435897436
55,"Augusta, Virginia",0.9142857142857143
56,"Austin, Texas",29.599999999999994
57,"Autauga, Alabama",1.2773333333333334
58,"Avery, North Carolina",0.7885964912280701
59,"Avoyelles, Louisiana",1.2142857142857142
60,"B, Oklahoma",1.4265555555555556
61,"Baker, Florida",1.6666666666666667
62,"Baker, Oregon",0.5833333333333334
63,"Baldwin, Alabama",1.6017205882352938
64,"Ballard, Kentucky",0.7272727272727273
65,"Baltimore city, Maryland",0.5
66,"Baltimore, Maryland",4.655555555555555
67,"Bamberg, South Carolina",0.805
68,"Bandera, Texas",16.433333333333334
69,"Banner, Nebraska",6.0249999999999995
70,"Bannock, Idaho",3.2168181818181822
71,"Barber, Kansas",0.0
72,"Barbour, Alabama",15.550392156862745
73,"Barbour, West Virginia",0.0
74,"Barnes, North Dakota",1.71369
75,"Barnwell, South Carolina",0.0
76,"Barren, Kentucky",0.0
77,"Barron, Wisconsin",0.3973015857142857
78,"Barry, Michigan",0.18378378378378377
79,"Barry, Missouri",9.108333333333334
80,"Barton, Kansas",6.43
81,"Bay, Florida",1.8399999999999999
82,"Bay, Michigan",0.56
83,"Bayfield, Wisconsin",2.918
84,"Beadle, South Dakota",0.0
85,"Bear lake, Idaho",1.9614285714285717
86,"Beaufort, North Carolina",0.0
87,"Beaufort, South Carolina",0.11730769230769231
88,"Beauregard, Louisiana",0.0
89,"Beaver, Oklahoma",8.31
90,"Beaver, Utah",9.977499999999988
91,"Beaverhead, Montana",8.942857142857143
92,"Becker, Minnesota",0.74
93,"Beckham, Oklahoma",1.1632987012987013
94,"Bedford, Virginia",1.44
95,"Bee, Texas",11.5
96,"Belknap, New Hampshire",1.5418823529411763
97,"Bell, Kentucky",0.7333333333333334
98,"Belmont, Ohio",0.0
99,"Beltrami county, Minnesota",4.9
100,"Beltrami, Minnesota",0.48831168831168825
101,"Benewah, Idaho",3.146
102,"Bennett, South Dakota",4.425
103,"Bennington, Vermont",0.4838888888888888
104,"Benson, North Dakota",1.3933333333333333
105,"Benton, Iowa",6.14
106,"Benton, Minnesota",0.5
107,"Benton, Missouri",5.1
108,"Benton, Oregon",0.2941666666666667
109,"Benton, Tennessee",0.875
110,"Benzie, Michigan",0.6427999999999999
111,"Bergen, New Jersey",0.9999256505576207
112,"Berkeley, South Carolina",1.7333333333333334
113,"Berkeley, West Virginia",1.1440769230769232
114,"Bernalillo, New Mexico",6.635161261261261
115,"Berrien, Michigan",2.6374999999999997
116,"Bertie, North Carolina",0.5216666666666666
117,"Bethel, Alaska",0.5384615384615385
118,"Bexar, Texas",13.0
119,"Bibb, Alabama",1.1833333333333333
120,"Bienville, Louisiana",0.09
121,"Big horn, Montana",2.375
122,"Big stone, Minnesota",1.325
123,"Bingham, Idaho",1.919375
124,"Black hawk, Iowa",2.8499999999999996
125,"Blackford, Indiana",3.9
126,"Bladen, North Carolina",0.23513513513513512
127,"Blaine, Idaho",2.0805555555555557
128,"Blaine, Montana",1.5
129,"Blaine, Nebraska",0.85
130,"Blaine, Oklahoma",1.436
131,"Bledsoe, Tennessee",0.0
132,"Blount, Alabama",0.3230769230769231
133,"Blount, Tennessee",1.5589999999999997
134,"Blue earth, Minnesota",6.253846153846155
135,"Boise, Idaho",1.5388888888888888
136,"Bon homme, South Dakota",3.5
137,"Bonner, Idaho",0.9636363636363636
138,"Bonneville, Idaho",3.5989130434782606
139,"Boone, Illinois",7.744
140,"Boone, Kentucky",1.966666666666667
141,"Boone, Missouri",11.729032258064514
142,"Boone, Nebraska",7.155555555555556
143,"Bossier, Louisiana",0.17161764705882354
144,"Botetourt, Virginia",3.307878787878787
145,"Bottineau, North Dakota",3.6266666666666665
146,"Boundary, Idaho",1.4525
147,"Bourbon, Kentucky",1.8
148,"Bowman, North Dakota",5.135
149,"Box butte, Nebraska",3.3
150,"Box elder, Utah",3.330866141732284
151,"Boyd, Kentucky",0.775
152,"Boyle, Kentucky",0.08
153,"Bracken, Kentucky",1.4
154,"Bradford, Florida",0.5
155,"Branch, Michigan",3.9749999999999996
156,"Braxton, West Virginia",0.0278
157,"Breathitt, Kentucky",1.0066666666666666
158,"Breckinridge, Kentucky",0.04
159,"Brevard, Florida",0.7487857142857142
160,"Brewster, Texas",32.19166666666667
161,"Broadwater, Montana",2.783333333333333
162,"Brookings, South Dakota",2.75
163,"Brooks, Texas",9.1
164,"Broward county, Florida",0.0
165,"Broward, Florida",0.8537454545454545
166,"Brown, Minnesota",4.605555555555556
167,"Brown, South Dakota",0.7999999999999999
168,"Brown, Wisconsin",4.96875
169,"Brule, South Dakota",0.0
170,"Brunswick, North Carolina",0.0
171,"Bryan, Oklahoma",0.6259320388349513
172,"Buchanan, Iowa",7.06
173,"Buffalo, Nebraska",6.390909090909091
174,"Buffalo, Wisconsin",1.1831250000000002
175,"Bullock, Alabama",1.3210526315789475
176,"Buncombe, North Carolina",0.4260377358490566
177,"Bureau, Illinois",17.27506470588236
178,"Burke, North Carolina",0.0
179,"Burke, North Dakota",2.9362500000000002
180,"Burleigh, North Dakota",1.6266666666666667
181,"Burlington, New Jersey",2.7448834498834507
182,"Burnet, Texas",16.954545454545453
183,"Burnett, Wisconsin",0.17625
184,"Burt, Nebraska",8.533333333333333
185,"Butler, Alabama",0.7875
186,"Butler, Kansas",0.0
187,"Butler, Kentucky",0.0
188,"Butler, Missouri",0.0
189,"Butler, Ohio",0.0
190,"Butte, South Dakota",3.922222222222222
191,"Cabarrus, North Carolina",6.65896551724138
192,"Cabell, West Virginia",0.587
193,"Cache, Utah",2.6217948717948727
194,"Caddo parish, Louisiana",0.375
195,"Caddo, Louisiana",0.0067
196,"Caddo, Oklahoma",3.205111111111113
197,"Calcasieu, Louisiana",0.0
198,"Caldwell, Kentucky",0.3666666666666667
199,"Caldwell, Louisiana",0.025
200,"Caldwell, North Carolina",1.675
201,"Caledonia, Vermont",0.921875
202,"Calhoun, Alabama",1.0363636363636362
203,"Calhoun, Florida",3.04
204,"Calhoun, Iowa",14.5
205,"Calhoun, Michigan",0.425
206,"Calhoun, South Carolina",0.6923076923076923
207,"Callaway, Missouri",12.190909090909093
208,"Calloway, Kentucky",1.0666666666666667
209,"Calumet, Wisconsin",1.4278095142857141
210,"Calvert, Maryland",1.013793103448276
211,"Camden, Missouri",5.373809523809524
212,"Camden, New Jersey",5.788953551198255
213,"Cameron, Louisiana",0.0
214,"Campbell, Kentucky",0.5
215,"Campbell, Tennessee",1.0594594594594593
216,"Campbell, Wyoming",3.4347826086956523
217,"Canadian, Oklahoma",2.254421052631579
218,"Canyon, Idaho",4.833010752688172
219,"Cape girardeau, Missouri",21.824999999999996
220,"Cape may, New Jersey",0.307625
221,"Carbon, Montana",6.266666666666667
222,"Carbon, Utah",2.075923846153846
223,"Carbon, Wyoming",3.7
224,"Caribou, Idaho",1.9140000000000001
225,"Carlisle, Kentucky",1.35
226,"Carlton, Minnesota",0.0
227,"Caroline, Maryland",2.1106249999999998
228,"Caroline, Virginia",3.2018181818181826
229,"Carroll, Illinois",8.775
230,"Carroll, Kentucky",0.56
231,"Carroll, Maryland",4.999177777777779
232,"Carroll, New Hampshire",9.440753623188405
233,"Carroll, Ohio",3.0
234,"Carroll, Tennessee",1.82
235,"Carson city, Nevada",0.6040375939849624
236,"Carter, Kentucky",0.4333333333333333
237,"Carter, Oklahoma",2.0045999999999995
238,"Carter, Tennessee",0.33
239,"Carteret, North Carolina",0.018292682926829267
240,"Carver, Minnesota",5.4915492957746475
241,"Cascade, Montana",5.54135135135135
242,"Casey, Kentucky",0.55
243,"Cass, Indiana",0.715
244,"Cass, Michigan",0.065
245,"Cass, Minnesota",1.6263829787234039
246,"Cass, Nebraska",3.2600000000000002
247,"Cass, North Dakota",1.949751818181818
248,"Cassia, Idaho",4.01625
249,"Caswell, North Carolina",6.5545
250,"Catahoula, Louisiana",0.03657017647058824
251,"Catawba, North Carolina",1.2665079365079364
252,"Catron, New Mexico",2.6862068965517234
253,"Cattaraugus, New York",0.325
254,"Cecil, Maryland",6.873782051282051
255,"Cedar, Missouri",5.8
256,"Cedar, Nebraska",5.60909090909091
257,"Champaign, Illinois",0.16
258,"Champaign, Ohio",0.0
259,"Charles mix, South Dakota",0.0
260,"Charles, Maryland",6.624105263157892
261,"Charleston, South Carolina",0.0
262,"Charlevoix, Michigan",0.0
263,"Charlotte, Florida",0.6526315789473683
264,"Charlotte, Virginia",2.85
265,"Chatham, North Carolina",2.357894736842105
266,"Chautauqua, New York",0.5666666666666667
267,"Chaves, New Mexico",1.28125
268,"Cheatham, Tennessee",1.3
269,"Cheboygan, Michigan",0.8000000000000002
270,"Chemung, New York",0.41000000000000003
271,"Cherokee, Alabama",0.52
272,"Cherokee, North Carolina",1.02
273,"Cherokee, Oklahoma",0.6439425
274,"Cherokee, South Carolina",0.0
275,"Cherry, Nebraska",0.0
276,"Chesapeake city, Virginia",2.075
277,"Chesapeake, Virginia",2.06
278,"Cheshire, New Hampshire",2.1370564516129034
279,"Chester, South Carolina",0.0
280,"Chesterfield, South Carolina",2.1775
281,"Cheyenne, Nebraska",0.275
282,"Chilton, Alabama",2.0333333333333337
283,"Chippewa, Michigan",8.5
284,"Chippewa, Minnesota",7.484999999999999
285,"Chippewa, Wisconsin",1.139
286,"Chisago, Minnesota",5.632352941176468
287,"Chittenden, Vermont",6.522253521126763
288,"Choctaw, Alabama",0.43846153846153846
289,"Choctaw, Oklahoma",6.394894736842106
290,"Chouteau, Montana",2.5
291,"Christian, Kentucky",0.2
292,"Christian, Missouri",4.055555555555555
293,"Churchill, Nevada",1.7474351904761902
294,"Cibola, New Mexico",1.0859210285714285
295,"Cimarron, Oklahoma",0.10769230769230768
296,"Citrus, Florida",0.46710526315789475
297,"Clackamas, Oregon",0.6115
298,"Claiborne, Louisiana",0.17857142857142858
299,"Claiborne, Tennessee",0.0
300,"Clarendon, South Carolina",5.178571428571429
301,"Clark, Illinois",0.0
302,"Clark, Indiana",0.6
303,"Clark, Kentucky",1.5
304,"Clark, Nevada",2.086387375415283
305,"Clark, Ohio",3.6375
306,"Clark, South Dakota",0.6666666666666666
307,"Clark, Wisconsin",3.6915151499999994
308,"Clarke, Alabama",0.868421052631579
309,"Clatsop, Oregon",1.0678571428571428
310,"Clay, Florida",0.12978723404255318
311,"Clay, Illinois",2.7
312,"Clay, Indiana",2.2294117647058824
313,"Clay, Kansas",6.47027027027027
314,"Clay, Kentucky",0.6
315,"Clay, Minnesota",1.6266666666666667
316,"Clay, Nebraska",1.2333333333333334
317,"Clay, North Carolina",0.0
318,"Clay, South Dakota",3.2
319,"Clay, Tennessee",0.0
320,"Clayton, Iowa",2.025
321,"Clearwater, Minnesota",1.25
322,"Clermont, Ohio",0.0
323,"Cleveland, North Carolina",0.45172413793103455
324,"Cleveland, Oklahoma",4.290654243542437
325,"Clinton, Illinois",0.0
326,"Clinton, Indiana",0.0
327,"Clinton, Kentucky",2.05
328,"Clinton, Michigan",3.316666666666667
329,"Clinton, New York",0.0
330,"Cloud, Kansas",8.379999999999999
331,"Coal, Oklahoma",0.5666666666666667
332,"Cochise, Arizona",0.7461538461538458
333,"Coconino, Arizona",4.627999999999999
334,"Codington, South Dakota",8.200000000000001
335,"Coffee, Alabama",0.740909090909091
336,"Colbert, Alabama",1.4000000000000001
337,"Cole, Missouri",5.983333333333333
338,"Colfax, Nebraska",10.66
339,"Colfax, New Mexico",4.6923076923076925
340,"Colleton, South Carolina",2.4428571428571426
341,"Collier, Florida",1.012
342,"Columbia, Florida",2.1423076923076927
343,"Columbia, New York",0.0
344,"Columbia, Oregon",1.425806451612903
345,"Columbia, Wisconsin",2.7774074055555555
346,"Columbiana, Ohio",0.0
347,"Columbus, North Carolina",0.0
348,"Colusa, California",0.9870588235294119
349,"Comal, Texas",17.4
350,"Comanche, Oklahoma",2.338260273972603
351,"Comanche, Texas",10.8
352,"Concho, Texas",48.93750000000001
353,"Concordia, Louisiana",0.4166666666666667
354,"Conecuh, Alabama",0.0
355,"Converse, Wyoming",5.279444444444444
356,"Cook, Illinois",13.413033333333333
357,"Cook, Minnesota",2.44
358,"Cooper, Missouri",5.0200000000000005
359,"Coos, New Hampshire",0.786873015873016
360,"Coos, Oregon",0.5083333333333333
361,"Coosa, Alabama",1.225
362,"Corson, South Dakota",3.255555555555556
363,"Cortland, New York",0.39749999999999996
364,"Cotton, Oklahoma",0.6511621621621623
365,"Cottonwood county, Minnesota",0.0
366,"Cottonwood, Minnesota",2.764285714285714
