,county,asbestos
0,"Ada, Idaho",0.0
1,"Adams, Ohio",0.0
2,"Adams, Pennsylvania",0.018181818181818184
3,"Addison, Vermont",0.0
4,"Alachua, Florida",0.0
5,"Alamance, North Carolina",0.0
6,"Alameda, California",0.0010582010582010583
7,"Aleutians west, Alaska",0.0
8,"Allegany, New York",0.0
9,"Alleghany, North Carolina",0.0
10,"Allegheny county, Pennsylvania",0.0
11,"Allegheny, Pennsylvania",0.02
12,"Allen, Indiana",0.0
13,"Allen, Ohio",0.0
14,"Alpine, California",0.0
15,"Amador, California",0.0
16,"American samoa, American Samoa",0.0
17,"Anderson, Kentucky",0.0
18,"Anderson, Tennessee",0.0
19,"Androscoggin, Maine",0.0
20,"Anson, North Carolina",0.0
21,"Apache, Arizona",0.0
22,"Armstrong, Pennsylvania",0.0
23,"Aroostook, Maine",0.0
24,"Ashe, North Carolina",0.0
25,"Ashland, Ohio",0.0
26,"Ashland, Wisconsin",0.0
27,"Ashtabula, Ohio",0.0
28,"Asotin, Washington",0.0
29,"Athens, Ohio",0.0
30,"Atlantic, New Jersey",0.41764705882352937
31,"Auglaize, Ohio",0.0
32,"Avery, North Carolina",0.0
33,"Baker county, Florida",0.0
34,"Ballard, Kentucky",0.0
35,"Baraga, Michigan",0.0
36,"Barber, Kansas",0.0
37,"Barnstable, Massachusetts",0.0
38,"Barren, Kentucky",0.0
39,"Bay, Florida",0.0
40,"Bayfield, Wisconsin",0.0
41,"Beaufort, North Carolina",0.0
42,"Beaver, Pennsylvania",0.0
43,"Beaverhead, Montana",0.0
44,"Becker, Minnesota",0.0
45,"Bedford, Pennsylvania",0.0
46,"Bell, Kentucky",0.0
47,"Belmont, Ohio",0.0
48,"Beltrami county, Minnesota",0.0
49,"Beltrami, Minnesota",0.0
50,"Benewah, Idaho",0.0
51,"Bennington, Vermont",0.0
52,"Benton, Indiana",0.0
53,"Benton, Oregon",0.0
54,"Benton, Washington",0.0
55,"Bergen, New Jersey",0.0
56,"Berks county, Pennsylvania",0.0
57,"Berks, Pennsylvania",0.0
58,"Berkshire, Massachusetts",0.0
59,"Bertie, North Carolina",0.0
60,"Big horn, Montana",0.0
61,"Bladen, North Carolina",0.0
62,"Blaine, Idaho",0.0
63,"Blaine, Montana",0.0
64,"Blair, Pennsylvania",0.0
65,"Blount, Tennessee",0.0
66,"Boise, Idaho",0.0
67,"Boone, Kentucky",0.0
68,"Boone, Nebraska",0.0
69,"Boundary, Idaho",0.0
70,"Bourbon, Kentucky",0.0
71,"Box elder, Utah",0.0
72,"Boyle, Kentucky",0.0
73,"Bracken, Kentucky",0.0
74,"Bradford, Pennsylvania",0.0
75,"Braxton, West Virginia",0.0
76,"Breathitt, Kentucky",0.0
77,"Breckinridge, Kentucky",0.0
78,"Brevard, Florida",0.02266666666666667
79,"Bristol, Rhode Island",0.0
80,"Broward, Florida",0.0
81,"Brown, Kansas",0.0
82,"Brown, Ohio",0.0
83,"Brown, Wisconsin",0.0
84,"Brunswick, North Carolina",0.0
85,"Bucks, Pennsylvania",0.06578947368421051
86,"Buncombe, North Carolina",0.0
87,"Burke, North Carolina",0.0
88,"Burlington, New Jersey",0.03217391304347826
89,"Burnett, Wisconsin",0.0
90,"Butler county, Pennsylvania",0.0
91,"Butler, Kansas",0.0
92,"Butler, Kentucky",0.0
93,"Butler, Ohio",0.0
94,"Butler, Pennsylvania",0.0
95,"Butte, California",0.02
96,"Butte, South Dakota",0.0
97,"Cabarrus, North Carolina",0.0
98,"Cache, Utah",0.0
99,"Calaveras, California",0.0
100,"Caldwell, Kentucky",0.0
101,"Caldwell, North Carolina",0.0
102,"Calhoun, Florida",0.0
103,"Calloway, Kentucky",0.0
104,"Calumet, Wisconsin",0.0
105,"Cambria county, Pennsylvania",0.0
106,"Cambria, Pennsylvania",0.0
107,"Camden, New Jersey",0.0
108,"Campbell, Tennessee",0.0
109,"Canyon, Idaho",0.0
110,"Carbon, Montana",0.0
111,"Carbon, Wyoming",0.0
112,"Carlisle, Kentucky",0.0
113,"Carlton, Minnesota",0.0
114,"Carroll, Kentucky",0.0
115,"Carroll, Ohio",0.0
116,"Carroll, Tennessee",0.0
117,"Carson city, Nevada",0.17543859649122806
118,"Carter, Kentucky",0.0
119,"Carter, Tennessee",0.33
120,"Carteret, North Carolina",0.0
121,"Cascade, Montana",0.0
122,"Cass, Minnesota",0.0
123,"Cassia, Idaho",0.0
124,"Caswell, North Carolina",0.0
125,"Catawba, North Carolina",0.0
126,"Cattaraugus, New York",0.0
127,"Cayuga county, New York",0.0
128,"Cayuga, New York",0.3333333333333333
129,"Cedar, Nebraska",0.0
130,"Centre, Pennsylvania",0.0
131,"Champaign, Ohio",0.0
132,"Charlotte, Florida",0.0
133,"Chatham, North Carolina",0.0
134,"Chautauqua, New York",0.0
135,"Chelan, Washington",0.0
136,"Chemung, New York",0.25
137,"Chenango, New York",0.0
138,"Cherokee, Kansas",0.0
139,"Cherokee, North Carolina",0.0
140,"Chester, Pennsylvania",0.0
141,"Cheyenne, Nebraska",0.0
142,"Chippewa, Michigan",0.0
143,"Chittenden, Vermont",0.0
144,"Chouteau, Montana",0.0
145,"Churchill, Nevada",0.0
146,"Citrus, Florida",0.0
147,"Clackamas, Oregon",0.004130434782608695
148,"Claiborne, Tennessee",0.0
149,"Clallam, Washington",0.0
150,"Clarion, Pennsylvania",0.0
151,"Clark, Indiana",0.0
152,"Clark, Nevada",0.014814814814814815
153,"Clark, Ohio",0.0
154,"Clark, Washington",0.0
155,"Clark, Wisconsin",0.0
156,"Clatsop, Oregon",0.0245
157,"Clay, Florida",0.0
158,"Clay, Indiana",0.0
159,"Clay, Kentucky",0.0
160,"Clay, Nebraska",0.0
161,"Clay, North Carolina",0.0
162,"Clearfield, Pennsylvania",0.0
163,"Clearwater, Idaho",0.0
164,"Clermont, Ohio",0.0
165,"Cleveland, North Carolina",0.0
166,"Clinton, Iowa",0.0
167,"Clinton, Kentucky",0.0
168,"Clinton, New York",0.0
169,"Clinton, Ohio",0.0
170,"Clinton, Pennsylvania",0.0
171,"Cochise, Arizona",0.0
172,"Cocke, Tennessee",0.0
173,"Coconino, Arizona",0.0
174,"Coffee, Tennessee",0.0
175,"Collier, Florida",0.0
176,"Columbia, Florida",0.5
177,"Columbia, New York",0.004057971014492754
178,"Columbia, Oregon",0.0796
179,"Columbia, Washington",0.0
180,"Columbia, Wisconsin",0.0
181,"Columbiana, Ohio",0.0
182,"Columbus county, North Carolina",0.0
183,"Columbus, North Carolina",0.0
184,"Colusa, California",0.0
185,"Contra costa, California",0.0
186,"Cook, Illinois",0.0
187,"Cook, Minnesota",0.0
188,"Coos, Oregon",0.0
189,"Cortland, New York",0.0
190,"Cowley, Kansas",0.0
191,"Cowlitz, Washington",0.0
192,"Craven, North Carolina",0.0
193,"Crawford, Ohio",0.0
194,"Crawford, Pennsylvania",0.0
195,"Crawford, Wisconsin",0.0
196,"Crittenden, Kentucky",0.0
197,"Crockett, Tennessee",0.0
198,"Crook, Oregon",0.0
199,"Cumberland county, Pennsylvania",0.0
200,"Cumberland, Maine",0.0
201,"Cumberland, New Jersey",0.0
202,"Cumberland, North Carolina",0.0
203,"Cumberland, Pennsylvania",0.15000000000000002
204,"Cumberland, Tennessee",0.0
205,"Currituck, North Carolina",0.0
206,"Curry, Oregon",0.0
207,"Cuyahoga, Ohio",0.0
208,"Dade, Florida",0.0
209,"Dakota, Nebraska",0.0
210,"Dane, Wisconsin",0.0
211,"Daniels, Montana",0.0
212,"Dare, North Carolina",0.0
213,"Darke, Ohio",0.0
214,"Dauphin, Pennsylvania",0.09923076923076923
215,"Davidson, North Carolina",0.0
216,"Davidson, Tennessee",0.0
217,"Daviess, Kentucky",0.0
218,"Davis, Utah",0.045
219,"De soto, Florida",0.0
220,"Defiance, Ohio",0.0
221,"Dekalb, Tennessee",0.0
222,"Del norte, California",0.0
223,"Delaware, Indiana",0.0
224,"Delaware, New York",0.0
225,"Delaware, Ohio",0.165
226,"Deschutes, Oregon",0.0
227,"Desoto, Florida",0.0
228,"District of columbia, District of Columbia",0.0
229,"Dixie, Florida",0.0
230,"Dodge, Wisconsin",0.0
