,county,atrazine
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.011222222222222222
5,"Adair, Iowa",0.08
6,"Adair, Kentucky",0.0
7,"Adair, Missouri",0.0
8,"Adair, Oklahoma",0.0
9,"Adams, Idaho",0.0
10,"Adams, Illinois",0.02553191489361702
11,"Adams, Indiana",0.0
12,"Adams, Iowa",0.16
13,"Adams, Nebraska",0.01768527131782946
14,"Adams, Ohio",0.0
15,"Adams, Pennsylvania",0.0
16,"Adams, Washington",0.0
17,"Adams, Wisconsin",0.015384615384615385
18,"Addison, Vermont",0.005
19,"Aiken, South Carolina",0.0
20,"Aitkin, Minnesota",0.0
21,"Alachua, Florida",0.0
22,"Alamance, North Carolina",0.014627705627705628
23,"Alameda, California",0.0
24,"Albany, New York",0.0
25,"Albany, Wyoming",0.0
26,"Albemarle, Virginia",0.0
27,"Alcona, Michigan",0.0
28,"Alexander, Illinois",0.25517241379310346
29,"Alexander, North Carolina",0.0
30,"Alfalfa, Oklahoma",0.0
31,"Alger, Michigan",0.0
32,"Allamakee county, Iowa",0.0
33,"Allamakee, Iowa",0.0
34,"Allegan, Michigan",0.0
35,"Allegany, Maryland",0.0
36,"Allegany, New York",0.0
37,"Alleghany, North Carolina",0.0
38,"Alleghany, Virginia",0.0
39,"Allegheny county, Pennsylvania",0.0
40,"Allegheny, Pennsylvania",0.010487804878048781
41,"Allen, Indiana",0.026086956521739136
42,"Allen, Kansas",1.0609090909090908
43,"Allen, Kentucky",0.0
44,"Allen, Louisiana",0.0
45,"Allen, Ohio",0.10816326530612244
46,"Allendale, South Carolina",0.0
47,"Alpena, Michigan",0.0
48,"Alpine, California",0.0
49,"Amador, California",0.014285714285714285
50,"American samoa, American Samoa",0.0
51,"Amherst, Virginia",0.0
52,"Anderson, Kansas",0.03333333333333333
53,"Anderson, Kentucky",0.0
54,"Anderson, South Carolina",0.0
55,"Anderson, Tennessee",0.0
56,"Anderson, Texas",0.0
57,"Andrew, Missouri",0.7683333333333334
58,"Andrews, Texas",0.0
59,"Androscoggin, Maine",0.0
60,"Angelina, Texas",0.0
61,"Anne arundel, Maryland",0.0
62,"Anoka, Minnesota",0.0
63,"Anson, North Carolina",0.01
64,"Antelope, Nebraska",0.0
65,"Antrim, Michigan",0.0
66,"Apache, Arizona",0.0
67,"Appanoose, Iowa",0.3258823529411764
68,"Aransas, Texas",0.0
69,"Archer, Texas",0.0
70,"Arenac, Michigan",0.0
71,"Arkansas, Arkansas",0.0
72,"Armstrong county, Pennsylvania",0.0
73,"Armstrong, Pennsylvania",0.0
74,"Armstrong, Texas",0.0
75,"Aroostook, Maine",0.0
76,"Arthur, Nebraska",0.0
77,"Ascension, Louisiana",0.0014615384615384616
78,"Ashe, North Carolina",0.0
79,"Ashland, Ohio",0.13776470588235296
80,"Ashland, Wisconsin",0.0
81,"Ashley, Arkansas",0.0
82,"Ashtabula, Ohio",0.0038461538461538464
83,"Asotin, Washington",0.0
84,"Assumption, Louisiana",0.215
85,"Atascosa county, Texas",0.0
86,"Atascosa, Texas",0.0
87,"Atchison, Kansas",0.673125
88,"Atchison, Missouri",0.0
89,"Athens, Ohio",0.0
90,"Atlantic, New Jersey",0.0
91,"Atoka, Oklahoma",0.0
92,"Audrain, Missouri",0.27371428571428574
93,"Audubon, Iowa",0.0
94,"Auglaize, Ohio",0.0
95,"Augusta, Virginia",0.0
96,"Aurora, South Dakota",0.0
97,"Austin, Texas",0.0
98,"Autauga, Alabama",0.0
99,"Avery, North Carolina",0.0050704225352112674
100,"Avoyelles, Louisiana",0.0
101,"Bailey, Texas",0.0
102,"Baker county, Florida",0.0
103,"Baker, Florida",0.0
104,"Baker, Oregon",0.0
105,"Baldwin, Alabama",0.0
106,"Ballard, Kentucky",0.0
107,"Baltimore city, Maryland",0.04742857142857143
108,"Baltimore, Maryland",0.0
109,"Bamberg, South Carolina",0.0
110,"Bandera, Texas",0.0
111,"Banner, Nebraska",0.0
112,"Bannock, Idaho",0.0
113,"Baraga, Michigan",0.0
114,"Barber, Kansas",0.0
115,"Barbour, Alabama",0.0
116,"Barbour, West Virginia",0.0
117,"Barnes, North Dakota",0.0
118,"Barnstable, Massachusetts",0.0
119,"Barnwell, South Carolina",0.0
120,"Barren, Kentucky",0.0
121,"Barron, Wisconsin",0.0
122,"Barry, Michigan",0.0
123,"Barry, Missouri",0.0
124,"Bartholomew, Indiana",0.0
125,"Barton, Kansas",0.036849315068493156
126,"Barton, Missouri",0.09000000000000001
127,"Bastrop, Texas",0.0
128,"Bates, Missouri",0.3512745098039216
129,"Bath, Virginia",0.0
130,"Baxter, Arkansas",0.0
131,"Bay, Florida",0.0
132,"Bay, Michigan",0.0
133,"Bayfield, Wisconsin",0.0
134,"Baylor, Texas",0.0
135,"Beadle, South Dakota",0.0
136,"Bear lake, Idaho",0.0
137,"Beaufort, North Carolina",0.0
138,"Beaufort, South Carolina",0.0
139,"Beauregard, Louisiana",0.0
140,"Beaver county, Pennsylvania",0.0
141,"Beaver, Oklahoma",0.0
142,"Beaver, Pennsylvania",0.0
143,"Beaver, Utah",0.0
144,"Beaverhead, Montana",0.0
145,"Becker, Minnesota",0.0
146,"Beckham, Oklahoma",0.0
147,"Bedford, Pennsylvania",0.0027397260273972603
148,"Bedford, Tennessee",0.3909523809523809
149,"Bedford, Virginia",0.0
150,"Bee, Texas",0.009411764705882354
151,"Belknap, New Hampshire",0.0
152,"Bell, Kentucky",0.0
153,"Bell, Texas",0.08571428571428573
154,"Belmont, Ohio",0.0
155,"Beltrami county, Minnesota",0.0
156,"Beltrami, Minnesota",0.0
157,"Benewah, Idaho",0.0
158,"Bennett, South Dakota",0.0
159,"Bennington, Vermont",0.0
160,"Benson, North Dakota",0.0
161,"Benton county, Arkansas",0.0
162,"Benton, Arkansas",0.0
163,"Benton, Indiana",0.0
164,"Benton, Iowa",0.0
165,"Benton, Minnesota",0.0028571428571428576
166,"Benton, Missouri",0.0
167,"Benton, Oregon",0.0
168,"Benton, Tennessee",0.0
169,"Benton, Washington",0.0
170,"Benzie, Michigan",0.0
171,"Bergen, New Jersey",0.0
172,"Berkeley, South Carolina",0.0
173,"Berkeley, West Virginia",0.007407407407407408
174,"Berks county, Pennsylvania",0.010526315789473684
175,"Berks, Pennsylvania",0.00523992673992674
176,"Berkshire, Massachusetts",0.0
177,"Bernalillo, New Mexico",0.0
178,"Berrien, Michigan",0.0
179,"Bertie, North Carolina",0.0
180,"Bexar, Texas",0.0
181,"Bibb, Alabama",0.0
182,"Bienville, Louisiana",0.0
183,"Big horn, Montana",0.0
184,"Big horn, Wyoming",0.0
185,"Big stone, Minnesota",0.0
186,"Bingham, Idaho",0.0
187,"Black hawk, Iowa",0.007948717948717949
188,"Blackford, Indiana",0.0
189,"Bladen, North Carolina",0.0
190,"Blaine, Idaho",0.0
191,"Blaine, Montana",0.0
192,"Blaine, Nebraska",0.0
193,"Blaine, Oklahoma",0.0
194,"Blair, Pennsylvania",0.007083333333333334
195,"Blanco, Texas",0.0
196,"Bland, Virginia",0.0
197,"Bledsoe, Tennessee",0.0
198,"Blount, Alabama",0.0
199,"Blount, Tennessee",0.0
200,"Blue earth, Minnesota",0.0
201,"Boise, Idaho",0.0
202,"Bollinger, Missouri",0.0
203,"Bon homme, South Dakota",0.0
204,"Bond, Illinois",0.04399122727272728
205,"Bonner, Idaho",0.0
206,"Bonneville, Idaho",0.0
207,"Boone, Arkansas",0.0
208,"Boone, Illinois",0.0
209,"Boone, Indiana",0.0
210,"Boone, Iowa",0.0
211,"Boone, Kentucky",0.0
212,"Boone, Missouri",0.0
213,"Boone, Nebraska",0.0035192307692307693
214,"Boone, West Virginia",0.0
215,"Bosque, Texas",0.0
216,"Bossier, Louisiana",0.0
217,"Botetourt, Virginia",0.0
218,"Bottineau, North Dakota",0.0
219,"Boundary, Idaho",0.0
220,"Bourbon, Kansas",0.2516666666666667
221,"Bourbon, Kentucky",0.0
222,"Bowie, Texas",0.0
223,"Bowman, North Dakota",0.0
224,"Box butte, Nebraska",0.0
225,"Box elder, Utah",0.0
226,"Boyd, Kentucky",0.0
227,"Boyd, Nebraska",0.0
228,"Boyle, Kentucky",0.0033333333333333335
229,"Bracken, Kentucky",0.0
230,"Bradford, Florida",0.0
231,"Bradford, Pennsylvania",0.0
232,"Bradley, Arkansas",0.0
233,"Bradley, Tennessee",0.0
234,"Branch, Michigan",0.0
235,"Braxton, West Virginia",0.0
236,"Brazoria, Texas",0.0633984375
237,"Brazos, Texas",0.0075
238,"Breathitt, Kentucky",0.0
239,"Breckinridge, Kentucky",0.0
240,"Bremer, Iowa",0.006111111111111111
241,"Brevard, Florida",0.0
242,"Brewster, Texas",0.0
243,"Briscoe, Texas",0.06999999999999999
244,"Bristol, Massachusetts",0.0
245,"Bristol, Rhode Island",0.0
246,"Bristol, Virginia",0.0
247,"Broadwater, Montana",0.0
248,"Brooke, West Virginia",0.0
249,"Brookings, South Dakota",0.0
250,"Brooks, Texas",0.0
251,"Broome, New York",0.0
252,"Broward county, Florida",0.0
253,"Broward, Florida",0.00036996336996337
254,"Brown, Illinois",0.0
255,"Brown, Indiana",0.0
256,"Brown, Kansas",0.020625
257,"Brown, Minnesota",0.0
258,"Brown, Nebraska",0.0
259,"Brown, Ohio",0.023799999999999998
260,"Brown, South Dakota",0.0
261,"Brown, Texas",0.0
262,"Brown, Wisconsin",0.0
263,"Brule, South Dakota",0.0
264,"Brunswick, North Carolina",0.0
265,"Brunswick, Virginia",0.0
266,"Bryan, Oklahoma",0.0
267,"Buchanan, Iowa",0.0
268,"Buchanan, Virginia",0.0
269,"Buckingham, Virginia",0.0
270,"Bucks county, Pennsylvania",0.0
271,"Bucks, Pennsylvania",0.00032
272,"Buena vista, Iowa",0.0
273,"Buena vista, Virginia",0.0
274,"Buffalo, Nebraska",0.05612107843137257
275,"Buffalo, Wisconsin",0.0
276,"Bullock, Alabama",0.0
277,"Buncombe, North Carolina",0.0
278,"Bureau, Illinois",0.0
279,"Burke, North Carolina",0.0
280,"Burke, North Dakota",0.0
281,"Burleigh, North Dakota",0.0
282,"Burleson, Texas",0.0
283,"Burlington, New Jersey",0.0
284,"Burnet, Texas",0.0
285,"Burnett, Wisconsin",0.0
286,"Burt, Nebraska",0.0
287,"Butler, Alabama",0.0
288,"Butler, Iowa",0.0
289,"Butler, Kansas",0.10692307692307693
290,"Butler, Kentucky",0.15705882352941175
291,"Butler, Missouri",0.0
292,"Butler, Nebraska",0.0032222222222222222
293,"Butler, Ohio",0.0
294,"Butler, Pennsylvania",0.0019047619047619048
295,"Butte, California",0.0
296,"Butte, Idaho",0.0
297,"Butte, South Dakota",0.0
298,"Cabarrus, North Carolina",0.013245508982035926
299,"Cabell, West Virginia",0.025
300,"Cache, Utah",0.0
301,"Caddo parish, Louisiana",0.0
302,"Caddo, Louisiana",0.0006508875739644971
303,"Caddo, Oklahoma",0.0
304,"Calaveras, California",0.0
305,"Calcasieu, Louisiana",0.0
306,"Caldwell, Kentucky",0.0
307,"Caldwell, Louisiana",0.0
308,"Caldwell, Missouri",0.29527272727272724
309,"Caldwell, North Carolina",0.0
310,"Caldwell, Texas",0.0
311,"Caledonia, Vermont",0.0
312,"Calhoun, Alabama",0.0
313,"Calhoun, Arkansas",0.0
314,"Calhoun, Florida",0.0
315,"Calhoun, Illinois",0.0
316,"Calhoun, Iowa",0.047058823529411764
317,"Calhoun, Michigan",0.0
318,"Calhoun, South Carolina",0.0
319,"Calhoun, Texas",0.09261904761904763
320,"Calhoun, West Virginia",0.0
321,"Callahan, Texas",0.0
322,"Callaway, Missouri",0.0
323,"Calloway, Kentucky",0.0
324,"Calumet, Wisconsin",0.0
325,"Calvert, Maryland",0.0
326,"Cambria county, Pennsylvania",0.0
327,"Cambria, Pennsylvania",0.0
328,"Camden, Missouri",0.0
329,"Camden, New Jersey",0.0
330,"Camden, North Carolina",0.0
331,"Cameron, Louisiana",0.0
332,"Cameron, Pennsylvania",0.0
333,"Cameron, Texas",0.01407766990291262
334,"Camp, Texas",0.0
335,"Campbell, Kentucky",0.0
336,"Campbell, Tennessee",0.0
337,"Campbell, Virginia",0.0
338,"Campbell, Wyoming",0.0
339,"Cannon, Tennessee",0.0
340,"Canyon, Idaho",0.0
341,"Cape girardeau, Missouri",0.1706153846153846
342,"Cape may, New Jersey",0.0
343,"Carbon, Montana",0.0
344,"Carbon, Pennsylvania",0.0
345,"Carbon, Utah",0.0
346,"Carbon, Wyoming",0.0
347,"Caribou, Idaho",0.0
348,"Carlisle, Kentucky",0.0
349,"Carlton, Minnesota",0.0
350,"Caroline, Maryland",0.0
351,"Caroline, Virginia",0.0
352,"Carroll, Arkansas",0.0
353,"Carroll, Illinois",0.0
354,"Carroll, Indiana",0.0
355,"Carroll, Iowa",0.0
356,"Carroll, Kentucky",0.0
357,"Carroll, Maryland",0.029830039525691708
358,"Carroll, Missouri",0.0
359,"Carroll, New Hampshire",0.0
360,"Carroll, Ohio",0.0
361,"Carroll, Virginia",0.0
362,"Carson city, Nevada",0.0
363,"Carson, Texas",0.0
364,"Carter, Kentucky",0.0
365,"Carter, Missouri",0.0
366,"Carter, Montana",0.0
367,"Carteret, North Carolina",0.0
368,"Carver, Minnesota",0.0
369,"Cascade, Montana",0.0
370,"Casey, Kentucky",0.0
371,"Cass, Illinois",0.0
372,"Cass, Indiana",0.0
373,"Cass, Iowa",0.0
374,"Cass, Michigan",0.0
375,"Cass, Minnesota",0.0
376,"Cass, Missouri",0.4082758620689654
377,"Cass, Nebraska",0.02835135135135135
378,"Cass, North Dakota",0.0
379,"Cass, Texas",0.09411764705882353
380,"Cassia, Idaho",0.0
381,"Castro, Texas",0.05944444444444444
382,"Caswell, North Carolina",0.0
383,"Catahoula, Louisiana",0.0
384,"Catawba, North Carolina",0.0
385,"Catron, New Mexico",0.0
386,"Cattaraugus, New York",0.0
387,"Cavalier, North Dakota",0.0
388,"Cayuga county, New York",0.0
389,"Cayuga, New York",0.0
390,"Cecil, Maryland",0.033723404255319146
391,"Cedar, Iowa",0.0
392,"Cedar, Missouri",0.0
393,"Cedar, Nebraska",0.002744186046511628
394,"Centre county, Pennsylvania",0.04605084745762712
395,"Centre, Pennsylvania",0.0038014184397163124
396,"Cerro gordo, Iowa",0.0
397,"Chambers, Alabama",0.0
398,"Chambers, Texas",0.00456140350877193
399,"Champaign, Illinois",0.0
400,"Champaign, Ohio",0.0
401,"Chariton, Missouri",0.0
402,"Charles mix, South Dakota",0.0
403,"Charles, Maryland",0.0
404,"Charleston county, South Carolina",0.0
405,"Charleston, South Carolina",0.0
406,"Charlevoix, Michigan",0.0
407,"Charlotte, Florida",0.0
408,"Charlotte, Virginia",0.0
409,"Chase, Kansas",0.0
410,"Chase, Nebraska",0.0
411,"Chatham, North Carolina",0.007727272727272728
412,"Chautauqua, Kansas",0.0
413,"Chautauqua, New York",0.0
414,"Chaves, New Mexico",0.0
415,"Cheatham, Tennessee",0.0
416,"Cheboygan, Michigan",0.0
417,"Chelan, Washington",0.0
418,"Chemung, New York",0.0
419,"Chenango, New York",0.0
420,"Cherokee, Alabama",0.0
421,"Cherokee, Iowa",0.0
422,"Cherokee, Kansas",0.2515
423,"Cherokee, North Carolina",0.0
424,"Cherokee, Oklahoma",0.0
425,"Cherokee, South Carolina",0.0
426,"Cherokee, Texas",0.0
427,"Cherry, Nebraska",0.004206896551724138
428,"Chesapeake city, Virginia",0.0
429,"Cheshire, New Hampshire",0.0
430,"Chester county, Pennsylvania",0.0
431,"Chester, Pennsylvania",0.004863945578231293
432,"Chester, South Carolina",0.0
433,"Chesterfield, South Carolina",0.0
434,"Chesterfield, Virginia",0.013125
435,"Cheyenne, Kansas",0.0
436,"Cheyenne, Nebraska",0.0
437,"Chickasaw, Iowa",0.0
438,"Chicot, Arkansas",0.0
439,"Chilton, Alabama",0.0
440,"Chippewa, Michigan",0.0
441,"Chippewa, Minnesota",0.0
442,"Chippewa, Wisconsin",0.0
443,"Chisago, Minnesota",0.0
444,"Chittenden, Vermont",0.0
445,"Choctaw, Alabama",0.0
446,"Choctaw, Oklahoma",0.0
447,"Chouteau, Montana",0.0
448,"Chowan, North Carolina",0.0
449,"Christian, Illinois",0.0
450,"Christian, Kentucky",0.37111111111111117
451,"Christian, Missouri",0.0
452,"Churchill, Nevada",0.0
453,"Cibola, New Mexico",0.0
