,county,beryllium
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.011428571428571429
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.0
10,"Adams, Indiana",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Ohio",0.0
13,"Adams, Pennsylvania",0.01834862385321101
14,"Adams, Washington",0.01038961038961039
15,"Adams, Wisconsin",0.0
16,"Addison, Vermont",0.0
17,"Aiken, South Carolina",0.0
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.032758620689655175
20,"Alamance, North Carolina",0.0
21,"Alameda, California",0.005642361111111111
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.0
24,"Albemarle, Virginia",0.0
25,"Alcona, Michigan",0.0
26,"Aleutians east borough, Alaska",0.0
27,"Aleutians east, Alaska",0.0
28,"Aleutians west census area, Alaska",0.0
29,"Aleutians west, Alaska",0.0
30,"Alexander, Illinois",0.0
31,"Alexander, North Carolina",0.0
32,"Alfalfa, Oklahoma",0.0
33,"Alger, Michigan",0.0
34,"Allegan, Michigan",0.0
35,"Allegany, Maryland",0.0
36,"Allegany, New York",0.022222222222222223
37,"Alleghany, North Carolina",0.0
38,"Alleghany, Virginia",0.0
39,"Allegheny county, Pennsylvania",0.0
40,"Allegheny, Pennsylvania",0.01764705882352941
41,"Allen, Indiana",0.0
42,"Allen, Kansas",0.0
43,"Allen, Kentucky",0.0
44,"Allen, Louisiana",0.0
45,"Allen, Ohio",0.0
46,"Allendale, South Carolina",0.0
47,"Alpena, Michigan",0.0
48,"Alpine, California",0.0
49,"Amador, California",0.0
50,"Amelia, Virginia",0.0
51,"American samoa, American Samoa",0.0
52,"Amherst, Virginia",0.0
53,"Anchorage, Alaska",0.0
54,"Anderson, Kansas",0.0
55,"Anderson, Kentucky",0.0
56,"Anderson, South Carolina",0.0
57,"Anderson, Tennessee",0.0
58,"Anderson, Texas",0.012466666666666668
59,"Andrew, Missouri",0.0
60,"Andrews, Texas",0.0
61,"Androscoggin, Maine",0.0
62,"Angelina, Texas",0.01105
63,"Anne arundel, Maryland",0.011392405063291138
64,"Anoka, Minnesota",0.0
65,"Anson, North Carolina",0.0
66,"Antelope, Nebraska",0.0
67,"Antrim, Michigan",0.0
68,"Apache, Arizona",0.05
69,"Appomattox, Virginia",0.0
70,"Aransas, Texas",0.0
71,"Archer, Texas",0.02266666666666667
72,"Arenac, Michigan",0.0
73,"Arkansas, Arkansas",0.0
74,"Armstrong, Pennsylvania",0.0
75,"Armstrong, Texas",0.0
76,"Aroostook, Maine",0.0
77,"Arthur, Nebraska",0.0
78,"Ascension, Louisiana",0.0
79,"Ashe, North Carolina",0.0
80,"Ashland, Ohio",0.0
81,"Ashland, Wisconsin",0.0
82,"Ashley, Arkansas",0.0
83,"Ashtabula, Ohio",0.0
84,"Asotin, Washington",0.0
85,"Assumption, Louisiana",0.0
86,"Atascosa county, Texas",0.0
87,"Atascosa, Texas",0.006689655172413793
88,"Atchison, Kansas",0.0
89,"Atchison, Missouri",0.0
90,"Athens, Ohio",0.0
91,"Atlantic, New Jersey",0.024886731391585763
92,"Atoka, Oklahoma",0.0
93,"Audrain, Missouri",0.0
94,"Auglaize, Ohio",0.0
95,"Augusta, Virginia",0.0
96,"Austin, Texas",0.0
97,"Autauga, Alabama",0.0
98,"Avery, North Carolina",0.01694915254237288
99,"Avoyelles, Louisiana",0.0
100,"B, Oklahoma",0.0
101,"Bailey, Texas",0.0
102,"Baker county, Florida",0.0
103,"Baker, Florida",0.0888888888888889
104,"Baker, Oregon",0.0
105,"Baldwin, Alabama",0.004715686274509804
106,"Ballard, Kentucky",0.0
107,"Baltimore, Maryland",0.007711442786069652
108,"Bamberg, South Carolina",0.1565217391304348
109,"Bandera, Texas",0.0
110,"Banner, Nebraska",0.0
111,"Bannock, Idaho",0.0
112,"Baraga, Michigan",0.0
113,"Barber, Kansas",0.0
114,"Barbour, Alabama",0.001724137931034483
115,"Barbour, West Virginia",0.0
116,"Barnes, North Dakota",0.0
117,"Barnstable, Massachusetts",0.0
118,"Barnwell, South Carolina",0.0
119,"Barren, Kentucky",0.0
120,"Barron, Wisconsin",0.0
121,"Barry, Michigan",0.0
122,"Barry, Missouri",0.0
123,"Bartholomew, Indiana",0.0
124,"Barton, Kansas",0.0
125,"Barton, Missouri",0.0
126,"Bastrop, Texas",0.0
127,"Bates, Missouri",0.0
128,"Bath, Virginia",0.0
129,"Baxter, Arkansas",0.0
130,"Bay, Florida",0.004545454545454546
131,"Bay, Michigan",0.0
132,"Bayfield, Wisconsin",0.023655172413793103
133,"Baylor, Texas",0.0
134,"Beadle, South Dakota",0.0
135,"Bear lake, Idaho",0.0
136,"Beaufort, North Carolina",0.0
137,"Beaufort, South Carolina",0.0
138,"Beauregard, Louisiana",0.0
139,"Beaver, Oklahoma",0.0
140,"Beaver, Pennsylvania",0.0
141,"Beaver, Utah",0.0
142,"Beaverhead, Montana",0.0
143,"Becker, Minnesota",0.0
144,"Beckham, Oklahoma",0.0
145,"Bedford county, Pennsylvania",0.0
146,"Bedford, Pennsylvania",0.0
147,"Bedford, Tennessee",0.0
148,"Bedford, Virginia",0.0
149,"Bee, Texas",0.0
150,"Belknap, New Hampshire",0.0
151,"Bell, Kentucky",0.0
152,"Bell, Texas",0.0
153,"Belmont, Ohio",0.0
154,"Beltrami county, Minnesota",0.0
155,"Beltrami, Minnesota",0.0
156,"Benewah, Idaho",0.0
157,"Bennett, South Dakota",0.0
158,"Bennington, Vermont",0.0
159,"Benson, North Dakota",0.0
160,"Benton county, Arkansas",0.0
161,"Benton, Arkansas",0.0
162,"Benton, Indiana",0.0
163,"Benton, Minnesota",0.0
164,"Benton, Missouri",0.0
165,"Benton, Oregon",0.0
166,"Benton, Tennessee",0.0
167,"Benton, Washington",0.0
168,"Benzie, Michigan",0.0
169,"Bergen, New Jersey",0.008968609865470852
170,"Berkeley, South Carolina",0.0
171,"Berkeley, West Virginia",0.0
172,"Berks county, Pennsylvania",0.0
173,"Berks, Pennsylvania",0.0
174,"Berkshire, Massachusetts",0.0
175,"Bernalillo, New Mexico",0.7072948275862069
176,"Berrien, Michigan",0.0
177,"Bertie, North Carolina",0.0
178,"Bethel census area, Alaska",0.0795
179,"Bethel, Alaska",0.0027166666666666667
180,"Bexar, Texas",0.00041791044776119397
181,"Bibb, Alabama",0.0
182,"Bienville, Louisiana",0.014925373134328358
183,"Big horn, Montana",0.03571428571428571
184,"Big horn, Wyoming",0.0
185,"Big stone, Minnesota",0.0
186,"Billings, North Dakota",0.0
187,"Bingham, Idaho",0.0
188,"Blackford, Indiana",0.0
189,"Bladen, North Carolina",0.0
190,"Blaine, Idaho",0.0
191,"Blaine, Montana",0.0
192,"Blaine, Nebraska",0.0
193,"Blaine, Oklahoma",0.0
194,"Blair, Pennsylvania",0.0
195,"Blanco, Texas",0.0
196,"Bland, Virginia",0.0
197,"Bledsoe, Tennessee",0.0
198,"Blount, Alabama",0.0
199,"Blount, Tennessee",0.0
200,"Blue earth, Minnesota",0.0
201,"Boise, Idaho",0.016666666666666666
202,"Bollinger, Missouri",0.0
203,"Bon homme, South Dakota",0.0
204,"Bond, Illinois",0.0
205,"Bonner, Idaho",0.0
206,"Bonneville, Idaho",0.0
207,"Boone, Arkansas",0.0
208,"Boone, Illinois",0.045454545454545456
209,"Boone, Indiana",0.0
210,"Boone, Kentucky",0.0
211,"Boone, Missouri",0.0
212,"Boone, Nebraska",0.0
213,"Boone, West Virginia",0.15952941176470586
214,"Bosque, Texas",0.0
215,"Bossier, Louisiana",0.0
216,"Botetourt, Virginia",0.01282051282051282
217,"Bottineau, North Dakota",0.0
218,"Boundary, Idaho",0.0
219,"Bourbon, Kansas",0.0
220,"Bourbon, Kentucky",0.0
221,"Bowie, Texas",0.0
222,"Bowman, North Dakota",0.0
223,"Box butte, Nebraska",0.0
224,"Box elder, Utah",0.0
225,"Boyd, Kentucky",0.0
226,"Boyd, Nebraska",0.0
227,"Boyle, Kentucky",0.0
228,"Bracken, Kentucky",0.0
229,"Bradford, Florida",0.030000000000000002
230,"Bradford, Pennsylvania",0.0
231,"Bradley, Arkansas",0.0
232,"Bradley, Tennessee",0.0
233,"Branch, Michigan",0.0
234,"Braxton, West Virginia",0.0
235,"Brazoria, Texas",0.0
236,"Brazos, Texas",0.0
237,"Breathitt, Kentucky",0.0
238,"Breckinridge, Kentucky",0.0
239,"Brevard, Florida",0.0
240,"Brewster, Texas",0.009181818181818182
241,"Briscoe, Texas",0.0
242,"Bristol bay, Alaska",0.0
243,"Bristol, Massachusetts",0.006896551724137931
244,"Bristol, Rhode Island",0.0
245,"Bristol, Virginia",0.0
246,"Broadwater, Montana",0.0
247,"Brooke, West Virginia",0.0
248,"Brookings, South Dakota",0.04
249,"Brooks, Texas",0.0
250,"Broome, New York",0.0
251,"Broward county, Florida",0.0
252,"Broward, Florida",0.02663043478260869
253,"Brown, Illinois",0.0
254,"Brown, Indiana",0.0
255,"Brown, Kansas",0.0
256,"Brown, Minnesota",0.0
257,"Brown, Nebraska",0.0
258,"Brown, Ohio",0.0
259,"Brown, South Dakota",0.0
260,"Brown, Texas",0.0
261,"Brown, Wisconsin",0.0
262,"Brule, South Dakota",0.0
263,"Brunswick, North Carolina",0.0
264,"Brunswick, Virginia",0.19230769230769232
265,"Bryan, Oklahoma",0.0
266,"Buchanan, Virginia",0.0
267,"Buckingham, Virginia",0.0
268,"Bucks county, Pennsylvania",0.0
269,"Bucks, Pennsylvania",0.0022929936305732482
270,"Buena vista, Virginia",0.0
271,"Buffalo, Nebraska",0.0
272,"Buffalo, Wisconsin",0.0
273,"Bullock, Alabama",0.0
274,"Buncombe, North Carolina",0.0
275,"Bureau, Illinois",0.0
276,"Burke, North Carolina",0.0
277,"Burke, North Dakota",0.0
278,"Burleigh, North Dakota",0.0
279,"Burleson, Texas",0.0
280,"Burlington, New Jersey",0.0172972972972973
281,"Burnet, Texas",0.0
282,"Burnett, Wisconsin",0.0
283,"Burt, Nebraska",0.0
284,"Butler county, Pennsylvania",0.0
285,"Butler, Alabama",0.0
286,"Butler, Kansas",0.0
287,"Butler, Kentucky",0.0
288,"Butler, Missouri",0.0
289,"Butler, Nebraska",0.0
290,"Butler, Ohio",0.0
291,"Butler, Pennsylvania",0.0
292,"Butte, California",0.0013132075471698115
293,"Butte, Idaho",0.0
294,"Butte, South Dakota",0.0
295,"Cabarrus, North Carolina",0.0
296,"Cabell, West Virginia",0.0
297,"Cache, Utah",0.0
298,"Caddo parish, Louisiana",0.0
299,"Caddo, Louisiana",0.0
300,"Caddo, Oklahoma",0.0
301,"Calaveras, California",0.015432098765432098
302,"Calcasieu, Louisiana",0.0
303,"Caldwell, Kentucky",0.0
304,"Caldwell, Louisiana",0.0
305,"Caldwell, Missouri",0.0
306,"Caldwell, North Carolina",0.0
307,"Caldwell, Texas",0.0
308,"Caledonia, Vermont",0.0
309,"Calhoun, Alabama",0.0
310,"Calhoun, Arkansas",0.0
311,"Calhoun, Florida",0.0
312,"Calhoun, Illinois",0.0
313,"Calhoun, Michigan",0.0
314,"Calhoun, South Carolina",0.0
315,"Calhoun, Texas",0.0
316,"Calhoun, West Virginia",0.0
317,"Callahan, Texas",0.0
318,"Callaway, Missouri",0.0
319,"Calloway, Kentucky",0.0
320,"Calumet, Wisconsin",0.0
321,"Calvert, Maryland",0.0
322,"Cambria county, Pennsylvania",0.0
323,"Cambria, Pennsylvania",0.0
324,"Camden, Missouri",0.0
325,"Camden, New Jersey",0.0004060913705583756
326,"Camden, North Carolina",0.0
327,"Cameron, Louisiana",0.0
328,"Cameron, Pennsylvania",0.0
329,"Cameron, Texas",0.0
330,"Camp, Texas",0.0
331,"Campbell, Kentucky",0.0
332,"Campbell, Tennessee",0.0
333,"Campbell, Virginia",0.0
334,"Campbell, Wyoming",0.0
335,"Canadian, Oklahoma",0.0
336,"Cannon, Tennessee",0.0
337,"Canyon, Idaho",0.0011627906976744186
338,"Cape girardeau, Missouri",0.0
339,"Cape may, New Jersey",0.018222222222222223
340,"Carbon county, Pennsylvania",0.0
341,"Carbon, Montana",0.0
342,"Carbon, Pennsylvania",0.030555555555555558
343,"Carbon, Utah",0.0
344,"Carbon, Wyoming",0.0
345,"Caribou, Idaho",0.006666666666666667
346,"Carlisle, Kentucky",0.0
347,"Carlton, Minnesota",0.0
348,"Caroline, Maryland",0.0
349,"Caroline, Virginia",0.0
350,"Carroll, Arkansas",0.0
351,"Carroll, Illinois",0.0
352,"Carroll, Indiana",0.03571428571428571
353,"Carroll, Kentucky",0.0
354,"Carroll, Maryland",0.0
355,"Carroll, Missouri",0.0
356,"Carroll, New Hampshire",1.3610229276895944
357,"Carroll, Ohio",0.0
358,"Carroll, Tennessee",0.0
359,"Carroll, Virginia",0.0
360,"Carson city, Nevada",0.0
361,"Carson, Texas",0.0
362,"Carter, Kentucky",0.0
363,"Carter, Missouri",0.0
364,"Carter, Montana",0.0
365,"Carter, Oklahoma",0.0
366,"Carter, Tennessee",0.0
367,"Carteret, North Carolina",0.0
368,"Carver, Minnesota",0.0
369,"Cascade, Montana",0.0
370,"Casey, Kentucky",0.0
371,"Cass, Illinois",0.0
372,"Cass, Indiana",0.0
373,"Cass, Iowa",0.0
374,"Cass, Michigan",0.0
375,"Cass, Minnesota",0.0
376,"Cass, Missouri",0.0
377,"Cass, Nebraska",0.0
378,"Cass, North Dakota",0.0
379,"Cass, Texas",0.0
380,"Cassia, Idaho",0.0
381,"Castro, Texas",0.0
382,"Caswell, North Carolina",0.2
383,"Catahoula, Louisiana",0.17142857142857143
384,"Catawba, North Carolina",0.0
385,"Catron, New Mexico",0.0
386,"Cattaraugus, New York",0.010236220472440945
387,"Cavalier, North Dakota",0.0
388,"Cayuga county, New York",0.0
389,"Cayuga, New York",0.0
390,"Cecil, Maryland",0.0
391,"Cedar, Missouri",0.0
392,"Cedar, Nebraska",0.0
393,"Centre county, Pennsylvania",0.0
394,"Centre, Pennsylvania",0.0
395,"Chambers, Alabama",0.013333333333333334
396,"Chambers, Texas",0.0
397,"Champaign, Illinois",0.0
398,"Champaign, Ohio",0.0
399,"Chariton, Missouri",0.0
400,"Charles city, Virginia",0.0
401,"Charles mix, South Dakota",0.0
402,"Charles, Maryland",0.005633802816901409
403,"Charleston county, South Carolina",0.0
404,"Charleston, South Carolina",0.0
405,"Charlevoix, Michigan",0.0
406,"Charlotte, Florida",0.006060606060606061
407,"Charlotte, Virginia",0.0
408,"Chase, Kansas",0.0
409,"Chase, Nebraska",0.0
410,"Chatham, North Carolina",0.0
411,"Chautauqua, Kansas",0.0
412,"Chautauqua, New York",0.008695652173913044
413,"Chaves, New Mexico",0.021538461538461538
414,"Cheatham, Tennessee",0.0
415,"Cheboygan, Michigan",0.0
416,"Chelan, Washington",0.0
417,"Chemung, New York",0.0
418,"Chenango, New York",0.4356687898089172
419,"Cherokee, Alabama",0.0
420,"Cherokee, Kansas",0.0
421,"Cherokee, North Carolina",0.0
422,"Cherokee, Oklahoma",0.0
423,"Cherokee, South Carolina",0.0
424,"Cherokee, Texas",0.0076086956521739125
425,"Cherry, Nebraska",0.0
426,"Chesapeake city, Virginia",0.0
427,"Chesapeake, Virginia",0.0
428,"Cheshire, New Hampshire",0.013615023474178404
429,"Chester county, Pennsylvania",0.0
430,"Chester, Pennsylvania",0.0048543689320388345
431,"Chester, South Carolina",0.0
432,"Chester, Tennessee",0.0
433,"Chesterfield, South Carolina",0.0
434,"Chesterfield, Virginia",0.0
435,"Cheyenne, Kansas",0.0
436,"Cheyenne, Nebraska",0.0
437,"Chicot, Arkansas",0.0
438,"Chilton, Alabama",0.0
439,"Chippewa, Michigan",0.0
440,"Chippewa, Minnesota",0.0
441,"Chippewa, Wisconsin",0.0
442,"Chisago, Minnesota",0.0
443,"Chittenden, Vermont",0.07317073170731707
444,"Choctaw, Alabama",0.0
445,"Choctaw, Oklahoma",0.0
446,"Chouteau, Montana",0.0
447,"Chowan, North Carolina",0.0
448,"Christian, Illinois",0.0
449,"Christian, Kentucky",0.0
450,"Christian, Missouri",0.0
451,"Churchill, Nevada",0.0
452,"Cibola, New Mexico",0.0
453,"Cimarron, Oklahoma",0.0
454,"Citrus county, Florida",0.0
455,"Citrus, Florida",0.04191919191919191
456,"Clackamas, Oregon",0.0
