,county,carbofuran
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.0
10,"Adams, Indiana",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Ohio",0.0
13,"Adams, Pennsylvania",0.0
14,"Adams, Washington",0.0
15,"Adams, Wisconsin",0.0
16,"Addison, Vermont",0.0
17,"Aiken, South Carolina",0.0
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.0
20,"Alamance, North Carolina",0.0
21,"Alameda, California",0.0
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.0
24,"Albemarle, Virginia",0.0
25,"Alcona, Michigan",0.0
26,"Alexander, Illinois",0.0
27,"Alexander, North Carolina",0.0
28,"Alger, Michigan",0.0
29,"Allegan, Michigan",0.0
30,"Allegany, Maryland",0.0
31,"Allegany, New York",0.0
32,"Alleghany, North Carolina",0.0
33,"Alleghany, Virginia",0.0
34,"Allegheny county, Pennsylvania",0.0
35,"Allegheny, Pennsylvania",0.0
36,"Allen, Indiana",0.0
37,"Allen, Kansas",0.0
38,"Allen, Kentucky",0.0
39,"Allen, Louisiana",0.0
40,"Allendale, South Carolina",0.0
41,"Alpena, Michigan",0.0
42,"Alpine, California",0.0
43,"American samoa, American Samoa",0.0
44,"Amherst, Virginia",0.0
45,"Anderson, Kansas",0.0
46,"Anderson, Kentucky",0.0
47,"Anderson, South Carolina",0.0
48,"Anderson, Texas",0.0
49,"Andrew, Missouri",0.0
50,"Andrews, Texas",0.0
51,"Androscoggin, Maine",0.0
52,"Angelina, Texas",0.0
53,"Anne arundel, Maryland",0.0
54,"Anoka, Minnesota",0.0
55,"Anson, North Carolina",0.0
56,"Antelope, Nebraska",0.0
57,"Antrim, Michigan",0.0
58,"Apache, Arizona",0.0
59,"Archer, Texas",0.0
60,"Arenac, Michigan",0.0
61,"Arkansas, Arkansas",0.0
62,"Armstrong county, Pennsylvania",0.0
63,"Armstrong, Pennsylvania",0.0
64,"Aroostook, Maine",0.0
65,"Arthur, Nebraska",0.0
66,"Ascension, Louisiana",0.0
67,"Ashe, North Carolina",0.0
68,"Ashland, Wisconsin",0.0
69,"Ashley, Arkansas",0.0
70,"Asotin, Washington",0.0
71,"Assumption, Louisiana",0.0
72,"Atascosa, Texas",0.0
73,"Atchison, Kansas",0.0
74,"Atchison, Missouri",0.0
75,"Atlantic, New Jersey",0.0
76,"Audrain, Missouri",0.0
77,"Augusta, Virginia",0.0
78,"Aurora, South Dakota",0.0
79,"Austin, Texas",0.0
80,"Autauga, Alabama",0.0
81,"Avery, North Carolina",0.0
82,"Avoyelles, Louisiana",0.0
83,"B, Oklahoma",0.0
84,"Bailey, Texas",0.0
85,"Baker county, Florida",0.0
86,"Baker, Florida",0.0
87,"Baker, Oregon",0.0
88,"Baldwin, Alabama",0.0
89,"Ballard, Kentucky",0.0
90,"Baltimore city, Maryland",0.0
91,"Baltimore, Maryland",0.0
92,"Bamberg, South Carolina",0.0
93,"Bandera, Texas",0.0
94,"Banner, Nebraska",0.0
95,"Bannock, Idaho",0.0
96,"Baraga, Michigan",0.0
97,"Barbour, Alabama",0.0
98,"Barbour, West Virginia",0.0
99,"Barnstable, Massachusetts",0.0
100,"Barnwell, South Carolina",0.0
101,"Barren, Kentucky",0.0
102,"Barron, Wisconsin",0.0
103,"Barry, Michigan",0.0
104,"Barry, Missouri",0.0
105,"Bartholomew, Indiana",0.0
106,"Barton, Missouri",0.0
107,"Bastrop, Texas",0.0
108,"Bates, Missouri",0.0
109,"Bath, Virginia",0.0
110,"Baxter, Arkansas",0.0
111,"Bay, Florida",0.0
112,"Bay, Michigan",0.0
113,"Bayfield, Wisconsin",0.0
114,"Baylor, Texas",0.0
115,"Beadle, South Dakota",0.0
116,"Bear lake, Idaho",0.0
117,"Beaufort, North Carolina",0.0
118,"Beaufort, South Carolina",0.0
119,"Beauregard, Louisiana",0.0
120,"Beaver county, Pennsylvania",0.0
121,"Beaver, Oklahoma",0.0
122,"Beaver, Pennsylvania",0.0
123,"Beaver, Utah",0.0
124,"Beaverhead, Montana",0.0
125,"Becker, Minnesota",0.0
126,"Bedford, Pennsylvania",0.0
127,"Bedford, Virginia",0.0
128,"Bee, Texas",0.0
129,"Belknap, New Hampshire",0.0
130,"Bell, Kentucky",0.0
131,"Bell, Texas",0.0
132,"Belmont, Ohio",0.0
133,"Beltrami county, Minnesota",0.0
134,"Beltrami, Minnesota",0.0
135,"Benewah, Idaho",0.0
136,"Bennett, South Dakota",0.0
137,"Bennington, Vermont",0.0
138,"Benton county, Arkansas",0.0
139,"Benton, Arkansas",0.0
140,"Benton, Indiana",0.0
141,"Benton, Minnesota",0.0
142,"Benton, Missouri",0.0
143,"Benton, Oregon",0.0
144,"Benton, Washington",0.0
145,"Benzie, Michigan",0.0
146,"Bergen, New Jersey",0.0
147,"Berkeley, South Carolina",0.0
148,"Berkeley, West Virginia",0.0
149,"Berks county, Pennsylvania",0.0
150,"Berks, Pennsylvania",0.0
151,"Berkshire, Massachusetts",0.0
152,"Bernalillo, New Mexico",0.0
153,"Berrien, Michigan",0.0
154,"Bertie, North Carolina",0.0
155,"Bexar, Texas",0.0
156,"Bibb, Alabama",0.0
157,"Bienville, Louisiana",0.0
158,"Big horn, Montana",0.0
159,"Big horn, Wyoming",0.0
160,"Big stone, Minnesota",0.0
161,"Bingham, Idaho",0.0
162,"Blackford, Indiana",0.0
163,"Bladen, North Carolina",0.0
164,"Blaine, Idaho",0.0
165,"Blaine, Montana",0.0
166,"Blaine, Nebraska",0.0
167,"Blaine, Oklahoma",0.0
168,"Blair, Pennsylvania",0.0
169,"Blanco, Texas",0.0
170,"Bland, Virginia",0.0
171,"Blount, Alabama",0.0
172,"Blue earth, Minnesota",0.0
173,"Boise, Idaho",0.0
174,"Bollinger, Missouri",0.0
175,"Bon homme, South Dakota",0.0
176,"Bond, Illinois",0.0
177,"Bonner, Idaho",0.0
178,"Bonneville, Idaho",0.0
179,"Boone, Arkansas",0.0
180,"Boone, Illinois",0.0
181,"Boone, Indiana",0.0
182,"Boone, Kentucky",0.060000000000000005
183,"Boone, Missouri",0.0
184,"Boone, Nebraska",0.0
185,"Boone, West Virginia",0.0
186,"Bosque, Texas",0.0
187,"Bossier, Louisiana",0.0
188,"Botetourt, Virginia",0.0
189,"Boundary, Idaho",0.0
190,"Bourbon, Kansas",0.0
191,"Bourbon, Kentucky",0.0
192,"Bowie, Texas",0.0
193,"Box butte, Nebraska",0.0
194,"Box elder, Utah",0.0
195,"Boyd, Kentucky",0.0
196,"Boyd, Nebraska",0.0
197,"Boyle, Kentucky",0.0
198,"Bracken, Kentucky",0.0
199,"Bradford, Florida",0.0
200,"Bradford, Pennsylvania",0.0
201,"Bradley, Arkansas",0.0
202,"Branch, Michigan",0.0
203,"Braxton, West Virginia",0.0
204,"Brazoria, Texas",0.0
205,"Brazos, Texas",0.0
206,"Breathitt, Kentucky",0.0
207,"Breckinridge, Kentucky",0.0
208,"Brevard, Florida",0.0
209,"Brewster, Texas",0.0
210,"Briscoe, Texas",0.0
211,"Bristol, Massachusetts",0.0
212,"Bristol, Rhode Island",0.0
213,"Bristol, Virginia",0.0
214,"Broadwater, Montana",0.0
215,"Brooke, West Virginia",0.0
216,"Brookings, South Dakota",0.0
217,"Brooks, Texas",0.0
218,"Broome, New York",0.0
219,"Broward county, Florida",0.0
220,"Broward, Florida",0.0
221,"Brown, Illinois",0.0
222,"Brown, Indiana",0.0
223,"Brown, Kansas",0.0
224,"Brown, Minnesota",0.0
225,"Brown, Nebraska",0.0
226,"Brown, Ohio",0.0
227,"Brown, South Dakota",0.0
228,"Brown, Texas",0.0
229,"Brown, Wisconsin",0.0
230,"Brule, South Dakota",0.0
231,"Brunswick, North Carolina",0.0
232,"Brunswick, Virginia",0.0
233,"Bryan, Oklahoma",0.0
234,"Buchanan, Virginia",0.0
235,"Buckingham, Virginia",0.0
236,"Bucks county, Pennsylvania",0.0
237,"Bucks, Pennsylvania",0.0
238,"Buena vista, Virginia",0.0
239,"Buffalo, Nebraska",0.0
240,"Buffalo, Wisconsin",0.0
241,"Bullock, Alabama",0.0
242,"Buncombe, North Carolina",0.0
243,"Bureau, Illinois",0.0
244,"Burke, North Carolina",0.0
245,"Burleson, Texas",0.0
246,"Burlington, New Jersey",0.0
247,"Burnet, Texas",0.0
248,"Burnett, Wisconsin",0.0
249,"Burt, Nebraska",0.0
250,"Butler, Alabama",0.0
251,"Butler, Kansas",0.0
252,"Butler, Kentucky",0.0
253,"Butler, Missouri",0.0
254,"Butler, Nebraska",0.0
255,"Butler, Ohio",0.0
256,"Butler, Pennsylvania",0.0
257,"Butte, California",0.0
258,"Butte, Idaho",0.0
259,"Butte, South Dakota",0.0
260,"Cabarrus, North Carolina",0.0
261,"Cabell, West Virginia",0.0
262,"Cache, Utah",0.0
263,"Caddo parish, Louisiana",0.0
264,"Caddo, Louisiana",0.0
265,"Caddo, Oklahoma",0.0
266,"Calaveras, California",0.0
267,"Calcasieu, Louisiana",0.0
268,"Caldwell, Kentucky",0.0
269,"Caldwell, Louisiana",0.0
270,"Caldwell, Missouri",0.0
271,"Caldwell, North Carolina",0.0
272,"Caldwell, Texas",0.0
273,"Caledonia, Vermont",0.0
274,"Calhoun, Alabama",0.0
275,"Calhoun, Arkansas",0.0
276,"Calhoun, Florida",0.0
277,"Calhoun, Illinois",0.0
278,"Calhoun, Michigan",0.0
279,"Calhoun, South Carolina",0.0
280,"Calhoun, Texas",0.0
281,"Calhoun, West Virginia",0.0
282,"Callahan, Texas",0.0
283,"Callaway, Missouri",0.0
284,"Calloway, Kentucky",0.0
285,"Calumet, Wisconsin",0.0
286,"Calvert, Maryland",0.0
287,"Cambria county, Pennsylvania",0.0
288,"Cambria, Pennsylvania",0.0
289,"Camden, Missouri",0.0
290,"Camden, New Jersey",0.0
291,"Camden, North Carolina",0.0
292,"Cameron, Louisiana",0.0
293,"Cameron, Pennsylvania",0.0
294,"Cameron, Texas",0.0
295,"Camp, Texas",0.0
296,"Campbell, Kentucky",0.0
297,"Campbell, Virginia",0.0
298,"Campbell, Wyoming",0.0
299,"Canadian, Oklahoma",0.0
300,"Canyon, Idaho",0.0
301,"Cape girardeau, Missouri",0.0
302,"Cape may, New Jersey",0.0
303,"Carbon, Montana",0.0
304,"Carbon, Pennsylvania",0.0
305,"Carbon, Utah",0.0
306,"Carbon, Wyoming",0.0
307,"Caribou, Idaho",0.0
308,"Carlisle, Kentucky",0.0
309,"Carlton, Minnesota",0.0
310,"Caroline, Maryland",0.0
311,"Caroline, Virginia",0.0
312,"Carroll, Arkansas",0.0
313,"Carroll, Illinois",0.0
314,"Carroll, Indiana",0.0
315,"Carroll, Kentucky",0.0
316,"Carroll, Maryland",0.0
317,"Carroll, Missouri",0.0
318,"Carroll, New Hampshire",0.0
319,"Carroll, Virginia",0.0
320,"Carson city, Nevada",0.0
321,"Carson, Texas",0.0
322,"Carter, Kentucky",0.0
323,"Carter, Missouri",0.0
324,"Carter, Montana",0.0
325,"Carteret, North Carolina",0.0
326,"Carver, Minnesota",0.0
327,"Cascade, Montana",0.0
328,"Casey, Kentucky",0.0
329,"Cass, Illinois",0.0
330,"Cass, Indiana",0.0
331,"Cass, Michigan",0.0
332,"Cass, Minnesota",0.0
333,"Cass, Missouri",0.0
334,"Cass, Nebraska",0.0
335,"Cass, North Dakota",0.0
336,"Cass, Texas",0.0
337,"Cassia, Idaho",0.0
338,"Castro, Texas",0.0
339,"Caswell, North Carolina",0.0
340,"Catahoula, Louisiana",0.0
341,"Catawba, North Carolina",0.0
342,"Catron, New Mexico",0.0
343,"Cattaraugus, New York",0.0
344,"Cayuga county, New York",0.0
345,"Cayuga, New York",0.0
346,"Cecil, Maryland",0.0
347,"Cedar, Missouri",0.0
348,"Cedar, Nebraska",0.0
349,"Centre county, Pennsylvania",0.0
350,"Centre, Pennsylvania",0.0
351,"Chambers, Alabama",0.0
352,"Chambers, Texas",0.0
353,"Champaign, Illinois",0.0
354,"Champaign, Ohio",0.0
355,"Chariton, Missouri",0.0
356,"Charles mix, South Dakota",0.0
357,"Charles, Maryland",0.0
358,"Charleston county, South Carolina",0.0
359,"Charleston, South Carolina",0.0
360,"Charlevoix, Michigan",0.0
361,"Charlotte, Florida",0.0
362,"Charlotte, Virginia",0.0
363,"Chase, Nebraska",0.0
364,"Chatham, North Carolina",0.0
365,"Chautauqua, Kansas",0.0
366,"Chautauqua, New York",0.0
367,"Chaves, New Mexico",0.0
368,"Cheboygan, Michigan",0.0
369,"Chelan, Washington",0.0
370,"Chemung, New York",0.0
371,"Chenango, New York",0.0
372,"Cherokee, Alabama",0.0
373,"Cherokee, Kansas",0.0
374,"Cherokee, North Carolina",0.0
375,"Cherokee, Oklahoma",0.0
376,"Cherokee, South Carolina",0.0
377,"Cherokee, Texas",0.0
378,"Cherry, Nebraska",0.0
379,"Chesapeake city, Virginia",0.0
380,"Cheshire, New Hampshire",0.0
381,"Chester county, Pennsylvania",0.0
382,"Chester, Pennsylvania",0.0
383,"Chester, South Carolina",0.0
384,"Chesterfield, South Carolina",0.0
385,"Cheyenne, Nebraska",0.0
386,"Chicot, Arkansas",0.0
387,"Chilton, Alabama",0.0
388,"Chippewa, Michigan",0.0
389,"Chippewa, Minnesota",0.0
390,"Chippewa, Wisconsin",0.0
391,"Chisago, Minnesota",0.0
392,"Chittenden, Vermont",0.0
393,"Choctaw, Alabama",0.0
394,"Choctaw, Oklahoma",0.0
395,"Chouteau, Montana",0.0
396,"Chowan, North Carolina",0.0
397,"Christian, Illinois",0.0
398,"Christian, Kentucky",0.0
399,"Christian, Missouri",0.0
400,"Churchill, Nevada",0.0
401,"Cibola, New Mexico",0.0
402,"Cimarron, Oklahoma",0.0
403,"Citrus county, Florida",0.0
404,"Citrus, Florida",0.0
405,"Clackamas, Oregon",0.0
406,"Claiborne, Louisiana",0.0
407,"Clallam, Washington",0.0
408,"Clare, Michigan",0.0
409,"Clarendon, South Carolina",0.0
410,"Clarion, Pennsylvania",0.0
411,"Clark county, Nevada",0.0
412,"Clark, Arkansas",0.0
413,"Clark, Illinois",0.0
414,"Clark, Indiana",0.0
415,"Clark, Kentucky",0.0
416,"Clark, Missouri",0.0
417,"Clark, Nevada",0.0
418,"Clark, Ohio",0.0
419,"Clark, South Dakota",0.0
420,"Clark, Washington",0.0
421,"Clark, Wisconsin",0.0
422,"Clarke, Alabama",0.0
423,"Clarke, Virginia",0.0
424,"Clatsop, Oregon",0.0
425,"Clay, Alabama",0.0
426,"Clay, Arkansas",0.0
427,"Clay, Florida",0.0
428,"Clay, Illinois",0.0
429,"Clay, Indiana",0.0
430,"Clay, Kentucky",0.0
431,"Clay, Minnesota",0.0
432,"Clay, Missouri",0.0
433,"Clay, Nebraska",0.0
434,"Clay, North Carolina",0.0
435,"Clay, South Dakota",0.0
436,"Clay, Texas",0.0
437,"Clay, West Virginia",0.0
438,"Clearfield county, Pennsylvania",0.0
439,"Clearfield, Pennsylvania",0.0
440,"Clearwater, Idaho",0.0
441,"Clearwater, Minnesota",0.0
442,"Cleburne, Alabama",0.0
443,"Cleburne, Arkansas",0.0
444,"Clermont, Ohio",0.0
445,"Cleveland, Arkansas",0.0
446,"Cleveland, North Carolina",0.0
447,"Cleveland, Oklahoma",0.0
448,"Clinton, Illinois",0.0
449,"Clinton, Indiana",0.0
450,"Clinton, Iowa",0.0
451,"Clinton, Kentucky",0.0
452,"Clinton, Michigan",0.0
453,"Clinton, Missouri",0.0
454,"Clinton, New York",0.0
455,"Clinton, Pennsylvania",0.0
456,"Cochise, Arizona",0.0
457,"Cochran, Texas",0.0
458,"Coconino, Arizona",0.0
459,"Codington, South Dakota",0.0
460,"Coffee, Alabama",0.0
461,"Coffey, Kansas",0.0
462,"Coke, Texas",0.0
463,"Colbert, Alabama",0.0
464,"Cole, Missouri",0.0
465,"Coleman, Texas",0.0
466,"Coles, Illinois",0.0
467,"Colfax, Nebraska",0.0
468,"Colfax, New Mexico",0.0
469,"Colleton, South Carolina",0.0
470,"Collier, Florida",0.0
471,"Collin, Texas",0.0
472,"Collingsworth, Texas",0.0
473,"Colorado, Texas",0.0
474,"Columbia, Arkansas",0.0
475,"Columbia, Florida",0.0
