,county,chlordane
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.0
10,"Adams, Indiana",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Pennsylvania",0.0
13,"Adams, Washington",0.0
14,"Adams, Wisconsin",0.0
15,"Addison, Vermont",0.0
16,"Aiken, South Carolina",0.0
17,"Aitkin, Minnesota",0.0
18,"Alachua, Florida",0.0
19,"Alamance, North Carolina",0.0
20,"Alameda, California",0.0
21,"Albany, New York",0.0
22,"Albany, Wyoming",0.0
23,"Albemarle, Virginia",0.0
24,"Alexander, Illinois",0.0
25,"Alexander, North Carolina",0.0
26,"Alfalfa, Oklahoma",0.0
27,"Allegany, Maryland",0.0
28,"Allegany, New York",0.0
29,"Alleghany, North Carolina",0.35185185185185186
30,"Alleghany, Virginia",0.0
31,"Allegheny county, Pennsylvania",0.0
32,"Allegheny, Pennsylvania",0.0
33,"Allen, Indiana",0.0
34,"Allen, Kansas",0.0
35,"Allen, Kentucky",0.0
36,"Allen, Louisiana",0.0
37,"Allendale, South Carolina",0.0
38,"Alpine, California",0.0
39,"American samoa, American Samoa",0.0
40,"Amherst, Virginia",0.0
41,"Anderson, Kansas",0.0
42,"Anderson, Kentucky",0.0
43,"Anderson, South Carolina",0.05500000000000001
44,"Anderson, Texas",0.0
45,"Andrew, Missouri",0.0
46,"Andrews, Texas",0.0
47,"Androscoggin, Maine",0.0
48,"Angelina, Texas",0.0
49,"Anne arundel, Maryland",0.0
50,"Anoka, Minnesota",0.0
51,"Anson, North Carolina",0.0
52,"Antelope, Nebraska",0.0
53,"Apache, Arizona",0.0
54,"Aransas, Texas",0.0
55,"Archer, Texas",0.0
56,"Arkansas, Arkansas",0.0
57,"Armstrong county, Pennsylvania",0.0
58,"Armstrong, Pennsylvania",0.0
59,"Armstrong, Texas",0.0
60,"Aroostook, Maine",0.0
61,"Arthur, Nebraska",0.0
62,"Ascension, Louisiana",0.0
63,"Ashe, North Carolina",0.0
64,"Ashland, Wisconsin",0.0
65,"Ashley, Arkansas",0.0
66,"Ashtabula, Ohio",0.0
67,"Asotin, Washington",0.0
68,"Assumption, Louisiana",0.0
69,"Atascosa county, Texas",0.0
70,"Atascosa, Texas",0.0
71,"Atchison, Kansas",0.0
72,"Atchison, Missouri",0.0
73,"Atoka, Oklahoma",0.0
74,"Audrain, Missouri",0.0
75,"Augusta, Virginia",0.0
76,"Aurora, South Dakota",0.0
77,"Austin, Texas",0.0
78,"Autauga, Alabama",0.0
79,"Avery, North Carolina",0.006438356164383562
80,"Avoyelles, Louisiana",0.0
81,"Bailey, Texas",0.0
82,"Baker county, Florida",0.0
83,"Baker, Florida",0.0
84,"Baker, Oregon",0.0
85,"Baldwin, Alabama",0.0
86,"Ballard, Kentucky",0.0
87,"Baltimore city, Maryland",0.0
88,"Baltimore, Maryland",0.0
89,"Bamberg, South Carolina",0.0
90,"Bandera, Texas",0.0
91,"Banner, Nebraska",0.0
92,"Bannock, Idaho",0.0
93,"Baraga, Michigan",0.0
94,"Barbour, Alabama",0.0
95,"Barbour, West Virginia",0.0
96,"Barnes, North Dakota",0.0
97,"Barnstable, Massachusetts",0.0
98,"Barnwell, South Carolina",0.0
99,"Barren, Kentucky",0.0
100,"Barron, Wisconsin",0.0
101,"Barry, Missouri",0.0
102,"Bartholomew, Indiana",0.0
103,"Barton, Missouri",0.0
104,"Bastrop, Texas",0.0
105,"Bates, Missouri",0.0
106,"Bath, Virginia",0.0
107,"Baxter, Arkansas",0.0
108,"Bay, Florida",0.0
109,"Bayfield, Wisconsin",0.0
110,"Baylor, Texas",0.0
111,"Beadle, South Dakota",0.0
112,"Bear lake, Idaho",0.0
113,"Beaufort, North Carolina",0.0
114,"Beaufort, South Carolina",0.0
115,"Beauregard, Louisiana",0.0
116,"Beaver county, Pennsylvania",0.0
117,"Beaver, Pennsylvania",0.0
118,"Beaver, Utah",0.0
119,"Beaverhead, Montana",0.0
120,"Becker, Minnesota",0.0
121,"Bedford, Pennsylvania",0.0
122,"Bedford, Virginia",0.0
123,"Bee, Texas",0.0
124,"Belknap, New Hampshire",0.0
125,"Bell, Kentucky",0.0
126,"Bell, Texas",0.0
127,"Beltrami county, Minnesota",0.0
128,"Beltrami, Minnesota",0.0
129,"Benewah, Idaho",0.0
130,"Bennett, South Dakota",0.0
131,"Bennington, Vermont",0.0
132,"Benson, North Dakota",0.0
133,"Benton county, Arkansas",0.0
134,"Benton, Arkansas",0.0
135,"Benton, Indiana",0.0
136,"Benton, Minnesota",0.0
137,"Benton, Missouri",0.0
138,"Benton, Oregon",0.0
139,"Benton, Washington",0.0
140,"Berkeley, South Carolina",0.0
141,"Berkeley, West Virginia",0.0
142,"Berks county, Pennsylvania",0.0
143,"Berks, Pennsylvania",0.008168316831683169
144,"Berkshire, Massachusetts",0.0
145,"Bernalillo, New Mexico",0.0
146,"Bertie, North Carolina",0.0
147,"Bethel, Alaska",0.0
148,"Bexar, Texas",0.0
149,"Bibb, Alabama",0.0
150,"Bienville, Louisiana",0.0
151,"Big horn, Montana",0.0
152,"Big horn, Wyoming",0.0
153,"Big stone, Minnesota",0.0
154,"Bingham, Idaho",0.0
155,"Blackford, Indiana",0.0
156,"Bladen, North Carolina",0.0
157,"Blaine, Idaho",0.0
158,"Blaine, Montana",0.0
159,"Blaine, Nebraska",0.0
160,"Blair, Pennsylvania",0.0
161,"Blanco, Texas",0.0
162,"Bland, Virginia",0.0
163,"Blount, Alabama",0.0
164,"Blue earth, Minnesota",0.0
165,"Boise, Idaho",0.0
166,"Bollinger, Missouri",0.0
167,"Bon homme, South Dakota",0.0
168,"Bond, Illinois",0.0
169,"Bonner, Idaho",0.0
170,"Bonneville, Idaho",0.0
171,"Boone, Arkansas",0.0
172,"Boone, Illinois",0.0
173,"Boone, Indiana",0.0
174,"Boone, Kentucky",0.0
175,"Boone, Missouri",0.0
176,"Boone, Nebraska",0.0
177,"Boone, West Virginia",0.0
178,"Bosque, Texas",0.0
179,"Bossier, Louisiana",0.0
180,"Botetourt, Virginia",0.0
181,"Bottineau, North Dakota",0.0
182,"Boundary, Idaho",0.0
183,"Bourbon, Kansas",0.0
184,"Bourbon, Kentucky",0.0
185,"Bowie, Texas",0.0
186,"Bowman, North Dakota",0.0
187,"Box butte, Nebraska",0.0
188,"Box elder, Utah",0.0
189,"Boyd, Kentucky",0.0
190,"Boyd, Nebraska",0.0
191,"Boyle, Kentucky",0.0
192,"Bracken, Kentucky",0.0
193,"Bradford, Florida",0.0
194,"Bradford, Pennsylvania",0.0
195,"Bradley, Arkansas",0.0
196,"Braxton, West Virginia",0.0
197,"Brazoria, Texas",0.0
198,"Brazos, Texas",0.0
199,"Breathitt, Kentucky",0.0
200,"Breckinridge, Kentucky",0.0
201,"Brevard, Florida",0.0
202,"Brewster, Texas",0.0
203,"Briscoe, Texas",0.0
204,"Bristol, Massachusetts",0.0
205,"Bristol, Rhode Island",0.040625
206,"Bristol, Virginia",0.0
207,"Broadwater, Montana",0.0
208,"Brooke, West Virginia",0.0
209,"Brookings, South Dakota",0.0
210,"Brooks, Texas",0.0
211,"Broome, New York",0.0
212,"Broward county, Florida",0.0
213,"Broward, Florida",0.0
214,"Brown, Illinois",0.0
215,"Brown, Indiana",0.0
216,"Brown, Kansas",0.0
217,"Brown, Minnesota",0.0
218,"Brown, Nebraska",0.0
219,"Brown, South Dakota",0.0
220,"Brown, Texas",0.0
221,"Brown, Wisconsin",0.0
222,"Brule, South Dakota",0.0
223,"Brunswick, North Carolina",0.0
224,"Brunswick, Virginia",0.0
225,"Buchanan, Virginia",0.0
226,"Buckingham, Virginia",0.0
227,"Bucks county, Pennsylvania",0.0
228,"Bucks, Pennsylvania",0.0
229,"Buena vista, Virginia",0.0
230,"Buffalo, Nebraska",0.0
231,"Buffalo, Wisconsin",0.0
232,"Bullock, Alabama",0.0
233,"Buncombe, North Carolina",0.0
234,"Bureau, Illinois",0.0
235,"Burke, North Carolina",0.0
236,"Burke, North Dakota",0.0
237,"Burleigh, North Dakota",0.0
238,"Burleson, Texas",0.0
239,"Burnet, Texas",0.0
240,"Burnett, Wisconsin",0.0
241,"Burt, Nebraska",0.0
242,"Butler, Alabama",0.0
243,"Butler, Kansas",0.0
244,"Butler, Kentucky",0.0
245,"Butler, Missouri",0.0
246,"Butler, Nebraska",0.0
247,"Butler, Ohio",0.0
248,"Butler, Pennsylvania",0.0
249,"Butte, California",0.0
250,"Butte, Idaho",0.0
251,"Butte, South Dakota",0.0
252,"Cabarrus, North Carolina",0.025035714285714283
253,"Cabell, West Virginia",0.0
254,"Cache, Utah",0.0
255,"Caddo parish, Louisiana",0.0
256,"Caddo, Louisiana",0.0
257,"Caddo, Oklahoma",0.0
258,"Calaveras, California",0.0
259,"Calcasieu, Louisiana",0.0
260,"Caldwell, Kentucky",0.0
261,"Caldwell, Louisiana",0.0
262,"Caldwell, Missouri",0.0
263,"Caldwell, North Carolina",0.0
264,"Caldwell, Texas",0.0
265,"Caledonia, Vermont",0.0
266,"Calhoun, Alabama",0.0
267,"Calhoun, Arkansas",0.0
268,"Calhoun, Florida",0.0
269,"Calhoun, Illinois",0.0
270,"Calhoun, South Carolina",0.0
271,"Calhoun, Texas",0.0
272,"Calhoun, West Virginia",0.0
273,"Callahan, Texas",0.0
274,"Callaway, Missouri",0.0
275,"Calloway, Kentucky",0.0
276,"Calumet, Wisconsin",0.0
277,"Calvert, Maryland",0.0
278,"Cambria county, Pennsylvania",0.0
279,"Cambria, Pennsylvania",0.0
280,"Camden, Missouri",0.0
281,"Camden, North Carolina",0.0
282,"Cameron, Louisiana",0.0
283,"Cameron, Pennsylvania",0.0
284,"Cameron, Texas",0.0
285,"Camp, Texas",0.0
286,"Campbell, Kentucky",0.0
287,"Campbell, Virginia",0.0
288,"Campbell, Wyoming",0.0
289,"Canyon, Idaho",0.0
290,"Cape girardeau, Missouri",0.0
291,"Carbon, Montana",0.0
292,"Carbon, Pennsylvania",0.0
293,"Carbon, Utah",0.0
294,"Carbon, Wyoming",0.0
295,"Caribou, Idaho",0.0
296,"Carlisle, Kentucky",0.0
297,"Carlton, Minnesota",0.0
298,"Caroline, Maryland",0.0
299,"Caroline, Virginia",0.0
300,"Carroll, Arkansas",0.0
301,"Carroll, Illinois",0.0
302,"Carroll, Indiana",0.0
303,"Carroll, Kentucky",0.0
304,"Carroll, Maryland",0.0
305,"Carroll, Missouri",0.0
306,"Carroll, New Hampshire",0.0
307,"Carroll, Virginia",0.0
308,"Carson city, Nevada",0.0
309,"Carson, Texas",0.0
310,"Carter, Kentucky",0.0
311,"Carter, Missouri",0.0
312,"Carter, Montana",0.0
313,"Carteret, North Carolina",0.0
314,"Carver, Minnesota",0.0
315,"Cascade, Montana",0.0
316,"Casey, Kentucky",0.0
317,"Cass, Illinois",0.0
318,"Cass, Indiana",0.0
319,"Cass, Minnesota",0.0
320,"Cass, Missouri",0.0
321,"Cass, Nebraska",0.0
322,"Cass, North Dakota",0.0
323,"Cass, Texas",0.0
324,"Cassia, Idaho",0.0
325,"Castro, Texas",0.0
326,"Caswell, North Carolina",0.0
327,"Catahoula, Louisiana",0.0
328,"Catawba, North Carolina",0.004775700934579439
329,"Catron, New Mexico",0.0
330,"Cattaraugus, New York",0.0
331,"Cavalier, North Dakota",0.0
332,"Cayuga county, New York",0.0
333,"Cayuga, New York",0.0
334,"Cecil, Maryland",0.0
335,"Cedar, Missouri",0.0
336,"Cedar, Nebraska",0.0
337,"Centre county, Pennsylvania",0.0
338,"Centre, Pennsylvania",0.0
339,"Chambers, Alabama",0.0
340,"Chambers, Texas",0.0
341,"Champaign, Illinois",0.0
342,"Chariton, Missouri",0.0
343,"Charles mix, South Dakota",0.0
344,"Charles, Maryland",0.0
345,"Charleston county, South Carolina",0.0
346,"Charleston, South Carolina",0.0
347,"Charlotte, Florida",0.0
348,"Charlotte, Virginia",0.0
349,"Chase, Nebraska",0.0
350,"Chatham, North Carolina",0.0061333333333333335
351,"Chautauqua, Kansas",0.0
352,"Chautauqua, New York",0.0
353,"Chaves, New Mexico",0.0
354,"Chelan, Washington",0.0
355,"Chemung, New York",0.0
356,"Chenango, New York",0.0
357,"Cherokee, Alabama",0.0
358,"Cherokee, Kansas",0.0
359,"Cherokee, North Carolina",0.0
360,"Cherokee, South Carolina",0.0
361,"Cherokee, Texas",0.0
362,"Cherry, Nebraska",0.0
363,"Chesapeake city, Virginia",0.0
364,"Cheshire, New Hampshire",0.0
365,"Chester county, Pennsylvania",0.0
366,"Chester, Pennsylvania",0.0
367,"Chester, South Carolina",0.0
368,"Chesterfield, South Carolina",0.0
369,"Chesterfield, Virginia",0.0
370,"Cheyenne, Nebraska",0.0
371,"Chicot, Arkansas",0.0
372,"Chilton, Alabama",0.0
373,"Chippewa, Michigan",0.0
374,"Chippewa, Minnesota",0.0
375,"Chippewa, Wisconsin",0.0
376,"Chisago, Minnesota",0.0
377,"Chittenden, Vermont",0.0
378,"Choctaw, Alabama",0.0
379,"Chouteau, Montana",0.0
380,"Chowan, North Carolina",0.0
381,"Christian, Illinois",0.0
382,"Christian, Kentucky",0.0
383,"Christian, Missouri",0.0
384,"Churchill, Nevada",0.0
385,"Cibola, New Mexico",0.0
386,"Citrus county, Florida",0.0
387,"Citrus, Florida",0.0
388,"Clackamas, Oregon",0.0
389,"Claiborne, Louisiana",0.0
390,"Clallam, Washington",0.0
391,"Clarendon, South Carolina",0.0
392,"Clarion, Pennsylvania",0.0
393,"Clark county, Nevada",0.0
394,"Clark, Arkansas",0.0
395,"Clark, Illinois",0.0
396,"Clark, Indiana",0.0
397,"Clark, Kentucky",0.0
398,"Clark, Missouri",0.0
399,"Clark, Nevada",0.0
400,"Clark, South Dakota",0.0
401,"Clark, Washington",0.0
402,"Clark, Wisconsin",0.0
403,"Clarke, Alabama",0.0
404,"Clarke, Virginia",0.0
405,"Clatsop, Oregon",0.0
406,"Clay, Alabama",0.0
407,"Clay, Arkansas",0.0
408,"Clay, Florida",0.0
409,"Clay, Illinois",0.0
410,"Clay, Indiana",0.0
411,"Clay, Kentucky",0.0
412,"Clay, Minnesota",0.0
413,"Clay, Missouri",0.0
414,"Clay, Nebraska",0.0
415,"Clay, North Carolina",0.0
416,"Clay, South Dakota",0.0
417,"Clay, Texas",0.0
418,"Clay, West Virginia",0.0
419,"Clearfield county, Pennsylvania",0.0
420,"Clearfield, Pennsylvania",0.0
421,"Clearwater, Idaho",0.0
422,"Clearwater, Minnesota",0.0
423,"Cleburne, Alabama",0.3333333333333333
424,"Cleburne, Arkansas",0.0
425,"Cleveland, Arkansas",0.0
426,"Cleveland, North Carolina",0.0
427,"Cleveland, Oklahoma",0.0
428,"Clinton, Illinois",0.0
429,"Clinton, Indiana",0.0
430,"Clinton, Iowa",0.0
431,"Clinton, Kentucky",0.0
432,"Clinton, Missouri",0.0
433,"Clinton, New York",0.0
434,"Clinton, Pennsylvania",0.0
435,"Cochise, Arizona",0.0
436,"Cochran, Texas",0.0
437,"Coconino, Arizona",0.0
438,"Codington, South Dakota",0.0
439,"Coffee, Alabama",0.0
440,"Coffey, Kansas",0.0
441,"Coke, Texas",0.0
442,"Colbert, Alabama",0.0
443,"Cole, Missouri",0.0
444,"Coleman, Texas",0.0
445,"Coles, Illinois",0.0
446,"Colfax, Nebraska",0.0
447,"Colfax, New Mexico",0.0
448,"Colleton, South Carolina",0.0
449,"Collier, Florida",0.0
450,"Collin, Texas",0.0
451,"Collingsworth, Texas",0.0
452,"Colorado, Texas",0.0
453,"Columbia, Arkansas",0.0
454,"Columbia, Florida",0.0
455,"Columbia, New York",0.0
456,"Columbia, Oregon",0.0
457,"Columbia, Pennsylvania",0.0
458,"Columbia, Washington",0.0
459,"Columbia, Wisconsin",0.0
460,"Columbus county, North Carolina",0.0
461,"Columbus, North Carolina",0.0
462,"Colusa, California",0.0
463,"Comal, Texas",0.0
464,"Comanche, Texas",0.0
465,"Concho, Texas",0.0
466,"Concordia, Louisiana",0.0
467,"Conecuh, Alabama",0.0
468,"Contra costa, California",0.0
469,"Converse, Wyoming",0.0
470,"Conway, Arkansas",0.0
471,"Cook, Illinois",0.0
472,"Cook, Minnesota",0.0
473,"Cooke, Texas",0.0
