,county,cyanide
0,"-, Arizona",0.0
1,"Acadia, Louisiana",0.0
2,"Accomack, Virginia",0.0
3,"Ada, Idaho",0.2
4,"Adair, Kentucky",0.0
5,"Adair, Oklahoma",0.0
6,"Adams, Idaho",0.0
7,"Adams, Illinois",0.0
8,"Adams, Indiana",0.0
9,"Adams, Nebraska",0.0
10,"Adams, Ohio",0.0
11,"Adams, Pennsylvania",0.0
12,"Adams, Washington",0.0
13,"Addison, Vermont",0.0
14,"Aitkin, Minnesota",0.0
15,"Alachua, Florida",1.3035087719298246
16,"Alamance, North Carolina",0.0
17,"Alameda, California",0.0
18,"Albany, New York",0.24509803921568626
19,"Albany, Wyoming",0.0
20,"Albemarle, Virginia",0.2222222222222222
21,"Alcona, Michigan",0.0
22,"Aleutians east borough, Alaska",0.0
23,"Aleutians east, Alaska",0.0
24,"Aleutians west census area, Alaska",0.0
25,"Aleutians west, Alaska",0.0
26,"Alexander, Illinois",0.0
27,"Alexander, North Carolina",0.0
28,"Alfalfa, Oklahoma",0.0
29,"Alger, Michigan",0.0
30,"Allegan, Michigan",0.0
31,"Allegany, New York",1.247191011235955
32,"Alleghany, North Carolina",0.0
33,"Alleghany, Virginia",0.0
34,"Allegheny county, Pennsylvania",0.0
35,"Allegheny, Pennsylvania",0.0
36,"Allen, Indiana",0.20588235294117646
37,"Allen, Kentucky",0.0
38,"Allen, Louisiana",0.0
39,"Allen, Ohio",0.0
40,"Alpena, Michigan",0.0
41,"Alpine, California",1.5555555555555556
42,"Amador, California",0.0
43,"Amelia, Virginia",0.0
44,"American samoa, American Samoa",0.0
45,"Amherst, Virginia",0.0
46,"Anchorage, Alaska",0.25
47,"Anderson, Kentucky",0.0
48,"Anderson, Tennessee",0.0
49,"Anderson, Texas",1.7
50,"Androscoggin, Maine",0.0
51,"Angelina, Texas",6.233333333333333
52,"Anoka, Minnesota",0.0
53,"Anson, North Carolina",0.0
54,"Antelope, Nebraska",0.0
55,"Antrim, Michigan",0.0
56,"Apache, Arizona",0.08333333333333333
57,"Appomattox, Virginia",0.0
58,"Arenac, Michigan",0.0
59,"Arkansas, Arkansas",0.0
60,"Armstrong, Pennsylvania",0.0
61,"Aroostook, Maine",0.0
62,"Arthur, Nebraska",0.0
63,"Ascension, Louisiana",0.0
64,"Ashe, North Carolina",0.0
65,"Ashland, Ohio",0.0
66,"Ashland, Wisconsin",0.0
67,"Ashley, Arkansas",0.0
68,"Ashtabula, Ohio",0.0
69,"Asotin, Washington",0.0
70,"Assumption, Louisiana",0.0
71,"Atascosa, Texas",16.0
72,"Athens, Ohio",0.0
73,"Atlantic, New Jersey",0.06514657980456026
74,"Atoka, Oklahoma",0.0
75,"Audrain, Missouri",0.0
76,"Auglaize, Ohio",0.0
77,"Augusta, Virginia",0.0
78,"Austin, Texas",0.0
79,"Autauga, Alabama",0.0
80,"Avery, North Carolina",2.2735042735042734
81,"Avoyelles, Louisiana",0.0
82,"B, Oklahoma",0.0
83,"Bailey, Texas",0.0
84,"Baker county, Florida",5.5
85,"Baker, Florida",1.3178571428571428
86,"Baker, Oregon",0.0
87,"Baldwin, Alabama",0.0673076923076923
88,"Ballard, Kentucky",0.0
89,"Bandera, Texas",0.0
90,"Banner, Nebraska",0.0
91,"Baraga, Michigan",0.0
92,"Barbour, Alabama",0.0746551724137931
93,"Barbour, West Virginia",0.0
94,"Barnstable, Massachusetts",0.06711409395973154
95,"Barren, Kentucky",0.0
96,"Barry, Michigan",0.0
97,"Barry, Missouri",0.0
98,"Bartholomew, Indiana",0.0
99,"Bastrop, Texas",0.0
100,"Bath, Virginia",0.0
101,"Baxter, Arkansas",0.0
102,"Bay, Florida",0.8636363636363636
103,"Bayfield, Wisconsin",0.0
104,"Bear lake, Idaho",0.0
105,"Beaufort, North Carolina",0.0
106,"Beauregard, Louisiana",0.0
107,"Beaver, Oklahoma",0.0
108,"Beaver, Pennsylvania",3.2413793103448274
109,"Beaver, Utah",0.0
110,"Becker, Minnesota",0.0
111,"Beckham, Oklahoma",0.0
112,"Bedford county, Pennsylvania",0.0
113,"Bedford, Pennsylvania",0.0
114,"Bedford, Tennessee",0.0
115,"Bedford, Virginia",0.0
116,"Belknap, New Hampshire",0.0
117,"Bell, Kentucky",0.0
118,"Bell, Texas",0.0
119,"Belmont, Ohio",0.0
120,"Beltrami county, Minnesota",0.0
121,"Beltrami, Minnesota",2.3076923076923075
122,"Benewah, Idaho",0.0
123,"Bennett, South Dakota",0.0
124,"Bennington, Vermont",0.0
125,"Benton county, Arkansas",0.0
126,"Benton, Arkansas",82.29032258064517
