,county,di(2-ethylhexyl)_phthalate
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.6384848484848484
3,"Accomack, Virginia",0.060000000000000005
4,"Ada, Idaho",0.13936090225563913
5,"Adair, Iowa",0.06842105263157894
6,"Adair, Kentucky",0.0
7,"Adams, Idaho",0.0
8,"Adams, Illinois",0.17317073170731706
9,"Adams, Indiana",0.0
10,"Adams, Iowa",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Ohio",1.5115384615384615
13,"Adams, Pennsylvania",0.034482758620689655
14,"Adams, Washington",0.08333333333333333
15,"Adams, Wisconsin",0.0
16,"Addison, Vermont",0.0
17,"Aiken, South Carolina",0.09346153846153847
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.09296874999999999
20,"Alamance, North Carolina",0.0388936170212766
21,"Alameda, California",0.0
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.14857142857142858
24,"Albemarle, Virginia",0.0
25,"Alexander, Illinois",0.0
26,"Alexander, North Carolina",0.0
27,"Allamakee county, Iowa",0.0
28,"Allamakee, Iowa",0.025
29,"Allegan, Michigan",0.0
30,"Allegany, Maryland",0.45506849315068504
31,"Allegany, New York",0.7087912087912088
32,"Alleghany, North Carolina",0.0
33,"Alleghany, Virginia",0.0
34,"Allegheny county, Pennsylvania",0.0
35,"Allegheny, Pennsylvania",0.0112
36,"Allen, Indiana",0.1088888888888889
37,"Allen, Kentucky",0.0
38,"Allen, Louisiana",1.0366250000000001
39,"Allendale, South Carolina",0.0
40,"Alpine, California",0.0
41,"American samoa, American Samoa",0.018032786885245903
42,"Amherst, Virginia",0.0
43,"Anderson, Kentucky",0.0
44,"Anderson, South Carolina",3.97
45,"Anderson, Texas",0.06474576271186441
46,"Andrews, Texas",0.0
47,"Androscoggin, Maine",0.009411764705882354
48,"Angelina, Texas",0.0
49,"Anne arundel, Maryland",1.5681415929203535
50,"Anoka, Minnesota",0.0738255033557047
51,"Anson, North Carolina",0.0
52,"Antelope, Nebraska",0.0
53,"Antrim, Michigan",0.0
54,"Apache, Arizona",0.0
55,"Appanoose, Iowa",0.19999999999999998
56,"Aransas, Texas",0.0
57,"Archer, Texas",0.0
58,"Arkansas, Arkansas",0.09230769230769231
59,"Armstrong county, Pennsylvania",0.0
60,"Armstrong, Pennsylvania",0.03615384615384615
61,"Armstrong, Texas",0.0
62,"Aroostook, Maine",0.33475
63,"Arthur, Nebraska",0.0
64,"Ascension, Louisiana",0.9508247422680413
65,"Ashe, North Carolina",0.05504672897196261
66,"Ashland, Wisconsin",0.10142857142857142
67,"Ashley, Arkansas",0.20279069767441862
68,"Ashtabula, Ohio",0.0
69,"Asotin, Washington",0.0
70,"Assumption, Louisiana",0.8071428571428572
71,"Atascosa county, Texas",0.0
72,"Atascosa, Texas",0.0
73,"Atlantic, New Jersey",0.1825
74,"Audrain, Missouri",0.0
75,"Audubon, Iowa",0.0
76,"Augusta, Virginia",0.0
77,"Aurora, South Dakota",0.0
78,"Austin, Texas",0.024615384615384615
79,"Autauga, Alabama",0.0
80,"Avery, North Carolina",0.20128205128205126
81,"Avoyelles, Louisiana",1.5808196721311478
82,"Bailey, Texas",0.0
83,"Baker county, Florida",0.0
84,"Baker, Florida",1.0333333333333334
85,"Baker, Oregon",0.0
86,"Baldwin, Alabama",0.07908647540983606
87,"Ballard, Kentucky",0.0
88,"Baltimore city, Maryland",0.8342424242424241
89,"Baltimore, Maryland",0.4695505617977528
90,"Bamberg, South Carolina",1.18
91,"Bandera, Texas",0.0
92,"Banner, Nebraska",1.8
93,"Bannock, Idaho",0.45077966101694916
94,"Baraga, Michigan",0.0
95,"Barbour, Alabama",0.015931081081081083
96,"Barbour, West Virginia",0.0
97,"Barnstable, Massachusetts",0.003466666666666667
98,"Barnwell, South Carolina",0.39681818181818185
99,"Barren, Kentucky",0.0
100,"Barron, Wisconsin",0.0
101,"Barry, Missouri",0.0
102,"Bartholomew, Indiana",0.4323529411764706
103,"Bastrop, Texas",0.0
104,"Bath, Virginia",0.0
105,"Baxter, Arkansas",0.0876056338028169
106,"Bay, Florida",0.13419999999999999
107,"Bayfield, Wisconsin",0.82
108,"Baylor, Texas",0.0
109,"Beadle, South Dakota",0.0
110,"Bear lake, Idaho",0.0
111,"Beaufort, North Carolina",0.0
112,"Beaufort, South Carolina",0.027901234567901233
113,"Beauregard, Louisiana",0.7380645161290323
114,"Beaver county, Pennsylvania",0.0
115,"Beaver, Pennsylvania",0.19681159420289857
116,"Beaver, Utah",0.0
117,"Beaverhead, Montana",0.0
118,"Becker, Minnesota",0.0
119,"Bedford, Pennsylvania",0.0983050847457627
120,"Bedford, Virginia",0.0
121,"Bee, Texas",0.0
122,"Belknap, New Hampshire",0.4198443579766536
123,"Bell, Kentucky",0.10941176470588236
124,"Bell, Texas",0.0
125,"Belmont, Ohio",0.02333333333333333
126,"Beltrami county, Minnesota",0.0
127,"Beltrami, Minnesota",0.18736842105263157
128,"Benewah, Idaho",0.0
129,"Bennett, South Dakota",0.0
130,"Bennington, Vermont",0.0782051282051282
131,"Benton county, Arkansas",0.0
132,"Benton, Arkansas",0.0
133,"Benton, Indiana",0.15
134,"Benton, Iowa",0.0
135,"Benton, Minnesota",0.0
136,"Benton, Missouri",0.0
137,"Benton, Oregon",0.0
138,"Benton, Washington",0.08043956043956044
139,"Bergen, New Jersey",0.0
140,"Berkeley, South Carolina",0.10903225806451612
141,"Berkeley, West Virginia",0.011111111111111112
142,"Berks county, Pennsylvania",0.0
143,"Berks, Pennsylvania",0.030527383367139962
144,"Berkshire, Massachusetts",0.0
145,"Bernalillo, New Mexico",0.23584
146,"Berrien, Michigan",0.0
147,"Bertie, North Carolina",0.0
148,"Bexar, Texas",0.09763440860215054
149,"Bibb, Alabama",0.0
150,"Bienville, Louisiana",0.9460370370370371
151,"Big horn, Montana",0.0
152,"Big horn, Wyoming",0.0
153,"Big stone, Minnesota",0.0
154,"Bingham, Idaho",0.38430000000000003
155,"Black hawk, Iowa",0.09701492537313433
156,"Blackford, Indiana",0.0
157,"Bladen, North Carolina",0.0363768115942029
158,"Blaine, Idaho",0.060000000000000005
159,"Blaine, Montana",0.24666666666666667
160,"Blaine, Nebraska",0.0
161,"Blair, Pennsylvania",0.48505617977528076
162,"Blanco, Texas",0.25
163,"Bland, Virginia",0.0
164,"Blount, Alabama",0.002105263157894737
165,"Blue earth, Minnesota",0.0
166,"Boise, Idaho",0.7116071428571428
167,"Bon homme, South Dakota",0.0
168,"Bond, Illinois",0.07048683
169,"Bonner, Idaho",0.19916666666666663
170,"Bonneville, Idaho",0.317218487394958
171,"Boone, Arkansas",0.04057142857142857
172,"Boone, Illinois",0.05928571428571428
173,"Boone, Indiana",0.0
174,"Boone, Iowa",0.16
175,"Boone, Kentucky",0.0
176,"Boone, Nebraska",0.0
177,"Boone, West Virginia",0.044375
178,"Bosque, Texas",0.016190476190476193
179,"Bossier, Louisiana",0.8546987951807229
180,"Botetourt, Virginia",0.0
181,"Boundary, Idaho",0.0
182,"Bourbon, Kentucky",0.0
183,"Bowie, Texas",0.16285714285714284
184,"Box butte, Nebraska",0.0
185,"Box elder, Utah",0.0
186,"Boyd, Kentucky",0.0
187,"Boyd, Nebraska",0.0
188,"Boyle, Kentucky",0.025833333333333333
189,"Bracken, Kentucky",0.0
190,"Bradford, Florida",0.1
191,"Bradford, Pennsylvania",0.0
192,"Bradley, Arkansas",0.7718181818181817
193,"Braxton, West Virginia",0.0
194,"Brazoria, Texas",0.058675799086758
195,"Brazos, Texas",0.0
196,"Breathitt, Kentucky",0.0
197,"Breckinridge, Kentucky",0.0
198,"Bremer, Iowa",0.0
199,"Brevard, Florida",0.006262626262626262
200,"Brewster, Texas",0.38000000000000006
201,"Briscoe, Texas",0.0
202,"Bristol, Massachusetts",0.004335664335664335
203,"Bristol, Rhode Island",0.027999999999999997
204,"Bristol, Virginia",0.0
205,"Broadwater, Montana",0.0
206,"Brooke, West Virginia",1.4285714285714286
207,"Brookings, South Dakota",0.0
208,"Brooks, Texas",0.0
209,"Broome, New York",0.0
210,"Broward county, Florida",0.0
211,"Broward, Florida",0.045298932384341635
212,"Brown, Illinois",0.0
213,"Brown, Indiana",0.0
214,"Brown, Minnesota",0.0
215,"Brown, Nebraska",0.0
216,"Brown, Ohio",0.0
217,"Brown, South Dakota",0.0
218,"Brown, Texas",0.0
219,"Brown, Wisconsin",0.21823529411764706
220,"Brule, South Dakota",0.0
221,"Brunswick, North Carolina",0.0
222,"Brunswick, Virginia",0.0
223,"Buchanan, Iowa",1.140625
224,"Buchanan, Virginia",0.37777777777777777
225,"Buckingham, Virginia",0.0
226,"Bucks county, Pennsylvania",0.375
227,"Bucks, Pennsylvania",0.031056218057921636
228,"Buena vista, Iowa",0.0
229,"Buena vista, Virginia",0.0
230,"Buffalo, Nebraska",0.04980392156862745
231,"Buffalo, Wisconsin",0.0
232,"Bullock, Alabama",0.06025641025641025
233,"Buncombe, North Carolina",0.010075187969924813
234,"Bureau, Illinois",0.09530538
235,"Burke, North Carolina",0.0
236,"Burleson, Texas",0.03333333333333333
237,"Burlington, New Jersey",0.0
238,"Burnet, Texas",0.0
239,"Burnett, Wisconsin",0.64
240,"Burt, Nebraska",0.0
241,"Butler, Alabama",0.0
242,"Butler, Iowa",0.0
243,"Butler, Kentucky",0.0
244,"Butler, Nebraska",0.0
245,"Butler, Ohio",0.009130434782608695
246,"Butler, Pennsylvania",0.04914285714285714
247,"Butte, California",0.0
248,"Butte, Idaho",1.6453846153846154
249,"Butte, South Dakota",0.0
250,"Cabarrus, North Carolina",0.06820224719101126
251,"Cabell, West Virginia",1.8888888888888888
252,"Cache, Utah",0.0
253,"Caddo parish, Louisiana",1.3950000000000002
254,"Caddo, Louisiana",0.832014925373134
255,"Calaveras, California",0.0
256,"Calcasieu, Louisiana",0.6493719806763283
257,"Caldwell, Kentucky",0.2125
258,"Caldwell, Louisiana",0.5915806451612904
259,"Caldwell, North Carolina",0.0
260,"Caldwell, Texas",0.0
261,"Caledonia, Vermont",0.0
262,"Calhoun, Alabama",0.0
263,"Calhoun, Arkansas",0.28454545454545455
264,"Calhoun, Florida",0.0
265,"Calhoun, Illinois",0.0
266,"Calhoun, Iowa",0.052941176470588235
267,"Calhoun, South Carolina",0.0
268,"Calhoun, Texas",0.2095454545454545
269,"Calhoun, West Virginia",0.0
270,"Callahan, Texas",0.0
271,"Calloway, Kentucky",0.0
272,"Calumet, Wisconsin",0.58
273,"Calvert, Maryland",0.6045588235294117
274,"Cambria county, Pennsylvania",0.0
275,"Cambria, Pennsylvania",0.011111111111111112
276,"Camden, New Jersey",0.376
277,"Camden, North Carolina",0.0
278,"Cameron, Louisiana",0.6380769230769231
279,"Cameron, Pennsylvania",0.0
280,"Cameron, Texas",0.0
281,"Camp, Texas",0.04894736842105263
282,"Campbell, Kentucky",0.0
283,"Campbell, Virginia",0.0
284,"Campbell, Wyoming",0.0038414634146341463
285,"Canyon, Idaho",0.10842391304347827
286,"Cape may, New Jersey",0.0
287,"Carbon, Montana",0.0
288,"Carbon, Pennsylvania",0.038679245283018866
289,"Carbon, Utah",0.28750000000000003
290,"Carbon, Wyoming",0.0
291,"Caribou, Idaho",0.0
292,"Carlisle, Kentucky",0.0
293,"Carlton, Minnesota",0.07307692307692307
294,"Caroline, Maryland",0.4758823529411765
295,"Caroline, Virginia",0.3090909090909091
296,"Carroll, Arkansas",0.11862068965517243
297,"Carroll, Illinois",0.25882352941176473
298,"Carroll, Indiana",0.19555555555555557
299,"Carroll, Iowa",0.3541666666666667
300,"Carroll, Kentucky",0.0
301,"Carroll, Maryland",1.0391304347826085
302,"Carroll, New Hampshire",0.05172413793103448
303,"Carroll, Virginia",0.0
304,"Carson city, Nevada",0.009938650306748467
305,"Carson, Texas",0.0
306,"Carter, Kentucky",0.0
307,"Carter, Montana",0.0
308,"Carteret, North Carolina",0.5124657534246575
309,"Carver, Minnesota",0.11666666666666668
310,"Cascade, Montana",0.3271604938271605
311,"Casey, Kentucky",0.0
312,"Cass, Illinois",0.0
313,"Cass, Indiana",1.5961538461538463
314,"Cass, Iowa",0.0
315,"Cass, Minnesota",0.18771929824561404
316,"Cass, Nebraska",0.02864864864864865
317,"Cass, North Dakota",0.0
318,"Cass, Texas",0.41838709677419356
319,"Cassia, Idaho",0.19384615384615383
320,"Castro, Texas",0.0
321,"Caswell, North Carolina",0.0
322,"Catahoula, Louisiana",0.9883333333333333
323,"Catawba, North Carolina",0.04741258741258741
324,"Catron, New Mexico",0.0
325,"Cattaraugus, New York",0.06346153846153846
326,"Cayuga county, New York",0.0
327,"Cayuga, New York",0.021052631578947368
328,"Cecil, Maryland",0.5950267379679144
329,"Cedar, Iowa",0.09999999999999999
330,"Cedar, Nebraska",0.01244186046511628
331,"Centre county, Pennsylvania",0.0
332,"Centre, Pennsylvania",0.13857142857142857
333,"Cerro gordo, Iowa",0.08214285714285714
334,"Chambers, Alabama",0.0
335,"Chambers, Texas",0.0
336,"Champaign, Illinois",0.0
337,"Champaign, Ohio",0.52
338,"Chariton, Missouri",0.0
339,"Charles mix, South Dakota",0.0
340,"Charles, Maryland",0.44068493150684934
341,"Charleston county, South Carolina",0.0
342,"Charleston, South Carolina",0.0530952380952381
343,"Charlotte, Florida",0.0
344,"Charlotte, Virginia",0.0
345,"Chase, Nebraska",0.0
346,"Chatham, North Carolina",0.06377358490566037
347,"Chautauqua, New York",0.11733333333333335
348,"Chaves, New Mexico",0.0
349,"Cheboygan, Michigan",0.0
350,"Chelan, Washington",0.0
351,"Chemung, New York",0.0
352,"Chenango, New York",0.0
353,"Cherokee, Alabama",0.0
354,"Cherokee, Iowa",0.08124999999999999
355,"Cherokee, North Carolina",0.0
356,"Cherokee, South Carolina",0.0
357,"Cherokee, Texas",0.22571428571428573
358,"Cherry, Nebraska",0.0
359,"Chesapeake city, Virginia",0.0
360,"Cheshire, New Hampshire",0.15625000000000003
361,"Chester county, Pennsylvania",0.0
362,"Chester, Pennsylvania",0.06906474820143885
363,"Chester, South Carolina",0.0
364,"Chesterfield, South Carolina",0.02732394366197183
365,"Chesterfield, Virginia",0.0
366,"Cheyenne, Nebraska",0.0
367,"Chickasaw, Iowa",0.03571428571428571
368,"Chicot, Arkansas",0.0
369,"Chilton, Alabama",0.0
370,"Chippewa, Michigan",0.0
371,"Chippewa, Minnesota",0.07272727272727274
372,"Chippewa, Wisconsin",1.579090909090909
373,"Chisago, Minnesota",0.0
374,"Chittenden, Vermont",0.0
375,"Choctaw, Alabama",0.0
376,"Chouteau, Montana",0.15714285714285717
377,"Chowan, North Carolina",0.0
378,"Christian, Illinois",0.260625
379,"Christian, Kentucky",0.0
380,"Churchill, Nevada",0.0
381,"Cibola, New Mexico",0.0
382,"Citrus county, Florida",0.0
383,"Citrus, Florida",0.0
384,"Clackamas, Oregon",0.060281249999999995
385,"Claiborne, Louisiana",0.9269056603773584
386,"Clallam, Washington",0.0
387,"Clare, Michigan",0.0
388,"Clarendon, South Carolina",0.28564102564102567
389,"Clarion, Pennsylvania",0.08545454545454546
390,"Clark county, Nevada",0.0
391,"Clark, Arkansas",0.04857142857142858
392,"Clark, Illinois",0.0428125
393,"Clark, Indiana",0.0
394,"Clark, Kentucky",0.0
395,"Clark, Nevada",0.11163563829787236
396,"Clark, Ohio",0.04925925925925926
397,"Clark, South Dakota",0.0
398,"Clark, Washington",0.29225352112676056
399,"Clark, Wisconsin",0.722
400,"Clarke, Alabama",0.0
401,"Clarke, Iowa",0.55
402,"Clarke, Virginia",0.0
403,"Clatsop, Oregon",0.0
404,"Clay, Alabama",0.0
405,"Clay, Arkansas",0.2552777777777778
406,"Clay, Florida",0.16027388535031847
407,"Clay, Illinois",0.0
408,"Clay, Indiana",0.0
409,"Clay, Iowa",0.0
410,"Clay, Kentucky",0.0
411,"Clay, Minnesota",0.0
412,"Clay, Nebraska",0.0
413,"Clay, North Carolina",0.0
414,"Clay, South Dakota",0.0
415,"Clay, Texas",0.026363636363636363
416,"Clay, West Virginia",0.0
417,"Clayton, Iowa",0.05
418,"Clearfield county, Pennsylvania",0.0
419,"Clearfield, Pennsylvania",0.03333333333333333
420,"Clearwater, Idaho",0.19957692307692307
421,"Clearwater, Minnesota",0.0
422,"Cleburne, Alabama",0.0
423,"Cleburne, Arkansas",0.0
424,"Clermont, Ohio",0.0
425,"Cleveland, Arkansas",0.24499999999999997
426,"Cleveland, North Carolina",0.0
