,county,fecal_coliform
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Adair, Iowa",0.0
3,"Adams, Illinois",0.0
4,"Adams, Iowa",0.0
5,"Adams, Pennsylvania",0.0
6,"Adams, Wisconsin",0.0
7,"Addison, Vermont",0.0
8,"Aiken, South Carolina",0.0
9,"Alamance, North Carolina",0.0
10,"Albany, New York",0.0
11,"Albany, Wyoming",0.0
12,"Albemarle, Virginia",0.0
13,"Aleutians east, Alaska",0.0
14,"Aleutians west census area, Alaska",0.0
15,"Aleutians west, Alaska",0.0
16,"Alexander, Illinois",0.0
17,"Alexander, North Carolina",0.0
18,"Allamakee, Iowa",0.0
19,"Alleghany, North Carolina",0.0
20,"Alleghany, Virginia",0.0
21,"Allegheny county, Pennsylvania",0.0
22,"Allegheny, Pennsylvania",0.0
23,"Allen, Kansas",0.0
24,"Allen, Louisiana",0.0
25,"Allendale, South Carolina",0.0
26,"Amador, California",0.0
27,"American samoa, American Samoa",0.0
28,"Anchorage, Alaska",0.0
29,"Anderson, Kansas",0.0
30,"Anderson, South Carolina",0.0
31,"Angelina, Texas",0.0
32,"Anson, North Carolina",0.0
33,"Apache, Arizona",0.0
34,"Armstrong, Pennsylvania",0.0
35,"Ashe, North Carolina",0.0
36,"Ashland, Wisconsin",0.0
37,"Atascosa, Texas",0.0
38,"Atchison, Kansas",0.0
39,"Atlantic, New Jersey",0.0
40,"Audubon, Iowa",0.0
41,"Austin, Texas",0.0
42,"Avery, North Carolina",0.0
43,"Baldwin, Alabama",0.0
44,"Bamberg, South Carolina",0.0
45,"Bandera, Texas",0.0
46,"Bannock, Idaho",0.0
47,"Barbour, Alabama",0.0
48,"Barnwell, South Carolina",0.0
49,"Barron, Wisconsin",0.0
50,"Barton, Kansas",0.0
51,"Bastrop, Texas",0.0
52,"Bath, Virginia",0.0
53,"Bayfield, Wisconsin",0.0
54,"Baylor, Texas",0.0
55,"Beaufort county, South Carolina",0.0
56,"Beaufort, North Carolina",0.0
57,"Beaufort, South Carolina",0.0
58,"Beaver, Pennsylvania",0.0
59,"Beaver, Utah",0.0
60,"Bedford, Pennsylvania",0.0
61,"Bee, Texas",0.0
62,"Bell, Texas",0.0
63,"Benton, Iowa",0.0
64,"Benton, Oregon",0.0
65,"Benton, Washington",0.0
66,"Bergen, New Jersey",0.0
67,"Berkeley, South Carolina",0.0
68,"Berkeley, West Virginia",0.0
69,"Berks county, Pennsylvania",0.0
70,"Berks, Pennsylvania",0.0
71,"Bernalillo, New Mexico",0.0
72,"Bertie, North Carolina",0.0
73,"Bethel census area, Alaska",0.0
74,"Bethel, Alaska",0.0
75,"Bexar, Texas",0.0
76,"Big horn, Wyoming",0.0
77,"Bingham, Idaho",0.0
78,"Bladen, North Carolina",0.0
79,"Blaine, Montana",0.0
80,"Blount, Alabama",0.0
81,"Bond, Illinois",0.0
82,"Boone, Illinois",0.0
83,"Boone, Iowa",0.0
84,"Boone, West Virginia",0.0
85,"Bosque, Texas",0.0
86,"Bourbon, Kansas",0.0
87,"Bowie, Texas",0.0
88,"Box elder, Utah",0.0
89,"Bradford, Pennsylvania",0.0
90,"Brazoria, Texas",0.0
91,"Brazos, Texas",0.0
92,"Bremer, Iowa",0.0
93,"Brewster, Texas",0.0
94,"Bristol bay, Alaska",0.0
95,"Bristol, Rhode Island",0.0
96,"Broadwater, Montana",0.0
97,"Brown county, Wisconsin",0.0
98,"Brown, Kansas",0.0
99,"Brown, Texas",0.0
100,"Brown, Wisconsin",0.0
101,"Brunswick, North Carolina",0.0
102,"Buchanan, Iowa",0.0
103,"Bucks, Pennsylvania",0.0
104,"Buffalo, Wisconsin",0.0
105,"Buncombe, North Carolina",0.0
106,"Bureau, Illinois",0.0
107,"Burke, North Carolina",0.0
108,"Burleson, Texas",0.0
109,"Burlington, New Jersey",0.0
110,"Burnet, Texas",0.0
111,"Burnett, Wisconsin",0.0
112,"Butler county, Pennsylvania",0.0
113,"Butler, Iowa",0.0
114,"Butler, Kansas",0.0
115,"Butler, Pennsylvania",0.0
116,"Cabarrus, North Carolina",0.0
117,"Cabell, West Virginia",0.0
118,"Cache, Utah",0.0
119,"Caddo, Louisiana",0.0
120,"Calcasieu, Louisiana",0.0
121,"Caldwell, North Carolina",0.0
122,"Caldwell, Texas",0.0
123,"Calhoun, Alabama",0.0
124,"Calhoun, Illinois",0.0
125,"Calhoun, South Carolina",0.0
126,"Calhoun, Texas",0.0
127,"Calumet, Wisconsin",0.0
128,"Cambria, Pennsylvania",0.0
129,"Camden, New Jersey",0.0
130,"Cameron, Louisiana",0.0
131,"Cameron, Pennsylvania",0.0
132,"Cameron, Texas",0.0
133,"Camp, Texas",0.0
134,"Campbell, Wyoming",0.0
135,"Cape may, New Jersey",0.0
136,"Carbon, Pennsylvania",0.0
137,"Carbon, Utah",0.0
138,"Carbon, Wyoming",0.0
139,"Caribou, Idaho",0.0
140,"Caroline, Virginia",0.0
141,"Carroll, Illinois",0.0
142,"Carroll, Iowa",0.0
143,"Carroll, Ohio",0.0
144,"Carson, Texas",0.0
145,"Carter, Oklahoma",0.0
146,"Carteret, North Carolina",0.0
147,"Cascade, Montana",0.0
148,"Cass, Illinois",0.0
149,"Cass, Iowa",0.0
150,"Cass, Texas",0.0
151,"Cassia, Idaho",0.0
152,"Caswell, North Carolina",0.0
153,"Catawba, North Carolina",0.0
154,"Cedar, Iowa",0.0
155,"Centre, Pennsylvania",0.0
156,"Cerro gordo, Iowa",0.0
157,"Chambers, Alabama",0.0
158,"Chambers, Texas",0.0
159,"Champaign, Illinois",0.0
160,"Charleston, South Carolina",0.0
161,"Chase, Kansas",0.0
162,"Chatham, North Carolina",0.0
163,"Chautauqua, Kansas",0.0
164,"Chautauqua, New York",0.0
165,"Chelan, Washington",0.0
166,"Cherokee, Alabama",0.0
167,"Cherokee, Iowa",0.0
168,"Cherokee, Kansas",0.0
169,"Cherokee, North Carolina",0.0
170,"Cherokee, South Carolina",0.0
171,"Cherokee, Texas",0.0
172,"Chesapeake city, Virginia",0.0
173,"Chester, Pennsylvania",0.0
174,"Chester, South Carolina",0.0
175,"Chesterfield, Virginia",0.0
176,"Chickasaw, Iowa",0.0
177,"Chippewa, Michigan",0.0
178,"Chippewa, Wisconsin",0.0
179,"Chowan, North Carolina",0.0
180,"Christian, Illinois",0.0
181,"Churchill, Nevada",0.0
182,"Cibola, New Mexico",0.0
183,"Clackamas, Oregon",0.0
184,"Clallam, Washington",0.0
185,"Clarendon, South Carolina",0.0
186,"Clarion, Pennsylvania",0.0
187,"Clark, Illinois",0.0
188,"Clark, Kansas",0.0
189,"Clark, Nevada",0.0
190,"Clark, Washington",0.0
191,"Clark, Wisconsin",0.0
192,"Clay, Alabama",0.0
193,"Clay, Illinois",0.0
194,"Clay, Iowa",0.0
195,"Clay, Kansas",0.0
196,"Clay, North Carolina",0.0
197,"Clay, Texas",0.0
198,"Clay, West Virginia",0.0
199,"Clayton, Iowa",0.0
200,"Clearfield, Pennsylvania",0.0
201,"Cleveland, North Carolina",0.0
202,"Cleveland, Oklahoma",0.0
203,"Clinton, Illinois",0.0
204,"Clinton, Iowa",0.0
205,"Clinton, Pennsylvania",0.0
206,"Cloud, Kansas",0.0
207,"Cochise, Arizona",0.0
208,"Coconino, Arizona",0.0
209,"Coffey, Kansas",0.0
210,"Coke, Texas",0.0
211,"Colbert, Alabama",0.0
212,"Coles, Illinois",0.0
213,"Colleton, South Carolina",0.0
214,"Collin, Texas",0.0
215,"Colorado, Texas",0.0
216,"Columbia, New York",0.0
217,"Columbia, Pennsylvania",0.0
218,"Columbia, Wisconsin",0.0
219,"Columbiana, Ohio",0.0
220,"Columbus county, North Carolina",0.0
221,"Columbus, North Carolina",0.0
222,"Colusa, California",0.0
223,"Comal, Texas",0.0
224,"Comanche, Kansas",0.0
225,"Comanche, Texas",0.0
226,"Concho, Texas",0.0
227,"Converse, Wyoming",0.0
228,"Cook, Illinois",0.0
229,"Cooke, Texas",0.0
230,"Coosa, Alabama",0.0
231,"Coryell, Texas",0.0
232,"Covington, Alabama",0.0
233,"Cowley, Kansas",0.0
234,"Cowlitz, Washington",0.0
235,"Craven, North Carolina",0.0
236,"Crawford, Illinois",0.0
237,"Crawford, Iowa",0.0
238,"Crawford, Kansas",0.0
239,"Crawford, Pennsylvania",0.0
240,"Crawford, Wisconsin",0.0
241,"Crook, Wyoming",0.0
242,"Crosby, Texas",0.0
243,"Culberson, Texas",0.0
244,"Cullman, Alabama",0.0
245,"Cumberland, Illinois",0.0
246,"Cumberland, New Jersey",0.0
247,"Cumberland, North Carolina",0.0
248,"Cumberland, Pennsylvania",0.0
249,"Currituck, North Carolina",0.0
250,"Custer, Idaho",0.0
251,"Custer, Oklahoma",0.0
252,"Daggett, Utah",0.0
253,"Dale, Alabama",0.0
254,"Dallas, Iowa",0.0
255,"Dallas, Texas",0.0
256,"Dane, Wisconsin",0.0
257,"Danville, Virginia",0.0
258,"Dare, North Carolina",0.0
259,"Darke, Ohio",0.0
260,"Darlington, South Carolina",0.0
261,"Dauphin, Pennsylvania",0.0
262,"Davidson, North Carolina",0.0
263,"Davie, North Carolina",0.0
264,"Davis, Utah",0.0
265,"Dawson, Montana",0.0
266,"Dawson, Texas",0.0
267,"De witt, Illinois",0.0
268,"Deer lodge, Montana",0.0
269,"Dekalb, Alabama",0.0
270,"Dekalb, Illinois",0.0
271,"Del norte county, California",0.0
272,"Delaware, Iowa",0.0
273,"Denali, Alaska",0.0
274,"Denton, Texas",0.0
275,"Des moines, Iowa",0.0
276,"Dewitt, Texas",0.0
277,"Dickinson, Iowa",0.0
278,"Dickinson, Kansas",0.0
279,"Dillingham, Alaska",0.0
280,"Dillon, South Carolina",0.0
281,"Dodge, Wisconsin",0.0
282,"Doniphan, Kansas",0.0
283,"Donley, Texas",0.0
284,"Door, Wisconsin",0.0
285,"Dorchester, South Carolina",0.0
286,"Douglas, Illinois",0.0
287,"Douglas, Kansas",0.0
288,"Douglas, Washington",0.0
289,"Douglas, Wisconsin",0.0
290,"Dubois, Indiana",0.0
291,"Dubuque, Iowa",0.0
292,"Duchesne, Utah",0.0
293,"Dunn, North Dakota",0.0
294,"Dunn, Wisconsin",0.0
295,"Dupage, Illinois",0.0
296,"Duplin, North Carolina",0.0
297,"Durham, North Carolina",0.0
298,"Dutchess, New York",0.0
299,"Duval, Texas",0.0
300,"Eastland, Texas",0.0
301,"Eau claire, Wisconsin",0.0
302,"Ector, Texas",0.0
303,"Edgar, Illinois",0.0
304,"Edgecombe, North Carolina",0.0
305,"Edgefield, South Carolina",0.0
306,"Effingham, Illinois",0.0
307,"El paso, Texas",0.0
308,"Elk, Kansas",0.0
309,"Elk, Pennsylvania",0.0
310,"Elko, Nevada",0.0
311,"Ellis, Kansas",0.0
312,"Ellis, Texas",0.0
313,"Ellsworth, Kansas",0.0
314,"Emery, Utah",0.0
315,"Emmet, Iowa",0.0
316,"Erath, Texas",0.0
317,"Erie county, Pennsylvania",0.0
318,"Erie, Pennsylvania",0.0
319,"Escambia, Alabama",0.0
320,"Essex, New Jersey",0.0
321,"Etowah, Alabama",0.0
322,"Fairbanks north star, Alaska",0.0
323,"Fairfax, Virginia",0.0
324,"Fairfield, Ohio",0.0
325,"Fairfield, South Carolina",0.0
326,"Falls, Texas",0.0
327,"Fannin, Texas",0.0
328,"Fauquier, Virginia",0.0
329,"Fayette, Iowa",0.0
330,"Fayette, Pennsylvania",0.0
331,"Fayette, Texas",0.0
332,"Fergus, Montana",0.0
333,"Ferry, Washington",0.0
334,"Finney, Kansas",0.0
335,"Flathead, Montana",0.0
336,"Florence, South Carolina",0.0
337,"Florence, Wisconsin",0.0
338,"Foard, Texas",0.0
339,"Fond du lac, Wisconsin",0.0
340,"Ford, Illinois",0.0
341,"Ford, Kansas",0.0
342,"Forest, Pennsylvania",0.0
343,"Forest, Wisconsin",0.0
344,"Forsyth, North Carolina",0.0
345,"Fort bend, Texas",0.0
346,"Franklin county, Pennsylvania",0.0
347,"Franklin, Illinois",0.0
348,"Franklin, Kansas",0.0
349,"Franklin, North Carolina",0.0
350,"Franklin, Ohio",0.0
351,"Franklin, Pennsylvania",0.0
352,"Franklin, Virginia",0.0
353,"Franklin, Washington",0.0
354,"Freestone, Texas",0.0
355,"Fremont, Iowa",0.0
356,"Fremont, Wyoming",0.0
357,"Fresno, California",0.0
358,"Frio, Texas",0.0
359,"Fulton, Illinois",0.0
360,"Fulton, Pennsylvania",0.0
361,"Gallatin, Montana",0.0
362,"Galveston, Texas",0.0
363,"Garfield, Montana",0.0
364,"Garfield, Utah",0.0
365,"Garza, Texas",0.0
366,"Gaston, North Carolina",0.0
367,"Gates, North Carolina",0.0
368,"Geary, Kansas",0.0
369,"Geneva, Alabama",0.0
370,"Georgetown, South Carolina",0.0
371,"Gila, Arizona",0.0
372,"Gillespie, Texas",0.0
373,"Gloucester, New Jersey",0.0
374,"Golden valley, North Dakota",0.0
375,"Gonzales, Texas",0.0
376,"Goshen, Wyoming",0.0
377,"Gove, Kansas",0.0
378,"Graham, Arizona",0.0
379,"Grand, Utah",0.0
380,"Granite, Montana",0.0
381,"Grant, Kansas",0.0
382,"Grant, New Mexico",0.0
383,"Grant, Washington",0.0
384,"Grant, Wisconsin",0.0
385,"Granville, North Carolina",0.0
386,"Gray, Kansas",0.0
387,"Grays harbor, Washington",0.0
388,"Grayson, Texas",0.0
389,"Green lake, Wisconsin",0.0
390,"Green, Wisconsin",0.0
391,"Greene, Illinois",0.0
392,"Greene, Iowa",0.0
393,"Greene, North Carolina",0.0
394,"Greenlee, Arizona",0.0
395,"Greenville, South Carolina",0.0
396,"Greenwood, Kansas",0.0
397,"Greenwood, South Carolina",0.0
398,"Gregg, Texas",0.0
399,"Grundy, Illinois",0.0
400,"Guadalupe, Texas",0.0
401,"Guilford, North Carolina",0.0
402,"Guillford, North Carolina",0.0
403,"Guthrie, Iowa",0.0
404,"Hale, Texas",0.0
405,"Halifax, North Carolina",0.0
406,"Hamilton, Illinois",0.0
407,"Hamilton, Iowa",0.0
408,"Hamilton, Kansas",0.0
409,"Hamilton, Texas",0.0
410,"Hampton, South Carolina",0.0
411,"Hancock, Illinois",0.0
412,"Hancock, Iowa",0.0
413,"Hanover, Virginia",0.0
414,"Hardeman, Texas",0.0
415,"Hardin, Illinois",0.0
416,"Hardin, Iowa",0.0
417,"Hardin, Texas",0.0
418,"Harnett, North Carolina",0.0
419,"Harper, Kansas",0.0
420,"Harris, Texas",0.0
421,"Harrison, Iowa",0.0
422,"Harrison, Texas",0.0
423,"Hartford, Connecticut",0.0
424,"Harvey, Kansas",0.0
425,"Haskell, Kansas",0.0
426,"Haskell, Texas",0.0
427,"Hays, Texas",0.0
428,"Haywood, North Carolina",0.0
429,"Hemphill, Texas",0.0
430,"Henderson, North Carolina",0.0
431,"Henderson, Texas",0.0
432,"Henry, Alabama",0.0
433,"Henry, Illinois",0.0
434,"Henry, Iowa",0.0
435,"Hertford, North Carolina",0.0
436,"Hidalgo, New Mexico",0.0
437,"Hidalgo, Texas",0.0
438,"Hill, Montana",0.0
439,"Hill, Texas",0.0
440,"Hockley, Texas",0.0
441,"Hoke, North Carolina",0.0
442,"Honolulu, Hawaii",0.0
443,"Hood, Texas",0.0
444,"Horry, South Carolina",0.0
445,"Hot springs, Wyoming",0.0
446,"Houston, Texas",0.0
447,"Howard, Iowa",0.0
448,"Howard, Texas",0.0
449,"Hudson, New Jersey",0.0
450,"Humboldt, California",0.0
451,"Hunt, Texas",0.0
452,"Hunterdon, New Jersey",0.0
453,"Huntingdon, Pennsylvania",0.0
454,"Hyde, North Carolina",0.0
455,"Ida, Iowa",0.0
456,"Indiana, Pennsylvania",0.0
457,"Inyo, California",0.0
458,"Iowa, Iowa",0.0
459,"Iowa, Wisconsin",0.0
460,"Iredell, North Carolina",0.0
461,"Iron, Utah",0.0
462,"Iron, Wisconsin",0.0
463,"Iroquois, Illinois",0.0
464,"Island, Washington",0.0
465,"Isle of wight, Virginia",0.0
466,"Jack, Texas",0.0
467,"Jackson, Illinois",0.0
468,"Jackson, Iowa",0.0
469,"Jackson, Kansas",0.0
470,"Jackson, North Carolina",0.0
471,"Jackson, Oregon",0.0
472,"Jackson, West Virginia",0.0
473,"Jackson, Wisconsin",0.0
474,"Jasper, Illinois",0.0
475,"Jasper, South Carolina",0.0
476,"Jasper, Texas",0.0
477,"Jefferson, Alabama",0.0
478,"Jefferson, Iowa",0.0
