,county,fluoride
0,"Abbeville, South Carolina",104.70588235294117
1,"Acadia, Louisiana",141.0344827586207
2,"Accomack, Virginia",295.9183673469388
3,"Ada, Idaho",347.8095238095238
4,"Adair, Iowa",1700.0
5,"Adair, Oklahoma",521.1111111111111
6,"Adams, Idaho",621.6666666666666
7,"Adams, Illinois",457.5
8,"Adams, Indiana",1485.3846153846155
9,"Adams, Nebraska",318.2352941176471
10,"Adams, Ohio",281.6666666666667
11,"Adams, Pennsylvania",203.4920634920635
12,"Adams, Washington",2020.3846153846155
13,"Adams, Wisconsin",496.63398692810455
14,"Addison, Vermont",22.36842105263158
15,"Aiken, South Carolina",116.82926829268293
16,"Aitkin, Minnesota",230.0
17,"Alachua, Florida",269.5530120481928
18,"Alamance, North Carolina",110.74468085106383
19,"Alameda, California",126.89149560117302
20,"Albany, New York",79.10112359550561
21,"Albany, Wyoming",339.61538461538464
22,"Albemarle, Virginia",150.85714285714286
23,"Alcona, Michigan",249.06976744186048
24,"Aleutians east borough, Alaska",0.0
25,"Aleutians east, Alaska",50.0
26,"Aleutians west census area, Alaska",180.0
27,"Aleutians west, Alaska",0.0
28,"Alexander, Illinois",2345.0
29,"Alexander, North Carolina",97.5
30,"Alfalfa, Oklahoma",122.14285714285714
31,"Alger, Michigan",137.45762711864407
32,"Allamakee, Iowa",183.33333333333334
33,"Allegan, Michigan",215.11976047904193
34,"Allegany, New York",88.52941176470588
35,"Alleghany, North Carolina",25.483870967741936
36,"Alleghany, Virginia",247.3684210526316
37,"Allegheny, Pennsylvania",541.6666666666666
38,"Allen, Indiana",1181.5384615384614
39,"Allen, Kansas",1206.388888888889
40,"Allen, Kentucky",1327.142857142857
41,"Allen, Louisiana",508.3333333333333
42,"Allen, Ohio",1552.9032258064517
43,"Allendale, South Carolina",140.0
44,"Alpena, Michigan",868.5714285714286
45,"Alpine, California",84.16666666666667
46,"Amador, California",87.625
47,"Amelia, Virginia",124.54545454545455
48,"American samoa, American Samoa",171.2987012987013
49,"Amherst, Virginia",0.0
50,"Anchorage municipality, Alaska",0.0
51,"Anchorage, Alaska",35.68421052631579
52,"Anderson, Kansas",1137.878787878788
53,"Anderson, South Carolina",99.6
54,"Anderson, Tennessee",803.3333333333334
55,"Anderson, Texas",334.6478873239437
56,"Andrew, Missouri",230.0
57,"Andrews, Texas",2174.237288135593
58,"Androscoggin, Maine",830.9473684210526
59,"Angelina, Texas",514.4444444444445
60,"Anne arundel, Maryland",59.48717948717949
61,"Anoka, Minnesota",976.2204724409448
62,"Anson, North Carolina",706.0
63,"Antelope, Nebraska",743.9285714285714
64,"Antrim, Michigan",92.83333333333333
65,"Apache, Arizona",561.8253968253969
66,"Appomattox, Virginia",33.2
67,"Aransas, Texas",955.0
68,"Archer, Texas",394.44444444444446
69,"Arenac, Michigan",114.11764705882354
70,"Arkansas, Arkansas",749.2592592592592
71,"Armstrong, Pennsylvania",120.0
72,"Armstrong, Texas",2355.0
73,"Aroostook, Maine",825.2325581395348
74,"Arthur, Nebraska",150.0
75,"Ascension, Louisiana",145.45454545454547
76,"Ashe, North Carolina",64.70588235294117
77,"Ashland, Ohio",269.09090909090907
