,county,total_organic_carbon
0,"Abbeville, South Carolina",2147.0138888888887
1,"Accomack, Virginia",4500.0
2,"Adair, Iowa",4213.793103448276
3,"Adair, Kentucky",2285.6
4,"Adair, Oklahoma",1690.5863636363636
5,"Adams, Illinois",4061.849315068493
6,"Adams, Iowa",5129.861111111111
7,"Adams, Pennsylvania",1932.479399141631
8,"Aiken, South Carolina",2315.661252900232
9,"Alamance, North Carolina",4887.587006960557
10,"Alameda, California",2009.8082191780823
11,"Albany, Wyoming",2883.132530120482
12,"Albemarle, Virginia",2210.0847222222224
13,"Aleutians east, Alaska",0.0
14,"Aleutians west census area, Alaska",0.0
15,"Aleutians west, Alaska",14644.285714285714
16,"Alexander, Illinois",2720.4545454545455
17,"Alexander, North Carolina",1516.6666666666667
18,"Allegany, New York",743.9256097560976
19,"Alleghany, Virginia",696.5
20,"Allegheny county, Pennsylvania",2091.153846153846
21,"Allegheny, Pennsylvania",1851.1935064935064
22,"Allen, Indiana",5115.294117647059
23,"Allen, Kentucky",1694.5285714285715
24,"Amador, California",1827.5742574257426
25,"Amherst, Virginia",1780.7291666666667
26,"Anchorage municipality, Alaska",0.0
27,"Anchorage, Alaska",264.97087378640776
28,"Anderson, Kentucky",2485.0694444444443
29,"Anderson, South Carolina",1430.8631578947368
30,"Anson, North Carolina",3967.907608695652
31,"Appanoose, Iowa",5369.556962025316
32,"Arenac, Michigan",1605.4545454545455
33,"Armstrong, Pennsylvania",1879.9274193548388
34,"Aroostook, Maine",4094.660194174757
35,"Ashe, North Carolina",1240.8510638297873
36,"Atlantic, New Jersey",2201.279069767442
37,"Atoka, Oklahoma",4013.8277511961724
38,"B, Oklahoma",5315.802816901409
39,"Barbour, West Virginia",1607.0254642857144
40,"Barnes, North Dakota",3691.287878787879
41,"Barren, Kentucky",1855.659574468085
42,"Bay, Michigan",2731.9704433497536
43,"Beaufort, South Carolina",2919.4755244755243
44,"Beaver, Pennsylvania",2608.089108910891
45,"Bedford, Pennsylvania",2300.3021148036255
46,"Bedford, Virginia",1369.7787610619469
47,"Bell, Kentucky",1534.0541176470588
48,"Belmont, Ohio",4028.0
49,"Bennington, Vermont",0.0
50,"Bergen, New Jersey",3964.6422018348626
51,"Berkeley, South Carolina",3832.3591549295775
52,"Berkeley, West Virginia",1645.941031941032
53,"Berks county, Pennsylvania",255.26315789473685
54,"Berks, Pennsylvania",1539.1278375149343
55,"Berrien, Michigan",1499.5238095238096
56,"Bethel census area, Alaska",2266.6666666666665
57,"Bethel, Alaska",1070.4333333333334
58,"Big horn, Montana",2692.5373134328356
59,"Blaine, Montana",4018.0451127819547
60,"Blair, Pennsylvania",932.7124463519314
61,"Bland, Virginia",920.1666666666666
62,"Blount, Alabama",1555.4878048780488
63,"Blue earth, Minnesota",1893.0555555555557
64,"Bond, Illinois",7662.741379310345
65,"Boone, Iowa",1981.0069444444443
66,"Boone, West Virginia",2216.1805555555557
67,"Bourbon, Kentucky",3497.222222222222
68,"Box elder, Utah",2750.0
69,"Boyd, Kentucky",2153.219178082192
70,"Boyle, Kentucky",2796.849315068493
71,"Braxton, West Virginia",1377.5266524520255
72,"Breathitt, Kentucky",2213.521126760563
73,"Breckinridge, Kentucky",4029.4444444444443
74,"Bristol, Virginia",1568.75
75,"Brooke, West Virginia",1927.3797674418606
76,"Broome, New York",1794.3478260869565
77,"Brown, Indiana",4129.69696969697
78,"Brown, Ohio",5271.925
79,"Brunswick, North Carolina",2700.0
80,"Brunswick, Virginia",3260.0
81,"Bryan, Oklahoma",2680.5208333333335
82,"Buckingham, Virginia",3074.0
83,"Bucks, Pennsylvania",2896.912393162393
84,"Buena vista, Iowa",3200.0
85,"Buncombe, North Carolina",1058.6309523809523
86,"Burke, North Carolina",1266.1224489795918
87,"Burleigh, North Dakota",2520.448717948718
88,"Burlington, New Jersey",2638.0033277870216
89,"Butler, Kentucky",2248.5694444444443
90,"Butler, Pennsylvania",2217.512776831346
91,"Butte, California",799.1588785046729
92,"Cabarrus, North Carolina",3753.4117647058824
93,"Cabell, West Virginia",2311.6437994722955
94,"Caddo, Oklahoma",4118.493150684932
95,"Calaveras, California",1657.6623376623377
96,"Caldwell, Kentucky",2173.8513513513512
97,"Caldwell, North Carolina",1456.5591397849462
98,"Caledonia, Vermont",0.0
99,"Calhoun, Alabama",886.4705882352941
100,"Calhoun, West Virginia",2454.652777777778
101,"Cambria county, Pennsylvania",1130.0
102,"Cambria, Pennsylvania",1593.7150050352468
103,"Cameron, Pennsylvania",700.0
104,"Campbell, Virginia",2232.5925925925926
105,"Canadian, Oklahoma",2494.8591549295775
106,"Carbon, Pennsylvania",989.5555555555555
107,"Carbon, Utah",3090.650406504065
108,"Carbon, Wyoming",1717.3604444444445
109,"Caroline, Virginia",3855.9210526315787
110,"Carroll, Iowa",930.0
111,"Carroll, Ohio",2511.6702325581396
112,"Carroll, Virginia",1008.3333333333334
113,"Carson city, Nevada",0.0
114,"Carter, Kentucky",2195.3196347031962
115,"Carter, Oklahoma",4149.9392789373815
116,"Cascade, Montana",2437.8504672897197
117,"Casey, Kentucky",2881.9285714285716
118,"Cass, Illinois",3551.4754098360654
119,"Cass, North Dakota",6759.638888888889
120,"Caswell, North Carolina",3950.281690140845
121,"Catawba, North Carolina",1436.9603524229076
122,"Cattaraugus, New York",1231.2589285714287
123,"Cavalier, North Dakota",11187.5
124,"Cayuga, New York",3455.5555555555557
125,"Centre county, Pennsylvania",49.355555555555554
126,"Centre, Pennsylvania",637.7540983606557
127,"Chambers, Alabama",2704.3928571428573
128,"Charlotte, Virginia",4134.305555555556
129,"Chatham, North Carolina",5810.453531598513
130,"Chautauqua, New York",2240.0
131,"Chemung, New York",1772.5694444444443
132,"Cherokee, Alabama",2695.2380952380954
133,"Cherokee, North Carolina",535.7291666666666
134,"Cherokee, Oklahoma",2418.033290322581
135,"Cherokee, South Carolina",2712.2051282051284
136,"Chesapeake city, Virginia",11213.454628975265
137,"Chester, Pennsylvania",2381.336032388664
138,"Chester, South Carolina",3031.760563380282
139,"Chesterfield, South Carolina",3064.9295774647885
140,"Chilton, Alabama",3177.304964539007
141,"Chittenden, Vermont",2335.6666666666665
142,"Choctaw, Oklahoma",4275.958904109589
143,"Chouteau, Montana",2930.1459854014597
144,"Christian, Illinois",3167.738578680203
145,"Christian, Kentucky",2449.0263157894738
146,"Churchill, Nevada",118.75
147,"Clarion, Pennsylvania",1805.0944881889764
148,"Clark, Indiana",3355.735294117647
149,"Clark, Kentucky",2363.3333333333335
150,"Clark, Nevada",88.67924528301887
151,"Clarke, Alabama",1822.857142857143
152,"Clarke, Iowa",6301.398601398601
153,"Clarke, Virginia",1917.8048780487804
154,"Clay, Alabama",1523.0642857142857
155,"Clay, Illinois",4930.645161290323
156,"Clay, Kentucky",1890.6944444444443
157,"Clay, Minnesota",5009.58904109589
158,"Clay, West Virginia",1568.2698961937717
159,"Clearfield, Pennsylvania",934.946587537092
160,"Cleburne, Alabama",2567.5
161,"Clermont, Ohio",51.25
162,"Cleveland, North Carolina",1693.7532133676093
163,"Cleveland, Oklahoma",4505.172413793103
164,"Clinton, Illinois",4248.395721925133
165,"Clinton, Kentucky",1761.164021164021
166,"Clinton, Michigan",630.0
167,"Clinton, New York",3092.5795454545455
168,"Clinton, Pennsylvania",739.7709923664122
169,"Coal, Oklahoma",4955.972222222223
170,"Coconino, Arizona",2542.8571428571427
171,"Colbert, Alabama",2087.617554858934
172,"Coles, Illinois",3829.3046357615895
173,"Columbia, New York",1580.0
174,"Columbia, Pennsylvania",566.1111111111111
175,"Columbus county, North Carolina",5930.699300699301
176,"Colusa, California",400.0
177,"Comanche, Oklahoma",3790.1151515151514
178,"Contra costa, California",3320.7119205298013
179,"Converse, Wyoming",1486.7334
180,"Cook, Illinois",1737.104518072289
181,"Cortland, New York",1200.0
182,"Cotton, Oklahoma",4996.870629370629
183,"Covington, Virginia",1453.0555555555557
184,"Craig, Oklahoma",3633.318493150685
185,"Crawford, Pennsylvania",2706.9421487603304
186,"Creek, Oklahoma",5289.648788927336
187,"Crittenden, Kentucky",4136.232876712329
188,"Cullman, Alabama",2776.0707746478874
189,"Culpeper, Virginia",3615.902777777778
190,"Cumberland, Illinois",3745.1388888888887
191,"Cumberland, Kentucky",1851.388888888889
192,"Cumberland, Maine",2816.6666666666665
193,"Cumberland, North Carolina",5063.316326530612
194,"Cumberland, Pennsylvania",1320.485651214128
195,"Cumberland, Virginia",1647.4074074074074
196,"Custer, Montana",2245.1428571428573
197,"Custer, Oklahoma",6260.149659863946
198,"Daggett, Utah",3138.4897435897433
199,"Dakota, Minnesota",146.15384615384616
200,"Danville, Virginia",2065.902777777778
201,"Dare, North Carolina",4344.2307692307695
202,"Dauphin county, Pennsylvania",1610.9259259259259
203,"Dauphin, Pennsylvania",1265.2904564315352
204,"Davidson, North Carolina",3166.5019011406844
205,"Davie, North Carolina",1582.018691588785
206,"Davis, Iowa",5309.652777777777
207,"Davis, Utah",2347.12
208,"Dawson, Montana",2181.2182741116753
209,"Decatur, Indiana",3123.208955223881
210,"Decatur, Iowa",5949.93006993007
211,"Dekalb, Alabama",1754.6207762557078
212,"Del norte, California",201.11111111111111
213,"Delaware, Indiana",2940.4545454545455
214,"Delaware, Oklahoma",2974.3781407035176
215,"Delaware, Pennsylvania",2846.25
216,"Denali, Alaska",0.0
217,"Des moines, Iowa",3593.239436619718
218,"Dickenson, Virginia",2003.5714285714287
219,"Dickinson, Iowa",5501.721170395869
220,"Dillingham, Alaska",280.0
221,"Doddridge, West Virginia",5083.854166666667
222,"Douglas, Nevada",87.13692946058092
223,"Dubois, Indiana",3045.278810408922
224,"Duchesne, Utah",2788.4615384615386
225,"Durham, North Carolina",4395.4359
226,"Dutchess, New York",2499.786384976526
227,"Edgar, Illinois",2982.0
228,"Edgecombe, North Carolina",5871.527777777777
229,"Edmonson, Kentucky",2153.2887029288704
230,"Effingham, Illinois",4069.5205479452056
231,"El dorado, California",206.16666666666666
232,"Elk, Pennsylvania",1407.0621468926554
233,"Elko, Nevada",0.0
234,"Elmore, Alabama",2129.807106598985
235,"Emery, Utah",2229.190751445087
236,"Erie, New York",4600.5291005291
237,"Erie, Pennsylvania",2701.2244008714597
238,"Esmeralda, Nevada",0.0
239,"Essex county, New York",3111.5384615384614
240,"Essex, New York",2895.9672196721313
241,"Estill, Kentucky",1952.2138888888887
242,"Etowah, Alabama",3279.5138888888887
