,county,xylenes_total
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.20324675324675326
4,"Ada, Idaho",0.0013618677042801556
5,"Adair, Iowa",0.0
6,"Adair, Kentucky",0.0
7,"Adair, Missouri",0.0
8,"Adair, Oklahoma",0.0
9,"Adams, Idaho",0.0
10,"Adams, Illinois",1.0850573170731708
11,"Adams, Indiana",0.0
12,"Adams, Iowa",0.0
13,"Adams, Nebraska",0.004621621621621622
14,"Adams, Ohio",0.0
15,"Adams, Pennsylvania",0.13975961538461537
16,"Adams, Washington",0.030275229357798167
17,"Adams, Wisconsin",0.163859649122807
18,"Addison, Vermont",0.0
19,"Aiken, South Carolina",0.14228855721393036
20,"Aitkin, Minnesota",0.11176470588235293
21,"Alachua, Florida",0.31059523809523815
22,"Alamance, North Carolina",3.904607476635514
23,"Alameda, California",0.0
24,"Albany, Wyoming",0.0
25,"Albemarle, Virginia",0.6420454545454546
26,"Alcona, Michigan",0.0
27,"Aleutians east borough, Alaska",0.0
28,"Aleutians east, Alaska",0.0
29,"Aleutians west census area, Alaska",0.0
30,"Aleutians west, Alaska",0.0
31,"Alexander, Illinois",0.25706249999999997
32,"Alexander, North Carolina",0.48928571428571427
33,"Alfalfa, Oklahoma",0.0
34,"Alger, Michigan",0.0
35,"Allamakee county, Iowa",0.0
36,"Allamakee, Iowa",0.0
37,"Allegan, Michigan",0.062146892655367235
38,"Allegany, Maryland",0.06363636363636363
39,"Alleghany, North Carolina",2.4551190476190476
40,"Alleghany, Virginia",1.025
41,"Allegheny county, Pennsylvania",0.0
42,"Allegheny, Pennsylvania",0.0
43,"Allen, Indiana",0.015873015873015872
44,"Allen, Kansas",3.965625
45,"Allen, Kentucky",0.0
46,"Allen, Louisiana",0.0
47,"Allen, Ohio",0.0
48,"Allendale, South Carolina",0.0
49,"Alpena, Michigan",0.0
50,"Alpine, California",0.0
51,"Amador, California",0.25706666666666667
52,"Amelia, Virginia",0.0
53,"American samoa, American Samoa",0.0
54,"Amherst, Virginia",0.0
55,"Anchorage municipality, Alaska",0.0
56,"Anchorage, Alaska",0.003763440860215054
57,"Anderson, Kansas",0.0
58,"Anderson, Kentucky",0.0
59,"Anderson, South Carolina",0.0
60,"Anderson, Tennessee",0.0
61,"Anderson, Texas",0.8087272727272729
62,"Andrew, Missouri",0.0
63,"Andrews, Texas",0.0
64,"Androscoggin, Maine",0.0
65,"Angelina, Texas",0.10864406779661018
66,"Anne arundel, Maryland",0.09449760765550239
67,"Anoka, Minnesota",0.14462962962962964
68,"Anson, North Carolina",0.0
69,"Antelope, Nebraska",0.0
70,"Antrim, Michigan",0.0
71,"Apache, Arizona",0.006578947368421052
72,"Appanoose, Iowa",1.625
73,"Appomattox, Virginia",0.0
74,"Aransas, Texas",0.0
75,"Archer, Texas",0.0
76,"Arenac, Michigan",0.0
77,"Arkansas, Arkansas",0.0
78,"Armstrong county, Pennsylvania",0.0
79,"Armstrong, Pennsylvania",0.048888888888888885
80,"Armstrong, Texas",0.0
81,"Aroostook, Maine",0.0
82,"Arthur, Nebraska",0.0
83,"Ascension, Louisiana",0.0
84,"Ashe, North Carolina",0.2712264150943396
85,"Ashland, Ohio",0.053492063492063494
86,"Ashland, Wisconsin",0.0
87,"Ashley, Arkansas",0.24939999999999998
88,"Ashtabula, Ohio",0.0
89,"Asotin, Washington",0.0
90,"Assumption, Louisiana",0.0
91,"Atascosa county, Texas",0.0
92,"Atascosa, Texas",0.2911111111111111
93,"Atchison, Kansas",0.0
94,"Atchison, Missouri",0.0
95,"Athens, Ohio",0.0
96,"Atlantic, New Jersey",0.033294797687861276
97,"Atoka, Oklahoma",0.06578947368421052
98,"Audrain, Missouri",0.0
99,"Audubon, Iowa",0.9333333333333332
100,"Auglaize, Ohio",0.0
101,"Augusta, Virginia",0.0
102,"Aurora, South Dakota",0.0
103,"Austin, Texas",0.0
104,"Autauga, Alabama",0.0
105,"Avery, North Carolina",0.6053254437869823
106,"Avoyelles, Louisiana",0.0
107,"B, Oklahoma",0.0
108,"Bailey, Texas",0.0
109,"Baker county, Florida",0.0
110,"Baker, Florida",0.0
111,"Baker, Oregon",0.0
112,"Baldwin, Alabama",0.15625
113,"Ballard, Kentucky",0.4411627906976745
114,"Baltimore city, Maryland",0.0
115,"Baltimore, Maryland",0.04193548387096774
116,"Bamberg, South Carolina",0.0
117,"Bandera, Texas",0.5463461538461538
118,"Banner, Nebraska",0.0
119,"Bannock, Idaho",0.0
120,"Baraga, Michigan",0.06785714285714285
121,"Barber, Kansas",0.7684210526315789
122,"Barbour, Alabama",0.23826666666666663
123,"Barbour, West Virginia",0.0
124,"Barnes, North Dakota",0.0
125,"Barnstable, Massachusetts",0.005379442843419788
126,"Barnwell, South Carolina",0.17310344827586205
127,"Barren, Kentucky",0.0
128,"Barron, Wisconsin",0.0
129,"Barry, Michigan",0.0
130,"Barry, Missouri",0.1467692307692308
131,"Bartholomew, Indiana",0.0
132,"Barton, Kansas",0.17313432835820894
133,"Barton, Missouri",0.0
134,"Bastrop, Texas",0.0
135,"Bates, Missouri",0.325
136,"Bath, Virginia",0.0
137,"Baxter, Arkansas",0.1
138,"Bay, Florida",0.16901408450704225
139,"Bay, Michigan",0.0
140,"Bayfield, Wisconsin",0.0
141,"Baylor, Texas",0.0
142,"Beadle, South Dakota",0.0
143,"Bear lake, Idaho",0.0
144,"Beaufort, North Carolina",0.451063829787234
145,"Beaufort, South Carolina",0.04771739130434783
146,"Beauregard, Louisiana",0.0
147,"Beaver county, Pennsylvania",0.0
148,"Beaver, Oklahoma",0.0
149,"Beaver, Pennsylvania",0.02348148148148148
150,"Beaver, Utah",0.0
151,"Beaverhead, Montana",0.0
152,"Becker, Minnesota",0.3829268292682927
153,"Beckham, Oklahoma",0.0
154,"Bedford county, Pennsylvania",0.0
155,"Bedford, Pennsylvania",0.1700617283950617
156,"Bedford, Tennessee",0.0
157,"Bedford, Virginia",0.24684684684684688
158,"Bee, Texas",0.03222222222222222
159,"Belknap, New Hampshire",0.0
160,"Bell, Kentucky",0.0
161,"Bell, Texas",0.11750000000000001
162,"Belmont, Ohio",0.0
163,"Beltrami county, Minnesota",0.0
164,"Beltrami, Minnesota",0.012962962962962964
165,"Benewah, Idaho",0.0
166,"Bennett, South Dakota",0.0
167,"Bennington, Vermont",0.0
168,"Benson, North Dakota",0.0
169,"Benton county, Arkansas",0.0
170,"Benton, Arkansas",0.015333333333333332
171,"Benton, Indiana",0.0
172,"Benton, Iowa",0.22263157894736843
173,"Benton, Minnesota",0.02112676056338028
174,"Benton, Missouri",0.1510989010989011
175,"Benton, Oregon",0.0
176,"Benton, Tennessee",0.032777777777777774
177,"Benton, Washington",0.04626168224299066
178,"Benzie, Michigan",0.0
179,"Bergen, New Jersey",0.004071470415934387
180,"Berkeley, South Carolina",0.0
181,"Berkeley, West Virginia",0.417283950617284
182,"Berks county, Pennsylvania",0.0
183,"Berks, Pennsylvania",0.07623062015503876
184,"Berkshire, Massachusetts",0.0
185,"Bernalillo, New Mexico",0.18859106529209624
186,"Berrien, Michigan",0.0
187,"Bertie, North Carolina",0.08383838383838385
188,"Bethel census area, Alaska",0.085
189,"Bethel, Alaska",0.40512048192771083
190,"Bexar, Texas",0.2094701986754967
191,"Bibb, Alabama",0.0
192,"Bienville, Louisiana",0.0
193,"Big horn, Montana",1.1830508474576271
194,"Big horn, Wyoming",0.0
195,"Big stone, Minnesota",0.02608695652173913
196,"Billings, North Dakota",0.0
197,"Bingham, Idaho",0.003355704697986577
198,"Black hawk, Iowa",0.8103896103896104
199,"Blackford, Indiana",0.0
200,"Bladen, North Carolina",0.7056818181818181
201,"Blaine, Idaho",0.0
202,"Blaine, Montana",0.0
203,"Blaine, Nebraska",0.0
204,"Blaine, Oklahoma",0.0
205,"Blair county, Pennsylvania",0.0
206,"Blair, Pennsylvania",0.0
207,"Blanco, Texas",0.0
208,"Bland, Virginia",0.0
209,"Bledsoe, Tennessee",0.0
210,"Blount, Alabama",0.0
211,"Blount, Tennessee",0.0
212,"Blue earth, Minnesota",0.15
213,"Boise, Idaho",0.0
214,"Bollinger, Missouri",0.17421052631578945
215,"Bon homme, South Dakota",0.0
216,"Bond, Illinois",0.0
217,"Bonner, Idaho",0.0
218,"Bonneville, Idaho",7.807486631016043
219,"Boone, Arkansas",0.011590909090909091
220,"Boone, Illinois",0.18140350877192984
221,"Boone, Indiana",0.0
222,"Boone, Iowa",0.1625
223,"Boone, Kentucky",0.0
224,"Boone, Missouri",0.1486842105263158
225,"Boone, Nebraska",0.0
226,"Boone, West Virginia",0.0
227,"Bosque, Texas",0.0642857142857143
228,"Bossier, Louisiana",0.0
229,"Botetourt, Virginia",0.01806167400881057
230,"Bottineau, North Dakota",0.0
231,"Boundary, Idaho",0.0
232,"Bourbon, Kansas",0.0
233,"Bourbon, Kentucky",0.0
234,"Bowie, Texas",0.0
235,"Bowman, North Dakota",0.0
236,"Box butte, Nebraska",0.019807692307692307
237,"Box elder, Utah",0.0
238,"Boyd, Kentucky",0.0
239,"Boyd, Nebraska",0.11055555555555556
240,"Boyle, Kentucky",0.0
241,"Bracken, Kentucky",0.0
242,"Bradford, Florida",0.029655172413793108
243,"Bradford, Pennsylvania",0.007650273224043715
244,"Bradley, Arkansas",0.0452
245,"Bradley, Tennessee",0.0
246,"Branch, Michigan",0.0
247,"Braxton, West Virginia",0.0
248,"Brazoria, Texas",0.04409090909090909
249,"Brazos, Texas",0.06842105263157895
250,"Breathitt, Kentucky",0.0
251,"Breckinridge, Kentucky",0.0
252,"Bremer, Iowa",0.0
253,"Brevard, Florida",0.10368794326241136
254,"Brewster, Texas",0.14285714285714285
255,"Briscoe, Texas",0.0
256,"Bristol bay, Alaska",0.0
257,"Bristol, Massachusetts",0.01323529411764706
258,"Bristol, Rhode Island",0.0
259,"Bristol, Virginia",0.0
260,"Broadwater, Montana",0.0
261,"Brooke, West Virginia",0.0
262,"Brookings, South Dakota",0.0
263,"Brooks, Texas",0.0
264,"Broward county, Florida",0.0
265,"Broward, Florida",0.00942622950819672
266,"Brown, Illinois",0.0
267,"Brown, Indiana",0.0
268,"Brown, Kansas",1.112
269,"Brown, Minnesota",0.0735
270,"Brown, Nebraska",0.0
271,"Brown, Ohio",0.0
272,"Brown, South Dakota",0.0
273,"Brown, Texas",0.0
274,"Brown, Wisconsin",0.02168224299065421
275,"Brule, South Dakota",0.0
276,"Brunswick, North Carolina",0.23636363636363636
277,"Brunswick, Virginia",0.0
278,"Bryan, Oklahoma",0.1388461538461538
279,"Buchanan, Iowa",0.07391304347826087
280,"Buchanan, Virginia",0.0
281,"Buckingham, Virginia",0.0
282,"Bucks county, Pennsylvania",0.03397260273972603
283,"Bucks, Pennsylvania",0.11548293811451706
284,"Buena vista, Iowa",1.105263157894737
285,"Buena vista, Virginia",0.0
286,"Buffalo, Nebraska",0.0075
287,"Buffalo, Wisconsin",0.025813953488372097
288,"Bullock, Alabama",0.024545454545454547
289,"Buncombe, North Carolina",0.34552631578947374
290,"Bureau, Illinois",0.22372641509433958
291,"Burke, North Carolina",0.0
292,"Burke, North Dakota",0.0
293,"Burleigh, North Dakota",0.0
294,"Burleson, Texas",0.04615384615384615
295,"Burlington, New Jersey",0.05784615384615385
296,"Burnet, Texas",0.26321839080459775
297,"Burnett, Wisconsin",0.0
298,"Burt, Nebraska",0.0
299,"Butler county, Pennsylvania",0.0
300,"Butler, Alabama",0.06173076923076923
301,"Butler, Iowa",0.14
302,"Butler, Kansas",0.0
303,"Butler, Kentucky",0.0
304,"Butler, Missouri",0.12222222222222223
305,"Butler, Nebraska",0.0809433962264151
306,"Butler, Ohio",0.0
307,"Butler, Pennsylvania",0.07613307984790875
308,"Butte, California",0.000390625
309,"Butte, Idaho",0.08823529411764706
310,"Butte, South Dakota",0.0
311,"Cabarrus, North Carolina",0.3607142857142857
312,"Cabell, West Virginia",0.0
313,"Cache, Utah",0.0
314,"Caddo parish, Louisiana",0.0
315,"Caddo, Louisiana",0.020069930069930072
316,"Caddo, Oklahoma",0.29709302325581394
317,"Calaveras, California",0.006893203883495146
318,"Calcasieu, Louisiana",0.02859154929577465
319,"Caldwell, Kentucky",0.0
320,"Caldwell, Louisiana",0.018125
321,"Caldwell, Missouri",0.0
322,"Caldwell, North Carolina",0.0
323,"Caldwell, Texas",0.04666666666666666
324,"Caledonia, Vermont",0.0
325,"Calhoun, Alabama",0.137037037037037
326,"Calhoun, Arkansas",0.223939393939394
327,"Calhoun, Florida",0.0
328,"Calhoun, Illinois",0.0
329,"Calhoun, Iowa",0.5
330,"Calhoun, Michigan",1.5286624203821657
331,"Calhoun, South Carolina",0.0
332,"Calhoun, Texas",0.0
333,"Calhoun, West Virginia",1.0636363636363637
334,"Callahan, Texas",0.0
335,"Callaway, Missouri",0.04542372881355933
336,"Calloway, Kentucky",0.0
337,"Calumet, Wisconsin",0.11797752808988762
338,"Calvert, Maryland",0.16578073089700995
339,"Camas, Idaho",0.0
340,"Cambria county, Pennsylvania",0.0
341,"Cambria, Pennsylvania",0.03852112676056338
342,"Camden, Missouri",0.029722222222222223
343,"Camden, New Jersey",0.011290877796901895
344,"Camden, North Carolina",0.0
345,"Cameron, Louisiana",0.03225806451612903
346,"Cameron, Pennsylvania",0.0
347,"Cameron, Texas",0.00693069306930693
348,"Camp, Texas",0.1724137931034483
349,"Campbell, Kentucky",0.0
350,"Campbell, Tennessee",0.15471698113207547
351,"Campbell, Virginia",0.19692307692307692
352,"Campbell, Wyoming",0.01517241379310345
353,"Canadian, Oklahoma",0.0
354,"Cannon, Tennessee",0.0
355,"Canyon, Idaho",0.0
356,"Cape girardeau, Missouri",0.01353658536585366
357,"Cape may, New Jersey",0.006435331230283912
358,"Carbon county, Pennsylvania",0.0
359,"Carbon, Montana",0.0
360,"Carbon, Pennsylvania",0.39137931034482765
361,"Carbon, Utah",0.0
362,"Carbon, Wyoming",0.0
363,"Caribou, Idaho",0.0
364,"Carlisle, Kentucky",0.0
365,"Carlton, Minnesota",0.08358208955223881
366,"Caroline, Maryland",0.1125
367,"Caroline, Virginia",0.022941176470588236
368,"Carroll, Arkansas",0.10658682634730537
369,"Carroll, Illinois",0.14308620689655172
370,"Carroll, Indiana",0.0
371,"Carroll, Iowa",0.6142857142857143
372,"Carroll, Kentucky",0.0
373,"Carroll, Maryland",0.04422110552763819
374,"Carroll, Missouri",0.0
375,"Carroll, New Hampshire",0.648936170212766
376,"Carroll, Ohio",0.07220588235294118
377,"Carroll, Tennessee",0.0
378,"Carroll, Virginia",0.16013513513513514
379,"Carson city, Nevada",0.04429951690821256
380,"Carson, Texas",0.36615384615384616
381,"Carter, Kentucky",0.0
382,"Carter, Missouri",0.0
383,"Carter, Montana",0.0
384,"Carter, Oklahoma",0.004496124031007752
385,"Carter, Tennessee",0.0
386,"Carteret, North Carolina",0.02142857142857143
387,"Carver, Minnesota",16.801203703703703
388,"Cascade, Montana",0.017362637362637365
389,"Casey, Kentucky",0.0
390,"Cass, Illinois",0.0332662962962963
391,"Cass, Indiana",0.0
392,"Cass, Iowa",0.908125
393,"Cass, Michigan",0.0
394,"Cass, Minnesota",0.029285714285714286
395,"Cass, Missouri",0.0
396,"Cass, Nebraska",0.026898148148148147
397,"Cass, North Dakota",0.0
398,"Cass, Texas",0.0
399,"Cassia, Idaho",0.0
400,"Castro, Texas",0.17388888888888887
401,"Caswell, North Carolina",0.02962962962962963
402,"Catahoula, Louisiana",0.0
403,"Catawba, North Carolina",0.44862745098039214
404,"Catron, New Mexico",0.0
405,"Cavalier, North Dakota",0.0
406,"Cecil, Maryland",0.14028103044496487
407,"Cedar, Iowa",0.9458333333333333
408,"Cedar, Missouri",7.816
409,"Cedar, Nebraska",0.08208391608391608
410,"Centre county, Pennsylvania",0.23785714285714285
411,"Centre, Pennsylvania",0.010899182561307902
412,"Cerro gordo, Iowa",0.5608695652173913
413,"Chambers, Alabama",0.0
414,"Chambers, Texas",0.08
415,"Champaign, Illinois",0.3982878
416,"Champaign, Ohio",0.0
417,"Chariton, Missouri",0.03571428571428571
418,"Charles city, Virginia",0.3459459459459459
419,"Charles mix, South Dakota",0.0
420,"Charles, Maryland",0.35315315315315315
421,"Charleston county, South Carolina",0.39125
422,"Charleston, South Carolina",0.6095652173913044
423,"Charlevoix, Michigan",0.04938271604938271
424,"Charlotte, Florida",1.6251923076923078
425,"Charlotte, Virginia",0.1380952380952381
