Incidence, US by County, All Races, Colon & Rectum (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Yukon-Koyukuk, Alaska","138.6","95.8","193.8","38"
"Union, Florida","121.7","98.4","149.0","106"
"Kingsbury, South Dakota","114.2","79.9","159.6","40"
"Wade Hampton, Alaska","102.1","60.5","158.8","21"
"Bethel, Alaska","101.2","73.1","135.4","51"
"Nome, Alaska","101.2","65.5","147.6","31"
"Nance, Nebraska","91.7","54.0","146.7","21"
"North Slope, Alaska","87.7","53.3","134.2","29"
"Northwest Arctic, Alaska","86.4","52.9","131.7","22"
"Hitchcock, Nebraska","85.1","48.6","141.8","19"
"Douglas, South Dakota","84.3","42.9","148.8","17"
"Estill, Kentucky","81.2","63.1","103.3","73"
"Bracken, Kentucky","80.3","57.7","109.4","44"
"Bowman, North Dakota","77.7","40.4","135.1","16"
"Mercer, Missouri","76.9","45.9","123.3","20"
"Bolivar, Mississippi","76.0","63.7","90.0","145"
"Palo Alto, Iowa","75.6","52.7","105.2","43"
"Mingo, West Virginia","74.7","61.4","90.3","118"
"Holmes, Mississippi","74.7","58.4","94.3","75"
"Jefferson, Mississippi","73.7","50.1","105.0","33"
"Lowndes, Alabama","73.5","53.9","98.4","50"
"Covington, Virginia","73.3","49.0","107.5","30"
"Powell, Kentucky","73.2","54.2","96.9","52"
"Breathitt, Kentucky","73.0","54.8","95.5","58"
"Roosevelt, Montana","72.9","50.7","101.2","38"
"Sharkey, Mississippi","72.9","45.7","112.1","24"
"Sunflower, Mississippi","72.5","59.0","88.3","105"
"Thurston, Nebraska","72.0","44.2","109.9","22"
"Webster, West Virginia","71.5","50.9","98.5","45"
"Lawrence, Kentucky","71.3","54.8","91.6","67"
"Leflore, Mississippi","70.4","57.7","85.1","112"
"Turner, Georgia","70.4","48.8","98.8","37"
"Lee, Kentucky","70.2","47.6","100.9","33"
"Dallas, Arkansas","69.8","48.3","98.6","39"
"Dewey, South Dakota","68.1","38.4","110.9","16"
"Noxubee, Mississippi","68.0","49.0","92.2","44"
"Morehouse, Louisiana","67.9","55.5","82.4","115"
"Dillingham, Alaska","67.9","36.5","115.2","16"
"Stark, Illinois","67.8","44.2","101.2","28"
"St. Landry, Louisiana","67.8","60.5","75.8","327"
"Cross, Arkansas","67.6","52.6","85.9","73"
"Edwards, Illinois","67.2","45.1","97.3","31"
"Coal, Oklahoma","67.2","43.8","100.1","28"
"Hutchinson, South Dakota","66.9","45.8","95.5","37"
"Grundy, Tennessee","66.8","49.8","88.0","57"
"Kiowa, Oklahoma","66.8","46.8","93.0","40"
"Osceola, Iowa","66.8","44.1","98.4","32"
"Knox, Kentucky","66.6","55.2","79.9","125"
"Phillips, Montana","66.5","38.8","108.3","20"
"Macon, Alabama","66.5","52.6","83.3","87"
"Clinton, Kentucky","66.4","48.3","89.6","47"
"Carroll, Kentucky","66.1","47.4","90.1","43"
"Franklin, Virginia","65.9","44.4","94.5","33"
"Floyd, Kentucky","65.9","55.5","77.8","150"
"Walsh, North Dakota","65.8","48.5","87.9","55"
"Clay, Georgia","65.7","35.0","115.9","16"
"Clarke, Alabama","65.6","53.4","79.9","107"
"Kearney, Nebraska","65.2","42.8","96.1","29"
"Richland, Illinois","65.1","49.7","84.0","67"
"Carroll, Mississippi","65.1","47.7","87.6","51"
"Barton, Missouri","64.9","47.8","86.5","51"
"Spink, South Dakota","64.6","41.5","96.6","28"
"Decatur, Iowa","64.5","42.6","94.1","31"
"Day, South Dakota","64.4","39.5","100.3","26"
"Crenshaw, Alabama","64.3","48.1","84.5","57"
"Wirt, West Virginia","64.1","39.8","98.7","25"
"Charlotte, Virginia","63.9","48.0","84.0","58"
"Letcher, Kentucky","63.7","51.4","78.3","100"
"Yalobusha, Mississippi","63.5","47.0","84.3","54"
"Fleming, Kentucky","63.4","48.0","82.7","60"
"Big Horn, Montana","63.4","44.4","87.6","38"
"Evangeline, Louisiana","63.4","52.3","76.2","119"
"Washington, Kentucky","63.3","46.5","84.7","50"
"Bath, Virginia","63.3","39.4","100.0","24"
"Montgomery, Mississippi","63.2","46.0","85.6","48"
"Dallas, Alabama","63.2","53.5","74.3","160"
"Rolette, North Dakota","63.1","45.2","85.6","43"
"Mercer, Kentucky","63.0","50.0","78.5","88"
"Marion, Mississippi","63.0","51.0","77.0","102"
"La Salle, Louisiana","62.8","47.2","82.0","56"
"Thayer, Nebraska","62.7","41.8","93.5","31"
"Cass, Iowa","62.5","47.4","81.4","65"
"Starr, Texas","62.5","53.5","72.6","174"
"Martin, Kentucky","62.3","44.6","84.9","43"
"Swain, North Carolina","62.2","46.7","81.5","57"
"Dickey, North Dakota","62.2","38.8","96.3","24"
"Kit Carson, Colorado","62.1","41.0","90.6","29"
"Monroe, Iowa","62.0","42.5","88.4","35"
"Jay, Indiana","62.0","48.8","77.9","79"
"Phillips, Arkansas","61.9","48.4","78.2","76"
"Sumter, Alabama","61.8","43.7","84.8","44"
"Arkansas, Arkansas","61.8","48.1","78.5","75"
"Mountrail, North Dakota","61.7","41.7","88.0","32"
"Russell, Kentucky","61.6","48.0","78.1","74"
"Taylor, Kentucky","61.4","49.3","75.6","97"
"Lavaca, Texas","61.4","48.1","77.3","86"
"East Carroll, Louisiana","61.2","39.1","91.5","24"
"Drew, Arkansas","61.1","46.8","78.6","67"
"Tallahatchie, Mississippi","61.1","45.3","80.8","51"
"Anderson, Kentucky","60.9","47.7","76.7","76"
"Mississippi, Missouri","60.9","45.3","80.5","52"
"Calhoun, Arkansas","60.8","37.4","95.2","23"
"Perry, Kentucky","60.7","49.2","74.3","102"
"Garrard, Kentucky","60.7","46.5","78.1","65"
"Burke, Georgia","60.7","47.5","76.6","77"
"La Salle, Texas","60.6","37.7","92.5","22"
