county,lung cancer rate (per 100K),colon cancer rate (per 100K),kidney cancer rate (per 100K),stomach cancer rate (per 100K),liver cancer rate (per 100K),bladder cancer rate (per 100K),cancer rate (per 100K),PCTPOVALL_2019,"2,4,5-TP (silvex)",pentachlorophenol,mercury,di(2-ethylhexyl)_phthalate,antimony,"cis-1,2-dichloroethylene",nitrite,"2,3,7,8-TCDD (dioxin)",p-Dichlorobenzene,toxaphene,fluoride,vinyl_chloride,monochloroacetic_acid,chlordane,"1,1,2-Trichloroethane",dichloromethane,bromate,cyanide,dichloroacetic_acid,"1,1-Dichloroethylene","1,1,1-Trichloroethane",ethylbenzene,asbestos,chromium,chlorite,heptachlor_epoxide,glyphosate,benzo(a)pyrene,thallium,PCB,fecal_coliform,"1,2-Dibromo-3-Chloropropane",combinded_radium,"1,2-dichloroethane",cadmium,carbon_tetrachloride,"1,2,4-Trichlorobenzene",dibromochloromethane,HAA5,ethylene_dibromide,selenium,uranium_combined,o-Dichlorobenzene,heptachlor,hexachlorobenzene,E_coli,atrazine,beta_particles,carbofuran,arsenic,trichloroethyl,hexachlorocyclopentadiene,barium,tetrachloroethylene,pH,xylenes_total,chlorine,styrene,monobromoacetic_acid,total_organic_carbon,dibromoacetic_acid,picloram,alachlor,chloroform,di(2-ethylhexyl)_adipate,"1,2-dichloropropane",TTHM,bromodichloromethane,"2,4-D",methoxychlor,dinoseb,dalapon,diquat,nitrate,BHC-gamma (lindane),endrin,alkalinity,oxamyl,endothall,beryllium,toluene,benzene,bromoform,trichloroacetic_acid,chlorobenzene,"trans-1,2-Dichloroethylene",simazine,alpha_particles,obesity,any_alcohol,binge_alcohol,heavy_alcohol,physical_activity,smoking
"Union, Florida",196.3,121.7,34.7,20.1,41.5,37.5,1143.5,19.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2153846153846153,,0.0,0.0,229.0909090909091,0.0,,0.0,0.0,0.0475,,0.6111111111111112,,0.0,0.0,0.0,,2.4111111111111105,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,6.095714285714287,0.0,0.4111111111111112,,0.0,0.0,0.0,,0.0,,0.0,1.2111111111111112,0.0,0.0,14.9,0.0,7.7,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,12.212857142857144,,0.0,0.0,0.0,0.0,0.0,140.93692307692308,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,46.6,38.75714285714286,14.114285714285714,6.6,46.55,30.54941176470589
"Owsley, Kentucky",164.7,55.9,,,,,579.8,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,,53.11562500000001,0.0,0.0,0.149,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,28.83333333333333,0.0,7.051666666666668,0.0,,0.0,,1607.8591549295777,,0.0,0.0,,0.0,0.0,89.75,,0.0,0.0,0.0,0.0,0.0,118.75,0.0,0.0,47767.12328767123,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.7,49.95,21.971428571428564,9.342857142857145,4.642857142857143,32.25,35.43588235294118
"Breathitt, Kentucky",149.1,73.0,20.2,,,27.5,595.6,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,436.66666666666674,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.3,,0.0,0.0,0.0,0.0,0.0,,0.0,3.375,0.0,0.0,0.0,0.0,,31.042156862745088,0.0,0.3,0.35,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,32.2,0.0,7.335833333333332,0.0,,0.0,,2213.521126760563,,0.0,0.0,,0.0,0.0,45.148039215686254,,0.0,0.0,0.0,0.0,0.0,93.5,0.0,0.0,109386.66666666669,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0066666666666666,47.25,23.157142857142855,10.4,5.071428571428571,37.2,35.382941176470595
"Hardin, Illinois",133.6,,,,,,456.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05955555555555556,0.0,694.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.908474576271187,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0014705882352941176,0.977,0.0,0.0,0.0,0.06133333333333334,8.547826086956523,21.972881355932206,0.0015294117647058822,0.4,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0757142857142858,0.0,0.0,74.4,0.0,7.518181818181818,0.0,1445.7894736842104,0.0,0.0,,1.3813559322033897,0.0,0.0,32.83478260869564,0.0,0.0,59.66623188405797,18.191304347826087,0.0,0.0,0.0,0.0,0.0,1738.9086956521744,0.0,0.0,141990.0,0.0,0.0,0.0,0.0,0.0,0.10391304347826087,10.683050847457633,0.0,0.0,0.0,,40.4,43.94285714285714,18.014285714285716,7.428571428571428,46.85,27.55
"Knox, Kentucky",133.3,66.6,23.2,9.0,,19.2,574.5,31.5,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.09,0.0,0.0,0.0,0.0,,28.60838323353293,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,29.41666666666667,0.0,7.6226666666666665,0.0,,0.0,,1800.2629757785467,,0.0,0.0,,0.0,0.0,40.48922155688622,,0.0,0.0,0.0,0.0,0.06363636363636363,222.7142857142857,0.0,0.0,80174.4966442953,0.0,0.0,0.008333333333333333,0.0,0.0,,,0.0,0.0,0.0,0.245,42.40000000000001,21.38571428571429,8.87142857142857,3.5428571428571423,38.9,35.75117647058824
"Powell, Kentucky",132.5,73.2,36.4,,,33.0,648.2,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,36.58611111111113,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,0.0,7.196666666666666,0.0,,0.0,,2144.465277777778,,0.0,0.0,,0.0,0.0,47.2548076923077,,0.0,0.0,0.0,0.0,0.0,118.41666666666669,0.0,0.0,63162.16216216216,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.7,42.3,26.2,10.357142857142854,4.385714285714285,41.35,35.22882352941176
"Carroll, Kentucky",131.7,66.1,29.5,,,,576.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.45,0.0,0.0,0.0,0.0,,1.4916666666666665,0.0,0.0,0.433,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.09,0.0,12.75,0.0,7.494,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,8.776190476190477,,0.0,0.0,0.0,0.0,0.0,5332.608695652174,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.56,41.6,38.48571428571428,13.457142857142856,5.557142857142856,44.1,34.51705882352942
"Perry, Kentucky",130.5,60.7,18.3,,10.1,17.9,603.1,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,47.296938673469384,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,37.833333333333336,0.0,7.245,0.0,,0.0,,2040.513888888889,,0.0,0.0,,0.0675,0.0,59.0721649484536,,0.0,0.0,0.0,0.0,0.0,319.75,0.0,0.0,124040.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,43.8,27.07142857142857,11.242857142857142,5.042857142857144,42.45,34.82764705882353
"Floyd, Kentucky",130.3,65.9,27.8,,,17.6,609.8,27.4,0.0,0.0,0.0,0.10555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,554.1176470588234,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.5789473684210527,,0.0,0.0,0.0,0.010526315789473684,0.0,,0.0,0.7,0.0,0.0,0.0,0.0,,29.74043478260871,0.0,0.5789473684210527,,0.0,0.0,0.0,0.0,0.0,,0.0,0.05263157894736842,0.0,0.0,27.157894736842106,0.0,7.418666666666668,0.0,,0.0,,1519.5407239819006,,0.0,0.0,,0.045000000000000005,0.0,56.30521739130434,,0.0,0.0,0.0,0.0,0.0,338.875,0.0,0.0,147254.86725663714,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.85,45.55,23.52857142857143,9.8,4.4,38.6,33.62
"McCreary, Kentucky",129.8,54.6,18.6,,,20.0,520.4,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,23.742857142857147,8.942857142857143,3.8428571428571434,42.35,36.756470588235295
