county,heavy_alcohol
"Autauga, Alabama",5.985714285714286
"Baldwin, Alabama",8.985714285714286
"Barbour, Alabama",5.871428571428572
"Bibb, Alabama",5.185714285714285
"Blount, Alabama",4.757142857142857
"Bullock, Alabama",6.242857142857143
"Butler, Alabama",5.685714285714286
"Calhoun, Alabama",4.942857142857143
"Chambers, Alabama",6.142857142857143
"Cherokee, Alabama",4.542857142857144
"Chilton, Alabama",4.7
"Choctaw, Alabama",4.928571428571429
"Clarke, Alabama",4.8999999999999995
"Clay, Alabama",4.142857142857143
"Cleburne, Alabama",4.957142857142857
"Coffee, Alabama",6.014285714285714
"Colbert, Alabama",4.985714285714287
"Conecuh, Alabama",6.228571428571428
"Coosa, Alabama",5.542857142857144
"Covington, Alabama",5.971428571428571
"Crenshaw, Alabama",5.114285714285714
"Cullman, Alabama",3.885714285714286
"Dale, Alabama",5.828571428571429
"Dallas, Alabama",5.0
"DeKalb, Alabama",4.2
"Elmore, Alabama",6.514285714285713
"Escambia, Alabama",5.728571428571429
"Etowah, Alabama",4.971428571428571
"Fayette, Alabama",4.199999999999999
"Franklin, Alabama",3.8999999999999995
"Geneva, Alabama",5.8
"Greene, Alabama",6.314285714285715
"Hale, Alabama",5.957142857142857
"Henry, Alabama",5.857142857142857
"Houston, Alabama",5.814285714285715
"Jackson, Alabama",4.442857142857143
"Jefferson, Alabama",6.828571428571428
"Lamar, Alabama",3.6999999999999997
"Lauderdale, Alabama",4.928571428571429
"Lawrence, Alabama",3.6428571428571423
"Lee, Alabama",7.528571428571429
"Limestone, Alabama",4.628571428571429
"Lowndes, Alabama",6.1571428571428575
"Macon, Alabama",6.885714285714286
"Madison, Alabama",6.399999999999999
"Marengo, Alabama",5.371428571428572
"Marion, Alabama",3.914285714285714
"Marshall, Alabama",5.371428571428571
"Mobile, Alabama",7.542857142857144
"Monroe, Alabama",4.8
"Montgomery, Alabama",7.671428571428573
"Morgan, Alabama",5.299999999999999
"Perry, Alabama",5.928571428571429
"Pickens, Alabama",4.314285714285714
"Pike, Alabama",6.942857142857142
"Randolph, Alabama",5.785714285714286
"Russell, Alabama",5.014285714285713
"Shelby, Alabama",7.000000000000001
"St. Clair, Alabama",5.314285714285715
"Sumter, Alabama",6.114285714285714
"Talladega, Alabama",5.442857142857143
"Tallapoosa, Alabama",5.814285714285714
"Tuscaloosa, Alabama",6.7
"Walker, Alabama",4.114285714285715
"Washington, Alabama",4.514285714285713
"Wilcox, Alabama",6.028571428571428
"Winston, Alabama",4.371428571428572
"Apache, Arizona",6.485714285714286
"Cochise, Arizona",7.8999999999999995
"Coconino, Arizona",8.785714285714285
"Gila, Arizona",8.885714285714286
"Graham, Arizona",5.514285714285714
"Greenlee, Arizona",8.357142857142858
"La Paz, Arizona",11.000000000000002
"Maricopa, Arizona",8.371428571428572
"Mohave, Arizona",10.985714285714284
"Navajo, Arizona",6.171428571428571
"Pima, Arizona",8.6
"Pinal, Arizona",9.342857142857143
"Santa Cruz, Arizona",8.485714285714284
"Yavapai, Arizona",9.628571428571428
"Yuma, Arizona",9.542857142857143
"Arkansas, Arkansas",5.542857142857143
"Ashley, Arkansas",5.071428571428571
"Baxter, Arkansas",8.4
"Benton, Arkansas",6.442857142857143
"Boone, Arkansas",5.985714285714286
"Bradley, Arkansas",4.442857142857143
"Calhoun, Arkansas",7.6000000000000005
"Carroll, Arkansas",7.642857142857143
"Chicot, Arkansas",5.685714285714285
"Clark, Arkansas",5.200000000000001
"Clay, Arkansas",5.6000000000000005
"Cleburne, Arkansas",6.271428571428572
"Cleveland, Arkansas",6.314285714285714
"Columbia, Arkansas",5.485714285714287
"Conway, Arkansas",9.542857142857143
"Craighead, Arkansas",5.742857142857143
"Crawford, Arkansas",5.928571428571429
"Crittenden, Arkansas",5.942857142857143
"Cross, Arkansas",5.728571428571429
"Dallas, Arkansas",7.414285714285714
"Desha, Arkansas",6.271428571428571
"Drew, Arkansas",5.257142857142857
"Faulkner, Arkansas",6.571428571428571
"Franklin, Arkansas",8.0
"Fulton, Arkansas",6.071428571428571
"Garland, Arkansas",7.485714285714287
"Grant, Arkansas",5.885714285714286
"Greene, Arkansas",6.3
"Hempstead, Arkansas",5.614285714285714
"Hot Spring, Arkansas",6.3
"Howard, Arkansas",5.4
"Independence, Arkansas",5.442857142857142
"Izard, Arkansas",5.614285714285714
"Jackson, Arkansas",6.785714285714286
"Jefferson, Arkansas",6.842857142857142
"Johnson, Arkansas",6.457142857142858
"Lafayette, Arkansas",5.357142857142857
"Lawrence, Arkansas",5.485714285714286
"Lee, Arkansas",6.628571428571429
"Lincoln, Arkansas",6.028571428571428
"Little River, Arkansas",5.6
"Logan, Arkansas",5.714285714285714
"Lonoke, Arkansas",6.614285714285715
"Madison, Arkansas",6.571428571428571
"Marion, Arkansas",7.514285714285714
"Miller, Arkansas",7.7
"Mississippi, Arkansas",5.785714285714286
"Monroe, Arkansas",5.528571428571429
"Montgomery, Arkansas",5.8999999999999995
"Nevada, Arkansas",5.914285714285714
"Newton, Arkansas",6.557142857142857
"Ouachita, Arkansas",6.171428571428572
"Perry, Arkansas",7.285714285714285
"Phillips, Arkansas",6.442857142857143
"Pike, Arkansas",5.557142857142857
"Poinsett, Arkansas",6.2857142857142865
"Polk, Arkansas",6.1571428571428575
"Pope, Arkansas",6.1
"Prairie, Arkansas",5.685714285714285
"Pulaski, Arkansas",7.842857142857143
"Randolph, Arkansas",6.271428571428571
"Saline, Arkansas",6.757142857142857
"Scott, Arkansas",5.871428571428572
"Searcy, Arkansas",6.7
"Sebastian, Arkansas",6.271428571428571
"Sevier, Arkansas",4.8
"Sharp, Arkansas",5.514285714285714
