Incidence, US by County, All Races, Kidney & Renal Pelvis (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Franklin, Virginia","42.3","25.1","67.1","21"
"Holmes, Mississippi","41.2","29.3","56.5","41"
"Randolph, Arkansas","38.7","27.1","53.6","41"
"Cass, Illinois","38.7","25.8","56.0","30"
"Greene, Illinois","37.7","24.8","55.1","29"
"Powell, Kentucky","36.4","22.6","55.4","23"
"Nolan, Texas","35.8","24.4","50.9","34"
"Richmond, Virginia","35.8","22.3","55.6","22"
"Hamilton, Illinois","35.8","21.3","57.3","20"
"Meigs, Tennessee","35.7","22.8","53.7","27"
"Livingston, Kentucky","35.6","20.7","57.5","20"
"Allen, Louisiana","35.3","26.1","46.7","50"
"Tippah, Mississippi","35.2","25.7","47.4","46"
"Noxubee, Mississippi","34.7","21.1","54.0","21"
"Pendleton, Kentucky","34.7","22.6","51.0","28"
"Union, Florida","34.7","23.7","49.6","34"
"Roosevelt, Montana","33.8","19.2","54.8","17"
"Clay, Illinois","33.6","21.6","50.1","28"
"Edmonson, Kentucky","33.6","21.5","50.5","27"
"Rockcastle, Kentucky","33.5","23.0","47.5","35"
"Clay, Arkansas","33.3","21.8","48.8","30"
"Swain, North Carolina","32.9","21.6","48.2","29"
"Dawson, Texas","32.8","20.3","50.1","22"
"Crittenden, Kentucky","32.7","19.6","52.1","21"
"Butler, Kentucky","32.7","20.6","49.6","24"
"McLean, Kentucky","32.7","19.6","51.9","20"
"Benton, Mississippi","32.6","18.2","54.4","16"
"Menard, Illinois","32.4","20.3","49.4","25"
"Monroe, Arkansas","32.2","17.4","55.1","16"
"Greene, Iowa","32.2","19.7","50.8","23"
"Jasper, Texas","32.1","24.6","41.2","70"
"Owen, Kentucky","31.9","19.3","50.2","21"
"Henry, Kentucky","31.8","21.3","46.0","31"
"Madison, Missouri","31.8","20.1","48.2","24"
"Logan, West Virginia","31.4","24.1","40.2","71"
"St. Helena, Louisiana","31.4","18.9","49.5","21"
"Scott, Missouri","31.2","24.2","39.7","72"
"Brunswick, Virginia","31.1","21.4","44.1","36"
"Glacier, Montana","30.9","18.6","48.3","20"
"Prentiss, Mississippi","30.9","22.7","41.2","49"
"Pike, Indiana","30.9","19.5","47.0","25"
"Vermillion, Indiana","30.7","20.5","44.5","31"
"Choctaw, Mississippi","30.7","17.6","50.5","18"
"King William, Virginia","30.6","20.2","44.6","29"
"Wayne, Missouri","30.6","20.0","45.5","31"
"Chickasaw, Mississippi","30.6","20.9","43.4","33"
"Lincoln, Wisconsin","30.5","23.2","39.8","63"
"Martin, Kentucky","30.2","18.7","46.7","22"
"Greensville, Virginia","30.1","18.7","46.5","22"
"Winston, Mississippi","30.0","20.9","42.1","37"
"Warren, North Carolina","29.9","20.9","41.9","41"
"Cleveland, Arkansas","29.9","16.5","50.3","16"
"Clay, Iowa","29.8","19.7","43.5","30"
"Grant, Arkansas","29.8","20.4","42.4","34"
"Keith, Nebraska","29.8","16.6","50.4","18"
"Yazoo, Mississippi","29.7","21.6","40.0","45"
"St. Clair, Missouri","29.7","17.8","47.9","22"
"St. Mary, Louisiana","29.7","23.6","36.9","86"
"Martin, Indiana","29.7","17.4","47.8","19"
"Carroll, Tennessee","29.6","21.4","40.0","48"
"Carroll, Kentucky","29.5","16.9","47.8","17"
"Bibb, Alabama","29.5","20.9","40.6","40"
"Posey, Indiana","29.5","20.9","40.3","43"
"Crawford, Missouri","29.4","20.8","40.3","42"
"Little River, Arkansas","29.4","17.9","45.7","22"
"Clinton, Missouri","29.3","20.4","41.0","37"
"Clay, Kentucky","29.2","19.9","41.4","33"
"DeWitt, Texas","29.2","20.6","40.3","41"
"Larue, Kentucky","29.1","18.6","43.7","25"
"Adams, Ohio","28.8","21.0","38.6","49"
"Macoupin, Illinois","28.8","22.9","35.9","91"
"Scott, Tennessee","28.8","20.1","40.2","38"
"Frio, Texas","28.6","18.4","42.4","25"
"Goochland, Virginia","28.6","20.4","39.4","45"
"Craighead, Arkansas","28.6","24.1","33.6","153"
"Caldwell, Louisiana","28.5","16.3","46.8","17"
"Okfuskee, Oklahoma","28.4","17.1","44.5","20"
"Caroline, Virginia","28.4","20.9","37.8","50"
"Shelby, Iowa","28.4","16.9","45.3","22"
"Madison, Louisiana","28.3","16.3","45.9","17"
"Lincoln, West Virginia","28.3","19.7","39.5","38"
"Montgomery, Mississippi","28.2","16.4","45.6","19"
"Clark, Arkansas","28.2","19.4","39.7","35"
"Christian, Illinois","28.1","21.4","36.4","63"
"Page, Iowa","28.1","18.5","41.2","30"
"Franklin, Louisiana","28.1","19.6","39.3","37"
"Allendale, South Carolina","28.0","15.8","46.5","17"
"Garrard, Kentucky","28.0","18.8","40.6","31"
"Cedar, Missouri","28.0","18.4","41.4","30"
"Cerro Gordo, Iowa","27.9","21.9","35.0","85"
"Bertie, North Carolina","27.9","19.8","38.7","42"
"Okmulgee, Oklahoma","27.8","21.3","35.7","68"
"Bienville, Louisiana","27.8","17.1","42.9","23"
