county,any_alcohol
"Autauga, Alabama",41.42857142857142
"Baldwin, Alabama",54.75714285714286
"Barbour, Alabama",36.81428571428571
"Bibb, Alabama",34.21428571428571
"Blount, Alabama",33.8
"Bullock, Alabama",36.34285714285714
"Butler, Alabama",35.25714285714286
"Calhoun, Alabama",38.27142857142858
"Chambers, Alabama",37.471428571428575
"Cherokee, Alabama",31.028571428571432
"Chilton, Alabama",31.61428571428571
"Choctaw, Alabama",31.928571428571427
"Clarke, Alabama",33.628571428571426
"Clay, Alabama",29.914285714285715
"Cleburne, Alabama",30.642857142857142
"Coffee, Alabama",40.528571428571425
"Colbert, Alabama",35.6
"Conecuh, Alabama",36.385714285714286
"Coosa, Alabama",34.21428571428571
"Covington, Alabama",36.24285714285715
"Crenshaw, Alabama",31.928571428571427
"Cullman, Alabama",32.371428571428574
"Dale, Alabama",40.2
"Dallas, Alabama",38.699999999999996
"DeKalb, Alabama",30.2
"Elmore, Alabama",42.98571428571429
"Escambia, Alabama",36.51428571428571
"Etowah, Alabama",38.08571428571429
"Fayette, Alabama",29.185714285714283
"Franklin, Alabama",29.157142857142855
"Geneva, Alabama",33.214285714285715
"Greene, Alabama",35.72857142857143
"Hale, Alabama",35.81428571428571
"Henry, Alabama",35.3
"Houston, Alabama",42.65714285714286
"Jackson, Alabama",31.071428571428573
"Jefferson, Alabama",49.51428571428572
"Lamar, Alabama",27.8
"Lauderdale, Alabama",35.74285714285714
"Lawrence, Alabama",28.75714285714286
"Lee, Alabama",48.785714285714285
"Limestone, Alabama",36.44285714285714
"Lowndes, Alabama",36.82857142857142
"Macon, Alabama",41.75714285714286
"Madison, Alabama",48.528571428571425
"Marengo, Alabama",37.699999999999996
"Marion, Alabama",27.37142857142857
"Marshall, Alabama",36.84285714285715
"Mobile, Alabama",47.67142857142857
"Monroe, Alabama",33.84285714285715
"Montgomery, Alabama",48.84285714285715
"Morgan, Alabama",38.98571428571428
"Perry, Alabama",35.614285714285714
"Pickens, Alabama",30.671428571428574
"Pike, Alabama",39.114285714285714
"Randolph, Alabama",35.18571428571429
"Russell, Alabama",38.800000000000004
"Shelby, Alabama",51.01428571428571
"St. Clair, Alabama",38.65714285714286
"Sumter, Alabama",36.628571428571426
"Talladega, Alabama",37.07142857142857
"Tallapoosa, Alabama",37.885714285714286
"Tuscaloosa, Alabama",44.6
"Walker, Alabama",31.17142857142857
"Washington, Alabama",31.471428571428568
"Wilcox, Alabama",34.114285714285714
"Winston, Alabama",29.442857142857143
"Apache, Arizona",34.92857142857143
"Cochise, Arizona",53.24285714285715
"Coconino, Arizona",57.11428571428571
"Gila, Arizona",52.042857142857144
"Graham, Arizona",35.41428571428571
"Greenlee, Arizona",45.44285714285714
"La Paz, Arizona",54.01428571428571
"Maricopa, Arizona",58.885714285714286
"Mohave, Arizona",59.971428571428575
"Navajo, Arizona",40.628571428571426
"Pima, Arizona",58.971428571428575
"Pinal, Arizona",56.771428571428565
"Santa Cruz, Arizona",54.44285714285714
"Yavapai, Arizona",59.52857142857142
"Yuma, Arizona",55.614285714285714
"Arkansas, Arkansas",42.885714285714286
"Ashley, Arkansas",35.285714285714285
"Baxter, Arkansas",49.82857142857143
"Benton, Arkansas",50.814285714285724
"Boone, Arkansas",38.92857142857143
"Bradley, Arkansas",33.65714285714286
"Calhoun, Arkansas",38.9
"Carroll, Arkansas",45.58571428571429
"Chicot, Arkansas",35.77142857142857
"Clark, Arkansas",38.45714285714286
"Clay, Arkansas",37.542857142857144
"Cleburne, Arkansas",43.9
"Cleveland, Arkansas",39.3
"Columbia, Arkansas",39.91428571428571
"Conway, Arkansas",45.5
"Craighead, Arkansas",39.18571428571429
"Crawford, Arkansas",40.12857142857143
"Crittenden, Arkansas",41.01428571428572
"Cross, Arkansas",37.82857142857143
"Dallas, Arkansas",41.699999999999996
"Desha, Arkansas",38.92857142857143
"Drew, Arkansas",38.885714285714286
"Faulkner, Arkansas",46.142857142857146
"Franklin, Arkansas",44.11428571428572
"Fulton, Arkansas",39.042857142857144
"Garland, Arkansas",51.557142857142864
"Grant, Arkansas",40.699999999999996
"Greene, Arkansas",39.41428571428572
"Hempstead, Arkansas",38.72857142857142
"Hot Spring, Arkansas",40.05714285714286
"Howard, Arkansas",36.41428571428571
"Independence, Arkansas",39.32857142857143
"Izard, Arkansas",39.24285714285714
"Jackson, Arkansas",36.92857142857143
"Jefferson, Arkansas",42.91428571428572
"Johnson, Arkansas",37.92857142857143
"Lafayette, Arkansas",36.0
"Lawrence, Arkansas",35.48571428571429
"Lee, Arkansas",35.81428571428571
"Lincoln, Arkansas",34.714285714285715
"Little River, Arkansas",38.15714285714286
"Logan, Arkansas",37.92857142857143
"Lonoke, Arkansas",43.4
"Madison, Arkansas",38.94285714285714
"Marion, Arkansas",45.771428571428565
"Miller, Arkansas",43.3
"Mississippi, Arkansas",32.92857142857143
"Monroe, Arkansas",36.199999999999996
"Montgomery, Arkansas",37.55714285714286
"Nevada, Arkansas",39.885714285714286
"Newton, Arkansas",39.05714285714286
"Ouachita, Arkansas",38.77142857142858
"Perry, Arkansas",39.81428571428571
"Phillips, Arkansas",38.39999999999999
"Pike, Arkansas",35.11428571428571
"Poinsett, Arkansas",33.84285714285715
"Polk, Arkansas",38.51428571428572
"Pope, Arkansas",43.642857142857146
"Prairie, Arkansas",38.32857142857143
"Pulaski, Arkansas",53.41428571428571
"Randolph, Arkansas",35.11428571428571
"Saline, Arkansas",48.17142857142857
"Scott, Arkansas",35.142857142857146
"Searcy, Arkansas",37.214285714285715
"Sebastian, Arkansas",44.214285714285715
"Sevier, Arkansas",33.75714285714286
"Sharp, Arkansas",36.92857142857143
"St. Francis, Arkansas",35.75714285714286
"Stone, Arkansas",37.17142857142857
"Union, Arkansas",38.34285714285715
"Van Buren, Arkansas",42.057142857142864
"Washington, Arkansas",48.9
"White, Arkansas",37.6
"Woodruff, Arkansas",36.685714285714276
"Yell, Arkansas",36.871428571428574
"Alameda, California",60.1
"Alpine, California",58.728571428571435
"Amador, California",62.771428571428565
"Butte, California",58.44285714285714
"Calaveras, California",61.94285714285714
"Colusa, California",54.34285714285715
"Contra Costa, California",63.92857142857143
"Del Norte, California",53.37142857142857
"El Dorado, California",66.05714285714285
"Fresno, California",47.371428571428574
"Glenn, California",53.61428571428571
"Humboldt, California",61.771428571428565
"Imperial, California",43.58571428571429
"Inyo, California",58.614285714285714
"Kern, California",47.42857142857143
"Kings, California",48.857142857142854
"Lake, California",58.01428571428572
"Lassen, California",57.57142857142857
"Los Angeles, California",53.02857142857143
"Madera, California",49.62857142857143
"Marin, California",73.25714285714287
"Mariposa, California",60.89999999999999
"Mendocino, California",61.857142857142854
"Merced, California",47.57142857142858
"Modoc, California",58.72857142857142
"Mono, California",63.58571428571429
"Monterey, California",54.15714285714286
"Napa, California",65.17142857142856
"Nevada, California",67.04285714285714
"Orange, California",59.14285714285715
"Placer, California",63.67142857142858
"Plumas, California",63.44285714285714
"Riverside, California",54.40000000000001
"Sacramento, California",58.057142857142864
"San Benito, California",54.771428571428565
"San Bernardino, California",50.72857142857142
"San Diego, California",59.68571428571429
"San Francisco, California",65.65714285714286
"San Joaquin, California",52.75714285714285
"San Luis Obispo, California",63.10000000000001
"San Mateo, California",64.01428571428572
"Santa Barbara, California",60.471428571428575
"Santa Clara, California",59.10000000000001
"Santa Cruz, California",64.82857142857144
"Shasta, California",56.771428571428565
"Sierra, California",60.57142857142856
"Siskiyou, California",58.471428571428575
"Solano, California",58.857142857142854
"Sonoma, California",67.57142857142857
"Stanislaus, California",51.6
"Sutter, California",53.171428571428564
"Tehama, California",56.77142857142858
"Trinity, California",60.785714285714285
"Tulare, California",46.65714285714286
"Tuolumne, California",59.11428571428572
"Ventura, California",60.24285714285714
"Yolo, California",62.628571428571426
"Yuba, California",54.24285714285715
"Adams County, Boulder County, Broomfield County, Jefferson County, Weld, Colorado",65.72857142857143
"Alamosa, Colorado",48.957142857142856
"Arapahoe, Colorado",65.41428571428573
"Archuleta, Colorado",66.08571428571427
"Baca, Colorado",55.42857142857144
"Bent, Colorado",53.64285714285715
"Chaffee, Colorado",66.17142857142858
"Cheyenne, Colorado",61.25714285714285
"Clear Creek, Colorado",74.02857142857142
"Conejos, Colorado",38.300000000000004
"Costilla, Colorado",47.68571428571429
"Crowley, Colorado",47.74285714285714
"Custer, Colorado",66.02857142857142
"Delta, Colorado",62.214285714285715
"Denver, Colorado",64.55714285714286
"Dolores, Colorado",68.07142857142858
"Douglas, Colorado",71.68571428571428
"Eagle, Colorado",74.47142857142858
"El Paso, Colorado",60.81428571428571
"Elbert, Colorado",64.32857142857142
"Fremont, Colorado",58.028571428571425
"Garfield, Colorado",67.37142857142858
"Gilpin, Colorado",73.85714285714286
"Grand, Colorado",73.51428571428572
"Gunnison, Colorado",72.51428571428572
"Hinsdale, Colorado",73.77142857142857
"Huerfano, Colorado",60.800000000000004
"Jackson, Colorado",69.38571428571429
"Kiowa, Colorado",36.82857142857143
"Kit Carson, Colorado",54.92857142857143
"La Plata, Colorado",70.58571428571429
"Lake, Colorado",66.98571428571428
"Larimer, Colorado",67.91428571428571
"Las Animas, Colorado",56.199999999999996
"Lincoln, Colorado",55.371428571428574
"Logan, Colorado",60.0
"Mesa, Colorado",60.271428571428565
"Mineral, Colorado",54.48571428571428
"Moffat, Colorado",62.542857142857144
"Montezuma, Colorado",58.07142857142858
"Montrose, Colorado",61.114285714285714
"Morgan, Colorado",53.957142857142856
"Otero, Colorado",52.42857142857143
"Ouray, Colorado",73.88571428571427
"Park, Colorado",71.14285714285714
"Phillips, Colorado",51.51428571428572
"Pitkin, Colorado",79.71428571428574
"Prowers, Colorado",52.11428571428571
"Pueblo, Colorado",56.98571428571429
"Rio Blanco, Colorado",61.871428571428574
"Rio Grande, Colorado",55.65714285714286
"Routt, Colorado",78.14285714285712
"Saguache, Colorado",52.85714285714287
"San Juan, Colorado",68.17142857142858
"San Miguel, Colorado",75.95714285714287
"Sedgwick, Colorado",52.642857142857146
"Summit, Colorado",79.54285714285713
"Teller, Colorado",67.08571428571427
"Washington, Colorado",61.07142857142857
"Yuma, Colorado",59.30000000000001
"Fairfield, Connecticut",67.9
"Hartford, Connecticut",64.75714285714285
"Litchfield, Connecticut",68.75714285714287
"Middlesex, Connecticut",69.94285714285715
"New Haven, Connecticut",63.65714285714286
"New London, Connecticut",66.7
"Tolland, Connecticut",69.50000000000001
"Windham, Connecticut",61.48571428571429
"Kent, Delaware",52.91428571428571
"New Castle, Delaware",61.72857142857142
"Sussex, Delaware",57.5
"Alachua, Florida",58.8
"Baker, Florida",40.699999999999996
"Bay, Florida",53.17142857142857
"Bradford, Florida",40.271428571428565
"Brevard, Florida",60.114285714285714
"Broward, Florida",57.47142857142857
"Calhoun, Florida",39.31428571428571
"Charlotte, Florida",62.91428571428572
"Citrus, Florida",58.385714285714286
"Clay, Florida",55.699999999999996
"Collier, Florida",64.37142857142858
"Columbia, Florida",44.42857142857143
"DeSoto, Florida",43.728571428571435
"Dixie, Florida",41.285714285714285
"Duval, Florida",52.457142857142856
"Escambia, Florida",51.65714285714285
"Flagler, Florida",61.542857142857144
"Franklin, Florida",56.48571428571427
"Gadsden, Florida",42.65714285714286
"Gilchrist, Florida",40.58571428571429
"Glades, Florida",44.57142857142857
"Gulf, Florida",45.628571428571426
"Hamilton, Florida",38.65714285714286
"Hardee, Florida",36.15714285714286
"Hendry, Florida",42.92857142857142
"Hernando, Florida",58.05714285714287
"Highlands, Florida",51.314285714285724
"Hillsborough, Florida",55.65714285714286
"Holmes, Florida",38.25714285714286
"Indian River, Florida",64.32857142857142
"Jackson, Florida",40.17142857142858
"Jefferson, Florida",45.15714285714286
"Lafayette, Florida",38.32857142857142
"Lake, Florida",57.628571428571426
"Lee, Florida",62.51428571428572
"Leon, Florida",58.385714285714286
"Levy, Florida",43.542857142857144
"Liberty, Florida",32.75714285714285
"Madison, Florida",39.1
"Manatee, Florida",60.47142857142857
"Marion, Florida",56.01428571428572
"Martin, Florida",66.12857142857142
"Miami-Dade, Florida",52.0
"Monroe, Florida",67.7
"Nassau, Florida",53.271428571428565
"Okaloosa, Florida",57.385714285714286
"Okeechobee, Florida",46.6
"Orange, Florida",55.97142857142857
"Osceola, Florida",49.55714285714286
"Palm Beach, Florida",60.628571428571426
"Pasco, Florida",58.08571428571428
"Pinellas, Florida",63.01428571428571
"Polk, Florida",51.38571428571429
"Putnam, Florida",43.28571428571428
"Santa Rosa, Florida",56.528571428571425
"Sarasota, Florida",66.9142857142857
"Seminole, Florida",59.67142857142858
"St. Johns, Florida",68.05714285714285
"St. Lucie, Florida",56.52857142857143
"Sumter, Florida",59.9
"Suwannee, Florida",39.528571428571425
"Taylor, Florida",41.57142857142857
"Union, Florida",38.75714285714286
"Volusia, Florida",57.68571428571429
"Wakulla, Florida",51.91428571428571
"Walton, Florida",54.57142857142858
"Washington, Florida",36.82857142857142
"Appling, Georgia",31.0
"Atkinson, Georgia",30.071428571428573
"Bacon, Georgia",29.771428571428572
"Baker, Georgia",39.07142857142858
"Baldwin, Georgia",44.97142857142858
"Banks, Georgia",34.24285714285714
"Barrow, Georgia",47.5
"Bartow, Georgia",42.55714285714286
"Ben Hill, Georgia",34.5
"Berrien, Georgia",41.0
"Bibb, Georgia",45.32857142857143
"Bleckley, Georgia",34.6
"Brantley, Georgia",33.31428571428572
"Brooks, Georgia",39.58571428571429
"Bryan, Georgia",53.41428571428572
"Bulloch, Georgia",45.185714285714276
"Burke, Georgia",34.95714285714286
"Butts, Georgia",37.87142857142857
"Calhoun, Georgia",31.128571428571426
"Camden, Georgia",50.142857142857146
"Candler, Georgia",40.199999999999996
"Carroll, Georgia",42.457142857142856
"Catoosa, Georgia",40.471428571428575
"Charlton, Georgia",37.22857142857142
"Chatham, Georgia",55.9
"Chattahoochee, Georgia",44.91428571428571
"Chattooga, Georgia",32.542857142857144
"Cherokee, Georgia",55.57142857142856
"Clarke, Georgia",53.38571428571429
"Clay, Georgia",33.1
"Clayton, Georgia",43.39999999999999
"Clinch, Georgia",36.65714285714285
"Cobb, Georgia",59.98571428571429
"Coffee, Georgia",32.77142857142857
"Colquitt, Georgia",35.58571428571428
"Columbia, Georgia",57.142857142857146
"Cook, Georgia",36.08571428571428
"Coweta, Georgia",49.042857142857144
"Crawford, Georgia",41.65714285714285
"Crisp, Georgia",38.90000000000001
"Dade, Georgia",40.214285714285715
"Dawson, Georgia",45.75714285714285
"Decatur, Georgia",38.91428571428571
"DeKalb, Georgia",57.885714285714286
"Dodge, Georgia",30.571428571428573
"Dooly, Georgia",33.98571428571429
"Dougherty, Georgia",44.48571428571428
"Douglas, Georgia",46.98571428571428
"Early, Georgia",37.42857142857143
"Echols, Georgia",36.371428571428574
"Effingham, Georgia",45.52857142857142
"Elbert, Georgia",38.57142857142857
"Emanuel, Georgia",36.58571428571428
"Evans, Georgia",40.028571428571425
"Fannin, Georgia",36.18571428571429
"Fayette, Georgia",57.88571428571429
"Floyd, Georgia",40.07142857142857
"Forsyth, Georgia",59.74285714285714
"Franklin, Georgia",35.8
"Fulton, Georgia",60.82857142857142
"Gilmer, Georgia",41.31428571428571
"Glascock, Georgia",34.285714285714285
"Glynn, Georgia",54.58571428571429
"Gordon, Georgia",38.55714285714286
"Grady, Georgia",37.42857142857143
"Greene, Georgia",46.10000000000001
"Gwinnett, Georgia",55.042857142857144
"Habersham, Georgia",39.614285714285714
"Hall, Georgia",46.25714285714286
"Hancock, Georgia",33.81428571428572
"Haralson, Georgia",34.99999999999999
"Harris, Georgia",47.457142857142856
"Hart, Georgia",37.4
"Heard, Georgia",34.05714285714286
"Henry, Georgia",47.9
"Houston, Georgia",49.51428571428571
"Irwin, Georgia",35.01428571428572
"Jackson, Georgia",44.714285714285715
"Jasper, Georgia",41.74285714285714
"Jeff Davis, Georgia",29.200000000000006
"Jefferson, Georgia",34.45714285714286
