county,obesity
"Autauga, Alabama",37.95
"Baldwin, Alabama",33.7
"Barbour, Alabama",46.55
"Bibb, Alabama",42.95
"Blount, Alabama",40.0
"Bullock, Alabama",48.95
"Butler, Alabama",45.05
"Calhoun, Alabama",39.7
"Chambers, Alabama",44.2
"Cherokee, Alabama",40.6
"Chilton, Alabama",43.05
"Choctaw, Alabama",45.55
"Clarke, Alabama",44.2
"Clay, Alabama",42.3
"Cleburne, Alabama",39.349999999999994
"Coffee, Alabama",39.400000000000006
"Colbert, Alabama",40.900000000000006
"Conecuh, Alabama",45.05
"Coosa, Alabama",45.0
"Covington, Alabama",40.599999999999994
"Crenshaw, Alabama",42.7
"Cullman, Alabama",38.95
"Dale, Alabama",41.6
"Dallas, Alabama",48.1
"DeKalb, Alabama",39.9
"Elmore, Alabama",38.099999999999994
"Escambia, Alabama",42.85
"Etowah, Alabama",38.85
"Fayette, Alabama",43.15
"Franklin, Alabama",38.75
"Geneva, Alabama",42.3
"Greene, Alabama",50.9
"Hale, Alabama",49.5
"Henry, Alabama",44.099999999999994
"Houston, Alabama",40.35
"Jackson, Alabama",38.8
"Jefferson, Alabama",38.65
"Lamar, Alabama",39.3
"Lauderdale, Alabama",36.849999999999994
"Lawrence, Alabama",43.35
"Lee, Alabama",37.9
"Limestone, Alabama",40.0
"Lowndes, Alabama",48.45
"Macon, Alabama",46.9
"Madison, Alabama",36.0
"Marengo, Alabama",46.25
"Marion, Alabama",39.0
"Marshall, Alabama",37.95
"Mobile, Alabama",40.1
"Monroe, Alabama",44.35
"Montgomery, Alabama",40.85
"Morgan, Alabama",39.349999999999994
"Perry, Alabama",50.05
"Pickens, Alabama",45.05
"Pike, Alabama",42.75
"Randolph, Alabama",42.1
"Russell, Alabama",44.8
"Shelby, Alabama",34.8
"St. Clair, Alabama",40.3
"Sumter, Alabama",47.95
"Talladega, Alabama",44.35
"Tallapoosa, Alabama",41.35
"Tuscaloosa, Alabama",40.1
"Walker, Alabama",40.75
"Washington, Alabama",43.400000000000006
"Wilcox, Alabama",49.849999999999994
"Winston, Alabama",40.2
"Aleutians East, Alaska",33.75
"Aleutians West, Alaska",33.45
"Anchorage, Alaska",34.25
"Bethel, Alaska",43.650000000000006
"Bristol Bay, Alaska",39.4
"Dillingham, Alaska",42.45
"Fairbanks North Star, Alaska",34.349999999999994
"Haines, Alaska",36.95
"Hoonah-Angoon, Alaska",40.25
"Juneau City and, Alaska",34.7
"Kenai Peninsula, Alaska",37.4
"Ketchikan Gateway, Alaska",38.05
"Kodiak Island, Alaska",34.349999999999994
"Lake and Peninsula, Alaska",46.1
"Matanuska-Susitna, Alaska",36.25
"Nome, Alaska",39.8
"North Slope, Alaska",40.599999999999994
"Northwest Arctic, Alaska",44.2
"Petersburg, Alaska",38.05
"Prince of Wales-Hyder, Alaska",38.05
"Sitka City and, Alaska",33.85
"Skagway, Alaska",40.25
"Southeast Fairbanks, Alaska",36.95
"Valdez-Cordova, Alaska",36.75
"Wade Hampton, Alaska",46.9
"Wrangell City and, Alaska",38.05
"Yakutat City and, Alaska",38.349999999999994
"Yukon-Koyukuk, Alaska",40.45
"Apache, Arizona",42.9
"Cochise, Arizona",33.55
"Coconino, Arizona",29.799999999999997
"Gila, Arizona",36.85
"Graham, Arizona",40.6
"Greenlee, Arizona",37.6
"La Paz, Arizona",41.35
"Maricopa, Arizona",32.1
"Mohave, Arizona",34.400000000000006
"Navajo, Arizona",39.0
"Pima, Arizona",32.4
"Pinal, Arizona",39.95
"Santa Cruz, Arizona",34.65
"Yavapai, Arizona",29.45
"Yuma, Arizona",40.2
"Arkansas, Arkansas",42.45
"Ashley, Arkansas",42.15
"Baxter, Arkansas",34.35
"Benton, Arkansas",34.9
"Boone, Arkansas",33.85
"Bradley, Arkansas",42.8
"Calhoun, Arkansas",42.0
"Carroll, Arkansas",34.8
"Chicot, Arkansas",47.099999999999994
"Clark, Arkansas",39.4
"Clay, Arkansas",42.2
"Cleburne, Arkansas",36.900000000000006
"Cleveland, Arkansas",39.5
"Columbia, Arkansas",41.25
"Conway, Arkansas",39.349999999999994
"Craighead, Arkansas",37.5
"Crawford, Arkansas",37.95
"Crittenden, Arkansas",44.2
"Cross, Arkansas",42.400000000000006
"Dallas, Arkansas",43.85
"Desha, Arkansas",44.400000000000006
"Drew, Arkansas",40.4
"Faulkner, Arkansas",35.75
"Franklin, Arkansas",36.3
"Fulton, Arkansas",37.599999999999994
"Garland, Arkansas",35.349999999999994
"Grant, Arkansas",39.2
"Greene, Arkansas",40.0
"Hempstead, Arkansas",42.75
