county,physical_activity
"Autauga, Alabama",50.2
"Baldwin, Alabama",51.85
"Barbour, Alabama",40.349999999999994
"Bibb, Alabama",40.05
"Blount, Alabama",40.35
"Bullock, Alabama",38.75
"Butler, Alabama",42.7
"Calhoun, Alabama",44.7
"Chambers, Alabama",40.8
"Cherokee, Alabama",42.8
"Chilton, Alabama",41.05
"Choctaw, Alabama",38.6
"Clarke, Alabama",42.95
"Clay, Alabama",41.55
"Cleburne, Alabama",44.05
"Coffee, Alabama",47.25
"Colbert, Alabama",46.650000000000006
"Conecuh, Alabama",39.0
"Coosa, Alabama",42.0
"Covington, Alabama",43.15
"Crenshaw, Alabama",45.75
"Cullman, Alabama",43.25
"Dale, Alabama",49.6
"Dallas, Alabama",39.85
"DeKalb, Alabama",41.25
"Elmore, Alabama",49.75
"Escambia, Alabama",42.75
"Etowah, Alabama",44.8
"Fayette, Alabama",41.1
"Franklin, Alabama",42.15
"Geneva, Alabama",44.7
"Greene, Alabama",37.7
"Hale, Alabama",37.3
"Henry, Alabama",46.55
"Houston, Alabama",46.3
"Jackson, Alabama",41.7
"Jefferson, Alabama",45.849999999999994
"Lamar, Alabama",42.2
"Lauderdale, Alabama",44.900000000000006
"Lawrence, Alabama",43.25
"Lee, Alabama",53.599999999999994
"Limestone, Alabama",45.95
"Lowndes, Alabama",41.0
"Macon, Alabama",43.3
"Madison, Alabama",50.2
"Marengo, Alabama",44.55
"Marion, Alabama",36.4
"Marshall, Alabama",41.5
"Mobile, Alabama",45.75
"Monroe, Alabama",43.5
"Montgomery, Alabama",47.5
"Morgan, Alabama",47.9
"Perry, Alabama",36.900000000000006
"Pickens, Alabama",41.9
"Pike, Alabama",46.15
"Randolph, Alabama",40.4
"Russell, Alabama",44.75
"Shelby, Alabama",51.3
"St. Clair, Alabama",43.45
"Sumter, Alabama",39.2
"Talladega, Alabama",42.85
"Tallapoosa, Alabama",44.35
"Tuscaloosa, Alabama",46.9
"Walker, Alabama",39.05
"Washington, Alabama",46.0
"Wilcox, Alabama",38.25
"Winston, Alabama",40.05
"Aleutians East, Alaska",59.55
"Aleutians West, Alaska",54.75
"Anchorage, Alaska",59.75
"Bethel, Alaska",47.75
"Bristol Bay, Alaska",57.849999999999994
"Dillingham, Alaska",50.4
"Fairbanks North Star, Alaska",60.9
"Haines, Alaska",60.7
"Hoonah-Angoon, Alaska",58.75
"Juneau City and, Alaska",59.15
"Kenai Peninsula, Alaska",56.95
"Ketchikan Gateway, Alaska",59.0
"Kodiak Island, Alaska",61.35
"Lake and Peninsula, Alaska",51.55
"Matanuska-Susitna, Alaska",59.6
"Nome, Alaska",49.9
"North Slope, Alaska",51.35
"Northwest Arctic, Alaska",46.2
"Petersburg, Alaska",59.0
"Prince of Wales-Hyder, Alaska",59.0
"Sitka City and, Alaska",59.2
"Skagway, Alaska",58.75
"Southeast Fairbanks, Alaska",59.95
"Valdez-Cordova, Alaska",60.400000000000006
"Wade Hampton, Alaska",42.65
"Wrangell City and, Alaska",59.0
"Yakutat City and, Alaska",61.15
"Yukon-Koyukuk, Alaska",53.599999999999994
"Apache, Arizona",54.0
"Cochise, Arizona",57.55
"Coconino, Arizona",62.55
"Gila, Arizona",57.05
"Graham, Arizona",56.1
"Greenlee, Arizona",60.45
"La Paz, Arizona",50.25
"Maricopa, Arizona",58.599999999999994
"Mohave, Arizona",52.0
"Navajo, Arizona",61.099999999999994
"Pima, Arizona",59.95
"Pinal, Arizona",55.5
"Santa Cruz, Arizona",52.45
"Yavapai, Arizona",61.0
"Yuma, Arizona",48.9
"Arkansas, Arkansas",43.650000000000006
"Ashley, Arkansas",47.0
"Baxter, Arkansas",53.7
"Benton, Arkansas",54.3
"Boone, Arkansas",51.75
"Bradley, Arkansas",43.2
"Calhoun, Arkansas",46.2
"Carroll, Arkansas",50.3
"Chicot, Arkansas",39.650000000000006
"Clark, Arkansas",48.5
"Clay, Arkansas",42.150000000000006
"Cleburne, Arkansas",50.4
"Cleveland, Arkansas",50.7
"Columbia, Arkansas",49.5
"Conway, Arkansas",49.85
"Craighead, Arkansas",47.35
"Crawford, Arkansas",47.650000000000006
"Crittenden, Arkansas",42.8
"Cross, Arkansas",45.05
"Dallas, Arkansas",43.7
"Desha, Arkansas",42.8
"Drew, Arkansas",49.9
"Faulkner, Arkansas",52.099999999999994
"Franklin, Arkansas",49.599999999999994
"Fulton, Arkansas",49.05
"Garland, Arkansas",52.3
"Grant, Arkansas",47.55
"Greene, Arkansas",45.05
"Hempstead, Arkansas",47.150000000000006
"Hot Spring, Arkansas",44.95
"Howard, Arkansas",46.05
"Independence, Arkansas",47.7
"Izard, Arkansas",48.15
"Jackson, Arkansas",40.3
"Jefferson, Arkansas",43.9
"Johnson, Arkansas",46.099999999999994
"Lafayette, Arkansas",44.7
"Lawrence, Arkansas",42.3
"Lee, Arkansas",38.3
"Lincoln, Arkansas",40.25
"Little River, Arkansas",45.95
"Logan, Arkansas",45.0
"Lonoke, Arkansas",47.4
"Madison, Arkansas",48.8
"Marion, Arkansas",54.05
"Miller, Arkansas",46.05
"Mississippi, Arkansas",39.8
"Monroe, Arkansas",40.0
"Montgomery, Arkansas",48.55
"Nevada, Arkansas",44.1
"Newton, Arkansas",49.5
"Ouachita, Arkansas",45.25
"Perry, Arkansas",48.7
"Phillips, Arkansas",39.25
"Pike, Arkansas",47.650000000000006
"Poinsett, Arkansas",38.849999999999994
"Polk, Arkansas",47.85
"Pope, Arkansas",50.05
"Prairie, Arkansas",42.55
"Pulaski, Arkansas",49.0
"Randolph, Arkansas",48.150000000000006
"Saline, Arkansas",52.4
"Scott, Arkansas",45.5
"Searcy, Arkansas",45.2
"Sebastian, Arkansas",48.4
"Sevier, Arkansas",41.9
"Sharp, Arkansas",51.45
"St. Francis, Arkansas",42.3
"Stone, Arkansas",49.15
"Union, Arkansas",48.35
"Van Buren, Arkansas",52.4
"Washington, Arkansas",51.099999999999994
"White, Arkansas",47.349999999999994
"Woodruff, Arkansas",40.45
"Yell, Arkansas",44.5
"Alameda, California",63.900000000000006
"Alpine, California",61.7
"Amador, California",57.349999999999994
"Butte, California",60.5
"Calaveras, California",62.1
"Colusa, California",51.75
"Contra Costa, California",66.5
"Del Norte, California",57.0
"El Dorado, California",63.7
"Fresno, California",54.65
"Glenn, California",54.5
"Humboldt, California",63.95
"Imperial, California",45.650000000000006
"Inyo, California",57.650000000000006
"Kern, California",53.25
"Kings, California",51.6
"Lake, California",59.8
"Lassen, California",57.65
"Los Angeles, California",57.5
"Madera, California",52.7
"Marin, California",72.15
"Mariposa, California",60.7
"Mendocino, California",61.65
"Merced, California",51.85
"Modoc, California",57.7
"Mono, California",61.349999999999994
"Monterey, California",58.25
"Napa, California",63.3
"Nevada, California",68.55000000000001
"Orange, California",62.65
"Placer, California",66.95
"Plumas, California",63.95
"Riverside, California",58.1
"Sacramento, California",61.1
"San Benito, California",59.8
"San Bernardino, California",56.8
"San Diego, California",63.9
"San Francisco, California",65.19999999999999
"San Joaquin, California",56.2
"San Luis Obispo, California",65.69999999999999
"San Mateo, California",66.1
"Santa Barbara, California",61.45
"Santa Clara, California",64.1
"Santa Cruz, California",64.0
"Shasta, California",60.5
"Sierra, California",60.75
"Siskiyou, California",63.0
"Solano, California",61.45
"Sonoma, California",66.9
"Stanislaus, California",55.9
"Sutter, California",58.0
"Tehama, California",59.25
"Trinity, California",62.650000000000006
"Tulare, California",52.3
"Tuolumne, California",61.15
"Ventura, California",60.3
"Yolo, California",64.35
"Yuba, California",55.9
"Adams, Colorado",63.3
"Alamosa, Colorado",58.55
"Arapahoe, Colorado",64.1
"Archuleta, Colorado",64.0
"Baca, Colorado",52.2
"Bent, Colorado",49.9
"Boulder, Colorado",63.3
"Broomfield, Colorado",63.3
"Chaffee, Colorado",64.15
"Cheyenne, Colorado",52.6
"Clear Creek, Colorado",66.9
"Conejos, Colorado",56.849999999999994
"Costilla, Colorado",52.5
"Crowley, Colorado",43.400000000000006
"Custer, Colorado",61.4
"Delta, Colorado",62.9
"Denver, Colorado",63.6
"Dolores, Colorado",59.25
"Douglas, Colorado",68.75
"Eagle, Colorado",69.94999999999999
"El Paso, Colorado",63.3
"Elbert, Colorado",62.7
"Fremont, Colorado",59.25
"Garfield, Colorado",65.25
"Gilpin, Colorado",65.5
"Grand, Colorado",69.25
"Gunnison, Colorado",66.1
"Hinsdale, Colorado",63.5
"Huerfano, Colorado",53.55
"Jackson, Colorado",62.35
"Jefferson, Colorado",63.3
"Kiowa, Colorado",57.599999999999994
"Kit Carson, Colorado",51.9
"La Plata, Colorado",69.6
"Lake, Colorado",60.7
"Larimer, Colorado",67.1
"Las Animas, Colorado",56.599999999999994
"Lincoln, Colorado",50.55
"Logan, Colorado",57.4
"Mesa, Colorado",65.19999999999999
"Mineral, Colorado",63.65
"Moffat, Colorado",55.6
"Montezuma, Colorado",58.900000000000006
"Montrose, Colorado",60.75
"Morgan, Colorado",57.55
"Otero, Colorado",54.05
"Ouray, Colorado",64.85
"Park, Colorado",65.7
"Phillips, Colorado",56.2
"Pitkin, Colorado",70.65
"Prowers, Colorado",51.75
"Pueblo, Colorado",59.95
"Rio Blanco, Colorado",65.2
"Rio Grande, Colorado",57.7
"Routt, Colorado",73.80000000000001
"Saguache, Colorado",52.7
"San Juan, Colorado",60.15
"San Miguel, Colorado",64.6
"Sedgwick, Colorado",54.8
"Summit, Colorado",70.2
"Teller, Colorado",64.3
"Washington, Colorado",56.8
"Weld, Colorado",63.3
"Yuma, Colorado",55.65
"Fairfield, Connecticut",56.900000000000006
"Hartford, Connecticut",54.0
"Litchfield, Connecticut",57.55
"Middlesex, Connecticut",60.5
"New Haven, Connecticut",54.8
"New London, Connecticut",58.45
"Tolland, Connecticut",59.8
"Windham, Connecticut",53.05
"Kent, Delaware",46.599999999999994
"New Castle, Delaware",52.35
"Sussex, Delaware",53.05
"District of Columbia, District of Columbia",60.25
"Alachua, Florida",58.55
"Baker, Florida",46.5
"Bay, Florida",56.65
"Bradford, Florida",45.05
"Brevard, Florida",60.599999999999994
"Broward, Florida",52.650000000000006
"Calhoun, Florida",44.8
"Charlotte, Florida",59.8
"Citrus, Florida",57.0
"Clay, Florida",54.1
"Collier, Florida",59.5
"Columbia, Florida",48.349999999999994
"DeSoto, Florida",45.85
"Dixie, Florida",50.5
"Duval, Florida",53.849999999999994
"Escambia, Florida",53.25
"Flagler, Florida",59.75
"Franklin, Florida",53.9
"Gadsden, Florida",43.55
"Gilchrist, Florida",50.45
"Glades, Florida",48.3
"Gulf, Florida",50.05
"Hamilton, Florida",43.7
"Hardee, Florida",41.900000000000006
"Hendry, Florida",42.0
"Hernando, Florida",54.95
"Highlands, Florida",51.05
"Hillsborough, Florida",53.35
"Holmes, Florida",42.650000000000006
"Indian River, Florida",59.3
"Jackson, Florida",49.75
"Jefferson, Florida",49.900000000000006
"Lafayette, Florida",53.099999999999994
"Lake, Florida",57.099999999999994
"Lee, Florida",58.65
"Leon, Florida",59.150000000000006
"Levy, Florida",50.3
"Liberty, Florida",46.45
"Madison, Florida",48.599999999999994
"Manatee, Florida",57.05
"Marion, Florida",56.3
"Martin, Florida",60.900000000000006
"Miami-Dade, Florida",47.45
