county,smoking
"Abbeville, South Carolina",26.926470588235293
"Acadia Parish, Louisiana",30.412941176470586
"Accomack, Virginia",26.218235294117648
"Ada, Idaho",20.1
"Adair, Iowa",24.31058823529412
"Adair, Kentucky",32.92058823529412
"Adair, Missouri",23.783529411764704
"Adair, Oklahoma",33.34529411764706
"Adams County/Boulder County/Broomfield County/Jefferson County/Weld, Colorado",20.441764705882356
"Adams, Idaho",24.047647058823525
"Adams, Illinois",25.35058823529412
"Adams, Indiana",28.329411764705885
"Adams, Iowa",24.960588235294118
"Adams, Mississippi",26.89529411764706
"Adams, Nebraska",23.66705882352941
"Adams, North Dakota",24.138235294117646
"Adams, Ohio",31.764705882352942
"Adams, Pennsylvania",24.505882352941185
"Adams, Washington",19.881176470588233
"Adams, Wisconsin",27.73470588235294
"Addison, Vermont",20.082941176470587
"Aiken, South Carolina",25.387647058823525
"Aitkin, Minnesota",26.672941176470584
"Alachua, Florida",19.952941176470585
"Alamance, North Carolina",27.22941176470588
"Alameda, California",16.845882352941175
"Alamosa, Colorado",20.82058823529412
"Albany, New York",21.767058823529418
"Albany, Wyoming",17.74470588235294
"Albemarle, Virginia",16.64
"Alcona, Michigan",28.156470588235294
"Alcorn, Mississippi",28.24058823529412
"Aleutians East Borough, Alaska",31.68235294117647
"Aleutians West Census Area, Alaska",31.58823529411765
"Alexander, Illinois",29.16411764705882
"Alexander, North Carolina",28.024117647058823
"Alexandria City, Virginia",16.583529411764708
"Alfalfa, Oklahoma",26.46529411764706
"Alger, Michigan",27.144705882352945
"Allamakee, Iowa",25.279411764705884
"Allegan, Michigan",25.618235294117646
"Allegany, Maryland",26.35176470588235
"Allegany, New York",24.714705882352938
"Alleghany, North Carolina",28.321764705882355
"Alleghany, Virginia",27.004705882352944
"Allegheny, Pennsylvania",25.48411764705882
"Allen Parish, Louisiana",30.89235294117647
"Allen, Indiana",25.801764705882356
"Allen, Kansas",26.25705882352941
"Allen, Kentucky",34.16058823529412
"Allen, Ohio",28.32058823529412
"Allendale, South Carolina",27.74647058823529
"Alpena, Michigan",27.14529411764706
"Alpine, California",21.517058823529414
"Amador, California",23.389411764705887
"Amelia, Virginia",28.717647058823527
"Amherst, Virginia",27.378823529411765
"Amite, Mississippi",28.35529411764706
"Anchorage Municipality, Alaska",21.982352941176472
"Anderson, Kansas",27.022352941176475
"Anderson, Kentucky",30.95
"Anderson, South Carolina",26.9235294117647
"Anderson, Tennessee",28.15529411764705
"Anderson, Texas",28.65176470588235
"Andrew, Missouri",26.179411764705883
"Andrews, Texas",25.881176470588237
"Androscoggin, Maine",26.046470588235294
"Angelina, Texas",26.85470588235294
"Anne Arundel, Maryland",22.071764705882355
"Anoka, Minnesota",23.290588235294113
"Anson, North Carolina",28.492352941176463
"Antelope, Nebraska",22.891764705882352
"Antrim, Michigan",24.62058823529412
"Apache, Arizona",27.327647058823533
"Appanoose, Iowa",27.61529411764706
"Appling, Georgia",27.610000000000003
"Appomattox, Virginia",27.361176470588237
"Aransas, Texas",25.070000000000004
"Arapahoe, Colorado",20.348235294117647
"Archer, Texas",23.64470588235294
"Archuleta, Colorado",21.539411764705886
"Arenac, Michigan",28.58235294117647
"Arkansas, Arkansas",28.536470588235293
"Arlington, Virginia",14.374705882352943
"Armstrong, Pennsylvania",27.77058823529412
"Armstrong, Texas",20.359411764705882
"Aroostook, Maine",26.822941176470586
"Arthur, Nebraska",22.34941176470588
"Ascension Parish, Louisiana",25.93647058823529
"Ashe, North Carolina",27.451176470588237
"Ashland, Ohio",27.018823529411765
"Ashland, Wisconsin",26.47764705882353
"Ashley, Arkansas",29.008235294117647
"Ashtabula, Ohio",31.19705882352942
"Asotin, Washington",26.73470588235294
"Assumption Parish, Louisiana",29.78411764705882
"Atascosa, Texas",22.84176470588235
"Atchison, Kansas",26.045294117647064
"Atchison, Missouri",25.60294117647059
"Athens, Ohio",24.971764705882354
"Atkinson, Georgia",28.472352941176467
"Atlantic, New Jersey",26.19235294117647
"Atoka, Oklahoma",30.79235294117647
"Attala, Mississippi",27.36
"Audrain, Missouri",30.52882352941176
"Audubon, Iowa",24.13647058823529
"Auglaize, Ohio",26.790588235294116
"Augusta County/Waynesbo, Virginia",26.199411764705882
"Aurora, South Dakota",23.088235294117645
"Austin, Texas",22.655882352941177
"Autauga, Alabama",26.19294117647059
"Avery, North Carolina",26.59647058823529
"Avoyelles Parish, Louisiana",30.47
"Baca, Colorado",24.158823529411762
"Bacon, Georgia",29.791764705882347
"Bailey, Texas",24.209411764705884
"Baker, Florida",29.839411764705883
"Baker, Georgia",26.165294117647058
"Baker, Oregon",25.656470588235297
"Baldwin, Alabama",24.808823529411764
"Baldwin, Georgia",26.51058823529412
"Ballard, Kentucky",30.008823529411764
"Baltimore City, Maryland",29.10823529411765
"Baltimore, Maryland",22.58764705882353
"Bamberg, South Carolina",25.411176470588234
"Bandera, Texas",22.762352941176477
"Banks, Georgia",28.081176470588236
"Banner, Nebraska",20.32352941176471
"Bannock, Idaho",21.15705882352941
"Baraga, Michigan",29.517058823529414
"Barber, Kansas",22.50823529411765
"Barbour, Alabama",28.022941176470585
"Barbour, West Virginia",29.01588235294118
"Barnes, North Dakota",22.854117647058818
"Barnstable, Massachusetts",21.48823529411765
"Barnwell, South Carolina",27.099999999999998
"Barren, Kentucky",32.42882352941177
"Barron, Wisconsin",26.035294117647055
"Barrow, Georgia",27.56823529411765
"Barry, Michigan",24.79705882352941
"Barry, Missouri",30.24588235294118
"Bartholomew, Indiana",25.445294117647062
"Barton, Kansas",25.672352941176467
"Barton, Missouri",29.51764705882353
"Bartow, Georgia",27.804117647058817
"Bastrop, Texas",24.21764705882353
"Bates, Missouri",30.527058823529416
"Bath, Kentucky",33.772941176470596
"Bath, Virginia",27.110588235294113
"Baxter, Arkansas",30.247058823529407
"Bay, Florida",27.983529411764707
"Bay, Michigan",26.27235294117647
"Bayfield, Wisconsin",24.04764705882353
"Baylor, Texas",24.334117647058825
"Beadle, South Dakota",24.407647058823528
"Bear Lake, Idaho",20.183529411764702
"Beaufort, North Carolina",25.64235294117647
"Beaufort, South Carolina",21.589411764705886
"Beauregard Parish, Louisiana",28.161764705882348
"Beaver, Oklahoma",23.815882352941177
"Beaver, Pennsylvania",27.649411764705885
"Beaver, Utah",22.103529411764697
"Beaverhead, Montana",20.66764705882353
"Becker, Minnesota",24.48058823529412
"Beckham, Oklahoma",30.035882352941172
"Bedford County/Bedfo, Virginia",25.62235294117647
"Bedford, Pennsylvania",26.948235294117644
"Bedford, Tennessee",29.528823529411767
"Bee, Texas",23.91588235294118
"Belknap, New Hampshire",24.777058823529412
"Bell, Kentucky",35.849411764705884
"Bell, Texas",23.940588235294115
"Belmont, Ohio",29.687058823529412
"Beltrami, Minnesota",25.55882352941177
"Ben Hill, Georgia",28.756470588235295
"Benewah, Idaho",28.247058823529414
"Bennett, South Dakota",32.48117647058824
"Bennington, Vermont",23.157647058823528
"Benson, North Dakota",32.02647058823529
"Bent, Colorado",26.57705882352942
"Benton, Arkansas",25.222352941176467
"Benton, Indiana",27.547058823529408
"Benton, Iowa",24.481176470588235
"Benton, Minnesota",23.45823529411765
"Benton, Mississippi",29.512352941176477
"Benton, Missouri",30.750588235294117
"Benton, Oregon",15.785294117647057
"Benton, Tennessee",31.336470588235297
"Benton, Washington",20.23529411764706
"Benzie, Michigan",23.24764705882353
"Bergen, New Jersey",18.54764705882352
"Berkeley, South Carolina",26.295294117647057
"Berkeley, West Virginia",30.20941176470588
"Berks, Pennsylvania",24.595882352941175
"Berkshire, Massachusetts",24.373529411764704
"Bernalillo, New Mexico",23.662352941176472
"Berrien, Georgia",29.131764705882354
"Berrien, Michigan",25.553529411764707
"Bertie, North Carolina",26.63294117647059
"Bethel Census Area, Alaska",33.66647058823529
"Bexar, Texas",21.39764705882353
"Bibb, Alabama",29.951176470588237
"Bibb, Georgia",25.36764705882353
"Bienville Parish, Louisiana",27.39
"Big Horn, Montana",31.512352941176466
"Big Horn, Wyoming",23.251764705882348
"Big Stone, Minnesota",24.844117647058827
"Billings, North Dakota",23.148235294117647
"Bingham, Idaho",21.537058823529414
"Black Hawk, Iowa",24.405882352941177
"Blackford, Indiana",31.04647058823529
"Bladen, North Carolina",27.650588235294116
"Blaine, Idaho",16.509411764705884
"Blaine, Montana",29.208235294117642
"Blaine, Nebraska",21.823529411764703
"Blaine, Oklahoma",28.587058823529407
"Blair, Pennsylvania",27.002941176470586
"Blanco, Texas",22.123529411764707
"Bland, Virginia",28.138235294117646
"Bleckley, Georgia",27.94470588235294
"Bledsoe, Tennessee",31.44941176470589
"Blount, Alabama",29.225294117647056
