Incidence, US by County, All Races, Liver & Bile Duct (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Union, Florida","41.5","30.1","56.5","46"
"Duval, Texas","28.9","17.3","45.7","19"
"Jim Wells, Texas","24.9","18.6","32.5","56"
"Val Verde, Texas","24.5","18.7","31.5","62"
"Bee, Texas","24.2","17.2","33.1","40"
"Anderson, Texas","20.9","16.4","26.3","76"
"Caldwell, Texas","19.5","14.2","26.2","46"
"Frio, Texas","19.0","10.8","30.9","16"
"Maverick, Texas","18.7","13.8","24.6","51"
"Kleberg, Texas","18.6","12.3","27.0","28"
"Cibola, New Mexico","18.5","12.5","26.6","32"
"Ripley, Missouri","17.9","10.5","29.3","18"
"Staunton, Virginia","17.5","11.7","25.5","31"
"Sierra, New Mexico","17.3","9.4","31.1","17"
"Hockley, Texas","17.2","10.5","26.6","21"
"Bastrop, Texas","17.1","13.5","21.4","83"
"Nueces, Texas","17.0","15.3","18.9","352"
"St. Bernard, Louisiana","17.0","11.9","23.5","40"
"Webb, Texas","17.0","14.5","19.7","175"
"Ector, Texas","16.8","13.9","20.1","120"
"Potter, Texas","16.6","13.6","20.2","108"
"Imperial, California","16.6","14.0","19.5","152"
"San Francisco, California","16.5","15.4","17.6","849"
"Hickman, Tennessee","16.5","10.7","24.5","26"
"Bexar, Texas","16.1","15.3","17.0","1507"
"Bronx, New York","16.0","15.1","17.0","1196"
"Chaves, New Mexico","16.0","12.2","20.7","62"
"St. Louis, Missouri","16.0","14.2","18.0","296"
"Baltimore, Maryland","16.0","14.7","17.4","586"
"Swain, North Carolina","15.9","8.9","26.9","16"
"El Paso, Texas","15.9","14.7","17.2","635"
"Starr, Texas","15.7","11.4","21.1","44"
"Plaquemines, Louisiana","15.5","9.4","24.2","20"
"Iberville, Louisiana","15.3","10.4","22.0","32"
"San Patricio, Texas","15.3","11.7","19.8","61"
"De Soto, Louisiana","15.3","10.1","22.7","28"
"Caroline, Maryland","15.0","10.2","21.5","32"
"Philadelphia, Pennsylvania","15.0","14.2","15.9","1337"
"Henry, Alabama","15.0","8.5","25.1","17"
"San Miguel, New Mexico","14.9","10.0","21.8","31"
"Caddo, Oklahoma","14.8","9.8","21.6","28"
"West Baton Rouge, Louisiana","14.8","9.0","22.9","21"
"Lewis, West Virginia","14.7","8.6","24.3","18"
"Middlesex, Virginia","14.7","8.2","26.7","16"
"Simpson, Mississippi","14.7","9.5","21.9","26"
"Walker, Texas","14.5","10.9","18.9","56"
"Austin, Texas","14.5","9.4","21.5","28"
"Ohio, Kentucky","14.4","9.0","22.2","23"
"Brazoria, Texas","14.4","12.7","16.4","257"
"Pearl River, Mississippi","14.2","10.6","18.8","54"
"Coryell, Texas","14.2","10.2","19.2","44"
"Cameron, Texas","14.2","12.6","15.9","296"
"Howard, Texas","14.1","9.4","20.3","30"
"Uvalde, Texas","14.1","8.7","21.6","22"
"Goochland, Virginia","13.9","9.0","21.3","27"
"Lincoln, Mississippi","13.8","9.3","19.9","31"
"Buckingham, Virginia","13.7","7.9","22.8","17"
"Dallas, Texas","13.6","13.0","14.3","1686"
"McCurtain, Oklahoma","13.6","9.0","19.9","29"
"Orleans, Louisiana","13.6","12.1","15.3","322"
"Lafourche, Louisiana","13.6","10.7","17.0","80"
"Granville, North Carolina","13.6","10.3","17.8","57"
"Harrison, Mississippi","13.5","11.4","15.9","155"
"Monroe, Georgia","13.5","8.3","20.8","23"
"Brown, Texas","13.5","9.2","19.2","34"
"Victoria, Texas","13.5","10.5","17.1","73"
"Fayette, Alabama","13.4","7.5","22.6","16"
"Christian, Illinois","13.3","8.9","19.3","31"
"Bryan, Georgia","13.3","8.2","20.4","22"
"Pike, Missouri","13.3","7.5","22.0","16"
"Valencia, New Mexico","13.2","10.0","17.1","62"
"Seminole, Oklahoma","13.2","8.1","20.4","22"
"Union, Illinois","13.2","7.3","22.4","16"
"Wright, Missouri","13.2","7.5","22.0","17"
