Incidence, US by County, All Races, Stomach (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Union, Florida","20.1","11.5","33.1","18"
"Sunflower, Mississippi","15.9","10.0","24.1","23"
"Mitchell, Georgia","15.0","9.0","23.4","20"
"Grayson, Kentucky","15.0","9.7","22.5","26"
"Brunswick, Virginia","13.9","7.7","23.6","16"
"Petersburg, Virginia","13.7","8.8","20.5","26"
"St. John the Baptist, Louisiana","13.7","9.2","19.6","31"
"Neshoba, Mississippi","13.1","8.0","20.3","21"
"Starr, Texas","12.9","9.0","17.9","36"
"Sumter, Georgia","12.9","8.1","19.7","23"
"Queens, New York","12.6","12.0","13.3","1678"
"Grainger, Tennessee","12.5","7.0","20.6","18"
"McKinley, New Mexico","12.5","8.9","17.0","41"
"St. Martin, Louisiana","12.4","8.6","17.4","36"
"Caroline, Virginia","11.9","7.1","18.6","20"
"Kings, New York","11.8","11.2","12.4","1579"
"Boone, West Virginia","11.8","6.8","19.4","18"
"Navarro, Texas","11.7","8.0","16.6","34"
"Ouachita, Arkansas","11.6","6.5","19.1","17"
"Shawano, Wisconsin","11.1","7.7","15.7","35"
"Iberville, Louisiana","11.0","6.7","17.1","21"
"Lea, New Mexico","10.9","7.4","15.3","32"
"Jasper, South Carolina","10.9","6.1","17.9","17"
"Jim Wells, Texas","10.8","6.8","16.3","23"
"Ohio, Kentucky","10.8","6.3","17.7","17"
"Bolivar, Mississippi","10.8","6.4","17.1","20"
"Orange, Indiana","10.8","6.1","18.2","16"
"Bronx, New York","10.7","9.9","11.5","741"
"Natchitoches, Louisiana","10.4","6.4","16.1","22"
"Wharton, Texas","10.4","6.6","15.8","24"
"Passaic, New Jersey","10.4","9.2","11.7","289"
"Thomas, Georgia","10.3","6.8","15.1","29"
"Apache, Arizona","10.3","7.3","14.2","41"
"Adams, Ohio","10.2","6.0","16.6","18"
"Milam, Texas","10.2","5.5","17.3","16"
"Valencia, New Mexico","10.1","7.3","13.6","46"
"Maverick, Texas","10.0","6.5","14.7","25"
"Williamsburg, South Carolina","10.0","6.2","15.6","23"
"Cherokee, Alabama","9.9","5.6","16.3","18"
"Chambers, Texas","9.9","5.9","15.7","19"
"Boyle, Kentucky","9.9","5.8","15.8","19"
"Lowndes, Mississippi","9.9","6.8","14.1","34"
"Chattooga, Georgia","9.9","5.6","16.5","16"
"Suffolk, Massachusetts","9.9","8.8","11.0","347"
"Pickaway, Ohio","9.9","6.8","14.0","33"
"Escambia, Alabama","9.8","6.2","14.8","24"
"De Soto, Louisiana","9.8","5.6","16.2","17"
"Lincoln, Kentucky","9.8","5.6","16.4","16"
"Copiah, Mississippi","9.7","5.4","16.0","16"
"Gallia, Ohio","9.7","5.9","15.2","20"
"Lassen, California","9.7","5.6","15.9","17"
"Marlboro, South Carolina","9.7","5.6","16.0","17"
"Union, New Jersey","9.7","8.6","10.9","294"
"Val Verde, Texas","9.7","6.2","14.5","24"
"Stanly, North Carolina","9.5","6.5","13.4","35"
"Dallas, Alabama","9.5","5.8","14.6","22"
"Hudson, New Jersey","9.5","8.4","10.6","302"
"Webster, Missouri","9.5","5.8","14.8","20"
"Dorchester, Maryland","9.5","5.6","15.1","20"
"Potter, Texas","9.5","7.2","12.4","57"
"Herkimer, New York","9.4","6.7","12.9","43"
